Kenneth	NP	Kenneth
Roth	NP	Roth
is	VBZ	be
a	DT	a
former	JJ	former
Executive	NP	Executive
Director	NP	Director
of	IN	of
Human	NP	Human
Rights	NPS	Rights
Watch	NN	watch
and	CC	and
a	DT	a
visiting	VVG	visit
professor	NN	professor
at	IN	at
Princeton	NP	Princeton
University	NP	University
he	PP	he
says	VVZ	say
the	DT	the
US	NP	US
has	VHZ	have
the	DT	the
leverage	NN	leverage
to	TO	to
stop	VV	stop
Israel	NP	Israel
'	POS	'
s	NN	S
attacks	NNS	attack
government	NN	government
should	MD	should
have	VH	have
been	VBN	be
pausing	VVG	pause
already	RB	already
because	IN	because
you	PP	you
know	VVP	know
whether	IN	whether
this	DT	this
is	VBZ	be
genocide	NN	genocide
or	CC	or
simply	RB	simply
large	JJ	large
scale	NN	scale
war	NN	war
crimes	NNS	crime
the	DT	the
fact	NN	fact
is	VBZ	be
it	PP	it
'	POS	'
s	JJ	s
horrible	JJ	horrible
um	NN	um
there	EX	there
are	VBP	be
what	WP	what
you	PP	you
know	VVP	know
an	DT	an
estimated	JJ	estimated
12	CD	@card@
,	,	,
000	CD	@card@
and	CC	and
probably	RB	probably
that	RB	that
'	''	'
s	VVG	s
a	DT	a
small	JJ	small
number	NN	number
in	IN	in
underestimate	NN	underestimate
but	CC	but
12	CD	@card@
,	,	,
000	CD	@card@
civilian	JJ	civilian
casualties	NNS	casualty
so	RB	so
far	RB	far
and	CC	and
you	PP	you
know	VVP	know
the	DT	the
Israeli	JJ	Israeli
government	NN	government
is	VBZ	be
reg	NN	reg
ly	NNS	ly
indiscriminately	RB	indiscriminately
bombing	VVG	bomb
neighborhoods	NNS	neighborhood
even	RB	even
attacking	VVG	attack
military	JJ	military
targets	NNS	target
knowing	VVG	know
that	IN/that	that
the	DT	the
harm	NN	harm
to	TO	to
civilians	NNS	civilian
would	MD	would
be	VB	be
disproportionate	JJ	disproportionate
you	PP	you
know	VVP	know
we	PP	we
saw	VVD	see
that	IN/that	that
in	IN	in
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
um	NNS	um
we	PP	we
see	VVP	see
this	DT	this
in	IN	in
the	DT	the
attacks	NNS	attack
on	IN	on
hospitals	NNS	hospital
where	WRB	where
you	PP	you
know	VVP	know
at	IN	at
this	DT	this
point	NN	point
that	IN/that	that
um	VVG	um
it	PP	it
'	POS	'
s	NNS	s
clear	VVP	clear
that	IN/that	that
there	EX	there
is	VBZ	be
no	DT	no
immediate	JJ	immediate
threat	NN	threat
to	TO	to
the	DT	the
Israeli	JJ	Israeli
government	NN	government
coming	VVG	come
from	IN	from
the	DT	the
hospitals	NNS	hospital
you	PP	you
know	VVP	know
they	PP	they
'	''	'
re	IN	re
they	PP	they
'	POS	'
re	NN	re
scraping	VVG	scrape
to	TO	to
find	VV	find
a	DT	a
rifle	NN	rifle
here	RB	here
or	CC	or
a	DT	a
backpack	NN	backpack
there	RB	there
um	JJ	um
but	CC	but
the	DT	the
the	DT	the
rule	NN	rule
to	TO	to
you	PP	you
know	VVP	know
breach	VV	breach
the	DT	the
protection	NN	protection
of	IN	of
a	DT	a
hospital	NN	hospital
is	VBZ	be
that	IN/that	that
it	PP	it
has	VHZ	have
to	TO	to
pose	VV	pose
an	DT	an
immediate	JJ	immediate
military	JJ	military
threat	NN	threat
which	WDT	which
clearly	RB	clearly
is	VBZ	be
not	RB	not
the	DT	the
case	NN	case
so	IN	so
you	PP	you
know	VVP	know
there	EX	there
'	''	'
s	NNS	s
just	RB	just
so	RB	so
much	JJ	much
to	TO	to
be	VB	be
concerned	VVN	concern
about	RB	about
and	CC	and
the	DT	the
US	NP	US
government	NN	government
in	IN	in
particular	JJ	particular
which	WDT	which
you	PP	you
know	VVP	know
sells	VVZ	sell
all	DT	all
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	s
arms	NNS	arm
you	PP	you
know	VVP	know
has	VHZ	have
been	VBN	be
shoveling	VVG	shovel
3	CD	@card@
.	SENT	.
8	CD	@card@
billion	NN	billion
dollars	NNS	dollar
a	DT	a
year	NN	year
to	TO	to
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
and	CC	and
now	RB	now
wants	VVZ	want
to	TO	to
send	VV	send
14	CD	@card@
billion	NNS	billion
more	RBR	more
it	PP	it
has	VHZ	have
the	DT	the
leverage	NN	leverage
to	TO	to
stop	VV	stop
these	DT	these
attacks	NNS	attack
on	IN	on
civilians	NNS	civilian
it	PP	it
'	POS	'
s	NN	S
not	RB	not
using	VVG	use
it	PP	it
you	PP	you
know	VVP	know
it	PP	it
'	''	'
s	RB	s
been	VBN	be
pressing	VVG	press
for	IN	for
drips	NNS	drip
and	CC	and
drabs	NNS	drab
of	IN	of
humanitarian	JJ	humanitarian
Aid	NP	Aid
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
saying	VVG	say
oh	UH	oh
be	VB	be
a	DT	a
little	JJ	little
bit	NN	bit
more	RBR	more
careful	JJ	careful
about	IN	about
civilian	JJ	civilian
casualties	NNS	casualty
but	CC	but
it	PP	it
hasn	NP	hasn
'	POS	'
t	NN	t
really	RB	really
drawn	VVN	draw
the	DT	the
line	NN	line
and	CC	and
said	VVD	say
the	DT	the
form	NN	form
of	IN	of
warfare	NN	warfare
is	VBZ	be
utterly	RB	utterly
inappropriate	JJ	inappropriate
