<video_id>UYyprwa-VLA</video_id>	JJ	<video_id>UYyprwa-VLA</video_id>
<video_title>Israeli	NN	<video_title>Israeli
army	NN	army
confirms	VVZ	confirm
11	CD	@card@
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
ground	NN	ground
operations</video_title>	NN	operations</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
army	NN	army
confirms	VVZ	confirm
11	CD	@card@
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
ground	NN	ground
operations.jpg</thumbnail_path>	NN	operations.jpg</thumbnail_path>
<publish_date>20231101</publish_date>	NN	<publish_date>20231101</publish_date>
<doc>	JJ	<doc>
Sarah	NP	Sarah
kyat	NN	kyat
who	WP	who
joins	VVZ	join
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
Sarah	NP	Sarah
so	IN	so
the	DT	the
Israeli	JJ	Israeli
military	NN	military
have	VHP	have
given	VVN	give
us	PP	us
an	DT	an
updated	VVN	update
list	NN	list
of	IN	of
soldiers	NNS	soldier
who've	NNS	who've
been	VBN	be
killed	VVN	kill
in	IN	in
their	PP$	their
war	NN	war
with	IN	with
Hamas	NNS	Hamas
what	WP	what
have	VHP	have
they	PP	they
said	VVD	say
they've	NN	they've
confirmed	VVD	confirm
that	IN/that	that
an	DT	an
additional	JJ	additional
uh	UH	uh
nine	CD	nine
soldiers	NNS	soldier
were	VBD	be
killed	VVN	kill
in	IN	in
yesterday	NN	yesterday
and	CC	and
the	DT	the
overnight	JJ	overnight
uh	UH	uh
raids	NNS	raid
on	IN	on
Gaza	NP	Gaza
bringing	VVG	bring
that	DT	that
total	NN	total
to	TO	to
11	CD	@card@
soldiers	NNS	soldier
this	DT	this
is	VBZ	be
the	DT	the
largest	JJS	large
uh	UH	uh
numbers	NNS	number
of	IN	of
losses	NNS	loss
that	IN/that	that
they've	NN	they've
had	VHD	have
since	IN	since
their	PP$	their
uh	UH	uh
ground	NN	ground
offensive	JJ	offensive
uh	UH	uh
in	IN	in
Gaza	NP	Gaza
um	NNS	um
and	CC	and
they	PP	they
released	VVD	release
those	DT	those
names	NNS	name
um	NN	um
what	WP	what
they	PP	they
tend	VVP	tend
to	TO	to
do	VV	do
is	VBZ	be
they	PP	they
wait	VVP	wait
till	IN	till
they	PP	they
have	VHP	have
spoken	VVN	speak
to	TO	to
the	DT	the
families	NNS	family
of	IN	of
the	DT	the
soldiers	NNS	soldier
before	IN	before
they	PP	they
release	VVP	release
those	DT	those
names	NNS	name
and	CC	and
now	RB	now
that's	JJ	that's
uh	UH	uh
been	VBN	be
confirmed	VVN	confirm
uh	UH	uh
bringing	VVG	bring
uh	UH	uh
the	DT	the
number	NN	number
of	IN	of
Israeli	JJ	Israeli
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
total	NN	total
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
to	TO	to
more	JJR	more
than	IN	than
300	CD	@card@
and	CC	and
uh	UH	uh
20	CD	@card@
uh	UH	uh
it's	NNS	it's
been	VBN	be
uh	UH	uh
they've	NNS	they've
been	VBN	be
met	VVN	meet
with	IN	with
a	DT	a
lot	NN	lot
of	IN	of
resistance	NN	resistance
from	IN	from
from	IN	from
alasan	JJ	alasan
Brigade	NN	brigade
and	CC	and
Islamic	JJ	Islamic
Jihad	NP	Jihad
fighters	NNS	fighter
in	IN	in
several	JJ	several
areas	NNS	area
in	IN	in
Gaza	NP	Gaza
