reporting	VVG	report
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
it	PP	it
is	VBZ	be
20	CD	@card@
minutes	NNS	minute
past	JJ	past
400	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
which	WDT	which
was	VBD	be
the	DT	the
time	NN	time
when	WRB	when
as	RB	as
of	IN	of
now	RB	now
we	PP	we
expect	VVP	expect
we	PP	we
could	MD	could
at	IN	at
any	DT	any
point	NN	point
see	VVP	see
movement	NN	movement
on	IN	on
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
from	IN	from
Gaza	NP	Gaza
and	CC	and
the	DT	the
release	NN	release
of	IN	of
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
uh	UH	uh
from	IN	from
uh	UH	uh
inside	IN	inside
Israeli	JJ	Israeli
jails	NNS	jail
now	RB	now
Thailand	NP	Thailand
'	POS	'
s	JJ	s
prime	JJ	prime
minister	NN	minister
you	PP	you
heard	VVD	hear
Rory	NP	Rory
talking	VVG	talk
about	IN	about
Thai	JJ	Thai
Nationals	NNS	national
that	WDT	that
are	VBP	be
that	DT	that
have	VHP	have
been	VBN	be
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
Thailand	NP	Thailand
'	POS	'
s	JJ	s
prime	JJ	prime
minister	NN	minister
has	VHZ	have
confirmed	VVN	confirm
on	IN	on
social	JJ	social
media	NNS	medium
that	IN/that	that
12	CD	@card@
Thai	JJ	Thai
workers	NNS	worker
who	WP	who
were	VBD	be
taken	VVN	take
captive	NN	captive
by	IN	by
Hamas	NP	Hamas
have	VHP	have
been	VBN	be
released	VVN	release
this	DT	this
has	VHZ	have
happened	VVN	happen
on	IN	on
the	DT	the
sidelines	NNS	sideline
of	IN	of
the	DT	the
deal	NN	deal
that	RB	that
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
see	VV	see
the	DT	the
release	NN	release
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
and	CC	and
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
uh	UH	uh
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
released	VVD	release
Bangkok	NP	Bangkok
had	VHD	have
been	VBN	be
holding	VVG	hold
separate	JJ	separate
talks	NNS	talk
to	TO	to
repatriate	VV	repatriate
about	RB	about
two	CD	two
dozen	NN	dozen
Tha	NP	tha
Nationals	NNS	national
taken	VVN	take
captive	NN	captive
by	IN	by
Hamas	NP	Hamas
from	IN	from
Southern	NP	Southern
Israel	NP	Israel
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
James	NP	James
Bay	NP	Bay
James	NP	James
a	DT	a
lot	NN	lot
of	IN	of
moving	VVG	move
parts	NNS	part
right	RB	right
now	RB	now
um	VVG	um
I	PP	I
'	POS	'
m	NN	m
just	RB	just
finding	VVG	find
out	RP	out
about	IN	about
the	DT	the
Tha	NP	tha
Nationals	NNS	national
being	VBG	be
released	VVN	release
this	DT	this
is	VBZ	be
I	PP	I
I	PP	I
suppose	VVP	suppose
this	DT	this
is	VBZ	be
consistent	JJ	consistent
to	TO	to
to	TO	to
some	DT	some
extent	NN	extent
with	IN	with
what	WP	what
Hamas	NN	Hamas
with	IN	with
what	WP	what
we	PP	we
'	POS	'
ve	NNS	ve
known	VVN	know
about	IN	about
these	DT	these
negotiations	NNS	negotiation
which	WDT	which
are	VBP	be
there	RB	there
are	VBP	be
these	DT	these
negotiations	NNS	negotiation
between	IN	between
Hamas	VVG	Hamas
the	DT	the
main	JJ	main
ones	NNS	one
Hamas	JJ	Hamas
Israel	NP	Israel
uh	UH	uh
I	PP	I
beg	VVP	beg
your	PP$	your
pardon	NN	pardon
mediated	VVN	mediate
by	IN	by
Qatar	NP	Qatar
between	IN	between
Hamas	NP	Hamas
and	CC	and
Israel	NP	Israel
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
bilateral	JJ	bilateral
negotiations	NNS	negotiation
apparently	RB	apparently
between	IN	between
Hamas	JJ	Hamas
and	CC	and
other	JJ	other
countries	NNS	country
whose	WP$	whose
Nationals	NNS	national
they	PP	they
'	POS	'
re	NN	re
holding	NN	holding
yeah	RB	yeah
the	DT	the
cat	NN	cat
forign	NN	forign
Ministry	NP	Ministry
spokesman	NN	spokesman
when	WRB	when
he	PP	he
was	VBD	be
giving	VVG	give
the	DT	the
details	NNS	detail
um	NN	um
about	IN	about
24	CD	@card@
hours	NNS	hour
ago	RB	ago
of	IN	of
uh	UH	uh
the	DT	the
main	JJ	main
deal	NN	deal
said	VVD	say
this	DT	this
is	VBZ	be
just	RB	just
a	DT	a
deal	VV	deal
uh	UH	uh
involving	VVG	involve
Israeli	JJ	Israeli
captives	NNS	captive
and	CC	and
potentially	RB	potentially
Israeli	JJ	Israeli
jeel	JJ	jeel
Nationals	NNS	national
on	IN	on
one	CD	one
side	NN	side
and	CC	and
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
on	IN	on
the	DT	the
other	JJ	other
but	CC	but
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
are	VBP	be
other	JJ	other
Nationals	NNS	national
involved	VVN	involve
and	CC	and
we	PP	we
know	VVP	know
that	IN/that	that
there	EX	there
were	VBD	be
these	DT	these
23	CD	@card@
ties	NNS	tie
who	WP	who
were	VBD	be
taken	VVN	take
um	JJ	um
captive	JJ	captive
uh	UH	uh
back	RB	back
on	IN	on
October	NP	October
the	DT	the
7th	JJ	7th
now	RB	now
what	WP	what
were	VBD	be
these	DT	these
T	NN	T
Tha	NP	tha
Nationals	NNS	national
doing	VVG	do
uh	UH	uh
in	IN	in
southern	JJ	southern
Israel	NP	Israel
they	PP	they
were	VBD	be
agricultural	JJ	agricultural
workers	NNS	worker
uh	UH	uh
and	CC	and
uh	UH	uh
Thailand	NP	Thailand
had	VHD	have
been	VBN	be
very	RB	very
strongly	RB	strongly
making	VVG	make
the	DT	the
case	NN	case
that	IN/that	that
they	PP	they
are	VBP	be
not	RB	not
part	NN	part
of	IN	of
the	DT	the
conflict	NN	conflict
that	WDT	that
is	VBZ	be
going	VVG	go
on	IN	on
they	PP	they
just	RB	just
have	VHP	have
happen	VV	happen
to	TO	to
be	VB	be
in	IN	in
the	DT	the
area	NN	area
they	PP	they
are	VBP	be
not	RB	not
rich	JJ	rich
people	NNS	people
they	PP	they
were	VBD	be
doing	VVG	do
a	DT	a
pretty	RB	pretty
lowly	JJ	lowly
job	NN	job
there	IN	here
uh	UH	uh
in	IN	in
southern	JJ	southern
Israel	NP	Israel
they	PP	they
'	POS	'
re	NN	re
not	RB	not
parties	VVZ	party
to	TO	to
this	DT	this
conflict	NN	conflict
and	CC	and
they	PP	they
should	MD	should
be	VB	be
released	VVN	release
and	CC	and
what	WP	what
is	VBZ	be
interesting	JJ	interesting
is	VBZ	be
Thailand	NP	Thailand
'	POS	'
s	RB	s
been	VBN	be
trying	VVG	try
to	TO	to
get	VV	get
as	IN	as
much	JJ	much
support	NN	support
as	IN	as
it	PP	it
can	MD	can
um	NN	um
for	IN	for
their	PP$	their
release	NN	release
and	CC	and
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
speaking	VVG	speak
uh	UH	uh
to	TO	to
a	DT	a
country	NN	country
that	IN/that	that
it	PP	it
has	VHZ	have
reasonably	RB	reasonably
good	JJ	good
relations	NNS	relation
with	IN	with
which	WDT	which
is	VBZ	be
Iran	NP	Iran
and	CC	and
Iran	NP	Iran
has	VHZ	have
been	VBN	be
doing	VVG	do
we	PP	we
believe	VVP	believe
mediation	NN	mediation
on	IN	on
behalf	NN	behalf
of	IN	of
Thailand	NP	Thailand
for	IN	for
these	DT	these
Nationals	NNS	national
also	RB	also
worth	JJ	worth
given	VVN	give
that	IN/that	that
the	DT	the
the	DT	the
caty	NN	caty
channel	NN	channel
is	VBZ	be
the	DT	the
is	VBZ	be
the	DT	the
main	JJ	main
channel	NN	channel
of	IN	of
of	IN	of
communication	NN	communication
to	TO	to
Hamas	JJ	Hamas
worth	NN	worth
telling	VVG	tell
you	PP	you
that	IN/that	that
the	DT	the
Iranian	JJ	Iranian
foreign	JJ	foreign
minister	NN	minister
was	VBD	be
here	RB	here
in	IN	in
Doha	NP	Doha
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
so	IN	so
I	PP	I
think	VVP	think
significant	JJ	significant
we	PP	we
'	''	'
re	IN	re
all	DT	all
waiting	NN	waiting
for	IN	for
the	DT	the
Israeli	JJ	Israeli
captives	NNS	captive
that	WDT	that
are	VBP	be
part	NN	part
of	IN	of
this	DT	this
formal	JJ	formal
deal	NN	deal
um	NNS	um
but	CC	but
that	IN/that	that
'	POS	'
s	NNS	s
going	VVG	go
to	TO	to
involve	VV	involve
12	CD	@card@
people	NNS	people
uh	UH	uh
sorry	RB	sorry
13	CD	@card@
people	NNS	people
we	PP	we
think	VVP	think
we	PP	we
'	''	'
ve	NNS	ve
already	RB	already
got	VVD	get
12	CD	@card@
people	NNS	people
12	JJ	@card@
Tha	NP	tha
Nationals	NNS	national
uh	UH	uh
released	VVN	release
uh	UH	uh
now	RB	now
confirmed	VVN	confirm
