<video_id>9Fk4Y2TNEzk</video_id>	JJ	<video_id>9Fk4Y2TNEzk</video_id>
<video_title>Israeli	NN	<video_title>Israeli
army	NN	army
tries	VVZ	try
to	TO	to
distance	VV	distance
itself	PP	itself
from	IN	from
Gaza	NP	Gaza
hospital	NN	hospital
attack</video_title>	NN	attack</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
army	NN	army
tries	VVZ	try
to	TO	to
distance	VV	distance
itself	PP	itself
from	IN	from
Gaza	NP	Gaza
hospital	NN	hospital
attack.jpg</thumbnail_path>	NN	attack.jpg</thumbnail_path>
<publish_date>20231018</publish_date>	NN	<publish_date>20231018</publish_date>
<doc>	NN	<doc>
the	DT	the
Israeli	JJ	Israeli
Prime	NP	Prime
Minister	NP	Minister
has	VHZ	have
denied	VVN	deny
Israel	NP	Israel
was	VBD	be
involved	VVN	involve
in	IN	in
the	DT	the
bombardment	NN	bombardment
of	IN	of
the	DT	the
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
City	NP	City
in	IN	in
a	DT	a
social	JJ	social
media	NN	media
post	NN	post
on	IN	on
X	NN	X
formerly	RB	formerly
known	VVN	know
as	IN	as
Twitter	NN	twitter
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
the	DT	the
entire	JJ	entire
world	NN	world
should	MD	should
know	VV	know
it	PP	it
was	VBD	be
barbaric	JJ	barbaric
terrorists	NNS	terrorist
in	IN	in
Gaza	NP	Gaza
that	WDT	that
attacked	VVD	attack
the	DT	the
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
and	CC	and
not	RB	not
the	DT	the
IDF	NP	IDF
those	DT	those
who	WP	who
brutally	RB	brutally
murdered	VVD	murder
our	PP$	our
children	NNS	child
also	RB	also
murder	VVP	murder
their	PP$	their
own	JJ	own
children	NNS	child
let's	NNS	let's
speak	VVP	speak
now	RB	now
to	TO	to
Sarah	NP	Sarah
hyet	NN	hyet
she	PP	she
joins	VVZ	join
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	IN	so
Sarah	NP	Sarah
Israel's	NP	Israel's
staunchly	RB	staunchly
denying	VVG	deny
responsibility	NN	responsibility
for	IN	for
this	DT	this
Hospital	NP	Hospital
attack	NN	attack
what's	NNS	what's
the	DT	the
latest	JJS	late
you've	NN	you've
been	VBN	be
hearing	VVG	hear
from	IN	from
them	PP	them
yes	RB	yes
and	CC	and
just	RB	just
a	DT	a
few	JJ	few
minutes	NNS	minute
ago	RB	ago
they	PP	they
released	VVD	release
a	DT	a
video	JJ	video
that's	NN	that's
the	DT	the
Israeli	JJ	Israeli
Army	NN	army
releasing	VVG	release
a	DT	a
video	NN	video
to	TO	to
as	RB	as
proof	VV	proof
they	PP	they
said	VVD	say
that	IN/that	that
um	NNS	um
this	DT	this
wasn't	NN	wasn't
to	TO	to
do	VV	do
had	VHD	have
nothing	NN	nothing
to	TO	to
do	VV	do
with	IN	with
them	PP	them
of	IN	of
course	NN	course
they've	NN	they've
been	VBN	be
blaming	VVG	blame
Islamic	NP	Islamic
Jihad	NP	Jihad
for	IN	for
that	DT	that
uh	UH	uh
uh	UH	uh
rocket	NN	rocket
that	WDT	that
hit	VVD	hit
the	DT	the
hospital	NN	hospital
but	CC	but
before	RB	before
that	IN/that	that
as	RB	as
soon	RB	soon
as	IN	as
it	PP	it
happened	VVD	happen
there	EX	there
was	VBD	be
a	DT	a
flurry	NN	flurry
of	IN	of
messages	NNS	message
