<video_id>f2u_1lkRJq0</video_id>	JJ	<video_id>f2u_1lkRJq0</video_id>
<video_title>A	NN	<video_title>A
deal	NN	deal
has	VHZ	have
been	VBN	be
reached	VVN	reach
in	IN	in
Israel	NP	Israel
to	TO	to
form	VV	form
a	DT	a
unity	NN	unity
government	NN	government
as	IN	as
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
continues</video_title>	JJ	continues</video_title>
<thumbnail_path>data/en_AJ\A	NN	<thumbnail_path>data/en_AJ\A
deal	NN	deal
has	VHZ	have
been	VBN	be
reached	VVN	reach
in	IN	in
Israel	NP	Israel
to	TO	to
form	VV	form
a	DT	a
unity	NN	unity
government	NN	government
as	IN	as
bombardment	NN	bombardment
of	IN	of
Gaza	NP	Gaza
continues.jpg</thumbnail_path>	JJ	continues.jpg</thumbnail_path>
<publish_date>20231011</publish_date>	NN	<publish_date>20231011</publish_date>
<doc>	NN	<doc>
meanwhile	RB	meanwhile
Israel's	NP	Israel's
primee	NP	primee
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
has	VHZ	have
been	VBN	be
meeting	VVG	meet
with	IN	with
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
opposition	NN	opposition
to	TO	to
discuss	VV	discuss
forming	VVG	form
a	DT	a
Unity	NP	Unity
government	NN	government
Phil	NP	Phil
Marx	NP	Marx
has	VHZ	have
been	VBN	be
following	VVG	follow
that	DT	that
meeting	NN	meeting
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
West	NP	West
Jerusalem	NP	Jerusalem
so	RB	so
is	VBZ	be
it	PP	it
now	RB	now
confirmed	VVD	confirm
villum	NN	villum
that	IN/that	that
this	DT	this
government	NN	government
has	VHZ	have
been	VBN	be
agreed	VVN	agree
to	TO	to
yes	NN	yes
it	PP	it
is	VBZ	be
now	RB	now
confirmed	VVN	confirm
the	DT	the
national	JJ	national
Unity	NP	Unity
party	NN	party
that	WDT	that
is	VBZ	be
the	DT	the
second	JJ	second
largest	JJS	large
opposition	NN	opposition
party	NN	party
inside	IN	inside
the	DT	the
Israeli	JJ	Israeli
knesset	NN	Knesset
with	IN	with
12	CD	@card@
members	NNS	member
they	PP	they
have	VHP	have
now	RB	now
formally	RB	formally
agreed	VVN	agree
to	TO	to
join	VV	join
an	DT	an
emergency	NN	emergency
government	NN	government
with	IN	with
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
netanyahu's	NP	netanyahu's
leud	NN	leud
party	NN	party
and	CC	and
two	CD	two
other	JJ	other
far-right	JJ	far-right
parties	NNS	party
inside	IN	inside
his	PP$	his
Coalition	NP	Coalition
just	RB	just
to	TO	to
give	VV	give
you	PP	you
some	DT	some
details	NNS	detail
about	IN	about
it	PP	it
though	IN	though
Sammy	NP	Sammy
uh	UH	uh
in	IN	in
terms	NNS	term
of	IN	of
Who's	NP	Who's
involved	VVN	involve
in	IN	in
this	DT	this
there	RB	there
will	MD	will
be	VB	be
what's	NNS	what's
known	VVN	know
as	IN	as
a	DT	a
war	NN	war
cabinet	NN	cabinet
that's	NNS	that's
being	VBG	be
set	VVN	set
up	RP	up
uh	UH	uh
that	WDT	that
will	MD	will
involve	VV	involve
Netanyahu	NP	Netanyahu
Benny	NP	Benny
gance	NN	gance
the	DT	the
former	JJ	former
Defense	NP	Defense
Minister	NP	Minister
also	RB	also
the	DT	the
former	JJ	former
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
of	IN	of
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
the	DT	the
head	NN	head
of	IN	of
that	DT	that
National	NP	National
Unity	NP	Unity
party	JJ	party
uh	UH	uh
the	DT	the
defense	NN	defense
minister	NN	minister
yav	NP	yav
Galant	NP	Galant
as	RB	as
well	RB	well
well	RB	well
as	IN	as
the	DT	the
another	DT	another
former	JJ	former
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
of	IN	of
Israeli	JJ	Israeli
military	JJ	military
g	NN	g
eisenkot	NN	eisenkot
Who	WP	who
belongs	VVZ	belong
to	TO	to
that	DT	that
same	JJ	same
National	NP	National
Unity	NP	Unity
party	NN	party
and	CC	and
also	RB	also
the	DT	the
former	JJ	former
Israeli	NP	Israeli
Ambassador	NP	Ambassador
Ron	NP	Ron
durma	NN	durma
to	TO	to
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
also	RB	also
from	IN	from
that	DT	that
National	NP	National
Unity	NP	Unity
party	NN	party
headed	VVN	head
by	IN	by
Benny	NP	Benny
Gant	NP	Gant
those	DT	those
five	CD	five
will	MD	will
form	VV	form
what's	NNS	what's
known	VVN	know
as	IN	as
a	DT	a
security	NN	security
cabinet	NN	cabinet
they	PP	they
will	MD	will
be	VB	be
the	DT	the
ones	NNS	one
essentially	RB	essentially
helping	VVG	help
to	TO	to
prosecute	VV	prosecute
the	DT	the
war	NN	war
in	IN	in
we	PP	we
assume	VVP	assume
Gaza	NP	Gaza
and	CC	and
then	RB	then
there'll	RB	there'll
be	VB	be
a	DT	a
wider	JJR	wide
addition	NN	addition
to	TO	to
their	PP$	their
political	JJ	political
security	NN	security
cabinet	NN	cabinet
the	DT	the
cabinet	NN	cabinet
here	RB	here
essentially	RB	essentially
that	IN/that	that
will	MD	will
be	VB	be
five	CD	five
members	NNS	member
including	VVG	include
those	DT	those
three	CD	three
from	IN	from
the	DT	the
national	JJ	national
Unity	NP	Unity
party	NN	party
they	PP	they
will	MD	will
be	VB	be
the	DT	the
ones	NNS	one
that	WDT	that
will	MD	will
be	VB	be
deciding	VVG	decide
perhaps	RB	perhaps
larger	JJR	large
issues	NNS	issue
of	IN	of
policy	NN	policy
around	IN	around
perhaps	RB	perhaps
conflict	NN	conflict
with	IN	with
Lebanon	NP	Lebanon
other	JJ	other
issues	NNS	issue
outside	JJ	outside
of	IN	of
this	DT	this
current	JJ	current
Conflict	NN	conflict
at	IN	at
least	JJS	least
all	DT	all
right	JJ	right
let's	NN	let's
talk	NN	talk
about	IN	about
the	DT	the
powers	NNS	power
that	IN/that	that
this	DT	this
government	NN	government
will	MD	will
have	VH	have
this	DT	this
will	MD	will
be	VB	be
very	RB	very
much	JJ	much
Sammy	NP	Sammy
about	IN	about
how	WRB	how
they	PP	they
strategize	VVP	strategize
and	CC	and
how	WRB	how
they	PP	they
execute	VVP	execute
on	IN	on
Military	JJ	military
orders	NNS	order
the	DT	the
idea	NN	idea
there	EX	there
will	MD	will
be	VB	be
a	DT	a
smaller	JJR	small
group	NN	group
of	IN	of
individuals	NNS	individual
just	RB	just
five	CD	five
of	IN	of
them	PP	them
inside	IN	inside
that	DT	that
war	NN	war
cabinet	NN	cabinet
deciding	VVG	decide
what	WP	what
the	DT	the
Israeli	JJ	Israeli
military	NN	military
does	VVZ	do
over	IN	over
the	DT	the
course	NN	course
of	IN	of
the	DT	the
next	JJ	next
days	NNS	day
and	CC	and
weeks	NNS	week
in	IN	in
theory	NN	theory
will	MD	will
be	VB	be
designed	VVN	design
to	TO	to
help	VV	help
speed	VV	speed
up	RP	up
decision-	NN	decision-
making	VVG	make
in	IN	in
practice	NN	practice
will	MD	will
mean	VV	mean
there'll	RB	there'll
be	VB	be
perhaps	RB	perhaps
fewer	JJR	few
voices	NNS	voice
at	IN	at
the	DT	the
table	NN	table
who	WP	who
might	MD	might
have	VH	have
uh	UH	uh
questions	NNS	question
around	IN	around
the	DT	the
way	NN	way
things	NNS	thing
are	VBP	be
being	VBG	be
