<video_id>i4mP8_z8WzI</video_id>	JJ	<video_id>i4mP8_z8WzI</video_id>
<video_title>What	NN	<video_title>What
is	VBZ	be
the	DT	the
message	NN	message
behind	IN	behind
canceling	VVG	cancel
Christmas	NP	Christmas
in	IN	in
Bethlehem?	NP	Bethlehem?
|	SYM	|
Inside	NP	Inside
Story</video_title>	NP	Story</video_title>
<thumbnail_path>data/en_AJ\What	NN	<thumbnail_path>data/en_AJ\What
is	VBZ	be
the	DT	the
message	NN	message
behind	IN	behind
canceling	VVG	cancel
Christmas	NP	Christmas
in	IN	in
Bethlehem	NP	Bethlehem
Inside	NP	Inside
Story.jpg</thumbnail_path>	NP	Story.jpg</thumbnail_path>
<publish_date>20231225</publish_date>	NN	<publish_date>20231225</publish_date>
<doc>	NN	<doc>
a	DT	a
subdued	JJ	subdued
Christmas	NP	Christmas
in	IN	in
Bethlehem	NP	Bethlehem
festivities	NNS	festivity
are	VBP	be
muted	VVN	mute
this	DT	this
year	NN	year
in	IN	in
the	DT	the
occupied	JJ	occupied
territories	NNS	territory
as	IN	as
Israel's	NP	Israel's
war	NN	war
on	IN	on
Gaza	NP	Gaza
rages	NNS	rage
with	IN	with
Palestinian	JJ	Palestinian
Christians	NNS	Christian
saying	VVG	say
they	PP	they
too	RB	too
are	VBP	be
being	VBG	be
targeted	VVN	target
so	RB	so
what	WP	what
message	NN	message
does	VVZ	do
this	DT	this
show	NN	show
of	IN	of
Unity	NP	Unity
by	IN	by
Palestinians	NPS	Palestinians
convey	VVP	convey
this	DT	this
is	VBZ	be
Inside	IN	inside
hello	NN	hello
and	CC	and
welcome	VV	welcome
to	TO	to
the	DT	the
program	NN	program
I'm	NP	I'm
D	NP	D
nauga	NN	nauga
usually	RB	usually
bustling	VVG	bustle
with	IN	with
visitors	NNS	visitor
from	IN	from
around	IN	around
the	DT	the
world	NN	world
Bethlehem	NP	Bethlehem
is	VBZ	be
empty	JJ	empty
this	DT	this
Christmas	NP	Christmas
festivities	NNS	festivity
are	VBP	be
muted	VVN	mute
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
as	IN	as
Israel	NP	Israel
shows	VVZ	show
no	DT	no
sign	NN	sign
of	IN	of
ending	VVG	end
its	PP$	its
Onslaught	NN	onslaught
in	IN	in
Gaza	NP	Gaza
Israeli	NP	Israeli
bombs	NNS	bomb
do	VVP	do
not	RB	not
discriminate	VV	discriminate
everything	NN	everything
and	CC	and
everyone	NN	everyone
in	IN	in
the	DT	the
strip	NN	strip
is	VBZ	be
a	DT	a
target	NN	target
from	IN	from
hospital	NN	hospital
hital	NN	hital
to	TO	to
schools	NNS	school
and	CC	and
from	IN	from
mosques	NNS	mosque
to	TO	to
churches	NNS	church
so	IN	so
what	WP	what
message	NN	message
are	VBP	be
Palestinian	JJ	Palestinian
Christians	NNS	Christian
sending	VVG	send
to	TO	to
the	DT	the
World	NN	world
by	IN	by
canceling	VVG	cancel
this	DT	this
year's	NNS	year's
festivities	NNS	festivity
in	IN	in
Bethlehem	NP	Bethlehem
we'll	NP	we'll
go	VV	go
to	TO	to
our	PP$	our
