<video_id>72rqUX20xfo</video_id>	JJ	<video_id>72rqUX20xfo</video_id>
<video_title>13-Year-Old	JJ	<video_title>13-Year-Old
Nadeen	NP	Nadeen
Abdullatif	NP	Abdullatif
Loses	VVZ	lose
Brother	NN	brother
in	IN	in
Gaza	NP	Gaza
City,	NP	City,
Takes	NP	Takes
Shelter	NP	Shelter
in	IN	in
Rafah</video_title>	NP	Rafah</video_title>
<thumbnail_path>data/en_AJ\13-Year-Old	JJ	<thumbnail_path>data/en_AJ\13-Year-Old
Nadeen	NP	Nadeen
Abdullatif	NP	Abdullatif
Loses	VVZ	lose
Brother	NN	brother
in	IN	in
Gaza	NP	Gaza
City,	NP	City,
Takes	NP	Takes
Shelter	NP	Shelter
in	IN	in
Rafah.jpg</thumbnail_path>	NP	Rafah.jpg</thumbnail_path>
<publish_date>20231230</publish_date>	JJ	<publish_date>20231230</publish_date>
<doc>	NN	<doc>
we	PP	we
were	VBD	be
in	IN	in
Gaza	NP	Gaza
and	CC	and
we	PP	we
didn't	VVD	didn't
know	VV	know
what	WP	what
to	TO	to
do	VV	do
because	IN	because
they	PP	they
were	VBD	be
threading	VVG	thread
house	NN	house
after	IN	after
house	NN	house
after	IN	after
house	NN	house
in	IN	in
our	PP$	our
area	NN	area
to	TO	to
leave	VV	leave
their	PP$	their
place	NN	place
a	DT	a
house	NN	house
was	VBD	be
bombed	VVN	bomb
next	JJ	next
to	TO	to
our	PP$	our
house	NN	house
and	CC	and
my	PP$	my
house	NN	house
was	VBD	be
completely	RB	completely
destroyed	VVN	destroy
and	CC	and
even	RB	even
my	PP$	my
brother	NN	brother
was	VBD	be
mared	JJ	mared
I	PP	I
didn't	VVD	didn't
know	VV	know
what	WP	what
to	TO	to
feel	VV	feel
about	RB	about
that	RB	that
but	CC	but
then	RB	then
my	PP$	my
mom	NN	mom
said	VVD	say
that	IN/that	that
we	PP	we
have	VHP	have
to	TO	to
go	VV	go
to	TO	to
the	DT	the
Rola	NP	Rola
there's	RB	there's
no	RB	no
more	JJR	more
choices	NNS	choice
we	PP	we
need	VVP	need
to	TO	to
leave	VV	leave
because	IN	because
it's	NNS	it's
dangerous	JJ	dangerous
out	IN	out
here	RB	here
we	PP	we
went	VVD	go
to	TO	to
Rafa	NP	Rafa
and	CC	and
from	IN	from
Rafa	NP	Rafa
we	PP	we
stayed	VVD	stay
2	CD	@card@
days	NNS	day
there	RB	there
not	RB	not
knowing	VVG	know
where	WRB	where
where	WRB	where
to	TO	to
go	VV	go
we	PP	we
slept	VVD	sleep
in	IN	in
people's	NN	people's
houses	NNS	house
we	PP	we
didn't	VVD	didn't
know	VV	know
who	WP	who
they	PP	they
are	VBP	be
so	RB	so
we	PP	we
stayed	VVD	stay
there	RB	there
and	CC	and
the	DT	the
house	NN	house
that	IN/that	that
we	PP	we
stayed	VVD	stay
in	IN	in
we	PP	we
thought	VVD	think
it	PP	it
was	VBD	be
good	JJ	good
and	CC	and
we	PP	we
found	VVD	find
shelter	NN	shelter
finally	RB	finally
a	DT	a
house	NN	house
next	JJ	next
to	TO	to
it	PP	it
was	VBD	be
bombed	VVN	bomb
and	CC	and
the	DT	the
house	NN	house
went	VVD	go
crazy	JJ	crazy
and	CC	and
the	DT	the
windows	NNS	window
broke	VVD	break
what	WP	what
was	VBD	be
I	PP	I
supposed	VVN	suppose
to	TO	to
do	VV	do
my	PP$	my
brother	NN	brother
was	VBD	be
shaking	VVG	shake
I	PP	I
was	VBD	be
shaking	VVG	shake
I	PP	I
was	VBD	be
scared	VVN	scare
I	PP	I
didn't	JJ	didn't
move	NN	move
from	IN	from
my	PP$	my
place	NN	place
cuz	NN	cuz
of	IN	of
how	WRB	how
terrified	VVN	terrify
I	PP	I
was	VBD	be
here	RB	here
were	VBD	be
women	NNS	woman
children	NNS	child
and	CC	and
men	NNS	man
and	CC	and
young	JJ	young
boys	NNS	boy
there	EX	there
are	VBP	be
many	JJ	many
beds	NNS	bed
and	CC	and
many	JJ	many
uh	UH	uh
pillows	NNS	pillow
that	IN/that	that
you	PP	you
can	MD	can
see	VV	see
here	RB	here
and	CC	and
many	JJ	many
clothes	NNS	clothes
of	IN	of
children	NNS	child
and	CC	and
women	NNS	woman
and	CC	and
all	DT	all
of	IN	of
those	DT	those
people	NNS	people
were	VBD	be
killed	VVN	kill
here	RB	here
you	PP	you
can	MD	can
clearly	RB	clearly
see	VV	see
that	IN/that	that
the	DT	the
houses	NNS	house
are	VBP	be
stick	NN	stick
together	RB	together
so	RB	so
when	WRB	when
they	PP	they
target	VVP	target
one	CD	one
house	NN	house
they're	NN	they're
they're	NN	they're
targeting	VVG	target
a	DT	a
whole	JJ	whole
block	NN	block
by	IN	by
this	DT	this
point	NN	point
and	CC	and
it's	NNS	it's
unfair	JJ	unfair
why	WRB	why
can't	JJ	can't
we	PP	we
live	VVP	live
normally	RB	normally
why	WRB	why
can't	JJ	can't
we	PP	we
live	VVP	live
a	DT	a
normal	JJ	normal
life	NN	life
I	PP	I
mean	VVP	mean
we're	NN	we're
children	NNS	child
and	CC	and
we're	NN	we're
people	NNS	people
we're	VVP	we're
I	PP	I
supposed	VVN	suppose
to	TO	to
go	VV	go
children	NNS	child
were	VBD	be
killed	VVN	kill
here	RB	here
26	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
here	RB	here
I'm	NN	I'm
terrified	VVN	terrify
I'm	NP	I'm
scared	VVN	scare
and	CC	and
the	DT	the
thought	NN	thought
of	IN	of
me	PP	me
being	VBG	be
killed	VVN	kill
or	CC	or
my	PP$	my
my	PP$	my
other	JJ	other
brother	NN	brother
being	VBG	be
killed	VVN	kill
just	RB	just
crossing	VVG	cross
