<video_id>A8tCw6ZSB6Q</video_id>	JJ	<video_id>A8tCw6ZSB6Q</video_id>
<video_title>Al-Shifa’s	NNS	<video_title>Al-Shifa’s
legacy	NN	legacy
destroyed:	NN	destroyed:
Dr	NN	Dr
Mads	VVZ	mad
Gilbert</video_title>	NP	Gilbert</video_title>
<thumbnail_path>data/en_AJ\Al-Shifa’s	NP	<thumbnail_path>data/en_AJ\Al-Shifa’s
legacy	NN	legacy
destroyed	VVD	destroy
Dr	NP	Dr
Mads	VVZ	mad
Gilbert.jpg</thumbnail_path>	NP	Gilbert.jpg</thumbnail_path>
<publish_date>20240401</publish_date>	NN	<publish_date>20240401</publish_date>
<doc>	NN	<doc>
so	IN	so
look	NN	look
at	IN	at
the	DT	the
before	IN	before
and	CC	and
after	IN	after
this	DT	this
is	VBZ	be
after	IN	after
the	DT	the
extent	NN	extent
of	IN	of
the	DT	the
damage	NN	damage
at	IN	at
alifa	NN	alifa
right	RB	right
now	RB	now
the	DT	the
courtyard	NN	courtyard
has	VHZ	have
been	VBN	be
bulldozed	VVN	bulldoze
buildings	NNS	building
are	VBP	be
burned	VVN	burn
in	IN	in
Ruins	NNS	ruin
this	DT	this
is	VBZ	be
what's	NNS	what's
left	VVN	leave
of	IN	of
it	PP	it
right	RB	right
now	RB	now
and	CC	and
this	DT	this
here	RB	here
is	VBZ	be
what	WP	what
it	PP	it
looked	VVD	look
like	IN	like
before	IN	before
gaza's	NN	gaza's
largest	JJS	large
medical	JJ	medical
complex	NN	complex
this	DT	this
was	VBD	be
back	RB	back
in	IN	in
October	NP	October
in	IN	in
the	DT	the
first	JJ	first
few	JJ	few
days	NNS	day
of	IN	of
the	DT	the
war	NN	war
it	PP	it
was	VBD	be
the	DT	the
strip's	NNS	strip's
most	RBS	most
advanced	JJ	advanced
hospital	NN	hospital
with	IN	with
specialized	JJ	specialized
facilities	NNS	facility
for	IN	for
Pediatrics	NN	pediatrics
Opthalmology	NN	Opthalmology
obstetrics	NN	obstetrics
Gynecology	NN	gynecology
Etc	NN	etc
let's	NNS	let's
talk	VVP	talk
about	IN	about
this	DT	this
with	IN	with
Dr	NP	Dr
mattz	NP	mattz
Gilbert	NP	Gilbert
senior	JJ	senior
consultant	NN	consultant
professor	NN	professor
of	IN	of
emergency	NN	emergency
medicine	NN	medicine
at	IN	at
the	DT	the
University	NP	University
uh	UH	uh
University	NP	University
Hospital	NP	Hospital
of	IN	of
North	NP	North
Norway	NP	Norway
you	PP	you
have	VHP	have
worked	VVN	work
at	IN	at
hospitals	NNS	hospital
in	IN	in
Gaza	NP	Gaza
you're	NN	you're
still	RB	still
in	IN	in
touch	NN	touch
with	IN	with
teams	NNS	team
