okay	JJ	okay
let	NN	let
'	POS	'
s	NNS	s
go	VVP	go
to	TO	to
Doha	NP	Doha
now	RB	now
where	WRB	where
the	DT	the
qari	NP	qari
Prime	NP	Prime
Minister	NP	Minister
and	CC	and
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
are	VBP	be
speaking	VVG	speak
let	VVN	let
'	''	'
s	NNS	s
listen	VVP	listen
in	IN	in
Anthony	NP	Anthony
blink	VVP	blink
the	DT	the
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
I	PP	I
welcome	VVP	welcome
you	PP	you
here	RB	here
in	IN	in
Doha	NP	Doha
we	PP	we
meet	VVP	meet
today	NN	today
within	IN	within
critical	JJ	critical
circumstances	NNS	circumstance
with	IN	with
the	DT	the
escalation	NN	escalation
in	IN	in
the	DT	the
occupied	JJ	occupied
Israeli	JJ	Israeli
Palestinian	JJ	Palestinian
territories	NNS	territory
and	CC	and
in	IN	in
Israel	NP	Israel
we	PP	we
had	VHD	have
conversation	NN	conversation
in	IN	in
this	DT	this
regard	NN	regard
and	CC	and
we	PP	we
discussed	VVD	discuss
the	DT	the
political	JJ	political
humanitarian	JJ	humanitarian
complications	NNS	complication
of	IN	of
this	DT	this
situation	NN	situation
we	PP	we
have	VHP	have
reiterated	VVN	reiterate
K	NP	K
situation	NN	situation
regarding	IN	regarding
hitting	VVG	hit
and	CC	and
targeting	VVG	target
the	DT	the
civilians	NNS	civilian
women	NNS	woman
and	CC	and
children	NNS	child
and	CC	and
the	DT	the
collective	JJ	collective
punishment	NN	punishment
that	WDT	that
is	VBZ	be
not	RB	not
acceptable	JJ	acceptable
under	IN	under
any	DT	any
circumstances	NNS	circumstance
and	CC	and
these	DT	these
condemnation	NN	condemnation
must	MD	must
be	VB	be
go	VV	go
must	MD	must
go	VV	go
to	TO	to
anyone	NN	anyone
who	WP	who
is	VBZ	be
involved	VVN	involve
in	IN	in
these	DT	these
matters	NNS	matter
we	PP	we
need	VVP	need
to	TO	to
work	VV	work
hard	RB	hard
in	IN	in
order	NN	order
to	TO	to
reach	VV	reach
a	DT	a
sort	NN	sort
of	IN	of
a	DT	a
c	NN	c
fire	NN	fire
in	IN	in
order	NN	order
to	TO	to
stop	VV	stop
the	DT	the
Bloodshed	NN	bloodshed
and	CC	and
to	TO	to
avoid	VV	avoid
a	DT	a
circle	NN	circle
of	IN	of
violence	NN	violence
that	IN/that	that
the	DT	the
people	NNS	people
of	IN	of
the	DT	the
region	NN	region
will	MD	will
pay	VV	pay
the	DT	the
price	NN	price
High	NP	High
the	DT	the
priorities	NNS	priority
of	IN	of
Q	NP	Q
within	IN	within
the	DT	the
Diplomatic	JJ	diplomatic
approach	NN	approach
is	VBZ	be
to	TO	to
seek	VV	seek
a	DT	a
seized	VVN	seize
fire	NN	fire
protect	VV	protect
the	DT	the
civilians	NNS	civilian
release	VVP	release
the	DT	the
captives	NNS	captive
and	CC	and
to	TO	to
work	VV	work
hard	RB	hard
in	IN	in
order	NN	order
not	RB	not
to	TO	to
spread	VV	spread
violence	NN	violence
in	IN	in
the	DT	the
region	NN	region
because	IN	because
