moving	VVG	move
on	IN	on
now	RB	now
to	TO	to
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
Israeli	NP	Israeli
forces	NNS	force
have	VHP	have
carried	VVN	carry
out	RP	out
major	JJ	major
raids	NNS	raid
across	IN	across
the	DT	the
West	NP	West
Bank	NP	Bank
killing	VVG	kill
at	IN	at
least	JJS	least
three	CD	three
Palestinians	NNS	Palestinian
dozens	NNS	dozen
of	IN	of
military	JJ	military
vehicles	NNS	vehicle
were	VBD	be
confronted	VVN	confront
by	IN	by
Palestinian	JJ	Palestinian
fighters	NNS	fighter
in	IN	in
Janine	NP	Janine
all	DT	all
five	CD	five
hospitals	NNS	hospital
in	IN	in
Janine	NP	Janine
were	VBD	be
surrounded	VVN	surround
203	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
raids	NNS	raid
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
Z	NP	Z
BVI	NP	BVI
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
romala	NN	romala
um	NNS	um
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
saying	VVG	say
tell	VV	tell
us	PP	us
about	IN	about
these	DT	these
raids	NNS	raid
and	CC	and
why	WRB	why
hospitals	NNS	hospital
were	VBD	be
being	VBG	be
surrounded	VVN	surround
well	RB	well
certainly	RB	certainly
Janine	NP	Janine
was	VBD	be
the	DT	the
major	JJ	major
flash	NN	flash
point	NN	point
in	IN	in
overnight	JJ	overnight
raids	NNS	raid
in	IN	in
the	DT	the
last	JJ	last
12	CD	@card@
to	TO	to
24	CD	@card@
hours	NNS	hour
but	CC	but
just	RB	just
before	IN	before
we	PP	we
get	VVP	get
into	IN	into
that	IN/that	that
some	DT	some
information	NN	information
we	PP	we
have	VH	have
coming	VVG	come
into	IN	into
us	PP	us
just	RB	just
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
of	IN	of
another	DT	another
shooting	VVG	shoot
incident	NN	incident
at	IN	at
a	DT	a
checkpoint	NN	checkpoint
the	DT	the
second	NN	second
in	IN	in
as	IN	as
many	JJ	many
days	NNS	day
north	RB	north
of	IN	of
Hebron	NP	Hebron
the	DT	the
details	NNS	detail
are	VBP	be
still	RB	still
coming	VVG	come
into	IN	into
us	PP	us
but	CC	but
what	WP	what
we	PP	we
understand	VVP	understand
is	VBZ	be
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
shooting	VVG	shoot
incident	NN	incident
at	IN	at
a	DT	a
checkpoint	NN	checkpoint
north	NN	north
of	IN	of
Hebron	NP	Hebron
a	DT	a
vehicle	NN	vehicle
Crossing	VVG	cross
two	CD	two
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
reportedly	RB	reportedly
killed	VVN	kill
in	IN	in
that	DT	that
incident	NN	incident
they	PP	they
were	VBD	be
shot	VVN	shoot
inside	IN	inside
their	PP$	their
vehicles	NNS	vehicle
we	PP	we
have	VHP	have
so	RB	so
far	RB	far
just	RB	just
the	DT	the
account	NN	account
from	IN	from
the	DT	the
Israeli	JJ	Israeli
uh	UH	uh
side	NN	side
of	IN	of
things	NNS	thing
from	IN	from
the	DT	the
Israeli	JJ	Israeli
military	NN	military
suggesting	VVG	suggest
that	IN/that	that
this	DT	this
was	VBD	be
an	DT	an
attempted	JJ	attempted
shooting	NN	shooting
attack	NN	attack
and	CC	and
that	IN/that	that
these	DT	these
two	CD	two
men	NNS	man
were	VBD	be
killed	VVN	kill
we	PP	we
'	POS	'
ll	NNS	ll
get	VVP	get
more	JJR	more
details	NNS	detail
on	IN	on
that	IN/that	that
as	RB	as
soon	RB	soon
as	IN	as
they	PP	they
come	VVP	come
into	IN	into
us	PP	us
here	RB	here
in	IN	in
ramala	NN	ramala
but	CC	but
again	RB	again
the	DT	the
second	JJ	second
such	JJ	such
incident	NN	incident
in	IN	in
as	IN	as
many	JJ	many
days	NNS	day
in	IN	in
terms	NNS	term
of	IN	of
what	WP	what
happened	VVD	happen
in	IN	in
Janine	NP	Janine
Janine	NP	Janine
has	VHZ	have
become	VVN	become
a	DT	a
major	JJ	major
flasho	NN	flasho
in	IN	in
and	CC	and
around	IN	around
the	DT	the
city	NN	city
in	IN	in
and	CC	and
around	IN	around
the	DT	the
refugee	NN	refugee
camp	NN	camp
there	RB	there
since	IN	since
this	DT	this
War	NP	War
began	VVD	begin
the	DT	the
the	DT	the
raids	NNS	raid
have	VHP	have
been	VBN	be
consistently	RB	consistently
targeting	VVG	target
Janine	NP	Janine
10	CD	@card@
:	:	:
30	CD	@card@
p	NN	p
.	SENT	.
m	NN	m
.	SENT	.
local	JJ	local
night	NN	night
a	DT	a
large	JJ	large
Force	NP	Force
went	VVD	go
into	IN	into
the	DT	the
area	NN	area
around	IN	around
the	DT	the
camp	NN	camp
with	IN	with
bulldozers	NNS	bulldozer
armored	JJ	armored
vehicles	NNS	vehicle
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
Israeli	JJ	Israeli
soldiers	NNS	soldier
they	PP	they
uh	UH	uh
were	VBD	be
met	VVN	meet
with	IN	with
Palestinians	NPS	Palestinians
who	WP	who
retaliated	VVD	retaliate
throwing	VVG	throw
rocks	NNS	rock
but	CC	but
also	RB	also
using	VVG	use
explosives	NNS	explosive
on	IN	on
those	DT	those
positions	NNS	position
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
an	DT	an
observable	JJ	observable
rise	NN	rise
in	IN	in
the	DT	the
amount	NN	amount
of	IN	of
explosives	NNS	explosive
and	CC	and
small	JJ	small
arms	NNS	arm
being	VBG	be
used	VVN	use
by	IN	by
resistance	NN	resistance
forces	NNS	force
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
to	TO	to
these	DT	these
raids	VVZ	raid
uh	UH	uh
a	DT	a
drone	NN	drone
strike	NN	strike
carried	VVD	carry
out	RP	out
by	IN	by
the	DT	the
Israelis	NPS	Israelis
killed	VVD	kill
at	IN	at
least	JJS	least
three	CD	three
people	NNS	people
one	CD	one
of	IN	of
them	PP	them
said	VVD	say
to	TO	to
be	VB	be
a	DT	a
leader	NN	leader
of	IN	of
the	DT	the
Janine	NP	Janine
Battalion	NN	battalion
of	IN	of
the	DT	the
military	JJ	military
wing	NN	wing
of	IN	of
Islamic	NP	Islamic
Jihad	NP	Jihad
14	NP	@card@
Palestinians	NPS	Palestinians
were	VBD	be
injured	VVN	injure
many	JJ	many
of	IN	of
them	PP	them
remain	VVP	remain
in	IN	in
critical	JJ	critical
condition	NN	condition
and	CC	and
we	PP	we
saw	VVD	see
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
um	VVD	um
reportedly	RB	reportedly
pursue	VV	pursue
the	DT	the
injured	JJ	injured
uh	UH	uh
stopping	NN	stopping
ambulances	NNS	ambulance
going	VVG	go
into	IN	into
the	DT	the
hospital	NN	hospital
reportedly	RB	reportedly
in	IN	in
an	DT	an
attempt	NN	attempt
to	TO	to
try	VV	try
to	TO	to
uh	UH	uh
arrest	VV	arrest
and	CC	and
detain	VV	detain
the	DT	the
people	NNS	people
injured	VVN	injure
in	IN	in
those	DT	those
altercations	NNS	altercation
with	IN	with
Israeli	JJ	Israeli
soldiers	NNS	soldier
we	PP	we
saw	VVD	see
paramedics	NP	paramedics
being	VBG	be
called	VVN	call
out	RP	out
with	IN	with
their	PP$	their
hands	NNS	hand
raised	VVD	raise
questioned	VVN	question
and	CC	and
interrogated	VVN	interrogate
doctors	NNS	doctor
were	VBD	be
also	RB	also
told	VVN	tell
to	TO	to
come	VV	come
out	RP	out
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
and	CC	and
uh	UH	uh
surrender	VV	surrender
themselves	PP	themselves
they	PP	they
refused	VVD	refuse
saying	VVG	say
that	IN/that	that
they	PP	they
were	VBD	be
taking	VVG	take
care	NN	care
of	IN	of
their	PP$	their
patients	NNS	patient
now	RB	now
Janine	NP	Janine
is	VBZ	be
a	DT	a
major	JJ	major
flash	NN	flash
point	VVP	point
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
at	IN	at
least	JJS	least
203	CD	@card@
people	NNS	people
killed	VVN	kill
since	IN	since
the	DT	the
O	NN	O
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
since	IN	since
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
began	VVD	begin
25	CD	@card@
%	NN	%
of	IN	of
those	DT	those
deaths	NNS	death
happened	VVN	happen
in	IN	in
Janine	NP	Janine
and	CC	and
that	DT	that
is	VBZ	be
because	IN	because
this	DT	this
area	NN	area
is	VBZ	be
a	DT	a
major	JJ	major
area	NN	area
of	IN	of
operations	NNS	operation
for	IN	for
Palestinian	JJ	Palestinian
fighting	VVG	fight
groups	NNS	group
the	DT	the
military	JJ	military
wings	NNS	wing
of	IN	of
different	JJ	different
political	JJ	political
factions	NNS	faction
are	VBP	be
concentrated	VVN	concentrate
there	RB	there
and	CC	and
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
very	RB	very
keen	JJ	keen
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
these	DT	these
areas	NNS	area
don	NN	don
'	POS	'
t	NN	t
become	VV	become
another	DT	another
major	JJ	major
flash	NN	flash
point	VVP	point
they	PP	they
'	''	'
re	IN	re
tackling	VVG	tackle
Hezbollah	NP	Hezbollah
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Lebanon	NP	Lebanon
they	PP	they
'	POS	'
ve	NN	ve
got	VVD	get
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
they	PP	they
don	VVP	don
'	''	'
t	NN	t
want	VV	want
Janine	NP	Janine
they	PP	they
don	VVP	don
'	''	'
t	NN	t
want	VVP	want
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
to	TO	to
become	VV	become
a	DT	a
major	JJ	major
area	NN	area
of	IN	of
operations	NNS	operation
continuously	RB	continuously
putting	VVG	put
pressure	NN	pressure
on	IN	on
communities	NNS	community
here	RB	here
which	WDT	which
people	NNS	people
here	RB	here
say	VVP	say
is	VBZ	be
counterintuitive	JJ	counterintuitive
that	IN/that	that
Palestinian	JJ	Palestinian
positions	NNS	position
are	VBP	be
hardening	VVG	harden
and	CC	and
the	DT	the
push	NN	push
back	RB	back
is	VBZ	be
growing	VVG	grow
but	CC	but
in	IN	in
any	DT	any
case	NN	case
that	WDT	that
figure	VVP	figure
25	CD	@card@
%	NN	%
of	IN	of
the	DT	the
deaths	NNS	death
happening	VVG	happen
in	IN	in
and	CC	and
around	IN	around
Janine	NP	Janine
really	RB	really
tells	VVZ	tell
you	PP	you
how	WRB	how
seriously	RB	seriously
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
taking	VVG	take
what	WP	what
they	PP	they
see	VVP	see
as	IN	as
the	DT	the
threat	NN	threat
emanating	VVG	emanate
from	IN	from
there	RB	there
Zay	NP	Zay
basravi	NNS	basravi
reporting	VVG	report
in	IN	in
rala	NN	rala
I	PP	I
also	RB	also
note	VVP	note
you	PP	you
were	VBD	be
telling	VVG	tell
us	PP	us
about	IN	about
Janine	NP	Janine
but	CC	but
earlier	RBR	earlier
you	PP	you
were	VBD	be
telling	VVG	tell
us	PP	us
about	IN	about
this	DT	this
incident	NN	incident
that	IN/that	that
breaking	VVG	break
news	NN	news
on	IN	on
a	DT	a
shooting	VVG	shoot
incident	NN	incident
near	IN	near
hibron	NP	hibron
so	IN	so
you	PP	you
'	POS	'
ll	NNS	ll
give	VVP	give
us	PP	us
more	JJR	more
information	NN	information
on	IN	on
that	WDT	that
I	PP	I
know	VVP	know
as	RB	as
soon	RB	soon
as	IN	as
you	PP	you
