<video_id>3LZ8Yh5Addk</video_id>	JJ	<video_id>3LZ8Yh5Addk</video_id>
<video_title>Gaza	NN	<video_title>Gaza
war:	NN	war:
Situation	NN	situation
at	IN	at
Khan	NP	Khan
Younis	NP	Younis
hospitals	NNS	hospital
‘catastrophic’</video_title>	NN	‘catastrophic’</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
war	NN	war
Situation	NN	situation
at	IN	at
Khan	NP	Khan
Younis	NP	Younis
hospitals	NNS	hospital
‘catastrophic’.jpg</thumbnail_path>	NN	‘catastrophic’.jpg</thumbnail_path>
<publish_date>20231016</publish_date>	NN	<publish_date>20231016</publish_date>
<doc>	NN	<doc>
alaz	NN	alaz
correspondent	NN	correspondent
yumna	NN	yumna
is	VBZ	be
live	JJ	live
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
in	IN	in
KH	NP	KH
Yunis	NP	Yunis
describe	VVP	describe
to	TO	to
us	PP	us
yumna	NN	yumna
what's	NNS	what's
happening	VVG	happen
where	WRB	where
you	PP	you
are	VBP	be
well	RB	well
I'm	NN	I'm
here	RB	here
in	IN	in
Kan	NP	Kan
yunes	NNS	yunes
in	IN	in
Naser	NP	Naser
hospital	NN	hospital
where	WRB	where
uh	UH	uh
basically	RB	basically
all	PDT	all
uh	UH	uh
the	DT	the
journalists	NNS	journalist
are	VBP	be
and	CC	and
we	PP	we
were	VBD	be
asked	VVN	ask
to	TO	to
evacuate	VV	evacuate
Gaza	NP	Gaza
and	CC	and
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
the	DT	the
South	NP	South
now	RB	now
the	DT	the
bombardments	NNS	bombardment
in	IN	in
the	DT	the
South	NP	South
I'm	NP	I'm
talking	VVG	talk
about	IN	about
KH	NP	KH
Unice	NP	Unice
and	CC	and
Rafa	NP	Rafa
have	VHP	have
still	RB	still
have	VHP	have
still	RB	still
been	VBN	be
ongoing	JJ	ongoing
all	RB	all
through	IN	through
the	DT	the
night	NN	night
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
D	NP	D
and	CC	and
the	DT	the
early	JJ	early
hours	NNS	hour
of	IN	of
this	DT	this
morning	NN	morning
and	CC	and
even	RB	even
until	IN	until
just	RB	just
a	DT	a
while	NN	while
ago	RB	ago
the	DT	the
bombardments	NNS	bombardment
were	VBD	be
very	RB	very
close	JJ	close
here	RB	here
to	TO	to
the	DT	the
uh	UH	uh
area	NN	area
around	RP	around
and	CC	and
surrounding	VVG	surround
this	DT	this
hospital	NN	hospital
