<video_id>iwS35-hOgfQ</video_id>	JJ	<video_id>iwS35-hOgfQ</video_id>
<video_title>Nuseirat	NN	<video_title>Nuseirat
attack	NN	attack
victims	NNS	victim
ran	VVD	run
free	JJ	free
meal	NN	meal
kitchen	NN	kitchen
for	IN	for
displaced</video_title>	JJ	displaced</video_title>
<thumbnail_path>data/en_AJ\Nuseirat	NN	<thumbnail_path>data/en_AJ\Nuseirat
attack	NN	attack
victims	NNS	victim
ran	VVD	run
free	JJ	free
meal	NN	meal
kitchen	NN	kitchen
for	IN	for
displaced.jpg</thumbnail_path>	JJ	displaced.jpg</thumbnail_path>
<publish_date>20240531</publish_date>	JJ	<publish_date>20240531</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
14	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
overnight	RB	overnight
in	IN	in
the	DT	the
latest	JJS	late
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
in	IN	in
Al	NP	Al
narat	NP	narat
and	CC	and
B	NP	B
refugee	NN	refugee
camps	NNS	camp
in	IN	in
central	JJ	central
Gaza	NP	Gaza
three	CD	three
homes	NNS	home
were	VBD	be
targeted	VVN	target
Israeli	JJ	Israeli
forces	NNS	force
have	VHP	have
also	RB	also
bombed	VVN	bomb
a	DT	a
car	NN	car
and	CC	and
Al	NP	Al
nerat	NN	nerat
killing	VVG	kill
three	CD	three
civilians	NNS	civilian
okay	JJ	okay
well	RB	well
hany	NN	hany
mmud	NN	mmud
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
d	NN	d
alala	NN	alala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
and	CC	and
honey	NN	honey
can	MD	can
you	PP	you
just	RB	just
bring	VVP	bring
us	PP	us
up	RP	up
to	TO	to
date	VV	date
with	IN	with
the	DT	the
latest	JJS	late
on	IN	on
these	DT	these
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
overnight	JJ	overnight
that	WDT	that
have	VHP	have
continued	VVN	continue
into	IN	into
this	DT	this
morning	NN	morning
yes	RB	yes
well	RB	well
the	DT	the
isra	NN	isra
military	NN	military
continue	VVP	continue
to	TO	to
carry	VV	carry
out	RP	out
air	NN	air
strikes	NNS	strike
across	IN	across
the	DT	the
Gaz	NP	Gaz
we	PP	we
look	VVP	look
at	IN	at
a	DT	a
situation	NN	situation
the	DT	the
entire	JJ	entire
Gaz	NP	Gaz
have	VHP	have
been	VBN	be
equally	RB	equally
bombed	VVN	bomb
but	CC	but
perhaps	RB	perhaps
the	DT	the
worst	JJS	bad
of	IN	of
what	WP	what
happened	VVN	happen
is	VBZ	be
overnight	JJ	overnight
attack	NN	attack
on	IN	on
a	DT	a
residential	JJ	residential
homes	NNS	home
where	WRB	where
11	CD	@card@
people	NNS	people
were	VBD	be
killed	VVN	kill
inside	IN	inside
a	DT	a
residential	JJ	residential
home	NN	home
and	CC	and
we	PP	we
were	VBD	be
told	VVN	tell
by	IN	by
the	DT	the
Civil	JJ	civil
defensive	JJ	defensive
crew	NN	crew
and	CC	and
paramedic	JJ	paramedic
that	IN/that	that
this	DT	this
is	VBZ	be
a	DT	a
displaced	VVN	displace
family	NN	family
from	IN	from
ra	JJ	ra
City	NP	City
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	DT	that
they've	NN	they've
been	VBN	be
displaced	VVN	displace
they	PP	they
were	VBD	be
they	PP	they
EV	NP	Ev
they	PP	they
were	VBD	be
pushed	VVN	push
into	IN	into
this	DT	this
and	CC	and
for	IN	for
displac	NNS	displac
been	VBN	be
several	JJ	several
times	NNS	time
before	IN	before
ending	VVG	end
up	RP	up
in	IN	in
the	DT	the
alour	NN	alour
refugee	NN	refugee
camp	NN	camp
11	CD	@card@
people	NNS	people
including	VVG	include
women	NNS	woman
and	CC	and
children	NNS	child
and	CC	and
as	IN	as
we	PP	we
showed	VVD	show
up	RP	up
here	RB	here
at	IN	at
the	DT	the
side	NN	side
this	DT	this
morning	NN	morning
at	IN	at
the	DT	the
hospital	NN	hospital
there	EX	there
were	VBD	be
remaining	VVG	remain
family	NN	family
members	NNS	member
who	WP	who
were	VBD	be
here	RB	here
and	CC	and
we	PP	we
were	VBD	be
told	VVN	tell
by	IN	by
one	CD	one
family	NN	family
member	NN	member
there	RB	there
are	VBP	be
still	RB	still
more	JJR	more
people	NNS	people
under	IN	under
the	DT	the
rubble	NN	rubble
of	IN	of
the	DT	the
bombed	VVN	bomb
homes	NNS	home
and	CC	and
not	RB	not
only	RB	only
just	RB	just
the	DT	the
the	DT	the
the	DT	the
targeted	JJ	targeted
house	NN	house
that	WDT	that
was	VBD	be
destroyed	VVN	destroy
but	CC	but
also	RB	also
its	PP$	its
vicinity	NN	vicinity
causing	VVG	cause
the	DT	the
bomb	NN	bomb
the	DT	the
falling	VVG	fall
bomb	NN	bomb
cause	VV	cause
a	DT	a
great	JJ	great
destru	NN	destru
deal	NN	deal
of	IN	of
Destruction	NN	destruction
to	TO	to
the	DT	the
surrounding	VVG	surround
home	NN	home
pushing	VVG	push
people	NNS	people
into	IN	into
further	JJR	further
in	IN	in
internal	JJ	internal
enforce	VVP	enforce
displacement	NN	displacement
on	IN	on
a	DT	a
separate	JJ	separate
attack	NN	attack
the	DT	the
the	DT	the
is	VBZ	be
really	RB	really
drone	NN	drone
attack	NN	attack
drone	NN	drone
is	VBZ	be
struck	VVN	strike
a	DT	a
car	NN	car
this	DT	this
car	NN	car
was	VBD	be
carrying	VVG	carry
three	CD	three
people	NNS	people
from	IN	from
one	CD	one
family	NN	family
and	CC	and
what	WP	what
we	PP	we
learned	VVD	learn
so	RB	so
far	RB	far
they	PP	they
were	VBD	be
on	IN	on
their	PP$	their
way	NN	way
to	TO	to
the	DT	the
kitchen	NN	kitchen
that	IN/that	that
they	PP	they
set	VVD	set
set	VVN	set
up	RP	up
in	IN	in
order	NN	order
to	TO	to
give	VV	give
free	JJ	free
meals	NNS	meal
to	TO	to
displaced	VVN	displace
families	NNS	family
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
more	RBR	more
recently	RB	recently
for	IN	for
people	NNS	people
who	WP	who
been	VBN	be
displaced	VVN	displace
from	IN	from
ra	JJ	ra
City	NP	City
they	PP	they
on	IN	on
this	DT	this
this	DT	this
is	VBZ	be
a	DT	a
private	JJ	private
business	NN	business
but	CC	but
they	PP	they
turn	VVP	turn
it	PP	it
into	IN	into
a	DT	a
free	JJ	free
meal	NN	meal
distri	NNS	distri
free	JJ	free
meal	NN	meal
distribution	NN	distribution
point	NN	point
for	IN	for
this	DT	this
Place	NN	place
families	NNS	family
and	CC	and
this	DT	this
is	VBZ	be
