I	PP	I
am	VBP	be
going	VVG	go
to	TO	to
take	VV	take
you	PP	you
now	RB	now
to	TO	to
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
to	TO	to
see	VV	see
what	WP	what
'	POS	'
s	NNS	s
happening	VVG	happen
there	RB	there
because	IN	because
the	DT	the
West	NP	West
Bank	NP	Bank
has	VHZ	have
felt	VVN	feel
obviously	RB	obviously
massive	JJ	massive
Ripple	NP	Ripple
effects	NNS	effect
from	IN	from
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
Israeli	NP	Israeli
forces	NNS	force
have	VHP	have
carried	VVN	carry
out	RP	out
another	DT	another
series	NN	series
of	IN	of
raids	NNS	raid
across	IN	across
the	DT	the
West	NP	West
Bank	NP	Bank
Army	NP	Army
units	NNS	unit
stormed	VVD	storm
residential	JJ	residential
neighborhoods	NNS	neighborhood
into	IN	into
caram	NN	caram
in	IN	in
nablas	NP	nablas
and	CC	and
Janine	NP	Janine
in	IN	in
rala	NN	rala
and	CC	and
gunfire	NN	gunfire
can	MD	can
be	VB	be
heard	VVN	hear
on	IN	on
the	DT	the
streets	NNS	street
confrontations	NNS	confrontation
are	VBP	be
ongoing	JJ	ongoing
with	IN	with
Palestinian	JJ	Palestinian
Fighters	NNS	fighter
using	VVG	use
explosive	JJ	explosive
devices	NNS	device
against	IN	against
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
nid	NP	nid
Ibrahim	NP	Ibrahim
is	VBZ	be
in	IN	in
rala	NN	rala
nid	NN	nid
look	VV	look
it	PP	it
'	POS	'
s	NN	S
good	JJ	good
to	TO	to
talk	VV	talk
to	TO	to
you	PP	you
bring	VVP	bring
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
we	PP	we
'	''	'
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hyperfocused	VVN	hyperfocused
on	IN	on
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
in	IN	in
Gaza	NP	Gaza
with	IN	with
good	JJ	good
reason	NN	reason
the	DT	the
siege	NN	siege
of	IN	of
alifa	NN	alifa
hospital	NN	hospital
is	VBZ	be
ongoing	JJ	ongoing
but	CC	but
that	IN/that	that
doesn	NP	doesn
'	POS	'
t	NN	t
mean	NN	mean
there	RB	there
'	POS	'
s	JJ	s
nothing	NN	nothing
happening	VVG	happen
in	IN	in
the	DT	the
West	JJ	West
Bank	NP	Bank
uh	UH	uh
that	IN/that	that
that	DT	that
much	JJ	much
to	TO	to
the	DT	the
contrary	NN	contrary
so	RB	so
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
Israeli	JJ	Israeli
forces	NNS	force
raiding	VVG	raid
Palestinian	JJ	Palestinian
towns	NNS	town
left	VVD	leave
right	RB	right
and	CC	and
Center	NP	Center
since	IN	since
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
day	NN	day
and	CC	and
night	NN	night
since	IN	since
then	RB	then
the	DT	the
number	NN	number
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
have	VHP	have
been	VBN	be
detained	VVN	detain
has	VHZ	have
superseded	VVN	supersede
2	CD	@card@
,	,	,
400	CD	@card@
Palestinians	NNS	Palestinian
and	CC	and
the	DT	the
stories	NNS	story
you	PP	you
hear	VVP	hear
from	IN	from
some	DT	some
of	IN	of
them	PP	them
are	VBP	be
just	RB	just
horrific	JJ	horrific
some	DT	some
are	VBP	be
even	RB	even
too	RB	too
scared	VVN	scare
to	TO	to
talk	VV	talk
to	TO	to
the	DT	the
media	NNS	medium
because	IN	because
they	PP	they
fear	VVP	fear
that	IN/that	that
Israel	NP	Israel
would	MD	would
retaliate	VV	retaliate
against	IN	against
them	PP	them
for	IN	for
saying	VVG	say
what	WP	what
'	POS	'
s	NN	S
happening	VVG	happen
you	PP	you
know	VVP	know
when	WRB	when
people	NNS	people
are	VBP	be
going	VVG	go
about	IN	about
their	PP$	their
daily	JJ	daily
lives	NNS	life
or	CC	or
moving	VVG	move
from	IN	from
one	CD	one
city	NN	city
to	TO	to
another	DT	another
of	IN	of
course	NN	course
there	RB	there
'	POS	'
s	NN	S
also	RB	also
this	DT	this
uh	UH	uh
Israel	NP	Israel
sealing	VVG	seal
the	DT	the
entrances	NNS	entrance
of	IN	of
cities	NNS	city
so	IN	so
it	PP	it
it	PP	it
'	POS	'
s	NNS	s
becoming	VVG	become
very	RB	very
difficult	JJ	difficult
but	CC	but
even	RB	even
for	IN	for
those	DT	those
who	WP	who
manag	VVP	manag
to	TO	to
move	VV	move
they	PP	they
'	POS	'
re	NN	re
faced	VVD	face
by	IN	by
soldiers	NNS	soldier
in	IN	in
Israeli	JJ	Israeli
checkpoints	NNS	checkpoint
who	WP	who
check	VVP	check
and	CC	and
go	VVP	go
through	IN	through
their	PP$	their
phones	NNS	phone
and	CC	and
see	VV	see
if	IN	if
they	PP	they
have	VHP	have
something	NN	something
that	IN/that	that
the	DT	the
soldiers	NNS	soldier
don	NN	don
'	POS	'
t	NN	t
like	IN	like
they	PP	they
beat	VVP	beat
them	PP	them
up	IN	up
they	PP	they
attack	VVP	attack
them	PP	them
and	CC	and
sometimes	RB	sometimes
they	PP	they
arrest	VV	arrest
them	PP	them
you	PP	you
know	VVP	know
some	DT	some
of	IN	of
those	DT	those
stories	NNS	story
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
asking	VVG	ask
people	NNS	people
to	TO	to
talk	VV	talk
to	TO	to
us	PP	us
about	RB	about
but	CC	but
they	PP	they
'	POS	'
re	NN	re
too	RB	too
scared	VVN	scare
to	TO	to
talk	VV	talk
imagine	VV	imagine
you	PP	you
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
a	DT	a
Crackdown	NN	crackdown
against	IN	against
Palestinians	NPS	Palestinians
uh	UH	uh
for	IN	for
posts	NNS	post
yesterday	NN	yesterday
in	IN	in
a	DT	a
village	NN	village
near	IN	near
ramala	NP	ramala
called	VVD	call
singel	NN	singel
a	DT	a
Palestinian	NN	Palestinian
gave	VVD	give
the	DT	the
soldiers	NNS	soldier
his	PP$	his
phone	NN	phone
after	IN	after
they	PP	they
stormed	VVD	storm
his	PP$	his
home	NN	home
they	PP	they
opened	VVD	open
it	PP	it
and	CC	and
they	PP	they
saw	VVD	see
a	DT	a
TV	NN	TV
report	NN	report
he	PP	he
was	VBD	be
beaten	VVN	beat
he	PP	he
was	VBD	be
detained	VVN	detain
alongside	IN	alongside
with	IN	with
his	PP$	his
son	NN	son
he	PP	he
came	VVD	come
back	RB	back
from	IN	from
the	DT	the
Israeli	JJ	Israeli
detention	NN	detention
center	NN	center
with	IN	with
his	PP$	his
son	NN	son
having	VHG	have
the	DT	the
star	NN	star
of	IN	of
Israel	NP	Israel
drone	NN	drone
on	IN	on
his	PP$	his
forehead	NN	forehead
you	PP	you
'	POS	'
re	NN	re
talking	VVG	talk
about	IN	about
a	DT	a
Crackdown	NN	crackdown
on	IN	on
freedom	NN	freedom
of	IN	of
speech	NN	speech
you	PP	you
know	VVP	know
people	NNS	people
are	VBP	be
telling	VVG	tell
us	PP	us
that	IN/that	that
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
searching	VVG	search
yes	UH	yes
they	PP	they
are	VBP	be
looking	VVG	look
everywhere	RB	everywhere
but	CC	but
they	PP	they
'	POS	'
re	NN	re
also	RB	also
looking	VVG	look
inside	IN	inside
people	NNS	people
'	POS	'
s	NN	S
minds	NNS	mind
