<video_id>2IZbbDBA4Hc</video_id>	JJ	<video_id>2IZbbDBA4Hc</video_id>
<video_title>US	NN	<video_title>US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
warned	VVN	warn
against	IN	against
countries	NNS	country
interfering	VVG	interfere
in	IN	in
Israel</video_title>	NP	Israel</video_title>
<thumbnail_path>data/en_AJ\US	NP	<thumbnail_path>data/en_AJ\US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
warned	VVN	warn
against	IN	against
countries	NNS	country
interfering	VVG	interfere
in	IN	in
Israel.jpg</thumbnail_path>	JJ	Israel.jpg</thumbnail_path>
<publish_date>20231008</publish_date>	JJ	<publish_date>20231008</publish_date>
<doc>	NN	<doc>
what	WP	what
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
has	VHZ	have
vowed	VVN	vow
to	TO	to
support	VV	support
Israel	NP	Israel
and	CC	and
has	VHZ	have
warned	VVN	warn
against	IN	against
countries	NNS	country
interfering	VVG	interfere
let	NN	let
me	PP	me
say	VVP	say
this	DT	this
is	VBZ	be
clearly	RB	clearly
as	IN	as
I	PP	I
can	MD	can
this	DT	this
is	VBZ	be
not	RB	not
a	DT	a
moment	NN	moment
for	IN	for
any	DT	any
party	NN	party
hostile	JJ	hostile
to	TO	to
Israel	NP	Israel
to	TO	to
exploit	VV	exploit
these	DT	these
attacks	NNS	attack
to	TO	to
seek	VV	seek
Advantage	NN	advantage
the	DT	the
world	NN	world
is	VBZ	be
watching	VVG	watch
I've	NP	I've
also	RB	also
been	VBN	be
in	IN	in
contact	NN	contact
with	IN	with
the	DT	the
King	NP	King
of	IN	of
Jordan	NP	Jordan
spoken	VVN	speak
with	IN	with
members	NNS	member
of	IN	of
Congress	NP	Congress
directing	VVG	direct
my	PP$	my
National	NP	National
Security	NP	Security
team	NN	team
to	TO	to
engage	VV	engage
with	IN	with
their	PP$	their
Israeli	JJ	Israeli
counterparts	NNS	counterpart
military	JJ	military
to	TO	to
Military	NP	Military
and	CC	and
to	TO	to
intelligence	NN	intelligence
di	FW	di
Diplomat	NN	diplomat
to	TO	to
Diplomat	NN	diplomat
to	TO	to
make	VV	make
sure	JJ	sure
Israel	NP	Israel
has	VHZ	have
what	WP	what
it	PP	it
needs	VVZ	need
Dosa	NP	Dosa
Jabari	NP	Jabari
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Teran	NP	Teran
capital	NN	capital
of	IN	of
Iran	NP	Iran
and	CC	and
D	NP	D
Joe	NP	Joe
Biden	NP	Biden
they're	NN	they're
warning	VVG	warn
other	JJ	other
parties	NNS	party
not	RB	not
to	TO	to
get	VV	get
involved	VVN	involve
how	WRB	how
has	VHZ	have
that	RB	that
gone	VVN	go
down	RP	down
in	IN	in
Iran	NP	Iran
and	CC	and
indeed	RB	indeed
how	WRB	how
have	VH	have
events	NNS	event
generally	RB	generally
gone	VVN	go
down	RP	down
well	RB	well
there's	RB	there's
been	VBN	be
a	DT	a
a	DT	a
sense	NN	sense
of	IN	of
victory	NN	victory
for	IN	for
Iranian	JJ	Iranian
officials	NNS	official
as	IN	as
a	DT	a
