<video_id>yTnOvQNTQJ0</video_id>	NP	<video_id>yTnOvQNTQJ0</video_id>
<video_title>Ilhan	NP	<video_title>Ilhan
Omar	NP	Omar
criticises	VVZ	criticise
the	DT	the
Biden	NP	Biden
administration	NN	administration
for	IN	for
failing	VVG	fail
to	TO	to
address	VV	address
deaths	NNS	death
of	IN	of
journalists	NNS	journalist
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Ilhan	NP	<thumbnail_path>data/en_AJ\Ilhan
Omar	NP	Omar
criticises	VVZ	criticise
the	DT	the
Biden	NP	Biden
administration	NN	administration
for	IN	for
failing	VVG	fail
to	TO	to
address	VV	address
deaths	NNS	death
of	IN	of
journalists	NNS	journalist
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240821</publish_date>	NN	<publish_date>20240821</publish_date>
<doc>	NN	<doc>
well	RB	well
a	DT	a
US	NP	US
congresswoman	NN	congresswoman
Ilan	NP	Ilan
momar	NP	momar
says	VVZ	say
Joe	NP	Joe
Biden's	NP	Biden's
Administration	NP	Administration
has	VHZ	have
failed	VVN	fail
to	TO	to
speak	VV	speak
out	RP	out
about	IN	about
Israel's	NP	Israel's
killing	VVG	kill
of	IN	of
more	JJR	more
than	IN	than
170	CD	@card@
journalists	NNS	journalist
in	IN	in
Gaza	NP	Gaza
to	TO	to
date	VV	date
alzer's	NP	alzer's
Gabriel	NP	Gabriel
elzando	NP	elzando
spoke	VVD	speak
to	TO	to
her	PP	her
on	IN	on
the	DT	the
sidelines	NNS	sideline
of	IN	of
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
folks	NNS	folk
in	IN	in
in	IN	in
the	DT	the
administration	NN	administration
talking	VVG	talk
about	IN	about
the	DT	the
importance	NN	importance
uh	UH	uh
of	IN	of
protecting	VVG	protect
uh	UH	uh
journalists	NNS	journalist
without	IN	without
uh	UH	uh
acknowledging	VVG	acknowledge
the	DT	the
the	DT	the
the	DT	the
journalists	NNS	journalist
that	WDT	that
are	VBP	be
being	VBG	be
killed	VVN	kill
in	IN	in
in	IN	in
Gaza	NP	Gaza
and	CC	and
I	PP	I
think	VVP	think
that	DT	that
level	NN	level
of	IN	of
of	IN	of
hypocrisy	NN	hypocrisy
is	VBZ	be
on	IN	on
Full	NP	Full
display	VV	display
uh	UH	uh
it	PP	it
deals	VVZ	deal
a	DT	a
a	DT	a
deadly	JJ	deadly
blow	VV	blow
uh	UH	uh
