<video_id>TsJ0XDgDdcs</video_id>	JJ	<video_id>TsJ0XDgDdcs</video_id>
<video_title>UN	NN	<video_title>UN
expert	NN	expert
says	VVZ	say
Israel	NP	Israel
using	VVG	use
hunger	NN	hunger
‘as	NNS	‘as
a	DT	a
weapon’	NN	weapon’
against	IN	against
population	NN	population
of	IN	of
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\UN	NP	<thumbnail_path>data/en_AJ\UN
expert	NN	expert
says	VVZ	say
Israel	NP	Israel
using	VVG	use
hunger	NN	hunger
‘as	NNS	‘as
a	DT	a
weapon’	NN	weapon’
against	IN	against
population	NN	population
of	IN	of
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240123</publish_date>	JJ	<publish_date>20240123</publish_date>
<doc>	NN	<doc>
Aid	NN	aid
agencies	NNS	agency
are	VBP	be
warning	VVG	warn
of	IN	of
an	DT	an
increasing	VVG	increase
risk	NN	risk
of	IN	of
famine	NN	famine
in	IN	in
Gaza	NP	Gaza
with	IN	with
more	JJR	more
than	IN	than
90%	CD	@card@
of	IN	of
the	DT	the
population	NN	population
now	RB	now
deemed	VVN	deem
to	TO	to
be	VB	be
at	IN	at
least	JJS	least
at	IN	at
a	DT	a
crisis	NN	crisis
level	NN	level
now	RB	now
that's	JJ	that's
the	DT	the
third	JJ	third
phase	NN	phase
of	IN	of
the	DT	the
ipc's	JJ	ipc's
global	JJ	global
food	NN	food
and	CC	and
security	NN	security
scale	NN	scale
with	IN	with
phase	NN	phase
five	CD	five
classified	VVN	classify
as	IN	as
famine	NN	famine
that	IN/that	that
level	NN	level
is	VBZ	be
already	RB	already
being	VBG	be
experienced	VVN	experience
by	IN	by
a	DT	a
quarter	NN	quarter
of	IN	of
the	DT	the
population	NN	population
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
the	DT	the
others	NNS	other
there	RB	there
also	RB	also
fall	VV	fall
into	IN	into
emergency	NN	emergency
or	CC	or
crisis	NN	crisis
levels	NNS	level
of	IN	of
food	NN	food
insecurity	NN	insecurity
15%	CD	@card@
of	IN	of
internally	RB	internally
displaced	VVN	displace
people	NNS	people
in	IN	in
Gaza	NP	Gaza
are	VBP	be
already	RB	already
and	CC	and
famine	NN	famine
nearly	RB	nearly
half	RB	half
are	VBP	be
estimated	VVN	estimate
to	TO	to
be	VB	be
experiencing	VVG	experience
emergency	NN	emergency
levels	NNS	level
of	IN	of
hunger	NN	hunger
huge	JJ	huge
amounts	NNS	amount
now	RB	now
in	IN	in
the	DT	the
South	NP	South
15%	CD	@card@
of	IN	of
people	NNS	people
are	VBP	be
living	VVG	live
in	IN	in
stressed	VVN	stress
levels	NNS	level
of	IN	of
food	NN	food
insecurity	NN	insecurity
that's	NNS	that's
the	DT	the
second	JJ	second
phase	NN	phase
on	IN	on
the	DT	the
scale	NN	scale
the	DT	the
rest	NN	rest
are	VBP	be
experiencing	VVG	experience
crisis	NN	crisis
emergency	NN	emergency
or	CC	or
famine	NN	famine
levels	NNS	level
of	IN	of
hunger	NN	hunger
well	NN	well
let's	NNS	let's
bring	VVP	bring
in	IN	in
Michael	NP	Michael
faky	JJ	faky
he's	NNS	he's
the	DT	the
UN	NP	UN
special	JJ	special
rapporter	NN	rapporter
on	IN	on
the	DT	the
right	NN	right
to	TO	to
food	NN	food
and	CC	and
a	DT	a
professor	NN	professor
of	IN	of
law	NN	law
at	IN	at
Oregon	NP	Oregon
