<video_id>CRSwTPvyn50</video_id>	JJ	<video_id>CRSwTPvyn50</video_id>
<video_title>At	NN	<video_title>At
least	JJS	least
20	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
strike	NN	strike
near	IN	near
hospital	NN	hospital
in	IN	in
southern	JJ	southern
city	NN	city
of	IN	of
Rafah</video_title>	NP	Rafah</video_title>
<thumbnail_path>data/en_AJ\At	NN	<thumbnail_path>data/en_AJ\At
least	JJS	least
20	CD	@card@
Palestinians	NNS	Palestinian
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
strike	NN	strike
near	IN	near
hospital	NN	hospital
in	IN	in
southern	JJ	southern
city	NN	city
of	IN	of
Rafah.jpg</thumbnail_path>	NP	Rafah.jpg</thumbnail_path>
<publish_date>20231228</publish_date>	JJ	<publish_date>20231228</publish_date>
<doc>	NN	<doc>
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
has	VHZ	have
hit	VVN	hit
a	DT	a
residential	JJ	residential
building	NN	building
in	IN	in
Rafa	NP	Rafa
it	PP	it
was	VBD	be
near	IN	near
the	DT	the
Kuwait	NP	Kuwait
Hospital	NP	Hospital
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
people	NNS	people
there	RB	there
have	VHP	have
been	VBN	be
desperately	RB	desperately
searching	VVG	search
for	IN	for
survivors	NNS	survivor
under	IN	under
the	DT	the
debris	NN	debris
and	CC	and
moving	VVG	move
the	DT	the
wounded	VVN	wound
to	TO	to
hospitals	NNS	hospital
Health	NP	Health
officials	NNS	official
say	VVP	say
at	IN	at
least	JJS	least
20	CD	@card@
people	NNS	people
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
the	DT	the
air	NN	air
strike	NN	strike
we're	NN	we're
going	VVG	go
to	TO	to
hear	VV	hear
now	RB	now
the	DT	the
aftermath	NN	aftermath
of	IN	of
what	WP	what
happened	VVD	happen
and	CC	and
the	DT	the
chaos	NN	chaos
of	IN	of
the	DT	the
situation	NN	situation
in	IN	in
the	DT	the
minutes	NNS	minute
following	VVG	follow
that	DT	that
air	NN	air
[Music]	NN	[Music]
here	RB	here
Let's	NP	Let's
cross	NN	cross
live	VVP	live
now	RB	now
to	TO	to
T	NN	T
Abu	NP	Abu
aom	NN	aom
T	NN	T
tell	VV	tell
us	PP	us
more	JJR	more
about	IN	about
what	WP	what
happened	VVD	happen
and	CC	and
what's	NNS	what's
happening	VVG	happen
around	IN	around
you	PP	you
right	RB	right
now	RB	now
yes	UH	yes
uh	UH	uh
of	IN	of
course	NN	course
we	PP	we
have	VHP	have
been	VBN	be
uh	UH	uh
witnessing	VVG	witness
uh	UH	uh
very	RB	very
dangerous	JJ	dangerous
situations	NNS	situation
during	IN	during
the	DT	the
last	JJ	last
uh	UH	uh
couple	NN	couple
of	IN	of
hours	NNS	hour
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
had	VHD	have
leveled	VVN	level
to	TO	to
the	DT	the
ground	NN	ground
a	DT	a
residential	JJ	residential
building	VVG	build
uh	UH	uh
that	WDT	that
was	VBD	be
hosting	VVG	host
evacuees	NNS	evacuee
and	CC	and
residents	NNS	resident
are	VBP	be
in	IN	in
ra	NNS	ra
very	RB	very
close	VV	close
to	TO	to
our	PP$	our
location	NN	location
right	RB	right
now	RB	now
in	IN	in
Al	NP	Al
kaiti	NP	kaiti
hospital	NN	hospital
as	IN	as
around	RB	around
more	JJR	more
than	IN	than
20	CD	@card@
Palestinians	NNS	Palestinian
being	VBG	be
killed	VVN	kill
by	IN	by
this	DT	this
air	NN	air
strike	NN	strike
with	IN	with
dozens	NNS	dozen
others	NNS	other
who	WP	who
have	VHP	have
been	VBN	be
uh	UH	uh
wounded	NN	wounded
being	VBG	be
transported	VVN	transport
uh	UH	uh
as	IN	as
we	PP	we
have	VHP	have
been	VBN	be
reporting	NN	reporting
before	IN	before
uh	UH	uh
to	TO	to
Al	NP	Al
Kuwaiti	JJ	Kuwaiti
hospital	NN	hospital
where	WRB	where
they	PP	they
have	VHP	have
been	VBN	be
receiving	VVG	receive
uh	UH	uh
treatment	NN	treatment
now	RB	now
this	DT	this
is	VBZ	be
not	RB	not
only	RB	only
the	DT	the
first	JJ	first
attack	NN	attack
from	IN	from
its	PP$	its
kind	JJ	kind
uh	UH	uh
in	IN	in
Rafa	NP	Rafa
but	CC	but
earlier	JJR	early
today	NN	today
they	PP	they
had	VHD	have
also	RB	also
targeted	VVN	target
a	DT	a
makeshift	JJ	makeshift
tent	NN	tent
where	WRB	where
also	RB	also
evacuees	NNS	evacuee
were	VBD	be
taking	VVG	take
shelter	NN	shelter
inside	IN	inside
now	RB	now
these	DT	these
kinds	NNS	kind
of	IN	of
attacks	NNS	attack
continue	VVP	continue
Raa	NP	Raa
as	IN	as
we	PP	we
can	MD	can
keep	VV	keep
hearing	VVG	hear
the	DT	the
sound	NN	sound
of	IN	of
the	DT	the
Israeli	JJ	Israeli
surveillance	NN	surveillance
of	IN	of
drones	NNS	drone
and	CC	and
fighty	NN	fighty
Jets	NNS	jet
hovering	VVG	hover
on	IN	on
the	DT	the
sky	NN	sky
of	IN	of
of	IN	of
Rafa	NP	Rafa
where	WRB	where
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
very	RB	very
terrified	VVN	terrify
during	IN	during
the	DT	the
last	JJ	last
couple	NN	couple
of	IN	of
hours	NNS	hour
as	IN	as
everyone	NN	everyone
in	IN	in
this	DT	this
region	NN	region
was	VBD	be
completely	RB	completely
frustrated	VVN	frustrate
taking	VVG	take
a	DT	a
place	NN	place
to	TO	to
find	VV	find
shelter	NN	shelter
and	CC	and
to	TO	to
take	VV	take
cover	VV	cover
from	IN	from
the	DT	the
Israeli	JJ	Israeli
buming	NN	buming
but	CC	but
the	DT	the
the	DT	the
fact	NN	fact
on	IN	on
the	DT	the
ground	NN	ground
right	NN	right
now	RB	now
is	VBZ	be
that	IN/that	that
the	DT	the
situation	NN	situation
is	VBZ	be
getting	VVG	get
much	RB	much
more	RBR	more
worse	JJR	bad
day	NN	day
by	IN	by
day	NN	day
as	IN	as
the	DT	the
Israeli	JJ	Israeli
unrelenting	JJ	unrelenting
buming	NN	buming
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
even	RB	even
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
territory	NN	territory
continues	VVZ	continue
so	RB	so
only	RB	only
partially	RB	partially
operating	VVG	operate
hospitals	NNS	hospital
there	RB	there
now	RB	now
what	WP	what
is	VBZ	be
a	DT	a
densely	RB	densely
poped	JJ	poped
area	NN	area
now	RB	now
populated	VVN	populate
where	WRB	where
people	NNS	people
were	VBD	be
told	VVN	tell
to	TO	to
flee	VV	flee
to	TO	to
yet	RB	yet
Israel	NP	Israel
is	VBZ	be
expanding	VVG	expand
its	PP$	its
offensive	NN	offensive
there	RB	there
still	RB	still
yes	RB	yes
so	RB	so
this	DT	this
is	VBZ	be
something	NN	something
completely	RB	completely
uh	UH	uh
uh	UH	uh
catastrophic	JJ	catastrophic
as	IN	as
uh	UH	uh
only	RB	only
we're	NN	we're
talking	VVG	talk
about	RB	about
few	JJ	few
remaining	VVG	remain
hospitals	NNS	hospital
that	WDT	that
are	VBP	be
still	RB	still
operating	VVG	operate
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
after	IN	after
the	DT	the
complete	JJ	complete
ruin	NN	ruin
that	WDT	that
had	VHD	have
been	VBN	be
uh	UH	uh
made	VVN	make
against	IN	against
hospitals	NNS	hospital
in	IN	in
the	DT	the
north	NN	north
and	CC	and
Central	JJ	central
areas	NNS	area
of	IN	of
Gaza	NP	Gaza
City	NP	City
now	RB	now
as	IN	as
the	DT	the
military	JJ	military
operations	NNS	operation
are	VBP	be
are	VBP	be
expanding	VVG	expand
now	RB	now
and	CC	and
been	VBN	be
focusing	VVG	focus
on	IN	on
the	DT	the
middle	JJ	middle
areas	NNS	area
in	IN	in
the	DT	the
south	NN	south
of	IN	of
the	DT	the
Gaza	NP	Gaza
stet	VVP	stet
there	EX	there
are	VBP	be
still	RB	still
very	RB	very
limited	JJ	limited
number	NN	number
of	IN	of
of	IN	of
hospitals	NNS	hospital
that's	NNS	that's
still	RB	still
working	VVG	work
and	CC	and
now	RB	now
right	RB	right
now	RB	now
Raa	NP	Raa
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
three	CD	three
main	JJ	main
Central	JJ	central
hospitals	NNS	hospital
that	WDT	that
are	VBP	be
still	RB	still
uh	UH	uh
functioning	VVG	function
as	IN	as
they	PP	they
are	VBP	be
forced	VVN	force
to	TO	to
keep	VV	keep
providing	VVG	provide
uh	UH	uh
a	DT	a
medical	JJ	medical
treatment	NN	treatment
for	IN	for
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
uh	UH	uh
inside	IN	inside
this	DT	this
region	NN	region
which	WDT	which
become	VVP	become
very	RB	very
densely	RB	densely
populated	VVN	populate
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
waves	NNS	wave
of	IN	of
evacuation	NN	evacuation
from	IN	from
the	DT	the
middle	NN	middle
goes	VVZ	go
and	CC	and
from	IN	from
kanun	NN	kanun
as	IN	as
well	RB	well
to	TO	to
Rafa	NP	Rafa
and	CC	and
this	DT	this
has	VHZ	have
completely	RB	completely
add	VV	add
much	RB	much
more	JJR	more
pressure	NN	pressure
on	IN	on
Medical	JJ	medical
Teams	NNS	team
to	TO	to
keep	VV	keep
functioning	VVG	function
as	IN	as
the	DT	the
military	JJ	military
operations	NNS	operation
of	IN	of
the	DT	the
Israeli	JJ	Israeli
forces	VVZ	force
uh	UH	uh
are	VBP	be
making	VVG	make
the	DT	the
hospitals	NNS	hospital
across	IN	across
Gaza	NP	Gaza
Strip	NP	Strip
struggle	NN	struggle
to	TO	to
keep	VV	keep
providing	VVG	provide
</doc>	NN	</doc>
