we	PP	we
are	VBP	be
now	RB	now
in	IN	in
the	DT	the
B	NP	B
Laha	NP	Laha
municipality	NN	municipality
garage	NN	garage
here	RB	here
was	VBD	be
a	DT	a
group	NN	group
of	IN	of
the	DT	the
municipality	NN	municipality
vehicles	NNS	vehicle
and	CC	and
Machinery	NP	Machinery
before	IN	before
being	VBG	be
completely	RB	completely
destroyed	VVN	destroy
in	IN	in
a	DT	a
raid	NN	raid
carried	VVD	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
war	NN	war
planes	NNS	plane
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
are	VBP	be
trying	VVG	try
to	TO	to
obstruct	VV	obstruct
the	DT	the
work	NN	work
of	IN	of
old	JJ	old
municipalities	NNS	municipality
similar	JJ	similar
rates	NNS	rate
were	VBD	be
carried	VVN	carry
out	RP	out
by	IN	by
the	DT	the
Israeli	JJ	Israeli
planes	NNS	plane
on	IN	on
the	DT	the
vehicles	NNS	vehicle
and	CC	and
Machinery	NP	Machinery
of	IN	of
jabalia	NN	jabalia
nla	NN	nla
municipality	NN	municipality
this	DT	this
has	VHZ	have
added	VVN	add
more	JJR	more
to	TO	to
the	DT	the
misery	NN	misery
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
here	RB	here
in	IN	in
a	DT	a
north	NN	north
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
there	RB	there
are	VBP	be
no	DT	no
vehicles	NNS	vehicle
or	CC	or
bulldozers	NNS	bulldozer
available	JJ	available
at	IN	at
all	DT	all
to	TO	to
help	VV	help
the	DT	the
people	NNS	people
and	CC	and
to	TO	to
remove	VV	remove
debris	NN	debris
and	CC	and
to	TO	to
open	VV	open
little	JJ	little
roads	NNS	road
to	TO	to
facilitate	VV	facilitate
the	DT	the
movement	NN	movement
of	IN	of
citizens	NNS	citizen
also	RB	also
these	DT	these
vehicles	NNS	vehicle
and	CC	and
Machinery	NP	Machinery
used	VVD	use
to	TO	to
work	VV	work
in	IN	in
the	DT	the
field	NN	field
of	IN	of
Sanitation	NN	sanitation
these	DT	these
vehicles	NNS	vehicle
were	VBD	be
burned	VVN	burn
and	CC	and
destroyed	VVN	destroy
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
in	IN	in
a	DT	a
very	RB	very
systematic	JJ	systematic
Siege	NN	siege
on	IN	on
the	DT	the
Strip	NP	Strip
starvation	NN	starvation
is	VBZ	be
increasing	VVG	increase
the	DT	the
suffering	NN	suffering
is	VBZ	be
worsening	VVG	worsen
the	DT	the
Palestinian	JJ	Palestinian
municipalities	NNS	municipality
cannot	MD	can
do	VV	do
anything	NN	anything
to	TO	to
help	VV	help
the	DT	the
citizens	NNS	citizen
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NP	jazer
