<video_id>WHCpRJJLG6M</video_id>	JJ	<video_id>WHCpRJJLG6M</video_id>
<video_title>What	NN	<video_title>What
it	PP	it
means	VVZ	mean
to	TO	to
be	VB	be
a	DT	a
Palestinian	JJ	Palestinian
reporter	NN	reporter
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\What	NN	<thumbnail_path>data/en_AJ\What
it	PP	it
means	VVZ	mean
to	TO	to
be	VB	be
a	DT	a
Palestinian	JJ	Palestinian
reporter	NN	reporter
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240428</publish_date>	NP	<publish_date>20240428</publish_date>
<doc>	NP	<doc>
Tark	NP	Tark
abum	NN	abum
joins	VVZ	join
us	PP	us
live	VV	live
from	IN	from
rafah	NN	rafah
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
and	CC	and
Tark	NP	Tark
those	DT	those
vests	NNS	vest
on	IN	on
the	DT	the
ground	NN	ground
that	IN/that	that
shahab	NN	shahab
was	VBD	be
referring	VVG	refer
to	TO	to
they	PP	they
represent	VVP	represent
people	NNS	people
like	IN	like
your	PP$	your
colleagues	NNS	colleague
your	PP$	your
family	NN	family
members	NNS	member
who	WP	who
were	VBD	be
killed	VVN	kill
and	CC	and
injured	VVN	injure
in	IN	in
Israeli	JJ	Israeli
strikes	NNS	strike
give	VVP	give
us	PP	us
a	DT	a
sense	NN	sense
of	IN	of
what	WP	what
it's	NNS	it's
like	VVP	like
to	TO	to
work	VV	work
as	IN	as
a	DT	a
Palestinian	JJ	Palestinian
journalist	NN	journalist
day	NN	day
in	IN	in
day	NN	day
out	IN	out
covering	VVG	cover
this	DT	this
[Music]	JJ	[Music]
Carnage	NN	carnage
yes	NN	yes
Sammy	NP	Sammy
that's	NNS	that's
in	IN	in
fact	NN	fact
reflects	VVZ	reflect
the	DT	the
Grim	NP	Grim
reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
what	WP	what
that	RB	that
is	VBZ	be
related	VVN	relate
to	TO	to
Palestinian	JJ	Palestinian
journalists	NNS	journalist
me	PP	me
and	CC	and
other	JJ	other
journalists	NNS	journalist
on	IN	on
the	DT	the
ground	NN	ground
have	VHP	have
been	VBN	be
reporting	VVG	report
since	IN	since
they	PP	they
went	VVD	go
of	IN	of
the	DT	the
fighting	NN	fighting
about	IN	about
all	PDT	all
the	DT	the
latest	JJS	late
genocidal	JJ	genocidal
acts	NNS	act
on	IN	on
the	DT	the
ground	NN	ground
about	IN	about
all	PDT	all
the	DT	the
latest	JJ	latest
uh	UH	uh
attacks	NNS	attack
that	WDT	that
had	VHD	have
been	VBN	be
carried	VVN	carry
out	IN	out
ac	NNS	ac
across	IN	across
multiple	JJ	multiple
areas	NNS	area
in	IN	in
the	DT	the
territory	NN	territory
Palestinian	JJ	Palestinian
journalists	NNS	journalist
have	VHP	have
been	VBN	be
reporting	VVG	report
under	IN	under
unparal	JJ	unparal
humanitarian	JJ	humanitarian
and	CC	and
security	NN	security
conditions	NNS	condition
they	PP	they
have	VHP	have
been	VBN	be
loaded	VVN	load
with	IN	with
intense	JJ	intense
humanitarian	JJ	humanitarian
and	CC	and
psychological	JJ	psychological
pressure	NN	pressure
as	IN	as
they	PP	they
are	VBP	be
forced	VVN	force
to	TO	to
secure	VV	secure
the	DT	the
family	NN	family
members	NNS	member
affort	VVP	affort
them	PP	them
with	IN	with
the	DT	the
basic	JJ	basic
necessities	NNS	necessity
and	CC	and
to	TO	to
return	VV	return
back	RB	back
to	TO	to
report	VV	report
Ahmed	NP	Ahmed
full	JJ	full
collapse	NN	collapse
of	IN	of
security	NN	security
conditions	VVZ	condition
uh	UH	uh
in	IN	in
all	DT	all
areas	NNS	area
that	IN/that	that
they	PP	they
have	VHP	have
been	VBN	be
reporting	VVG	report
uh	UH	uh
in	IN	in
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
where	WRB	where
they	PP	they
have	VHP	have
been	VBN	be
displaced	VVN	displace
multiple	JJ	multiple
times	NNS	time
they	PP	they
have	VHP	have
been	VBN	be
struggling	VVG	struggle
in	IN	in
order	NN	order
to	TO	to
get	VV	get
internet	NN	Internet
connection	NN	connection
and	CC	and
Order	NN	order
also	RB	also
to	TO	to
get	VV	get
a	DT	a
credible	JJ	credible
and	CC	and
incred	JJ	incred
credible	JJ	credible
information	NN	information
from	IN	from
eyewitnesses	NNS	eyewitness
there	RB	there
on	IN	on
the	DT	the
ground	NN	ground
and	CC	and
despite	IN	despite
the	DT	the
Deep	JJ	deep
shortage	NN	shortage
or	CC	or
a	DT	a
few	JJ	few
sometimes	RB	sometimes
they	PP	they
have	VHP	have
been	VBN	be
forced	VVN	force
to	TO	to
go	VV	go
to	TO	to
locations	NNS	location
of	IN	of
the	DT	the
targeting	VVG	target
on	IN	on
foot	NN	foot
just	RB	just
to	TO	to
hear	VV	hear
from	IN	from
locals	NNS	local
there	RB	there
in	IN	in
order	NN	order
to	TO	to
get	VV	get
an	DT	an
information	NN	information
to	TO	to
be	VB	be
told	VVN	tell
to	TO	to
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
to	TO	to
keep	VV	keep
the	DT	the
world	NN	world
informed	VVD	inform
and	CC	and
that	DT	that
is	VBZ	be
a	DT	a
part	NN	part
of	IN	of
what	WP	what
Palestinian	JJ	Palestinian
journalists	NNS	journalist
have	VHP	have
been	VBN	be
going	VVG	go
through	RP	through
since	IN	since
the	DT	the
outbreak	NN	outbreak
of	IN	of
this	DT	this
conflict	NN	conflict
with	IN	with
no	DT	no
sense	NN	sense
of	IN	of
a	DT	a
protection	NN	protection
for	IN	for
journalistic	JJ	journalistic
Crews	NP	Crews
on	IN	on
the	DT	the
ground	NN	ground
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
more	JJR	more
than	IN	than
140	CD	@card@
Palestinian	JJ	Palestinian
journalists	NNS	journalist
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
war	NN	war
Ahmed	NP	Ahmed
the	DT	the
Israeli	JJ	Israeli
military	NN	military
had	VHD	have
targeted	VVN	target
them	PP	them
alongside	IN	alongside
with	IN	with
their	PP$	their
family	NN	family
members	NNS	member
some	RB	some
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
killed	VVN	kill
as	IN	as
they	PP	they
were	VBD	be
reporting	VVG	report
on	IN	on
the	DT	the
ground	NN	ground
While	IN	while
others	NNS	other
have	VHP	have
been	VBN	be
killed	VVN	kill
even	RB	even
during	IN	during
the	DT	the
the	DT	the
work	VV	work
uh	UH	uh
covering	VVG	cover
all	PDT	all
the	DT	the
latest	JJ	latest
uh	UH	uh
genocide	NN	genocide
uh	UH	uh
and	CC	and
the	DT	the
attacks	NNS	attack
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
civilians	NNS	civilian
and	CC	and
what	WP	what
we	PP	we
have	VHP	have
been	VBN	be
really	RB	really
going	VVG	go
through	IN	through
uh	UH	uh
within	IN	within
the	DT	the
beginning	NN	beginning
of	IN	of
this	DT	this
of	IN	of
the	DT	the
swore	VVD	swear
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
that	IN/that	that
we	PP	we
have	VHP	have
been	VBN	be
experiencing	VVG	experience
High	JJ	high
psychological	JJ	psychological
trauma	NN	trauma
regarding	VVG	regard
the	DT	the
scenes	NNS	scene
of	IN	of
the	DT	the
blood	NN	blood
the	DT	the
scenes	NNS	scene
of	IN	of
victims	NNS	victim
we	PP	we
can	MD	can
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
hear	VV	hear
to	TO	to
tragic	JJ	tragic
stories	NNS	story
uh	UH	uh
from	IN	from
the	DT	the
victims	NNS	victim
and	CC	and
from	IN	from
their	PP$	their
families	NNS	family
about	RB	about
how	WRB	how
they	PP	they
have	VHP	have
been	VBN	be
targeted	VVN	target
without	IN	without
any	DT	any
prior	JJ	prior
warning	NN	warning
and	CC	and
how	WRB	how
much	JJ	much
loss	NN	loss
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
enduring	VVG	endure
and	CC	and
that	IN/that	that
all	PDT	all
all	DT	all
of	IN	of
that	WDT	that
happens	VVZ	happen
in	IN	in
the	DT	the
shadow	NN	shadow
while	IN	while
Palestinian	JJ	Palestinian
journalists	NNS	journalist
just	RB	just
trying	VVG	try
to	TO	to
cast	VV	cast
that	IN/that	that
aside	RB	aside
and	CC	and
to	TO	to
return	VV	return
back	RB	back
to	TO	to
a	DT	a
report	NN	report
in	IN	in
the	DT	the
front	NN	front
of	IN	of
the	DT	the
camera	NN	camera
for	IN	for
only	RB	only
one	CD	one
purpose	NN	purpose
is	VBZ	be
to	TO	to
deliver	VV	deliver
the	DT	the
truth	NN	truth
and	CC	and
th	NN	th
I	PP	I
uh	UH	uh
referred	VVD	refer
earlier	RBR	earlier
to	TO	to
people	NNS	people
writing	VVG	write
messages	NNS	message
on	IN	on
their	PP$	their
tents	NNS	tent
about	IN	about
the	DT	the
student	NN	student
protests	NNS	protest
in	IN	in
the	DT	the
US	NP	US
how	WRB	how
widely	RB	widely
are	VBP	be
those	DT	those
sentiments	NNS	sentiment
resonating	VVG	resonate
in	IN	in
Gaza	NP	Gaza
well	VV	well
uh	UH	uh
as	RB	as
as	IN	as
International	NP	International
American	NP	American
and	CC	and
also	RB	also
International	NP	International
students	NNS	student
are	VBP	be
protesting	VVG	protest
in	IN	in
open	JJ	open
encampments	NNS	encampment
in	IN	in
multiple	JJ	multiple
universities	NNS	university
across	IN	across
the	DT	the
globe	NN	globe
in	IN	in
America	NP	America
and	CC	and
Britain	NP	Britain
and	CC	and
in	IN	in
different	JJ	different
uh	UH	uh
parts	NNS	part
of	IN	of
the	DT	the
world	NN	world
Palestinians	NPS	Palestinians
here	RB	here
are	VBP	be
really	RB	really
following	VVG	follow
closely	RB	closely
what	WP	what
is	VBZ	be
happening	VVG	happen
in	IN	in
these	DT	these
universities	NNS	university
as	IN	as
they	PP	they
can	MD	can
feel	VV	feel
the	DT	the
level	NN	level
of	IN	of
Leverage	NN	leverage
these	DT	these
uh	UH	uh
students	NNS	student
uh	UH	uh
actions	NNS	action
have	VHP	have
really	RB	really
PR	NP	PR
uh	UH	uh
to	TO	to
the	DT	the
governments	NNS	government
and	CC	and
also	RB	also
to	TO	to
to	TO	to
the	DT	the
decision	NN	decision
makers	NNS	maker
and	CC	and
the	DT	the
community	NN	community
as	IN	as
Palestinians	NPS	Palestinians
are	VBP	be
really	RB	really
appreciating	VVG	appreciate
such	PDT	such
his	PP$	his
steps	NNS	step
that	WDT	that
call	VVP	call
for	IN	for
an	DT	an
