<video_id>9NpQeNEjkLk</video_id>	JJ	<video_id>9NpQeNEjkLk</video_id>
<video_title>WHO	NN	<video_title>WHO
chief	NN	chief
makes	VVZ	make
‘urgent’	JJ	‘urgent’
appeal	NN	appeal
as	IN	as
Israeli	JJ	Israeli
forces	NNS	force
storm	NN	storm
Gaza’s	NP	Gaza’s
al-Awda	NP	al-Awda
Hospital</video_title>	NP	Hospital</video_title>
<thumbnail_path>data/en_AJ\WHO	NP	<thumbnail_path>data/en_AJ\WHO
chief	NN	chief
makes	VVZ	make
‘urgent’	JJ	‘urgent’
appeal	NN	appeal
as	IN	as
Israeli	JJ	Israeli
forces	NNS	force
storm	NN	storm
Gaza’s	NP	Gaza’s
al-Awda	NP	al-Awda
Hospital.jpg</thumbnail_path>	NP	Hospital.jpg</thumbnail_path>
<publish_date>20240523</publish_date>	NN	<publish_date>20240523</publish_date>
<doc>	NN	<doc>
the	DT	the
World	NP	World
Health	NP	Health
Organization	NP	Organization
has	VHZ	have
made	VVN	make
an	DT	an
urgent	JJ	urgent
appeal	NN	appeal
to	TO	to
Israeli	JJ	Israeli
forces	NNS	force
over	IN	over
the	DT	the
storming	VVG	storm
of	IN	of
the	DT	the
Ala	NP	Ala
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
The	NP	The
Who	WP	who
Chief	NP	Chief
says	VVZ	say
140	CD	@card@
medical	JJ	medical
staff	NN	staff
patients	NNS	patient
and	CC	and
their	PP$	their
civilian	JJ	civilian
companions	NNS	companion
were	VBD	be
inside	RB	inside
that	DT	that
hospital	NN	hospital
when	WRB	when
it	PP	it
was	VBD	be
raided	VVN	raid
by	IN	by
Israeli	JJ	Israeli
Soldiers	NNS	soldier
the	DT	the
hospital	NN	hospital
is	VBZ	be
located	VVN	locate
in	IN	in
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
Tedros	NP	Tedros
gabrius	NP	gabrius
is	VBZ	be
calling	VVG	call
for	IN	for
the	DT	the
protection	NN	protection
of	IN	of
patients	NNS	patient
and	CC	and
health	NN	health
workers	NNS	worker
inside	IN	inside
the	DT	the
hospital	NN	hospital
and	CC	and
safe	JJ	safe
passage	NN	passage
for	IN	for
their	PP$	their
evacuation	NN	evacuation
Al	NP	Al
jazer	NN	jazer
spoke	VVD	speak
with	IN	with
one	CD	one
of	IN	of
the	DT	the
doctors	NNS	doctor
as	IN	as
he	PP	he
made	VVD	make
the	DT	the
journey	NN	journey
away	RB	away
from	IN	from
the	DT	the
hospital	NN	hospital
we	PP	we
were	VBD	be
at	IN	at
the	DT	the
hospital	NN	hospital
as	IN	as
usual	JJ	usual
we	PP	we
never	RB	never
left	VVD	leave
at	IN	at
all	DT	all
we	PP	we
never	RB	never
even	RB	even
thought	VVN	think
of	IN	of
quitting	VVG	quit
on	IN	on
our	PP$	our
patients	NNS	patient
and	CC	and
the	DT	the
injured	JJ	injured
people	NNS	people
4	CD	@card@
days	NNS	day
ago	RB	ago
we	PP	we
were	VBD	be
taken	VVN	take
by	IN	by
surprise	NN	surprise
when	WRB	when
the	DT	the
Israeli	JJ	Israeli
military	NN	military
besieged	VVD	besiege
the	DT	the
hospital	NN	hospital
they	PP	they
would	MD	would
not	RB	not
allow	VV	allow
anyone	NN	anyone
inside	IN	inside
we	PP	we
stayed	VVD	stay
to	TO	to
care	VV	care
for	IN	for
the	DT	the
lives	NNS	life
of	IN	of
our	PP$	our
patient	NN	patient
we	PP	we
had	VHD	have
14	CD	@card@
patients	NNS	patient
who	WP	who
we	PP	we
continued	VVD	continue
to	TO	to
give	VV	give
Medical	NP	Medical
Care	NP	Care
to	TO	to
then	RB	then
today	NN	today
at	IN	at
3:00	CD	@card@
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
forced	VVD	force
nearly	RB	nearly
all	RB	all
of	IN	of
us	PP	us
from	IN	from
the	DT	the
hospital	NN	hospital
the	DT	the
patients	NNS	patient
remained	VVD	remain
inside	RB	inside
with	IN	with
four	CD	four
medical	JJ	medical
staff	NN	staff
and	CC	and
two	CD	two
paramedics	NN	paramedics
to	TO	to
care	VV	care
for	IN	for
them	PP	them
all	RB	all
of	IN	of
us	PP	us
have	VHP	have
been	VBN	be
ordered	VVN	order
to	TO	to
leave	VV	leave
the	DT	the
hospital	NN	hospital
and	CC	and
keep	VV	keep
walking	VVG	walk
towards	IN	towards
West	NP	West
Gaza	NP	Gaza
we	PP	we
are	VBP	be
walking	VVG	walk
till	IN	till
we	PP	we
reach	VVP	reach
a	DT	a
safe	JJ	safe
area	NN	area
and	CC	and
to	TO	to
find	VV	find
shelter	NN	shelter
we	PP	we
want	VVP	want
to	TO	to
reach	VV	reach
a	DT	a
safe	JJ	safe
place	NN	place
and	CC	and
to	TO	to
shelter	VV	shelter
the	DT	the
medical	JJ	medical
staff	NN	staff
who	WP	who
remained	VVD	remain
at	IN	at
Al	NP	Al
ala	NN	ala
hospital	NN	hospital
since	IN	since
October	NP	October
7th	JJ	7th
until	IN	until
now	RB	now
they	PP	they
never	RB	never
left	VVD	leave
and	CC	and
now	RB	now
their	PP$	their
homes	NNS	home
are	VBP	be
destroyed	VVN	destroy
and	CC	and
they	PP	they
have	VHP	have
nowhere	RB	nowhere
to	TO	to
go	VV	go
we	PP	we
have	VHP	have
sent	VVN	send
several	JJ	several
appeals	NNS	appeal
to	TO	to
the	DT	the
wh	NN	wh
to	TO	to
the	DT	the
Red	NP	Red
Cross	NP	Cross
and	CC	and
to	TO	to
our	PP$	our
partners	NNS	partner
with	IN	with
Doctors	NNS	doctor
Without	IN	without
Borders	NP	Borders
to	TO	to
intervene	VV	intervene
to	TO	to
protect	VV	protect
the	DT	the
patients	NNS	patient
they	PP	they
all	RB	all
promised	VVD	promise
to	TO	to
intervene	VV	intervene
and	CC	and
to	TO	to
talk	VV	talk
to	TO	to
the	DT	the
occupation	NN	occupation
forces	VVZ	force
to	TO	to
prevent	VV	prevent
targeting	VVG	target
the	DT	the
hospital	NN	hospital
the	DT	the
patients	NNS	patient
and	CC	and
not	RB	not
to	TO	to
Target	NP	Target
the	DT	the
medical	JJ	medical
staff	NN	staff
but	CC	but
I	PP	I
haven't	VVD	haven't
seen	VVN	see
anything	NN	anything
done	VVN	do
from	IN	from
here	RB	here
from	IN	from
this	DT	this
street	NN	street
I	PP	I
appeal	VVP	appeal
to	TO	to
all	DT	all
International	NP	International
organizations	NNS	organization
and	CC	and
all	DT	all
medical	JJ	medical
related	JJ	related
officials	NNS	official
especially	RB	especially
the	DT	the
wh	NN	wh
calling	VVG	call
upon	IN	upon
them	PP	them
to	TO	to
intervene	VV	intervene
to	TO	to
protect	VV	protect
what	WP	what
remains	VVZ	remain
of	IN	of
the	DT	the
hospital	NN	hospital
the	DT	the
patients	NNS	patient
in	IN	in
the	DT	the
hospital	NN	hospital
and	CC	and
the	DT	the
medical	JJ	medical
staff	NN	staff
who	WP	who
refus	NN	refus
to	TO	to
leave	VV	leave
and	CC	and
continue	VV	continue
to	TO	to
care	VV	care
for	IN	for
those	DT	those
patients	NNS	patient
we'll	NN	we'll
bring	VVP	bring
in	IN	in
who's	NNS	who's
joining	VVG	join
us	PP	us
from	IN	from
in	IN	in
central	JJ	central
Gaza	NP	Gaza
to	TO	to
tell	VV	tell
us	PP	us
what	WP	what
exactly	RB	exactly
is	VBZ	be
happening	VVG	happen
at	IN	at
hospital	NN	hospital
t	NN	t
as	RB	as
well	RB	well
as	IN	as
the	DT	the
state	NN	state
of	IN	of
other	JJ	other
hospitals	NNS	hospital
across	IN	across
the	DT	the
strip	NN	strip
at	IN	at
this	DT	this
[Music]	JJ	[Music]
moment	NN	moment
well	RB	well
during	IN	during
basically	RB	basically
hospitals	NNS	hospital
in	IN	in
the	DT	the
medical	JJ	medical
sector	NN	sector
are	VBP	be
completely	RB	completely
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
basic	JJ	basic
tenants	NNS	tenant
of	IN	of
netanyahu's	NNS	netanyahu's
military	JJ	military
plan	NN	plan
that	IN/that	that
aiming	VVG	aim
to	TO	to
completely	RB	completely
uh	UH	uh
kill	VV	kill
and	CC	and
destroy	VV	destroy
the	DT	the
medical	JJ	medical
sector	NN	sector
and	CC	and
to	TO	to
make	VV	make
it	PP	it
completely	RB	completely
out	RB	out
of	IN	of
service	NN	service
um	NNS	um
the	DT	the
ongoing	JJ	ongoing
on	IN	on
precedented	JJ	precedented
Military	JJ	military
offensive	NN	offensive
on	IN	on
the	DT	the
territory	NN	territory
as	IN	as
we've	NNS	we've
been	VBN	be
hearing	VVG	hear
from	IN	from
medics	NNS	medic
in	IN	in
the	DT	the
north	NN	north
of	IN	of
this	DT	this
strip	NN	strip
in	IN	in
particular	JJ	particular
in	IN	in
Al	NP	Al
AA	NN	aa
hospital	NN	hospital
they	PP	they
have	VHP	have
been	VBN	be
forced	VVN	force
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
to	TO	to
flee	VV	flee
from	IN	from
the	DT	the
hospital	NN	hospital
and	CC	and
to	TO	to
no	RB	no
longer	RBR	longer
remain	VV	remain
providing	VVG	provide
medical	JJ	medical
services	NNS	service
for	IN	for
injured	JJ	injured
people	NNS	people
as	IN	as
a	DT	a
part	NN	part
of	IN	of
the	DT	the
ongoing	JJ	ongoing
military	JJ	military
campaign	NN	campaign
on	IN	on
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
now	RB	now
Al	NP	Al
ala	NN	ala
hospital	NN	hospital
is	VBZ	be
so	RB	so
close	JJ	close
from	IN	from
the	DT	the
camp	NN	camp
but	CC	but
it's	NNS	it's
responsible	JJ	responsible
for	IN	for
providing	VVG	provide
medical	JJ	medical
treatment	NN	treatment
for	IN	for
wounded	JJ	wounded
resulted	VVN	result
from	IN	from
the	DT	the
ongoing	JJ	ongoing
uh	UH	uh
brutalization	NN	brutalization
of	IN	of
civilians	NNS	civilian
and	CC	and
ongoing	JJ	ongoing
attacks	NNS	attack
on	IN	on
that	IN/that	that
very	RB	very
densely	RB	densely
populated	VVN	populate
area	NN	area
dozens	NNS	dozen
of	IN	of
medics	NNS	medic
in	IN	in
fact	NN	fact
have	VHP	have
been	VBN	be
uh	UH	uh
fled	VVD	flee
fleeing	VVG	flee
the	DT	the
hospital	NN	hospital
but	CC	but
there	EX	there
are	VBP	be
still	RB	still
a	DT	a
number	NN	number
of	IN	of
doctors	NNS	doctor
and	CC	and
medical	JJ	medical
workers	NNS	worker
inside	IN	inside
the	DT	the
hospital	NN	hospital
refused	VVD	refuse
to	TO	to
flee	VV	flee
until	IN	until
the	DT	the
occupation	NN	occupation
forces	NNS	force
bring	VVP	bring
them	PP	them
ambulances	NNS	ambulance
in	IN	in
order	NN	order
to	TO	to
flee	VV	flee
the	DT	the
wounded	JJ	wounded
people	NNS	people
who	WP	who
are	VBP	be
unable	JJ	unable
to	TO	to
walk	VV	walk
on	IN	on
foot	NN	foot
as	IN	as
other	JJ	other
medic	NN	medic
and	CC	and
wed	VVN	wed
people	NNS	people
managed	VVN	manage
to	TO	to
do	VV	do
previously	RB	previously
and	CC	and
they	PP	they
are	VBP	be
in	IN	in
a	DT	a
very	RB	very
desperate	JJ	desperate
need	NN	need
for	IN	for
a	DT	a
medical	JJ	medical
assistance	NN	assistance
and	CC	and
an	DT	an
ambulance	NN	ambulance
that	WDT	that
can	MD	can
help	VV	help
them	PP	them
to	TO	to
get	VV	get
from	IN	from
the	DT	the
place	NN	place
that	IN/that	that
they	PP	they
right	RB	right
now	RB	now
turn	VV	turn
to	TO	to
be	VB	be
a	DT	a
military	JJ	military
base	NN	base
for	IN	for
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
and	CC	and
similarly	RB	similarly
is	VBZ	be
Kamal	NP	Kamal
Udan	NP	Udan
Hospital	NP	Hospital
which	WDT	which
is	VBZ	be
only	RB	only
far	RB	far
away	RB	away
from	IN	from
that	DT	that
Hospital's	NP	Hospital's
one	CD	one
kilometer	NN	kilometer
it	PP	it
means	VVZ	mean
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
full	JJ	full
medical	JJ	medical
Siege	NN	siege
being	VBG	be
imposed	VVN	impose
on	IN	on
those	DT	those
hospitals	NNS	hospital
and	CC	and
the	DT	the
north	NN	north
of	IN	of
the	DT	the
strip	NN	strip
as	IN	as
there	EX	there
are	VBP	be
dozens	NNS	dozen
of	IN	of
injuries	NNS	injury
and	CC	and
even	JJ	even
victims	NNS	victim
are	VBP	be
still	RB	still
lined	VVN	line
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
the	DT	the
streets	NNS	street
of	IN	of
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
without	IN	without
getting	VVG	get
any	DT	any
kind	NN	kind
of	IN	of
rescue	NN	rescue
operations	NNS	operation
either	CC	either
by	IN	by
The	DT	the
Rescuers	NNS	rescuer
and	CC	and
emergency	NN	emergency
workers	NNS	worker
or	CC	or
by	IN	by
the	DT	the
medics	NNS	medic
who	WP	who
are	VBP	be
grappling	VVG	grapple
to	TO	to
reach	VV	reach
to	TO	to
that	DT	that
locations	NNS	location
due	JJ	due
to	TO	to
the	DT	the
Israeli	JJ	Israeli
ongoing	JJ	ongoing
bombardment	NN	bombardment
and	CC	and
the	DT	the
existence	NN	existence
of	IN	of
the	DT	the
military	JJ	military
troops	NNS	troop
there	RB	there
yeah	RB	yeah
t	NN	t
it	PP	it
so	CC	so
uh	UH	uh
bring	VV	bring
us	PP	us
up	RP	up
to	TO	to
speed	VV	speed
with	IN	with
what's	NN	what's
happening	VVG	happen
uh	UH	uh
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
uh	UH	uh
the	DT	the
attacks	NNS	attack
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
as	RB	as
well	RB	well
as	IN	as
the	DT	the
fighting	VVG	fight
that's	NNS	that's
on	IN	on
the	DT	the
ground	NN	ground
well	RB	well
it	PP	it
is	VBZ	be
quite	RB	quite
hard	JJ	hard
to	TO	to
say	VV	say
that	IN/that	that
one	CD	one
area	NN	area
is	VBZ	be
not	RB	not
coming	VVG	come
under	IN	under
the	DT	the
Israeli	NP	Israeli
fires	VVZ	fire
the	DT	the
entire	JJ	entire
strip	NN	strip
has	VHZ	have
been	VBN	be
completely	RB	completely
subjected	VVN	subject
to	TO	to
the	DT	the
Israeli	JJ	Israeli
aerial	NN	aerial
and	CC	and
land	NN	land
bombardment	NN	bombardment
and	CC	and
in	IN	in
particular	NN	particular
we	PP	we
see	VVP	see
that	IN/that	that
there	EX	there
is	VBZ	be
a	DT	a
gradual	JJ	gradual
expansion	NN	expansion
of	IN	of
the	DT	the
fighting	NN	fighting
now	RB	now
to	TO	to
reach	VV	reach
to	TO	to
the	DT	the
central	JJ	central
areas	NNS	area
of	IN	of
Rafa	NP	Rafa
this	DT	this
is	VBZ	be
what	WP	what
the	DT	the
defense	NN	defense
minister	NN	minister
U	NP	U
Al	NP	Al
Galant	NP	Galant
has	VHZ	have
been	VBN	be
stating	VVG	state
before	IN	before
that	WDT	that
they	PP	they
are	VBP	be
so	RB	so
determined	VVN	determine
to	TO	to
expand	VV	expand
the	DT	the
military	JJ	military
operations	NNS	operation
and	CC	and
confrontations	NNS	confrontation
now	RB	now
in	IN	in
Raa	NP	Raa
according	VVG	accord
to	TO	to
eyewitnesses	NNS	eyewitness
are	VBP	be
taking	VVG	take
place	NN	place
in	IN	in
yna	NN	yna
refugee	NN	refugee
camp	NN	camp
which	WDT	which
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
central	JJ	central
neighborhoods	NNS	neighborhood
of	IN	of
Rafa	NP	Rafa
District	NP	District
but	CC	but
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
we	PP	we
have	VHP	have
been	VBN	be
hearing	VVG	hear
from	IN	from
locals	NNS	local
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
military	JJ	military
qu	NN	qu
copter	NN	copter
drones	NNS	drone
have	VHP	have
set	VVN	set
fire	NN	fire
to	TO	to
fishermen	NNS	fisherman
pots	NNS	pot
on	IN	on
the	DT	the
coastal	JJ	coastal
uh	UH	uh
shore	VV	shore
of	IN	of
rafah	NN	rafah
District	NN	district
that	WDT	that
is	VBZ	be
very	RB	very
adjacent	JJ	adjacent
to	TO	to
borders	NNS	border
with	IN	with
Egypt	NP	Egypt
and	CC	and
this	DT	this
is	VBZ	be
a	DT	a
part	NN	part
of	IN	of
the	DT	the
ongoing	JJ	ongoing
systematic	JJ	systematic
military	JJ	military
campaign	NN	campaign
in	IN	in
the	DT	the
city	NN	city
as	IN	as
more	JJR	more
residential	JJ	residential
buildings	NNS	building
were	VBD	be
targeted	VVN	target
were	VBD	be
at	IN	at
least	JJS	least
six	CD	six
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
reported	VVN	report
killed	VVN	kill
in	IN	in
the	DT	the
far	RB	far
south	JJ	south
city	NN	city
of	IN	of
Rafa	NP	Rafa
but	CC	but
similarly	RB	similarly
in	IN	in
