<video_id>6vu-L5UMykQ</video_id>	JJ	<video_id>6vu-L5UMykQ</video_id>
<video_title>High	JJ	<video_title>High
casualties	NNS	casualty
feared	VVN	fear
after	IN	after
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
internet	NN	Internet
access	NN	access
point	NN	point
in	IN	in
Gaza	NP	Gaza
City</video_title>	NP	City</video_title>
<thumbnail_path>data/en_AJ\High	JJ	<thumbnail_path>data/en_AJ\High
casualties	NNS	casualty
feared	VVN	fear
after	IN	after
Israeli	JJ	Israeli
strike	NN	strike
on	IN	on
internet	NN	Internet
access	NN	access
point	NN	point
in	IN	in
Gaza	NP	Gaza
City.jpg</thumbnail_path>	NP	City.jpg</thumbnail_path>
<publish_date>20240515</publish_date>	NN	<publish_date>20240515</publish_date>
<doc>	NN	<doc>
well	RB	well
we	PP	we
start	VVP	start
with	IN	with
breaking	VVG	break
news	NN	news
out	RP	out
of	IN	of
Gaza	NP	Gaza
City	NP	City
where	WRB	where
at	IN	at
least	JJS	least
four	CD	four
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
by	IN	by
an	DT	an
Israeli	JJ	Israeli
air	NN	air
[Applause]	NN	[Applause]
strike	NN	strike
at	IN	at
least	JJS	least
20	CD	@card@
others	NNS	other
are	VBP	be
injured	VVN	injure
a	DT	a
number	NN	number
of	IN	of
them	PP	them
in	IN	in
critical	JJ	critical
condition	NN	condition
the	DT	the
Israeli	JJ	Israeli
military	NN	military
targeted	VVD	target
a	DT	a
heavily	RB	heavily
populated	JJ	populated
area	NN	area
where	WRB	where
Palestinians	NPS	Palestinians
were	VBD	be
gathering	VVG	gather
to	TO	to
use	VV	use
an	DT	an
internet	NN	Internet
access	NN	access
point	NN	point
casualties	NNS	casualty
are	VBP	be
expected	VVN	expect
to	TO	to
rise	VV	rise
well	RB	well
Han	NP	Han
Mahmud	NP	Mahmud
is	VBZ	be
in	IN	in
D	NP	D
outside	IN	outside
Al	NP	Al
AA	NN	aa
Hospital	NP	Hospital
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
there	RB	there
take	VV	take
us	PP	us
through	IN	through
first	JJ	first
of	IN	of
all	PDT	all
the	DT	the
aftermath	NN	aftermath
of	IN	of
this	DT	this
latest	JJS	late
series	NN	series
of	IN	of
air	NN	air
strikes	NNS	strike
well	RB	well
Sammy	NP	Sammy
the	DT	the
the	DT	the
past	JJ	past
hour	NN	hour
has	VHZ	have
been	VBN	be
fall	NN	fall
of	IN	of
much	RB	much
evolving	VVG	evolve
events	NNS	event
in	IN	in
the	DT	the
Northern	NP	Northern
Area	NP	Area
not	RB	not
only	RB	only
we're	NN	we're
looking	VVG	look
at	IN	at
an	DT	an
incident	NN	incident
where	WRB	where
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
on	IN	on
alal	JJ	alal
street	NN	street
trying	VVG	try
to	TO	to
connect	VV	connect
to	TO	to
the	DT	the
internet	NN	Internet
very	RB	very
close	JJ	close
to	TO	to
an	DT	an
access	NN	access
point	VV	point
uh	UH	uh
were	VBD	be
targeted	VVN	target
by	IN	by
a	DT	a
missile	NN	missile
fired	VVN	fire
by	IN	by
a	DT	a
drone	VV	drone
uh	UH	uh
three	CD	three
people	NNS	people
so	RB	so
far	RB	far
transferred	VVN	transfer
to	TO	to
a	DT	a
uh	UH	uh
Al	NP	Al
Baptist	NP	Baptist
Hospital	NP	Hospital
pronounced	VVD	pronounce
it	PP	it
right	RB	right
away	RB	away
there	RB	there
five	CD	five
more	JJR	more
with	IN	with
the	DT	the
critical	JJ	critical
injuries	NNS	injury
are	VBP	be
in	IN	in
the	DT	the
hospital	NN	hospital
there's	RB	there's
a	DT	a
rest	NN	rest
given	VVN	give
the	DT	the
insufficient	JJ	insufficient
medical	JJ	medical
staff	NN	staff
the	DT	the
incapa	NN	incapa
inability	NN	inability
of	IN	of
the	DT	the
hospital	NN	hospital
to	TO	to
intervene	VV	intervene
and	CC	and
provide	VV	provide
proper	JJ	proper
medical	JJ	medical
uh	UH	uh
is	VBZ	be
support	NN	support
for	IN	for
them	PP	them
there's	RB	there's
a	DT	a
risk	NN	risk
that	IN/that	that
they	PP	they
going	VVG	go
to	TO	to
lose	VV	lose
their	PP$	their
life	NN	life
but	CC	but
what's	NNS	what's
really	RB	really
more	RBR	more
shocking	JJ	shocking
right	NN	right
now	RB	now
is	VBZ	be
the	DT	the
deliberate	JJ	deliberate
attacks	NNS	attack
in	IN	in
a	DT	a
group	NN	group
of	IN	of
journalists	NNS	journalist
in	IN	in
jabalia	NN	jabalia
these	DT	these
are	VBP	be
the	DT	the
journalists	NNS	journalist
who	WP	who
are	VBP	be
have	VHP	have
been	VBN	be
covering	VVG	cover
and	CC	and
documenting	VVG	document
the	DT	the
uh	UH	uh
for	IN	for
the	DT	the
past	JJ	past
few	JJ	few
weeks	NNS	week
what's	NNS	what's
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
more	RBR	more
recently	RB	recently
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	VV	camp
we	PP	we
we	PP	we
are	VBP	be
informed	VVN	inform
by	IN	by
a	DT	a
civil	JJ	civil
defense	NN	defense
that	IN/that	that
the	DT	the
there	RB	there
was	VBD	be
a	DT	a
deliberate	JJ	deliberate
attack	NN	attack
by	IN	by
the	DT	the
artillery	NN	artillery
Shilling	NP	Shilling
and	CC	and
by	IN	by
the	DT	the
by	IN	by
drones	NNS	drone
missiles	NNS	missile
fired	VVN	fire
by	IN	by
drones	NNS	drone
and	CC	and
a	DT	a
group	NN	group
of	IN	of
journalists	NNS	journalist
as	RB	as
well	RB	well
as	IN	as
an	DT	an
ambulance	NN	ambulance
vehicle	NN	vehicle
was	VBD	be
in	IN	in
the	DT	the
area	NN	area
was	VBD	be
also	RB	also
targeted	VVN	target
the	DT	the
reports	NNS	report
talk	NN	talk
about	IN	about
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
civilian	JJ	civilian
casualties	NNS	casualty
including	VVG	include
the	DT	the
journalist	NN	journalist
as	RB	as
well	RB	well
as	IN	as
the	DT	the
ambulance	NN	ambulance
driver	NN	driver
and	CC	and
his	PP$	his
assistant	NN	assistant
and	CC	and
a	DT	a
nurse	NN	nurse
inside	IN	inside
the	DT	the
vehicle	NN	vehicle
the	DT	the
events	NNS	event
are	VBP	be
evolving	VVG	evolve
into	IN	into
much	JJ	much
dramatic	JJ	dramatic
scene	NN	scene
right	RB	right
now	RB	now
where	WRB	where
there's	RB	there's
more	JJR	more
of	IN	of
an	DT	an
indiscriminate	JJ	indiscriminate
attack	NN	attack
going	VVG	go
on	IN	on
at	IN	at
the	DT	the
S	NP	S
at	IN	at
the	DT	the
side	NN	side
of	IN	of
evacuation	NN	evacuation
centers	VVZ	center
these	DT	these
are	VBP	be
a	DT	a
group	NN	group
of	IN	of
schools	NNS	school
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	VV	camp
uh	UH	uh
where	WRB	where
hundreds	NNS	hundred
of	IN	of
families	NNS	family
have	VHP	have
been	VBN	be
Sheltering	VVG	shelter
inside	IN	inside
uh	UH	uh
these	DT	these
uh	UH	uh
schools	VVZ	school
these	DT	these
are	VBP	be
evacuation	NN	evacuation
centers	NNS	center
operated	VVN	operate
and	CC	and
managed	VVN	manage
by	IN	by
Honor	NP	Honor
the	DT	the
United	NP	United
Nations	NPS	Nations
for	IN	for
Palestinians	NPS	Palestinians
refugees	NNS	refugee
and	CC	and
more	JJR	more
people	NNS	people
are	VBP	be
trapped	VVN	trap
inside	IN	inside
these	DT	these
centers	NNS	center
unable	JJ	unable
to	TO	to
leave	VV	leave
those	DT	those
who	WP	who
managed	VVD	manage
to	TO	to
leave	VV	leave
they	PP	they
actually	RB	actually
managed	VVD	manage
to	TO	to
get	VV	get
away	RP	away
from	IN	from
the	DT	the
area	NN	area
under	IN	under
heavy	JJ	heavy
fires	NNS	fire
by	IN	by
machine	NN	machine
guns	NNS	gun
and	CC	and
by	IN	by
attack	NN	attack
drones	NNS	drone
that	WDT	that
kept	VVD	keep
chasing	VVG	chase
them	PP	them
out	RP	out
of	IN	of
out	RB	out
of	IN	of
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
it's	NNS	it's
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
the	DT	the
the	DT	the
most	JJS	most
densely	RB	densely
refugee	NN	refugee
camp	NN	camp
across	IN	across
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
we're	NN	we're
talking	VVG	talk
about	IN	about
a	DT	a
two	CD	two
square	JJ	square
kilom	NN	kilom
where	WRB	where
at	IN	at
least	JJS	least
120,000	CD	@card@
people	NNS	people
live	JJ	live
inside	IN	inside
this	DT	this
refugee	NN	refugee
camp	NN	camp
the	DT	the
vast	JJ	vast
majority	NN	majority
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
displaced	VVN	displace
in	IN	in
this	DT	this
war	NN	war
and	CC	and
have	VHP	have
been	VBN	be
in	IN	in
and	CC	and
out	IN	out
of	IN	of
the	DT	the
refug	NN	refug
camp	NN	camp
depending	VVG	depend
on	IN	on
the	DT	the
military	JJ	military
operations	NNS	operation
the	DT	the
area	NN	area
but	CC	but
this	DT	this
time	NN	time
the	DT	the
Israeli	JJ	Israeli
military	NN	military
seem	VVP	seem
to	TO	to
be	VB	be
adamant	JJ	adamant
to	TO	to
push	VV	push
deeper	JJR	deep
into	IN	into
the	DT	the
center	NN	center
of	IN	of
the	DT	the
refugee	NN	refugee
camp	NN	camp
pushing	VVG	push
more	JJR	more
people	NNS	people
into	IN	into
enforce	VV	enforce
displacement	NN	displacement
as	RB	as
well	RB	well
as	IN	as
causing	VVG	cause
this	DT	this
talking	VVG	talk
level	NN	level
of	IN	of
Destruction	NN	destruction
as	IN	as
we	PP	we
were	VBD	be
told	VVN	tell
by	IN	by
civil	JJ	civil
defense	NN	defense
crew	NN	crew
on	IN	on
the	DT	the
