<video_id>eF3T3SLvzyo</video_id>	JJ	<video_id>eF3T3SLvzyo</video_id>
<video_title>‘Right	NN	<video_title>‘Right
now	RB	now
people	NNS	people
are	VBP	be
being	VBG	be
attacked	VVN	attack
inside	IN	inside
Nasser	NP	Nasser
Hospital’:	NP	Hospital’:
AJE	NP	AJE
correspondence</video_title>	NN	correspondence</video_title>
<thumbnail_path>data/en_AJ\‘Right	NN	<thumbnail_path>data/en_AJ\‘Right
now	RB	now
people	NNS	people
are	VBP	be
being	VBG	be
attacked	VVN	attack
inside	IN	inside
Nasser	NP	Nasser
Hospital’	NP	Hospital’
AJE	NP	AJE
correspondence.jpg</thumbnail_path>	JJ	correspondence.jpg</thumbnail_path>
<publish_date>20240215</publish_date>	NN	<publish_date>20240215</publish_date>
<doc>	NN	<doc>
we	PP	we
start	VVP	start
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
besieged	VVN	besiege
the	DT	the
largest	JJS	large
medical	JJ	medical
facility	NN	facility
in	IN	in
Khan	NP	Khan
Yunis	NP	Yunis
these	DT	these
are	VBP	be
scenes	NNS	scene
from	IN	from
NASA	NP	NASA
hospital	NN	hospital
overnight	RB	overnight
just	RB	just
moments	NNS	moment
after	IN	after
it	PP	it
was	VBD	be
shelled	VVN	shell
Israeli	JJ	Israeli
forces	NNS	force
stormed	VVD	storm
the	DT	the
complex	JJ	complex
detaining	VVG	detain
doctors	NNS	doctor
and	CC	and
patients	NNS	patient
in	IN	in
central	JJ	central
Gaza	NP	Gaza
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
flattened	VVD	flatten
the	DT	the
residential	JJ	residential
building	NN	building
in	IN	in
the	DT	the
noat	NN	noat
refugee	NN	refugee
camp	NN	camp
killing	VVG	kill
at	IN	at
least	JJS	least
14	CD	@card@
people	NNS	people
children	NNS	child
are	VBP	be
among	IN	among
the	DT	the
dead	JJ	dead
at	IN	at
least	JJS	least
28,5	CD	@card@
76	CD	@card@
Palestinians	NPS	Palestinians
have	VHP	have
been	VBN	be
killed	VVN	kill
since	IN	since
October	NP	October
the	DT	the
7th	JJ	7th
Hal	NP	Hal
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
now	RB	now
live	VVP	live
from	IN	from
Rafa	NP	Rafa
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
let's	NNS	let's
start	VVP	start
with	IN	with
the	DT	the
latest	JJS	late
on	IN	on
a	DT	a
NASA	NP	NASA
hospital	NN	hospital
we	PP	we
understand	VVP	understand
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
shelling	VVG	shell
it's	NNS	it's
been	VBN	be
stormed	VVN	storm
what's	NNS	what's
happened	VVD	happen
to	TO	to
the	DT	the
patients	NNS	patient
the	DT	the
staff	NN	staff
and	CC	and
the	DT	the
people	NNS	people
taking	VVG	take
Refuge	NP	Refuge
there	RB	there
yes	RB	yes
Sammy	NP	Sammy
and	CC	and
just	RB	just
within	IN	within
the	DT	the
past	JJ	past
45	CD	@card@
minutes	NNS	minute
right	RB	right
just	RB	just
right	RB	right
after	IN	after
I	PP	I
finished	VVD	finish
my	PP$	my
earlier	RBR	earlier
report	VV	report
uh	UH	uh
a	DT	a
car	NN	car
uh	UH	uh
drove	VVD	drive
all	PDT	all
the	DT	the
way	NN	way
