<video_id>cjmD7we5edw</video_id>	JJ	<video_id>cjmD7we5edw</video_id>
<video_title>Israeli	NN	<video_title>Israeli
air	NN	air
strikes	NNS	strike
target	VVP	target
Jabalia	NP	Jabalia
refugee	NN	refugee
camp	NN	camp
for	IN	for
a	DT	a
third	JJ	third
time</video_title>	NN	time</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
air	NN	air
strikes	NNS	strike
target	VVP	target
Jabalia	NP	Jabalia
refugee	NN	refugee
camp	NN	camp
for	IN	for
a	DT	a
third	JJ	third
time.jpg</thumbnail_path>	NN	time.jpg</thumbnail_path>
<publish_date>20231102</publish_date>	NN	<publish_date>20231102</publish_date>
<doc>	NN	<doc>
well	RB	well
alerz	NP	alerz
hany	NP	hany
Mahmud	NP	Mahmud
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
KH	NP	KH
Unis	NNS	uni
inside	IN	inside
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
so	IN	so
hany	NN	hany
we're	NN	we're
hearing	NN	hearing
of	IN	of
more	JJR	more
strikes	NNS	strike
ongoing	JJ	ongoing
on	IN	on
the	DT	the
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
there	RB	there
today	NN	today
yeah	RB	yeah
well	RB	well
that's	JJ	that's
right	NN	right
Lura	NP	Lura
So	RB	so
within	IN	within
the	DT	the
past	JJ	past
few	JJ	few
hours	NNS	hour
another	DT	another
strike	NN	strike
on	IN	on
Gaza	NP	Gaza
largest	JJS	large
and	CC	and
biggest	JJS	big
and	CC	and
most	RBS	most
densely	RB	densely
populated	VVN	populate
refugee	NN	refugee
camp	NN	camp
a	DT	a
residential	JJ	residential
home	NN	home
was	VBD	be
targeted	VVN	target
and	CC	and
three	CD	three
people	NNS	people
were	VBD	be
reported	VVN	report
killed	VVN	kill
right	RB	right
away	RB	away
and	CC	and
more	JJR	more
than	IN	than
tens	NNS	ten
of	IN	of
injuries	NNS	injury
seriously	RB	seriously
injured	VVD	injure
uh	UH	uh
Palestinians	NNS	Palestinian
of	IN	of
residents	NNS	resident
of	IN	of
that	DT	that
area	NN	area
but	CC	but
stories	NNS	story
horror	NN	horror
stories	VVZ	story
uh	UH	uh
keep	VV	keep
coming	VVG	come
from	IN	from
uh	UH	uh
the	DT	the
refugee	NN	refugee
from	IN	from
jabali	JJ	jabali
refugee	NN	refugee
camp	NN	camp
as	IN	as
a	DT	a
direct	JJ	direct
results	NNS	result
of	IN	of
the	DT	the
two	CD	two
massive	JJ	massive
attacks	VVZ	attack
uh	UH	uh
on	RB	on
the	DT	the
refugee	NN	refugee
of	IN	of
yesterday	NN	yesterday
and	CC	and
the	DT	the
day	NN	day
before	IN	before
uh	UH	uh
yesterday	NN	yesterday
with	IN	with
more	JJR	more
uh	UH	uh
people	NNS	people
are	VBP	be
still	RB	still
under	IN	under
the	DT	the
rubble	NN	rubble
and	CC	and
the	DT	the
lack	NN	lack
of	IN	of
equipment	NN	equipment
and	CC	and
Machinery	NP	Machinery
to	TO	to
pull	VV	pull
these	DT	these
people	NNS	people
out	IN	out
uh	UH	uh
there	EX	there
is	VBZ	be
a	DT	a
fear	NN	fear
that	IN/that	that
the	DT	the
number	NN	number
of	IN	of
people	NNS	people
who	WP	who
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
these	DT	these
two	CD	two
strikes	NNS	strike
is	VBZ	be
going	VVG	go
to	TO	to
uh	UH	uh
increase	NN	increase
and	CC	and
we	PP	we
know	VVP	know
the	DT	the
Indonesian	JJ	Indonesian
Hospital	NN	hospital
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
is	VBZ	be
the	DT	the
only	RB	only
remaining	VVG	remain
function	NN	function
hospital	NN	hospital
that	WDT	that
received	VVD	receive
a	DT	a
tsunami	NN	tsunami
of	IN	of
casualties	NNS	casualty
as	IN	as
a	DT	a
result	NN	result
of	IN	of
these	DT	these
uh	UH	uh
two	CD	two
attacks	NNS	attack
forcing	VVG	force
the	DT	the
hospitals	NNS	hospital
to	TO	to
operate	VV	operate
in	IN	in
under	IN	under
extremely	RB	extremely
unusual	JJ	unusual
uh	UH	uh
conditions	NNS	condition
the	DT	the
air	NN	air
strikes	NNS	strike
continue	VVP	continue
to	TO	to
pound	VV	pound
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
everywhere	RB	everywhere
but	CC	but
mainly	RB	mainly
concentrated	VVN	concentrate
right	RB	right
now	RB	now
in	IN	in
center	NN	center
of	IN	of
Gaza	NP	Gaza
City	NP	City
ner	JJ	ner
Road	NP	Road
ner	NN	ner
neighborhood	NN	neighborhood
it's	NNS	it's
a	DT	a
road	NN	road
that	IN/that	that
connecting	VVG	connect
the	DT	the
northern	JJ	northern
part	NN	part
the	DT	the
edge	NN	edge
of	IN	of
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
of	IN	of
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
Gaza	NP	Gaza
City	NP	City
and	CC	and
also	RB	also
from	IN	from
the	DT	the
East	NP	East
aatini	NP	aatini
Road	NP	Road
the	DT	the
30th	JJ	30th
uh	UH	uh
Road	NP	Road
connecting	VVG	connect
a	DT	a
densely	RB	densely
populated	VVN	populate
neighborhood	NN	neighborhood
the	DT	the
zun	JJ	zun
neighborhood	NN	neighborhood
to	TO	to
the	DT	the
center	NN	center
of	IN	of
Gaza	NP	Gaza
and	CC	and
it's	NP	it's
also	RB	also
it's	NNS	it's
important	JJ	important
to	TO	to
mention	VV	mention
that	IN/that	that
a	DT	a
zun	NN	zun
neighborhood	NN	neighborhood
has	VHZ	have
been	VBN	be
uh	UH	uh
the	DT	the
a	DT	a
major	JJ	major
Target	NP	Target
uh	UH	uh
for	IN	for
Israeli	JJ	Israeli
air	NN	air
strikes	VVZ	strike
uh	UH	uh
people	NNS	people
are	VBP	be
still	RB	still
trapped	VVN	trap
and	CC	and
caught	VVN	catch
in	IN	in
this	DT	this
war	NN	war
zone	NN	zone
they	PP	they
could	MD	could
