<video_id>oKdlgl7CVpw</video_id>	JJ	<video_id>oKdlgl7CVpw</video_id>
<video_title>Politics	NNS	<video_title>Politics
without	IN	without
respect	NN	respect
for	IN	for
international	JJ	international
law	NN	law
risks	NNS	risk
to	TO	to
be	VB	be
criminal	JJ	criminal
|	SYM	|
Centre	NP	Centre
Stage</video_title>	NP	Stage</video_title>
<thumbnail_path>data/en_AJ\Politics	NNS	<thumbnail_path>data/en_AJ\Politics
without	IN	without
respect	NN	respect
for	IN	for
international	JJ	international
law	NN	law
risks	NNS	risk
to	TO	to
be	VB	be
criminal	JJ	criminal
Centre	NP	Centre
Stage.jpg</thumbnail_path>	NP	Stage.jpg</thumbnail_path>
<publish_date>20240215</publish_date>	NN	<publish_date>20240215</publish_date>
<doc>	NN	<doc>
I	PP	I
keep	VVP	keep
on	IN	on
saying	VVG	say
it's	NNS	it's
true	JJ	true
that	DT	that
international	JJ	international
law	NN	law
without	IN	without
politics	NNS	politics
is	VBZ	be
ineffective	JJ	ineffective
but	CC	but
politics	NNS	politics
without	IN	without
respect	NN	respect
of	IN	of
international	JJ	international
law	NN	law
risk	NN	risk
to	TO	to
be	VB	be
criminal	JJ	criminal
and	CC	and
this	DT	this
is	VBZ	be
the	DT	the
reality	NN	reality
we	PP	we
face	VVP	face
today	NN	today
our	PP$	our
guest	JJ	guest
today	NN	today
on	IN	on
Center	NP	Center
Stage	NP	Stage
is	VBZ	be
Franchesca	NP	Franchesca
Alban	NP	Alban
the	DT	the
United	NP	United
Nations	NPS	Nations
special	JJ	special
reporter	NN	reporter
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territories	NNS	territory
she's	NNS	she's
an	DT	an
international	JJ	international
lawyer	NN	lawyer
with	IN	with
a	DT	a
focus	NN	focus
on	IN	on
human	JJ	human
rights	NNS	right
migration	NN	migration
and	CC	and
the	DT	the
displacement	NN	displacement
of	IN	of
refugees	NNS	refugee
Alban	NP	Alban
has	VHZ	have
been	VBN	be
vocal	JJ	vocal
and	CC	and
critical	JJ	critical
of	IN	of
Israel	NP	Israel
and	CC	and
its	PP$	its
Partners	NPS	Partners
her	PP$	her
assessments	NNS	assessment
are	VBP	be
blunt	JJ	blunt
and	CC	and
when	WRB	when
describing	VVG	describe
Israel's	NP	Israel's
actions	NNS	action
in	IN	in
war	NN	war
she	PP	she
does	VVZ	do
not	RB	not
hold	VV	hold
back	JJ	back
franccesca	NN	franccesca
Alan	NP	Alan
special	JJ	special
reporter	NN	reporter
to	TO	to
the	DT	the
UN	NP	UN
on	IN	on
the	DT	the
situation	NN	situation
of	IN	of
human	JJ	human
rights	NNS	right
in	IN	in
the	DT	the
occupied	JJ	occupied
Palestinian	JJ	Palestinian
territories	NNS	territory
welcome	VVP	welcome
to	TO	to
center	VV	center
stage	NN	stage
thank	VV	thank
you	PP	you
from	IN	from
a	DT	a
human	JJ	human
rights	NNS	right
perspective	NN	perspective
and	CC	and
from	IN	from
your	PP$	your
position	NN	position
how	WRB	how
is	VBZ	be
this	DT	this
war	NN	war
in	IN	in
Gaza	NP	Gaza
any	DT	any
different	JJ	different
from	IN	from
the	DT	the
previous	JJ	previous
Wars	NNS	war
it	PP	it
is	VBZ	be
different	JJ	different
in	IN	in
the	DT	the
sense	NN	sense
that	IN/that	that
it	PP	it
looks	VVZ	look
uh	UH	uh
more	JJR	more
severe	JJ	severe
more	RBR	more
cruel	JJ	cruel
this	DT	this
is	VBZ	be
the	DT	the
sixth	JJ	sixth
war	NN	war
that	IN/that	that
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
experien	NP	experien
since	IN	since
2008	CD	@card@
and	CC	and
uh	UH	uh
it	PP	it
has	VHZ	have
been	VBN	be
different	JJ	different
since	IN	since
the	DT	the
very	JJ	very
beginning	NN	beginning
because	IN	because
it's	NNS	it's
different	JJ	different
the	DT	the
context	NN	context
because	IN	because
it	PP	it
it	PP	it
was	VBD	be
triggered	VVN	trigger
by	IN	by
an	DT	an
attack	NN	attack
and	CC	and
an	DT	an
attack	NN	attack
that	WDT	that
inflicted	VVD	inflict
serious	JJ	serious
pain	VV	pain
uh	UH	uh
upon	IN	upon
Israel	NP	Israel
and	CC	and
Israelis	NPS	Israelis
I	PP	I
mean	VVP	mean
it	PP	it
has	VHZ	have
affected	VVN	affect
thousands	NNS	thousand
directly	RB	directly
or	CC	or
indirectly	RB	indirectly
but	CC	but
the	DT	the
reaction	NN	reaction
Israel's	NN	Israel's
reaction	NN	reaction
is	VBZ	be
absolutely	RB	absolutely
unprecedented	JJ	unprecedented
in	IN	in
the	DT	the
sense	NN	sense
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
that	IN/that	that
Israel	NP	Israel
invokes	VVZ	invoke
the	DT	the
right	NN	right
of	IN	of
self-defense	NN	self-defense
but	CC	but
it's	NNS	it's
like	VVP	like
if	IN	if
this	DT	this
time	NN	time
it	PP	it
had	VHD	have
um	RB	um
lost	VVN	lose
all	DT	all
s	NN	S
all	DT	all
sense	NN	sense
of	IN	of
limits	NNS	limit
all	DT	all
sense	NN	sense
of	IN	of
restraint	NN	restraint
and	CC	and
so	RB	so
the	DT	the
pr	NP	pr
basic	JJ	basic
principles	NNS	principle
of	IN	of
humanitarian	JJ	humanitarian
law	NN	law
like	IN	like
the	DT	the
principle	NN	principle
of	IN	of
Distinction	NN	distinction
proportionality	NN	proportionality
precaution	NN	precaution
in	IN	in
military	JJ	military
action	NN	action
they've	NN	they've
all	DT	all
been	VBN	be
forfeited	VVN	forfeit
ever	RB	ever
since	IN	since
I	PP	I
started	VVD	start
reporting	VVG	report
on	IN	on
the	DT	the
wars	NNS	war
on	IN	on
Gaza	NP	Gaza
uh	UH	uh
we	PP	we
always	RB	always
say	VVP	say
this	DT	this
is	VBZ	be
a	DT	a
disproportionate	JJ	disproportionate
uh	UH	uh
retaliation	NN	retaliation
from	IN	from
Israel	NP	Israel
to	TO	to
whatever	WDT	whatever
attack	NN	attack
it	PP	it
is	VBZ	be
uh	UH	uh
coming	VVG	come
from	IN	from
uh	UH	uh
from	IN	from
Gaza	NP	Gaza
proportionality	NN	proportionality
is	VBZ	be
something	NN	something
that	WDT	that
usually	RB	usually
is	VBZ	be
mentioned	VVN	mention
in	IN	in
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
in	IN	in
any	DT	any
war	NN	war
and	CC	and
uh	UH	uh
in	IN	in
this	DT	this
case	NN	case
how	WRB	how
would	MD	would
it	PP	it
be	VB	be
proportional	JJ	proportional
no	RB	no
but	CC	but
it's	NNS	it's
not	RB	not
it's	JJ	it's
not	RB	not
first	JJ	first
of	IN	of
all	DT	all
uh	UH	uh
we	PP	we
shouldn't	VVD	shouldn't
forget	VV	forget
Gaza	NP	Gaza
was	VBD	be
already	RB	already
under	IN	under
an	DT	an
unlawful	JJ	unlawful
blockade	NN	blockade
which	WDT	which
is	VBZ	be
a	DT	a
collective	JJ	collective
punishment	NN	punishment
so	RB	so
in	IN	in
in	IN	in
a	DT	a
in	IN	in
a	DT	a
way	NN	way
um	NN	um
I	NP	I
I've	NP	I've
challenged	VVD	challenge
since	IN	since
the	DT	the
very	RB	very
beginning	VVG	begin
the	DT	the
logic	NN	logic
that	IN/that	that
it	PP	it
was	VBD	be
uh	UH	uh
an	DT	an
unprovoked	JJ	unprovoked
attack	NN	attack
which	WDT	which
doesn't	VVD	doesn't
mean	VV	mean
that	IN/that	that
what	WP	what
Hamas	NN	Hamas
and	CC	and
other	JJ	other
military	JJ	military
groups	NNS	group
Palestinian	JJ	Palestinian
armed	JJ	armed
groups	NNS	group
did	VVD	do
uh	UH	uh
uh	UH	uh
was	VBD	be
was	VBD	be
all	RB	all
lawful	JJ	lawful
it	PP	it
was	VBD	be
not	RB	not
because	IN	because
it	PP	it
killed	VVD	kill
the	DT	the
moment	NN	moment
you	PP	you
kill	VVP	kill
or	CC	or
Target	NP	Target
civilians	NNS	civilian
then	RB	then
you	PP	you
you	PP	you
violate	VVP	violate
international	JJ	international
law	NN	law
but	CC	but
um	RB	um
there	EX	there
was	VBD	be
no	DT	no
justification	NN	justification
to	TO	to
unleash	VV	unleash
a	DT	a
war	NN	war
against	IN	against
the	DT	the
entire	JJ	entire
population	NN	population
and	CC	and
also	RB	also
the	DT	the
logic	NN	logic
the	DT	the
vocabulary	NN	vocabulary
the	DT	the
language	NN	language
that	WDT	that
has	VHZ	have
been	VBN	be
used	VVN	use
has	VHZ	have
escalated	VVN	escalate
the	DT	the
dehumanization	NN	dehumanization
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
sense	NN	sense
the	DT	the
concept	NN	concept
of	IN	of
Palestinians	NPS	Palestinians
as	IN	as
human	JJ	human
Shields	NP	Shields
is	VBZ	be
not	RB	not
new	JJ	new
but	CC	but
it's	NNS	it's
it's	NNS	it's
been	VBN	be
used	VVN	use
on	IN	on
steroids	NNS	steroid
as	IN	as
of	IN	of
the	DT	the
7th	JJ	7th
of	IN	of
October	NP	October
so	IN	so
all	DT	all
Palestinians	NPS	Palestinians
are	VBP	be
respon	NN	respon
in	IN	in
Gaza	NP	Gaza
are	VBP	be
responsible	JJ	responsible
uh	UH	uh
the	DT	the
language	NN	language
that	WDT	that
has	VHZ	have
been	VBN	be
used	VVN	use
uh	UH	uh
has	VHZ	have
been	VBN	be
extremely	RB	extremely
offensive	JJ	offensive
and	CC	and
derogatory	JJ	derogatory
and	CC	and
it	PP	it
has	VHZ	have
resulted	VVN	result
in	IN	in
a	DT	a
military	NN	military
in	IN	in
a	DT	a
series	NN	series
of	IN	of
military	JJ	military
operations	NNS	operation
that	WDT	that
are	VBP	be
totally	RB	totally
disproportionate	JJ	disproportionate
I	PP	I
mean	VVP	mean
Gaza	NP	Gaza
after	IN	after
four	CD	four
months	NNS	month
is	VBZ	be
destroyed	VVN	destroy
when	WRB	when
you	PP	you
took	VVD	take
your	PP$	your
role	NN	role
in	IN	in
2022	CD	@card@
uh	UH	uh
you	PP	you
immediately	RB	immediately
lifted	VVD	lift
the	DT	the
the	NP	the
bar	NN	bar
High	NP	High
in	IN	in
your	PP$	your
first	JJ	first
report	NN	report
as	IN	as
special	JJ	special
reporter	NN	reporter
when	WRB	when
you	PP	you
recommended	VVD	recommend
that	IN/that	that
UN	NP	UN
member	NN	member
states	NNS	state
should	MD	should
develop	VV	develop
and	CC	and
I	PP	I
quote	VVP	quote
a	DT	a
plan	NN	plan
to	TO	to
end	VV	end
the	DT	the
Israeli	JJ	Israeli
settler	NN	settler
Colonial	NP	Colonial
occupation	NN	occupation
and	CC	and
upper	JJ	upper
tide	NN	tide
regime	NN	regime
I	PP	I
guess	VVP	guess
you	PP	you
didn't	VVD	didn't
make	VV	make
a	DT	a
lot	NN	lot
of	IN	of
friends	NNS	friend
with	IN	with
that	DT	that
report	VV	report
uh	UH	uh
I'm	NP	I'm
not	RB	not
sure	RB	sure
because	IN	because
in	IN	in
fact	NN	fact
it's	NNS	it's
a	DT	a
report	NN	report
that	WDT	that
uh	UH	uh
attracted	VVD	attract
a	DT	a
lot	NN	lot
of	IN	of
attention	NN	attention
what	WP	what
I	PP	I
did	VVD	do
was	VBD	be
to	TO	to
bring	VV	bring
the	DT	the
discussion	NN	discussion
back	RB	back
on	IN	on
the	DT	the
critical	JJ	critical
right	NN	right
that	WDT	that
cannot	MD	can
be	VB	be
realized	VVN	realize
until	IN	until
Israel	NP	Israel
maintain	VVP	maintain
a	DT	a
system	NN	system
of	IN	of
Oppression	NN	oppression
through	IN	through
apartheid	NN	apartheid
or	CC	or
an	DT	an
illegal	JJ	illegal
occupation	NN	occupation
which	WDT	which
is	VBZ	be
the	DT	the
right	NN	right
to	TO	to
self-determination	NN	self-determination
the	DT	the
right	NN	right
to	TO	to
be	VB	be
free	JJ	free
as	RB	as
to	TO	to
exist	VV	exist
as	IN	as
a	DT	a
people	NNS	people
but	CC	but
I	PP	I
think	VVP	think
that	IN/that	that
it	PP	it
it	PP	it
was	VBD	be
important	JJ	important
to	TO	to
to	IN	to
to	TO	to
to	TO	to
rock	VV	rock
the	DT	the
boat	NN	boat
and	CC	and
to	TO	to
also	RB	also
remind	VV	remind
member	NN	member
states	NNS	state
who	WP	who
have	VHP	have
used	VVN	use
the	DT	the
issue	NN	issue
of	IN	of
the	DT	the
two	CD	two
State	NP	State
solution	NN	solution
discourse	NN	discourse
as	IN	as
an	DT	an
empty	JJ	empty
Mantra	NN	mantra
hey	UH	hey
guys	NNS	guy
there	EX	there
is	VBZ	be
some	DT	some
content	NN	content
here	RB	here
and	CC	and
you	PP	you
cannot	MD	can
miss	VV	miss
it	PP	it
why	WRB	why
do	VVP	do
they	PP	they
keep	VV	keep
missing	VVG	miss
it	PP	it
I	PP	I
think	VVP	think
there	EX	there
is	VBZ	be
a	DT	a
and	CC	and
now	RB	now
it's	NNS	it's
exposed	VVN	expose
I'm	NP	I'm
not	RB	not
saying	VVG	say
anything	NN	anything
that	WDT	that
is	VBZ	be
really	RB	really
um	VVG	um
uh	UH	uh
unknown	JJ	unknown
there's	NNS	there's
a	DT	a
lot	NN	lot
of	IN	of
hypocrisy	NN	hypocrisy
in	IN	in
International	NP	International
Community	NP	Community
this	DT	this
what's	NNS	what's
going	VVG	go
on	IN	on
now	RB	now
it's	NNS	it's
the	DT	the
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
epitome	NN	epitome
of	IN	of
double	JJ	double
standards	NNS	standard
it's	JJ	it's
UNC	NP	UNC
questionable	JJ	questionable
the	DT	the
silence	NN	silence
I	PP	I
would	MD	would
say	VV	say
Western	JJ	Western
countries	NNS	country
but	CC	but
not	RB	not
only	RB	only
Arab	JJ	Arab
countries	NNS	country
are	VBP	be
not	RB	not
necessarily	RB	necessarily
better	RBR	well
I	PP	I
mean	VVP	mean
apart	RB	apart
from	IN	from
a	DT	a
few	JJ	few
Exceptions	NNS	exception
there	EX	there
is	VBZ	be
a	DT	a
um	NN	um
a	DT	a
