<video_id>e7gqS0I5akM</video_id>	JJ	<video_id>e7gqS0I5akM</video_id>
<video_title>It	NN	<video_title>It
is	VBZ	be
‘absolutely	RB	‘absolutely
fundamental’	JJ	fundamental’
to	TO	to
keep	VV	keep
people	NNS	people
in	IN	in
Gaza	NP	Gaza
alive:	NP	alive:
Guterres</video_title>	NP	Guterres</video_title>
<thumbnail_path>data/en_AJ\It	NN	<thumbnail_path>data/en_AJ\It
is	VBZ	be
‘absolutely	RB	‘absolutely
fundamental’	JJ	fundamental’
to	TO	to
keep	VV	keep
people	NNS	people
in	IN	in
Gaza	NP	Gaza
alive	JJ	alive
Guterres.jpg</thumbnail_path>	NP	Guterres.jpg</thumbnail_path>
<publish_date>20240325</publish_date>	NN	<publish_date>20240325</publish_date>
<doc>	NN	<doc>
store	NN	store
viers	NNS	vier
Antonio	NP	Antonio
Gutierrez	NP	Gutierrez
un	NN	un
Secretary	NP	Secretary
General	NP	General
is	VBZ	be
speaking	VVG	speak
live	JJ	live
from	IN	from
Aman	NP	Aman
and	CC	and
the	DT	the
nature	NN	nature
that	WDT	that
is	VBZ	be
absolutely	RB	absolutely
fundamental	JJ	fundamental
to	TO	to
preserve	VV	preserve
the	DT	the
life	NN	life
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
so	IN	so
we	PP	we
have	VHP	have
been	VBN	be
insisting	VVG	insist
on	IN	on
the	DT	the
need	NN	need
of	IN	of
this	DT	this
is	VBZ	be
fire	NN	fire
in	IN	in
the	DT	the
beginning	VVG	begin
our	PP$	our
voice	NN	voice
was	VBD	be
relatively	RB	relatively
alone	RB	alone
but	CC	but
now	RB	now
we	PP	we
are	VBP	be
seeing	VVG	see
more	JJR	more
and	CC	and
more	JJR	more
the	DT	the
ational	JJ	ational
Community	NN	community
recognizing	VVG	recognize
the	DT	the
same	JJ	same
recently	RB	recently
the	DT	the
European	JJ	European
Union	NN	union
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
was	VBD	be
claimed	VVN	claim
the	DT	the
need	NN	need
of	IN	of
a	DT	a
pause	NN	pause
leading	VVG	lead
to	TO	to
a	DT	a
sustainable	JJ	sustainable
Seas	NNS	sea
fire	NN	fire
and	CC	and
uh	UH	uh
we	PP	we
have	VHP	have
today	NN	today
in	IN	in
the	DT	the
security	NN	security
Council	NN	council
a	DT	a
resolution	NN	resolution
in	IN	in
which	WDT	which
as	IN	as
his	PP$	his
fire	NN	fire
is	VBZ	be
uh	UH	uh
required	VVN	require
together	RB	together
but	CC	but
not	RB	not
in	IN	in
a	DT	a
linkage	NN	linkage
with	IN	with
the	DT	the
release	NN	release
the	DT	the
unconditional	JJ	unconditional
release	NN	release
of	IN	of
all	DT	all
hostages	NNS	hostage
and	CC	and
we	PP	we
have	VHP	have
also	RB	also
always	RB	always
claimed	VVN	claim
for	IN	for
the	DT	the
need	NN	need
for	IN	for
that	DT	that
release	NN	release
so	IN	so
I	PP	I
see	VVP	see
a	DT	a
growing	VVG	grow
consensus	NN	consensus
emerging	VVG	emerge
International	NP	International
Community	NP	Community
to	TO	to
tell	VV	tell
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
is	VBZ	be
needed	VVN	need
and	CC	and
I	PP	I
also	RB	also
see	VVP	see
a	DT	a
growing	VVG	grow
consensus	NN	consensus
I	PP	I
heard	VVD	hear
it	PP	it
in	IN	in
the	DT	the
US	NP	US
I	PP	I
heard	VVD	hear
heard	VVN	hear
it	PP	it
from	IN	from
the	DT	the
European	NP	European
Union	NP	Union
not	RB	not
to	TO	to
mention	VV	mention
of	IN	of
course	NN	course
the	DT	the
Muslim	NP	Muslim
World	NP	World
a	DT	a
growing	VVG	grow
consensus	NN	consensus
to	TO	to
tell	VV	tell
clearly	RB	clearly
to	TO	to
the	DT	the
Israelis	NNS	Israeli
that	IN/that	that
any	DT	any
ground	NN	ground
invasion	NN	invasion
of	IN	of
Rafa	NP	Rafa
could	MD	could
mean	VV	mean
a	DT	a
catastrophic	JJ	catastrophic
humanitarian	JJ	humanitarian
disaster	NN	disaster
and	CC	and
I	PP	I
strongly	RB	strongly
hope	VVP	hope
that	IN/that	that
this	DT	this
consensus	NN	consensus
that	WDT	that
is	VBZ	be
emerging	VVG	emerge
in	IN	in
the	DT	the
whole	NN	whole
of	IN	of
the	DT	the
International	NP	International
Community	NP	Community
will	MD	will
make	VV	make
Israel	NP	Israel
reflect	VV	reflect
and	CC	and
avoid	VV	avoid
what	WP	what
could	MD	could
be	VB	be
a	DT	a
dramatic	JJ	dramatic
tredy	JJ	tredy
sorry	JJ	sorry
crisis	NN	crisis
the	DT	the
crisis	NN	crisis
over	IN	over
the	DT	the
crisis	NN	crisis
receding	VVG	recede
of	IN	of
Honor	NP	Honor
H	NP	H
crisis	NN	crisis
is	VBZ	be
it	PP	it
re	IN	re
there	EX	there
is	VBZ	be
a	DT	a
very	RB	very
strong	JJ	strong
effort	NN	effort
that	IN/that	that
we	PP	we
are	VBP	be
making	VVG	make
in	IN	in
order	NN	order
to	TO	to
address	VV	address
the	DT	the
natural	JJ	natural
problems	NNS	problem
and	CC	and
difficulties	NNS	difficulty
that	IN/that	that
unra	NP	unra
had	VHD	have
unra	NN	unra
has	VHZ	have
been	VBN	be
systematically	RB	systematically
underfunded	VVN	underfund
so	IN	so
we	PP	we
need	VVP	need
to	TO	to
strengthen	VV	strengthen
it	PP	it
in	IN	in
different	JJ	different
aspects	NNS	aspect
and	CC	and
I	PP	I
think	VVP	think
we	PP	we
are	VBP	be
moving	VVG	move
in	IN	in
the	DT	the
right	JJ	right
direction	NN	direction
with	IN	with
the	DT	the
the	DT	the
investigation	NN	investigation
with	IN	with
the	DT	the
inspection	NN	inspection
with	IN	with
the	DT	the
measures	NNS	measure
that	WDT	that
are	VBP	be
already	RB	already
being	VBG	be
taken	VVN	take
by	IN	by
the	DT	the
commissioner	NN	commissioner
General	NP	General
but	CC	but
on	IN	on
top	NN	top
of	IN	of
that	WDT	that
I	PP	I
see	VVP	see
more	JJR	more
and	CC	and
more	JJR	more
countries	NNS	country
recognizing	VVG	recognize
the	DT	the
essential	JJ	essential
role	NN	role
of	IN	of
unra	NN	unra
and	CC	and
even	RB	even
several	JJ	several
of	IN	of
the	DT	the
countries	NNS	country
that	WDT	that
have	VHP	have
suspended	VVN	suspend
the	DT	the
funding	NN	funding
have	VHP	have
already	RB	already
restarted	VVN	restart
that	IN/that	that
funding	NN	funding
and	CC	and
others	NNS	other
are	VBP	be
telling	VVG	tell
us	PP	us
that	IN/that	that
they	PP	they
hope	VVP	hope
that	IN/that	that
the	DT	the
result	NN	result
of	IN	of
the	DT	the
uh	UH	uh
investigation	NN	investigation
and	CC	and
the	DT	the
result	NN	result
of	IN	of
the	DT	the
review	NN	review
will	MD	will
lead	VV	lead
to	TO	to
the	DT	the
reestablishment	NN	reestablishment
of	IN	of
the	DT	the
funding	NN	funding
to	TO	to
un	VV	un
it	PP	it
is	VBZ	be
with	IN	with
hope	NN	hope
and	CC	and
with	IN	with
deep	JJ	deep
conviction	NN	conviction
that	IN/that	that
I	PP	I
see	VVP	see
the	DT	the
future	NN	future
of	IN	of
the	DT	the
organization	NN	organization
thank	VVP	thank
you	PP	you
so	RB	so
much	RB	much
do	VVP	do
you	PP	you
have	VHP	have
any	DT	any
time	NN	time
for	IN	for
more	JJR	more
questions	NNS	question
or	CC	or
the	DT	the
last	JJ	last
last	JJ	last
question	NN	question
that	WDT	that
was	VBD	be
not	RB	not
foreseen	VVN	foresee
please	RB	please
go	VVP	go
ahead	RB	ahead
we	PP	we
have	VHP	have
another	DT	another
press	NN	press
conference	NN	conference
with	IN	with
the	DT	the
well	UH	well
I	PP	I
didn't	VVD	didn't
understand	VV	understand
but	CC	but
it	PP	it
is	VBZ	be
the	DT	the
biggest	JJS	big
question	NN	question
I've	NN	I've
ever	RB	ever
heard	VVN	hear
in	IN	in
a	DT	a
in	IN	in
a	DT	a
press	NN	press
conference	NN	conference
well	RB	well
in	IN	in
in	IN	in
light	NN	light
of	IN	of
the	DT	the
United	NP	United
Nations	NPS	Nations
principles	NNS	principle
that	WDT	that
were	VBD	be
established	VVN	establish
to	TO	to
guide	VV	guide
the	DT	the
United	NP	United
Nations	NPS	Nations
in	IN	in
its	PP$	its
work	NN	work
we	PP	we
have	VHP	have
seen	VVN	see
the	DT	the
the	DT	the
abolishment	NN	abolishment
of	IN	of
these	DT	these
United	NP	United
Nations	NPS	Nations
values	VVZ	value
due	JJ	due
to	TO	to
the	DT	the
war	NN	war
so	IN	so
it	PP	it
is	VBZ	be
related	VVN	relate
to	TO	to
the	DT	the
the	DT	the
question	NN	question
is	VBZ	be
related	VVN	relate
if	IN	if
