<video_id>7HeGDkFKdwM</video_id>	NP	<video_id>7HeGDkFKdwM</video_id>
<video_title>US,	NP	<video_title>US,
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
invite	NN	invite
Israel,	NP	Israel,
Hamas	NP	Hamas
to	TO	to
resume	VV	resume
talks	NNS	talk
next	JJ	next
week</video_title>	NN	week</video_title>
<thumbnail_path>data/en_AJ\US,	NP	<thumbnail_path>data/en_AJ\US,
Egypt	NP	Egypt
and	CC	and
Qatar	NP	Qatar
invite	NN	invite
Israel,	NP	Israel,
Hamas	NP	Hamas
to	TO	to
resume	VV	resume
talks	NNS	talk
next	JJ	next
week.jpg</thumbnail_path>	NN	week.jpg</thumbnail_path>
<publish_date>20240808</publish_date>	NN	<publish_date>20240808</publish_date>
<doc>	NN	<doc>
has	VHZ	have
carried	VVN	carry
her	PP	her
all	DT	all
right	NN	right
and	CC	and
this	DT	this
just	RB	just
in	IN	in
right	RB	right
now	RB	now
as	IN	as
we	PP	we
come	VVP	come
on	IN	on
the	DT	the
air	NN	air
the	DT	the
ceasefire	NN	ceasefire
negotiations	NNS	negotiation
in	IN	in
Gaza	NP	Gaza
a	DT	a
joint	JJ	joint
statement	NN	statement
has	VHZ	have
been	VBN	be
released	VVN	release
by	IN	by
the	DT	the
three	CD	three
mediators	NNS	mediator
quoted	VVN	quote
by	IN	by
voters	NNS	voter
has	VHZ	have
uh	UH	uh
just	RB	just
been	VBN	be
released	VVN	release
and	CC	and
it	PP	it
says	VVZ	say
it	PP	it
is	VBZ	be
time	NN	time
to	TO	to
conclude	VV	conclude
Gaza	NP	Gaza
ceasefire	NN	ceasefire
agreement	NN	agreement
and	CC	and
release	NN	release
hostages	NNS	hostage
and	CC	and
prisoners	NNS	prisoner
we	PP	we
have	VHP	have
worked	VVN	work
for	IN	for
months	NNS	month
to	TO	to
reach	VV	reach
framework	NN	framework
agreement	NN	agreement
and	CC	and
it	PP	it
is	VBZ	be
now	RB	now
on	IN	on
the	DT	the
table	NN	table
with	IN	with
only	JJ	only
details	NNS	detail
of	IN	of
implementation	NN	implementation
missing	VVG	miss
we	PP	we
called	VVD	call
on	IN	on
two	CD	two
parties	NNS	party
to	TO	to
resume	VV	resume
urgent	JJ	urgent
talks	NNS	talk
on	IN	on
Thursday	NP	Thursday
August	NP	August
15th	JJ	15th
in	IN	in
Doha	NP	Doha
or	CC	or
Cairo	NP	Cairo
to	TO	to
bridge	VV	bridge
all	DT	all
remaining	VVG	remain
gaps	NNS	gap
and	CC	and
start	VV	start
implementing	VVG	implement
the	DT	the
agreement	NN	agreement
without	IN	without
any	DT	any
delay	NN	delay
all	DT	all
right	NN	right
I	PP	I
am	VBP	be
told	VVN	tell
we	PP	we
can	MD	can
go	VV	go
now	RB	now
to	TO	to
shab	NN	shab
ransi	NNS	ransi
he	PP	he
is	VBZ	be
live	JJ	live
for	IN	for
you	PP	you
in	IN	in
Washington	NP	Washington
DC	NP	DC
um	NNS	um
tell	VV	tell
us	PP	us
what	WP	what
more	JJR	more
you've	NN	you've
learned	VVN	learn
about	IN	about
this	DT	this
we	PP	we
don't	VVD	don't
have	VH	have
anymore	RB	anymore
actually	RB	actually
this	DT	this
just	RB	just
appeared	VVN	appear
on	IN	on
on	IN	on
the	DT	the
wires	NNS	wire
there	RB	there
wasn't	VVD	wasn't
even	RB	even
actually	RB	actually
an	DT	an
official	JJ	official
statement	NN	statement
on	IN	on
at	IN	at
the	DT	the
state	NN	state
department	NN	department
website	NN	website
either	RB	either
but	CC	but
yeah	RB	yeah
it's	NN	it's
it's	NNS	it's
saying	VVG	say
that	DT	that
it's	NNS	it's
time	NN	time
to	TO	to
conclude	VV	conclude
the	DT	the
ceasefire	NN	ceasefire
agreement	NN	agreement
and	CC	and
released	VVN	release
hostages	NNS	hostage
and	CC	and
prisoners	NNS	prisoner
a	DT	a
joint	JJ	joint
statement	NN	statement
Qatar	NP	Qatar
Egypt	NP	Egypt
and	CC	and
the	DT	the
US	NP	US
asking	VVG	ask
everyone	NN	everyone
to	TO	to
resume	VV	resume
urgent	JJ	urgent
talks	NNS	talk
in	IN	in
August	NP	August
of	IN	of
15th	JJ	15th
either	CC	either
in	IN	in
in	IN	in
Doha	NP	Doha
or	CC	or
Cairo	NP	Cairo
to	TO	to
bridge	VV	bridge
all	DT	all
remaining	VVG	remain
gaps	NNS	gap
it's	NNS	it's
interesting	VVG	interest
that	IN/that	that
the	DT	the
state	NN	state
department	NN	department
spokesperson	NN	spokesperson
was	VBD	be
asking	VVG	ask
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
though	RB	though
whether	IN	whether
this	DT	this
constant	JJ	constant
emphasis	NN	emphasis
about	IN	about
how	WRB	how
close	JJ	close
everyone	NN	everyone
El	NP	El
is	VBZ	be
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
which	WDT	which
you've	NN	you've
heard	VVD	hear
consistently	RB	consistently
since	IN	since
fears	NNS	fear
of	IN	of
some	DT	some
form	NN	form
of	IN	of
retaliation	NN	retaliation
to	TO	to
Israel's	NP	Israel's
escalation	NN	escalation
in	IN	in
killing	VVG	kill
isma	NN	isma
hania	NN	hania
in	IN	in
in	IN	in
Teran	NP	Teran
since	IN	since
those	DT	those
fears	NNS	fear
have	VHP	have
reached	VVN	reach
such	JJ	such
fever	NN	fever
pitch	NN	pitch
you	PP	you
know	VVP	know
whether	IN	whether
this	DT	this
constant	JJ	constant
emphasis	NN	emphasis
on	IN	on
how	WRB	how
close	JJ	close
everyone	NN	everyone
is	VBZ	be
to	TO	to
to	TO	to
reaching	VVG	reach
that	IN/that	that
deal	NN	deal
is	VBZ	be
some	DT	some
way	NN	way
is	VBZ	be
some	DT	some
attempt	NN	attempt
to	TO	to
diffuse	VV	diffuse
diffuse	VV	diffuse
the	DT	the
situation	NN	situation
though	IN	though
Matt	NP	Matt
Miller	NP	Miller
the	DT	the
state	NN	state
department	NN	department
said	VVD	say
uh	UH	uh
um	NNS	um
all	RB	all
he	PP	he
would	MD	would
say	VV	say
was	VBD	be
any	DT	any
further	JJR	further
escalation	NN	escalation
makes	VVZ	make
the	DT	the
Region's	NP	Region's
problems	NNS	problem
more	RBR	more
difficult	JJ	difficult
uh	UH	uh
and	CC	and
that	DT	that
um	NNS	um
we	PP	we
think	VVP	think
a	DT	a
ceasefire	NN	ceasefire
would	MD	would
go	VV	go
a	DT	a
long	JJ	long
way	NN	way
to	TO	to
reducing	VVG	reduce
tensions	NNS	tension
this	DT	this
is	VBZ	be
the	DT	the
Mantra	NN	mantra
we've	NN	we've
heard	VVN	hear
from	IN	from
the	DT	the
US	NP	US
Administration	NP	Administration
as	IN	as
we	PP	we
hear	VVP	hear
all	PDT	all
the	DT	the
reports	NNS	report
about	RB	about
just	RB	just
how	WRB	how
concerned	JJ	concerned
the	DT	the
US	NP	US
is	VBZ	be
about	RB	about
some	DT	some
form	NN	form
of	IN	of
retaliation	NN	retaliation
from	IN	from
Iran	NP	Iran
and	CC	and
from	IN	from
Iran's	JJ	Iran's
allies	NNS	ally
in	IN	in
the	DT	the
region	NN	region
to	TO	to
the	DT	the
killing	NN	killing
of	IN	of
isir	NN	isir
in	IN	in
Teran	NP	Teran
this	DT	this
would	MD	would
would	MD	would
seem	VV	seem
to	TO	to
be	VB	be
get	VV	get
another	DT	another
high-profile	JJ	high-profile
attempt	NN	attempt
then	RB	then
to	TO	to
