let	NN	let
'	POS	'
s	NNS	s
bring	VVP	bring
in	IN	in
Ari	NP	Ari
Goldberg	NP	Goldberg
he	PP	he
'	POS	'
s	NN	S
an	DT	an
Israeli	JJ	Israeli
political	JJ	political
commentator	NN	commentator
and	CC	and
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
welcome	NN	welcome
to	TO	to
the	DT	the
aler	NN	aler
NewsHour	NP	NewsHour
Mr	NP	Mr
Goldberg	NP	Goldberg
there	RB	there
are	VBP	be
more	JJR	more
protests	NNS	protest
planned	VVN	plan
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
this	DT	this
evening	NN	evening
calling	VVG	call
for	IN	for
the	DT	the
release	NN	release
of	IN	of
Israeli	JJ	Israeli
captives	NNS	captive
in	IN	in
Gaza	NP	Gaza
calling	VVG	call
for	IN	for
a	DT	a
deal	NN	deal
between	IN	between
the	DT	the
Israeli	JJ	Israeli
government	NN	government
and	CC	and
Hamas	NN	Hamas
in	IN	in
order	NN	order
to	TO	to
secure	VV	secure
that	DT	that
release	NN	release
we	PP	we
have	VHP	have
seen	VVN	see
some	DT	some
of	IN	of
the	DT	the
biggest	JJS	big
protests	NNS	protest
in	IN	in
Israel	NP	Israel
'	POS	'
s	NN	S
history	NN	history
recently	RB	recently
can	MD	can
you	PP	you
help	VV	help
us	PP	us
understand	VV	understand
as	IN	as
we	PP	we
look	VVP	look
ahead	RB	ahead
to	TO	to
those	DT	those
protests	NNS	protest
why	WRB	why
nanyu	NN	nanyu
isn	NN	isn
'	POS	'
t	NN	t
SU	NP	Su
able	JJ	able
to	TO	to
this	DT	this
public	JJ	public
pressure	NN	pressure
because	IN	because
this	DT	this
public	JJ	public
pressure	NN	pressure
is	VBZ	be
still	RB	still
perceived	VVN	perceive
as	IN	as
partisan	JJ	partisan
as	RB	as
motivated	VVN	motivate
by	IN	by
domestic	JJ	domestic
Israeli	JJ	Israeli
political	JJ	political
considerations	NNS	consideration
and	CC	and
Nel	NP	Nel
feels	VVZ	feel
quite	RB	quite
comfortable	JJ	comfortable
uh	UH	uh
being	VBG	be
perceived	VVN	perceive
as	IN	as
the	DT	the
leader	NN	leader
of	IN	of
the	DT	the
anti	JJ	anti
-	NN	-
protest	NN	protest
side	NN	side
even	RB	even
if	IN	if
he	PP	he
is	VBZ	be
attacked	VVN	attack
and	CC	and
criticized	VVN	criticize
by	IN	by
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Israelis	NPS	Israelis
retaking	VVG	retake
to	TO	to
the	DT	the
street	NN	street
uh	UH	uh
the	DT	the
General	NP	General
broad	JJ	broad
Israeli	JJ	Israeli
consensus	NN	consensus
which	WDT	which
says	VVZ	say
that	IN/that	that
the	DT	the
war	NN	war
in	IN	in
excuse	NN	excuse
me	PP	me
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
the	DT	the
go	JJ	go
stated	JJ	stated
goal	NN	goal
of	IN	of
the	DT	the
destruction	NN	destruction
of	IN	of
Hamas	NNS	Hamas
that	IN/that	that
these	DT	these
are	VBP	be
still	RB	still
legitimate	JJ	legitimate
n	NN	n
Builds	VVZ	build
on	IN	on
a	DT	a
broad	JJ	broad
support	NN	support
from	IN	from
all	DT	all
Israelis	NPS	Israelis
for	IN	for
that	DT	that
which	WDT	which
is	VBZ	be
why	WRB	why
he	PP	he
as	RB	as
of	IN	of
as	RB	as
of	IN	of
now	RB	now
Remains	NNS	Remain
unfaced	VVN	unfaced
by	IN	by
these	DT	these
demonstrations	NNS	demonstration
which	WDT	which
really	RB	really
are	VBP	be
probably	RB	probably
the	DT	the
largest	JJS	large
Israel	NP	Israel
has	VHZ	have
ever	RB	ever
seen	VVN	see
so	IN	so
Mr	NP	Mr
goldber	NN	goldber
would	MD	would
it	PP	it
be	VB	be
fair	JJ	fair
to	TO	to
say	VV	say
that	IN/that	that
even	RB	even
if	IN	if
there	EX	there
are	VBP	be
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
people	NNS	people
out	IN	out
on	IN	on
the	DT	the
streets	NNS	street
calling	VVG	call
for	IN	for
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
as	IN	as
long	JJ	long
as	IN	as
the	DT	the
broader	JJR	broad
Israeli	JJ	Israeli
public	NN	public
supports	VVZ	support
the	DT	the
war	NN	war
you	PP	you
cannot	MD	can
have	VH	have
both	DT	both
you	PP	you
cannot	MD	can
have	VH	have
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
as	IN	as
long	JJ	long
as	IN	as
the	DT	the
war	NN	war
goes	VVZ	go
on	IN	on
uh	UH	uh
not	RB	not
only	RB	only
fair	JJ	fair
to	TO	to
say	VV	say
that	IN/that	that
that	DT	that
that	WDT	that
is	VBZ	be
you	PP	you
know	VVP	know
the	DT	the
truth	NN	truth
uh	UH	uh
I	PP	I
think	VVP	think
a	DT	a
lot	NN	lot
of	IN	of
Israelis	NPS	Israelis
understand	VVP	understand
that	DT	that
uh	UH	uh
I	PP	I
think	VVP	think
the	DT	the
size	NN	size
of	IN	of
the	DT	the
demonstrations	NNS	demonstration
and	CC	and
the	DT	the
extent	NN	extent
of	IN	of
the	DT	the
anger	NN	anger
has	VHZ	have
to	TO	to
do	VV	do
with	IN	with
this	DT	this
unresolved	JJ	unresolved
paradox	NN	paradox
because	IN	because
for	IN	for
long	JJ	long
months	NNS	month
the	DT	the
Israeli	JJ	Israeli
public	NN	public
lived	VVN	live
with	IN	with
the	DT	the
understanding	NN	understanding
this	DT	this
is	VBZ	be
what	WP	what
it	PP	it
was	VBD	be
told	VVN	tell
by	IN	by
its	PP$	its
government	NN	government
that	IN/that	that
the	DT	the
two	CD	two
stated	JJ	stated
goals	NNS	goal
of	IN	of
the	DT	the
quote	NN	quote
unquote	VV	unquote
war	NN	war
in	IN	in
Gaza	NP	Gaza
that	WDT	that
is	VBZ	be
the	DT	the
return	NN	return
of	IN	of
the	DT	the
hostages	NNS	hostage
and	CC	and
the	DT	the
destruction	NN	destruction
of	IN	of
Hamas	NNS	Hamas
are	VBP	be
both	DT	both
commensurate	JJ	commensurate
and	CC	and
complimentary	JJ	complimentary
I	PP	I
think	VVP	think
the	DT	the
recent	JJ	recent
death	NN	death
of	IN	of
the	DT	the
six	CD	six
hostages	NNS	hostage
uh	UH	uh
in	IN	in
a	DT	a
tunnel	NN	tunnel
in	IN	in
RAF	NN	RAF
just	RB	just
minutes	NNS	minute
before	IN	before
idea	NN	idea
forces	NNS	force
reached	VVD	reach
them	PP	them
made	VVD	make
it	PP	it
clear	JJ	clear
to	TO	to
many	JJ	many
Israelis	NPS	Israelis
that	IN/that	that
these	DT	these
goals	NNS	goal
are	VBP	be
contradictory	JJ	contradictory
that	IN/that	that
as	RB	as
long	RB	long
because	IN	because
the	DT	the
war	NN	war
goes	VVZ	go
on	IN	on
the	DT	the
hostages	NNS	hostage
will	MD	will
not	RB	not
be	VB	be
returned	VVN	return
the	DT	the
demonstrations	NNS	demonstration
are	VBP	be
a	DT	a
way	NN	way
for	IN	for
Israelis	NPS	Israelis
to	TO	to
articulate	VV	articulate
a	DT	a
desire	NN	desire
for	IN	for
the	DT	the
war	NN	war
to	TO	to
end	VV	end
but	CC	but
it	PP	it
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
to	TO	to
say	VV	say
again	RB	again
and	CC	and
again	RB	again
and	CC	and
again	RB	again
that	IN/that	that
a	DT	a
clear	JJ	clear
uh	UH	uh
uh	UH	uh
request	VV	request
a	DT	a
clear	JJ	clear
demand	NN	demand
from	IN	from
the	DT	the
broad	JJ	broad
public	JJ	public
who	WP	who
'	POS	'
s	NN	S
demonstrating	VVG	demonstrate
that	IN/that	that
the	DT	the
that	IN/that	that
the	DT	the
war	NN	war
must	MD	must
end	VV	end
is	VBZ	be
uh	UH	uh
something	NN	something
we	PP	we
have	VHP	have
yet	RB	yet
to	TO	to
hear	VV	hear
uh	UH	uh
in	IN	in
fact	NN	fact
uh	UH	uh
a	DT	a
prominent	JJ	prominent
group	NN	group
of	IN	of
demonstrators	NNS	demonstrator
called	VVD	call
the	DT	the
high	JJ	high
-	NN	-
tech	NN	tech
protest	NN	protest
that	WDT	that
is	VBZ	be
funded	VVN	fund
by	IN	by
uh	UH	uh
senior	JJ	senior
high	JJ	high
-	NN	-
tech	NN	tech
leaders	NNS	leader
in	IN	in
Israel	NP	Israel
just	RB	just
came	VVD	come
up	RP	up
with	IN	with
a	DT	a
new	JJ	new
slogan	NN	slogan
last	JJ	last
week	NN	week
the	DT	the
slogan	NN	slogan
is	VBZ	be
we	PP	we
'	POS	'
ll	NNS	ll
bring	VVP	bring
them	PP	them
back	RB	back
and	CC	and
go	VV	go
back	RB	back
that	WDT	that
is	VBZ	be
we	PP	we
'	POS	'
ll	NNS	ll
bring	VVP	bring
the	DT	the
hostages	NNS	hostage
back	RB	back
and	CC	and
go	VV	go
back	RB	back
to	TO	to
fight	VV	fight
that	DT	that
is	VBZ	be
the	DT	the
situation	NN	situation
as	RB	as
far	RB	far
as	IN	as
Israeli	JJ	Israeli
public	JJ	public
opinion	NN	opinion
goes	VVZ	go
okay	VV	okay
uh	UH	uh
Mr	NP	Mr
Goldberg	NP	Goldberg
today	NN	today
our	PP$	our
lead	JJ	lead
story	NN	story
on	IN	on
Al	NP	Al
jazer	NP	jazer
has	VHZ	have
been	VBN	be
the	DT	the
death	NN	death
the	DT	the
funeral	NN	funeral
of	IN	of
the	DT	the
American	JJ	American
Turkish	JJ	Turkish
activists	NNS	activist
and	CC	and
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
the	DT	the
international	JJ	international
criticism	NN	criticism
and	CC	and
condemnation	NN	condemnation
of	IN	of
her	PP$	her
killing	VVG	kill
we	PP	we
'	POS	'
ve	NN	ve
heard	VVD	hear
from	IN	from
the	DT	the
most	RBS	most
senior	JJ	senior
American	JJ	American
officials	NNS	official
saying	VVG	say
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
changes	NNS	change
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
Security	NP	Security
Forces	NNS	force
need	VVP	need
to	TO	to
change	VV	change
how	WRB	how
they	PP	they
operate	VVP	operate
do	VV	do
you	PP	you
think	VVP	think
that	IN/that	that
this	DT	this
killing	NN	killing
will	MD	will
lead	VV	lead
to	TO	to
any	DT	any
changes	NNS	change
unfortunately	RB	unfortunately
I	PP	I
don	VV	don
'	''	'
t	NN	t
I	PP	I
think	VVP	think
the	DT	the
only	JJ	only
thing	NN	thing
that	WDT	that
will	MD	will
lead	VV	lead
to	TO	to
changes	NNS	change
will	MD	will
be	VB	be
very	RB	very
intense	JJ	intense
pressure	NN	pressure
from	IN	from
Israel	NP	Israel
'	POS	'
s	NN	S
allies	NNS	ally
particularly	RB	particularly
in	IN	in
Washington	NP	Washington
I	NP	I
don	NN	don
'	POS	'
t	NN	t
believe	VVP	believe
Israel	NP	Israel
has	VHZ	have
it	PP	it
within	IN	within
it	PP	it
the	DT	the
political	JJ	political
capacity	NN	capacity
and	CC	and
even	RB	even
the	DT	the
political	JJ	political
will	NN	will
to	TO	to
change	VV	change
the	DT	the
way	NN	way
military	JJ	military
forces	NNS	force
act	VVP	act
I	PP	I
'	''	'
ll	VVG	ll
I	PP	I
'	POS	'
ll	NNS	ll
add	VVP	add
that	IN/that	that
actions	NNS	action
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
are	VBP	be
uh	UH	uh
if	IN	if
if	IN	if
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
somehow	RB	somehow
contested	VVN	contest
military	JJ	military
actions	NNS	action
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
are	VBP	be
seen	VVN	see
as	IN	as
a	DT	a
necessary	JJ	necessary
part	NN	part
of	IN	of
Israel	NP	Israel
'	POS	'
s	VVZ	s
uh	UH	uh
war	NN	war
on	IN	on
terror	NN	terror
uh	UH	uh
and	CC	and
there	EX	there
'	''	'
s	VVG	s
a	DT	a
very	RB	very
very	RB	very
broad	JJ	broad
overt	JJ	overt
consensus	NN	consensus
that	WDT	that
supports	VVZ	support
them	PP	them
so	IN	so
I	PP	I
fail	VVP	fail
to	TO	to
see	VV	see
uh	UH	uh
any	DT	any
anybody	NN	anybody
in	IN	in
Israel	NP	Israel
at	IN	at
the	DT	the
moment	NN	moment
who	WP	who
'	POS	'
s	JJ	s
capable	JJ	capable
or	CC	or
even	RB	even
Desiring	VVG	desire
of	IN	of
such	JJ	such
Mr	NP	Mr
Goldberg	NP	Goldberg
it	PP	it
'	POS	'
s	NN	S
always	RB	always
great	JJ	great
to	TO	to
get	VV	get
your	PP$	your
thoughts	NNS	thought
um	NN	um
on	IN	on
Israel	NP	Israel
that	WDT	that
is	VBZ	be
Ari	NP	Ari
Goldberg	NP	Goldberg
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
Tel	NP	Tel
Aviv	NP	Aviv
thank	VVP	thank
you	PP	you
for	IN	for
having	VHG	have
me	PP	me
make	VV	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
aler	NN	aler
