<video_id>_KYx1hR8OaQ</video_id>	NP	<video_id>_KYx1hR8OaQ</video_id>
<video_title>Israel	NP	<video_title>Israel
reports	VVZ	report
three	CD	three
more	JJR	more
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
northern	JJ	northern
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
reports	VVZ	report
three	CD	three
more	JJR	more
soldiers	NNS	soldier
killed	VVN	kill
in	IN	in
northern	JJ	northern
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20231227</publish_date>	NN	<publish_date>20231227</publish_date>
<doc>	NN	<doc>
now	RB	now
the	DT	the
Israeli	JJ	Israeli
military	NN	military
says	VVZ	say
another	DT	another
three	CD	three
soldiers	NNS	soldier
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
battles	NNS	battle
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
that	WDT	that
takes	VVZ	take
the	DT	the
number	NN	number
of	IN	of
Israeli	JJ	Israeli
troops	NNS	troop
killed	VVN	kill
now	RB	now
in	IN	in
Gaza	NP	Gaza
to	TO	to
154	CD	@card@
since	IN	since
the	DT	the
beginning	NN	beginning
of	IN	of
the	DT	the
ground	NN	ground
campaign	NN	campaign
at	IN	at
the	DT	the
end	NN	end
of	IN	of
October	NP	October
Hamas	NP	Hamas
says	VVZ	say
its	PP$	its
Fighters	NNS	fighter
are	VBP	be
using	VVG	use
Guerilla	NN	guerilla
tactics	NNS	tactic
ambushing	VVG	ambush
Israeli	JJ	Israeli
soldiers	NNS	soldier
and	CC	and
using	VVG	use
their	PP$	their
knowledge	NN	knowledge
of	IN	of
gaza's	NN	gaza's
terrain	NN	terrain
and	CC	and
tunnel	NN	tunnel
Network	NP	Network
Alan	NP	Alan
Fischer	NP	Fischer
is	VBZ	be
life	NN	life
for	IN	for
us	PP	us
in	IN	in
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	IN	so
Alan	NP	Alan
what	WP	what
more	RBR	more
are	VBP	be
we	PP	we
hearing	VVG	hear
on	IN	on
these	DT	these
Israeli	JJ	Israeli
casualties	NNS	casualty
well	RB	well
this	DT	this
announcement	NN	announcement
coming	VVG	come
from	IN	from
the	DT	the
Israeli	NP	Israeli
Army	NP	Army
just	RB	just
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
three	CD	three
more	JJR	more
dead	NN	dead
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
one	CD	one
officer	NN	officer
two	CD	two
soldiers	NNS	soldier
died	VVN	die
during	IN	during
fighting	VVG	fight
in	IN	in
a	DT	a
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
that	IN/that	that
the	DT	the
Israelis	NPS	Israelis
said	VVD	say
more	JJR	more
than	IN	than
a	DT	a
month	NN	month
ago	RB	ago
that	IN/that	that
they	PP	they
had	VHD	have
virtually	RB	virtually
complete	JJ	complete
military	JJ	military
control	NN	control
this	DT	this
proves	VVZ	prove
that	IN/that	that
that's	NNS	that's
not	RB	not
the	DT	the
case	NN	case
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
talked	VVN	talk
about	RB	about
how	WRB	how
there	EX	there
has	VHZ	have
been	VBN	be
intense	JJ	intense
fighting	NN	fighting
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
how	WRB	how
at	IN	at
times	NNS	time
it's	NNS	it's
not	RB	not
just	RB	just
been	VBN	be
building	VVG	build
to	TO	to
building	NN	building
or	CC	or
Street	NN	street
to	TO	to
street	NN	street
but	CC	but
at	IN	at
some	DT	some
points	NNS	point
actually	RB	actually
face	VVP	face
to	TO	to
face	VV	face
and	CC	and
of	IN	of
course	NN	course
they've	NN	they've
moved	VVD	move
their	PP$	their
operation	NN	operation
into	IN	into
the	DT	the
central	JJ	central
part	NN	part
of	IN	of
Gaza	NP	Gaza
and	CC	and
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
announced	VVD	announce
that	IN/that	that
they	PP	they
were	VBD	be
going	VVG	go
to	TO	to
expand	VV	expand
the	DT	the
war	NN	war
in	IN	in
the	DT	the
South	NP	South
as	RB	as
well	RB	well
as	IN	as
you	PP	you
say	VVP	say
this	DT	this
takes	VVZ	take
the	DT	the
number	NN	number
of	IN	of
dead	NN	dead
to	TO	to
154	CD	@card@
91	CD	@card@
since	IN	since
the	DT	the
end	NN	end
of	IN	of
the	DT	the
ceasefire	NN	ceasefire
on	IN	on
December	NP	December
the	DT	the
1st	JJ	1st
now	RB	now
the	DT	the
majority	NN	majority
of	IN	of
polls	NNS	poll
continue	VVP	continue
to	TO	to
show	VV	show
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
people	NNS	people
support	VVP	support
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
they	PP	they
support	VVP	support
the	DT	the
goals	NNS	goal
of	IN	of
defeating	VVG	defeat
Hamas	NNS	Hamas
