well	RB	well
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
says	VVZ	say
its	PP$	its
war	NN	war
on	IN	on
Gaza	NP	Gaza
has	VHZ	have
entered	VVN	enter
a	DT	a
new	JJ	new
phase	NN	phase
and	CC	and
that	IN/that	that
Hamas	JJ	Hamas
positions	NNS	position
all	RB	all
across	IN	across
the	DT	the
strip	NN	strip
will	MD	will
be	VB	be
targeted	JJ	targeted
we	PP	we
'	''	'
re	IN	re
pursuing	VVG	pursue
Hamas	NNS	Hamas
wherever	WRB	wherever
Hamas	NP	Hamas
is	VBZ	be
hiding	VVG	hide
in	IN	in
the	DT	the
north	NN	north
and	CC	and
in	IN	in
the	DT	the
South	NP	South
every	DT	every
rocket	NN	rocket
launcher	NN	launcher
weapons	NNS	weapon
Depot	NP	Depot
command	NN	command
and	CC	and
Control	NP	Control
Center	NP	Center
Senior	NP	Senior
Commander	NP	Commander
underground	JJ	underground
infrastructure	NN	infrastructure
and	CC	and
any	DT	any
Hideout	NN	hideout
where	WRB	where
our	PP$	our
hostages	NNS	hostage
may	MD	may
be	VB	be
held	VVN	hold
our	PP$	our
war	NN	war
is	VBZ	be
against	IN	against
Hamas	NNS	Hamas
not	RB	not
against	IN	against
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
to	TO	to
Tel	NP	Tel
Aviv	NP	Aviv
now	RB	now
our	PP$	our
cross	NN	cross
Imran	NP	Imran
standing	VVG	stand
by	IN	by
for	IN	for
us	PP	us
there	RB	there
so	IN	so
Imran	NP	Imran
yes	RB	yes
this	DT	this
so	RB	so
-	JJ	-
called	VVN	call
new	JJ	new
phase	NN	phase
very	RB	very
much	RB	much
underway	JJ	underway
with	IN	with
things	NNS	thing
expanding	VVG	expand
in	IN	in
the	DT	the
South	NP	South
that	WDT	that
'	POS	'
s	NN	S
absolutely	RB	absolutely
right	RB	right
and	CC	and
the	DT	the
south	NN	south
is	VBZ	be
now	RB	now
the	DT	the
key	JJ	key
point	NN	point
for	IN	for
the	DT	the
Israelis	NPS	Israelis
now	RB	now
the	DT	the
reason	NN	reason
for	IN	for
this	DT	this
uh	UH	uh
say	VV	say
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
even	RB	even
during	IN	during
the	DT	the
ceasefire	NN	ceasefire
they	PP	they
were	VBD	be
actually	RB	actually
telling	VVG	tell
uh	UH	uh
Israeli	JJ	Israeli
citizens	NNS	citizen
that	IN/that	that
and	CC	and
through	IN	through
the	DT	the
media	NNS	medium
uh	UH	uh
that	IN/that	that
this	DT	this
is	VBZ	be
where	WRB	where
hamas	NNS	hamas
'	POS	'
s	NN	S
command	NN	command
and	CC	and
control	NN	control
center	NN	center
was	VBD	be
that	IN/that	that
this	DT	this
is	VBZ	be
where	WRB	where
senior	JJ	senior
leaders	NNS	leader
including	VVG	include
Yahya	NP	Yahya
sinir	NN	sinir
was	VBD	be
now	RB	now
the	DT	the
route	NN	route
into	IN	into
the	DT	the
South	NP	South
