<video_id>PgsdvdiYVi4</video_id>	JJ	<video_id>PgsdvdiYVi4</video_id>
<video_title>Gaza	NN	<video_title>Gaza
street	NN	street
artist	NN	artist
draws	VVZ	draw
on	IN	on
walls	NNS	wall
to	TO	to
express	VV	express
pain	NN	pain
and	CC	and
calls	NNS	call
for	IN	for
peace</video_title>	JJ	peace</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
street	NN	street
artist	NN	artist
draws	VVZ	draw
on	IN	on
walls	NNS	wall
to	TO	to
express	VV	express
pain	NN	pain
and	CC	and
calls	NNS	call
for	IN	for
peace.jpg</thumbnail_path>	JJ	peace.jpg</thumbnail_path>
<publish_date>20240221</publish_date>	JJ	<publish_date>20240221</publish_date>
<doc>	NN	<doc>
I	PP	I
am	VBP	be
currently	RB	currently
in	IN	in
one	CD	one
of	IN	of
the	DT	the
shelter	NN	shelter
schools	NNS	school
located	VVN	locate
in	IN	in
Deir	NP	Deir
al-Balah.	NP	al-Balah.
We	PP	we
have	VHP	have
been	VBN	be
displaced	VVN	displace
nearly	RB	nearly
four	CD	four
times.	NN	times.
Here	RB	here
I	PP	I
am	VBP	be
in	IN	in
school.	NN	school.
I	PP	I
tried	VVD	try
to	TO	to
practice	VV	practice
the	DT	the
normal	JJ	normal
nature	NN	nature
that	IN/that	that
I	PP	I
was	VBD	be
there	RB	there
before	IN	before
the	DT	the
war.	NN	war.
Before	IN	before
the	DT	the
war,	NP	war,
I	PP	I
had	VHD	have
a	DT	a
studio	NN	studio
and	CC	and
a	DT	a
training	NN	training
center.	NN	center.
You	PP	you
were	VBD	be
a	DT	a
normal	JJ	normal
kitty	NN	kitty
here.	NN	here.
I	PP	I
could	MD	could
not.	VV	not.
I	PP	I
am	VBP	be
practicing	VVG	practice
kitty.	NN	kitty.
I	PP	I
tried	VVD	try
to	TO	to
use	VV	use
tools	NNS	tool
from	IN	from
nothing	NN	nothing
because	IN	because
here	RB	here
I	PP	I
do	VVP	do
not	RB	not
have	VH	have
my	PP$	my
capabilities.	NN	capabilities.
I	PP	I
am	VBP	be
the	DT	the
north.	NN	north.
When	WRB	when
I	PP	I
first	RB	first
started	VVD	start
drawing,	NN	drawing,
I	PP	I
tried	VVD	try
to	TO	to
draw	VV	draw
things	NNS	thing
that	WDT	that
express	VVP	express
joy.	NP	joy.
Frankly,	NP	Frankly,
I	PP	I
did	VVD	do
not	RB	not
appreciate	VV	appreciate
the	DT	the
120	CD	@card@
days	NNS	day
that	IN/that	that
I	PP	I
went	VVD	go
through.	NP	through.
It	PP	it
was	VBD	be
nothing	NN	nothing
but	CC	but
a	DT	a
tragedy	NN	tragedy
in	IN	in
my	PP$	my
life	NN	life
that	IN/that	that
I	PP	I
put	VVD	put
to	TO	to
the	DT	the
roots.	NN	roots.
They	PP	they
seemed	VVD	seem
to	TO	to
be	VB	be
the	DT	the
feelings	NNS	feeling
and	CC	and
scenes	NNS	scene
on	IN	on
these	DT	these
scenes.	NN	scenes.
Some	RB	some
of	IN	of
them	PP	them
were	VBD	be
screams,	VVG	screams,
some	DT	some
of	IN	of
them	PP	them
were	VBD	be
challenges,	VVG	challenges,
some	DT	some
of	IN	of
them	PP	them
were	VBD	be
pain,	NP	pain,
anguish,	NP	anguish,
grief,	NP	grief,
and	CC	and
heartbreak.	NP	heartbreak.
These	DT	these
were	VBD	be
the	DT	the
roots.	NN	roots.
Some	RB	some
of	IN	of
them	PP	them
were	VBD	be
the	DT	the
place	NN	place
of	IN	of
dead	JJ	dead
children.	NN	children.
I	PP	I
was	VBD	be
in	IN	in
this	DT	this
war.	NN	war.
I	PP	I
could	MD	could
not	RB	not
draw	VV	draw
anything	NN	anything
that	WDT	that
indicated	VVD	indicate
joy.	JJ	joy.
This	DT	this
was	VBD	be
a	DT	a
matte	JJ	matte
message	NN	message
that	WDT	that
delivered	VVD	deliver
messages,	NP	messages,
messages	NNS	message
to	TO	to
everyone.	VV	everyone.
The	DT	the
world	NN	world
