thousands	NNS	thousand
of	IN	of
people	NNS	people
are	VBP	be
rallying	VVG	rally
outside	IN	outside
the	DT	the
US	NP	US
and	CC	and
Israeli	JJ	Israeli
embassies	NNS	embassy
in	IN	in
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
it	PP	it
'	POS	'
s	NNS	s
a	DT	a
show	NN	show
of	IN	of
support	NN	support
to	TO	to
Palestine	NP	Palestine
following	VVG	follow
Israel	NP	Israel
'	POS	'
s	JJ	s
air	NN	air
strike	NN	strike
on	IN	on
alahi	NP	alahi
Baptist	NP	Baptist
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
on	IN	on
Tuesday	NP	Tuesday
the	DT	the
Jordanian	JJ	Jordanian
government	NN	government
has	VHZ	have
declared	VVN	declare
3	CD	@card@
days	NNS	day
of	IN	of
mourning	VVG	mourn
several	JJ	several
Pro	NP	Pro
Palestinian	JJ	Palestinian
marches	NNS	march
are	VBP	be
expected	VVN	expect
across	IN	across
the	DT	the
country	NN	country
Islamic	JJ	Islamic
parties	NNS	party
have	VHP	have
called	VVN	call
for	IN	for
a	DT	a
general	JJ	general
strike	NN	strike
Osama	NP	Osama
bin	NN	bin
Javed	NP	Javed
joins	VVZ	join
us	PP	us
from	IN	from
Aman	NP	Aman
what	WP	what
'	POS	'
s	NN	S
the	DT	the
latest	JJS	late
on	IN	on
your	PP$	your
end	NN	end
Osama	NP	Osama
well	RB	well
as	IN	as
you	PP	you
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
these	DT	these
scenes	NNS	scene
where	WRB	where
the	DT	the
protest	VV	protest
uh	UH	uh
number	NN	number
of	IN	of
protesters	NNS	protester
have	VHP	have
been	VBN	be
swelling	VVG	swell
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
hours	NNS	hour
we	PP	we
were	VBD	be
there	RB	there
last	JJ	last
night	NN	night
at	IN	at
the	DT	the
Israeli	NP	Israeli
Embassy	NP	Embassy
as	IN	as
well	RB	well
where	WRB	where
there	EX	there
was	VBD	be
a	DT	a
large	JJ	large
presence	NN	presence
of	IN	of
the	DT	the
police	NN	police
who	WP	who
were	VBD	be
trying	VVG	try
to	TO	to
push	VV	push
back	RB	back
these	DT	these
protesters	NNS	protester
trying	VVG	try
to	TO	to
prevent	VV	prevent
them	PP	them
from	IN	from
entering	VVG	enter
the	DT	the
Israeli	NP	Israeli
Embassy	NP	Embassy
compound	VV	compound
uh	UH	uh
it	PP	it
is	VBZ	be
similar	JJ	similar
scenes	NNS	scene
there	RB	there
there	RB	there
'	''	'
s	VVG	s
a	DT	a
smaller	JJR	small
protest	NN	protest
at	IN	at
the	DT	the
US	NP	US
Embassy	NP	Embassy
