prosecutors	NNS	prosecutor
from	IN	from
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
are	VBP	be
reportedly	RB	reportedly
interviewing	VVG	interview
staff	NN	staff
from	IN	from
two	CD	two
hospitals	NNS	hospital
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
that	WDT	that
'	POS	'
s	NN	S
after	IN	after
the	DT	the
discovery	NN	discovery
of	IN	of
mass	JJ	mass
Graves	NP	Graves
on	IN	on
the	DT	the
grounds	NNS	ground
of	IN	of
the	DT	the
two	CD	two
facilities	NNS	facility
hundreds	NNS	hundred
of	IN	of
bodies	NNS	body
were	VBD	be
recovered	VVN	recover
from	IN	from
three	CD	three
Mass	NP	Mass
Graves	NP	Graves
on	IN	on
the	DT	the
premises	NNS	premise
of	IN	of
the	DT	the
NASA	NP	NASA
Hospital	NP	Hospital
in	IN	in
Han	NP	Han
Unis	NNS	uni
this	DT	this
month	NN	month
and	CC	and
the	DT	the
remains	VVZ	remain
of	IN	of
dozens	NNS	dozen
more	JJR	more
people	NNS	people
were	VBD	be
exhumed	VVN	exhume
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
in	IN	in
Gaza	NP	Gaza
City	NP	City
after	IN	after
an	DT	an
Israeli	JJ	Israeli
Siege	NN	siege
of	IN	of
the	DT	the
facility	NN	facility
both	CC	both
hospitals	NNS	hospital
were	VBD	be
left	VVN	leave
badly	RB	badly
damaged	JJ	damaged
and	CC	and
out	RB	out
of	IN	of
service	NN	service
after	IN	after
Israeli	JJ	Israeli
troops	NNS	troop
withdrew	VVD	withdraw
let	NN	let
'	POS	'
s	NNS	s
go	VVP	go
straight	RB	straight
to	TO	to
Al	NP	Al
jaer	NP	jaer
Sark	NP	Sark
abum	NN	abum
who	WP	who
'	POS	'
s	NN	S
in	IN	in
Rafa	NP	Rafa
forest	NN	forest
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
so	IN	so
tar	NN	tar
what	WP	what
more	RBR	more
have	VH	have
you	PP	you
found	VVN	find
out	RP	out
about	IN	about
these	DT	these
ICC	NP	ICC
investigators	NNS	investigator
interviewing	VVG	interview
uh	UH	uh
staff	NN	staff
at	IN	at
Nasa	NP	Nasa
hospital	NN	hospital
and	CC	and
alifa	NN	alifa
Hospital	NN	hospital
who	WP	who
were	VBD	be
they	PP	they
talking	VVG	talk
to	TO	to
and	CC	and
about	IN	about
what	WP	what
precisely	RB	precisely
well	RB	well
precisely	RB	precisely
FY	NN	FY
uh	UH	uh
the	DT	the
persecutors	NNS	persecutor
of	IN	of
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
have	VHP	have
been	VBN	be
speaking	VVG	speak
to	TO	to
a	DT	a
number	NN	number
of	IN	of
pal	NN	pal
Medics	NNS	medic
who	WP	who
have	VHP	have
been	VBN	be
working	VVG	work
in	IN	in
a	DT	a
shifa	NN	shifa
hospital	NN	hospital
in	IN	in
the	DT	the
north	NN	north
and	CC	and
even	RB	even
in	IN	in
nasar	NN	nasar
hospital	NN	hospital
in	IN	in
kanun	NN	kanun
in	IN	in
the	DT	the
south	NN	south
after	IN	after
the	DT	the
Israeli	JJ	Israeli
withdrawal	NN	withdrawal
they	PP	they
have	VHP	have
been	VBN	be
talking	VVG	talk
about	IN	about
possible	JJ	possible
crimes	NNS	crime
committed	VVN	commit
by	IN	by
the	DT	the
Israeli	JJ	Israeli
military	NN	military
during	IN	during
the	DT	the
existence	NN	existence
inside	IN	inside
the	DT	the
medical	JJ	medical
facility	NN	facility
but	CC	but
yet	RB	yet
the	DT	the
identities	NNS	identity
of	IN	of
those	DT	those
Medics	NNS	medic
is	VBZ	be
still	RB	still
unknown	JJ	unknown
for	IN	for
security	NN	security
concerns	NNS	concern
and	CC	and
security	NN	security
reasons	NNS	reason
as	IN	as
the	DT	the
international	JJ	international
uh	UH	uh
criminal	JJ	criminal
uh	UH	uh
Courts	NNS	court
office	NN	office
have	VHP	have
been	VBN	be
saying	VVG	say
that	IN/that	that
they	PP	they
did	VVD	do
not	RB	not
provide	VV	provide
any	DT	any
proper	JJ	proper
comment	NN	comment
about	IN	about
the	DT	the
operational	JJ	operational
procedures	NNS	procedure
and	CC	and
investigations	NNS	investigation
being	VBG	be
made	VVN	make
with	IN	with
these	DT	these
eyewitnesses	NNS	eyewitness
in	IN	in
order	NN	order
to	TO	to
guarantee	VV	guarantee
the	DT	the
full	JJ	full
protection	NN	protection
and	CC	and
we	PP	we
have	VHP	have
been	VBN	be
clearly	RB	clearly
remember	VV	remember
what	WP	what
was	VBD	be
going	VVG	go
on	IN	on
in	IN	in
such	JJ	such
hospitals	NNS	hospital
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
mass	JJ	mass
Graves	NP	Graves
being	NN	being
discovered	VVD	discover
were	VBD	be
hundreds	NNS	hundred
of	IN	of
bodies	NNS	body
found	VVD	find
de	FW	de
composed	VVN	compose
and	CC	and
they	PP	they
have	VHP	have
been	VBN	be
found	VVN	find
also	RB	also
uh	UH	uh
dug	VVD	dig
in	RB	in
have	VH	have
been	VBN	be
buried	VVN	bury
in	IN	in
in	IN	in
deeper	JJR	deep
in	IN	in
sand	NN	sand
with	IN	with
bile	NN	bile
of	IN	of
waste	NN	waste
and	CC	and
sand	NN	sand
have	VHP	have
been	VBN	be
throwing	VVG	throw
over	IN	over
such	JJ	such
bodies	NNS	body
but	CC	but
yet	RB	yet
the	DT	the
Israeli	JJ	Israeli
side	NN	side
have	VHP	have
been	VBN	be
saying	VVG	say
that	IN/that	that
they	PP	they
have	VHP	have
no	DT	no
longer	RBR	longer
uh	UH	uh
let	VV	let
'	''	'
s	NNS	s
say	VVP	say
care	NN	care
about	IN	about
what	WP	what
the	DT	the
international	JJ	international
court	NN	court
of	IN	of
justice	NN	justice
might	MD	might
take	VV	take
in	IN	in
terms	NNS	term
of	IN	of
actions	NNS	action
against	IN	against
Israeli	JJ	Israeli
soldiers	NNS	soldier
as	IN	as
the	DT	the
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
says	VVZ	say
that	IN/that	that
he	PP	he
will	MD	will
tries	VVZ	try
to	TO	to
he	PP	he
will	MD	will
try	VV	try
to	TO	to
afford	VV	afford
the	DT	the
full	JJ	full
protection	NN	protection
for	IN	for
the	DT	the
Israeli	JJ	Israeli
soldiers	NNS	soldier
under	IN	under
his	PP$	his
own	JJ	own
leadership	NN	leadership
but	CC	but
it	PP	it
'	POS	'
s	NN	S
absolutely	RB	absolutely
terrifying	JJ	terrifying
as	IN	as
what	WP	what
we	PP	we
do	VVP	do
know	VV	know
is	VBZ	be
that	IN/that	that
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
hearing	VVG	hear
from	IN	from
the	DT	the
Gaza	NP	Gaza
civil	JJ	civil
defense	NN	defense
Crews	NP	Crews
saying	VVG	say
that	IN/that	that
there	EX	there
are	VBP	be
still	RB	still
at	IN	at
least	JJS	least
10	CD	@card@
,	,	,
000	CD	@card@
Palestinians	NNS	Palestinian
messing	VVG	mess
under	IN	under
the	DT	the
rule	NN	rule
of	IN	of
the	DT	the
destroyed	VVN	destroy
house	NN	house
houses	NNS	house
in	IN	in
multiple	JJ	multiple
areas	NNS	area
across	IN	across
the	DT	the
territory	NN	territory
as	IN	as
the	DT	the
the	DT	the
accumulation	NN	accumulation
of	IN	of
these	DT	these
bodies	NNS	body
especially	RB	especially
when	WRB	when
the	DT	the
during	IN	during
the	DT	the
onset	NN	onset
of	IN	of
the	DT	the
summer	NN	summer
season	NN	season
had	VHD	have
contributed	VVN	contribute
to	TO	to
increase	VV	increase
the	DT	the
spread	NN	spread
of	IN	of
diseases	NNS	disease
and	CC	and
even	RB	even
epidemics	NNS	epidemic
as	RB	as
till	VVP	till
now	RB	now
there	EX	there
are	VBP	be
struggling	VVG	struggle
in	IN	in
order	NN	order
to	TO	to
recover	VV	recover
such	JJ	such
injuries	NNS	injury
and	CC	and
victims	NNS	victim
from	IN	from
under	IN	under
the	DT	the
rubble	NN	rubble
of	IN	of
the	DT	the
destroyed	VVN	destroy
houses	NNS	house
tar	NN	tar
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
for	IN	for
the	DT	the
update	NN	update
that	RB	that
'	POS	'
s	NN	S
Al	NP	Al
jaer	NP	jaer
is	VBZ	be
tar	NN	tar
abaz	NN	abaz
reporting	VVG	report
their	PP$	their
live	JJ	live
from	IN	from
Rafa	NP	Rafa
well	RB	well
let	VVD	let
'	''	'
s	NNS	s
discuss	VVP	discuss
this	DT	this
further	RBR	further
now	RB	now
with	IN	with
