<video_id>RCAXlj_g2TI</video_id>	JJ	<video_id>RCAXlj_g2TI</video_id>
<video_title>Gaza	NN	<video_title>Gaza
water	NN	water
crisis:	NN	crisis:
Israeli	JJ	Israeli
forces	NNS	force
destroy	VVP	destroy
wells,	NP	wells,
residents	NNS	resident
face	VVP	face
health	NN	health
risks	NNS	risk
and	CC	and
shortages</video_title>	JJ	shortages</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
water	NN	water
crisis	NN	crisis
Israeli	JJ	Israeli
forces	NNS	force
destroy	VVP	destroy
wells,	NP	wells,
residents	NNS	resident
face	VVP	face
health	NN	health
risks	NNS	risk
and	CC	and
shortages.jpg</thumbnail_path>	JJ	shortages.jpg</thumbnail_path>
<publish_date>20240619</publish_date>	JJ	<publish_date>20240619</publish_date>
<doc>	NN	<doc>
the	DT	the
situation	NN	situation
for	IN	for
Palestinians	NPS	Palestinians
is	VBZ	be
getting	VVG	get
worse	JJR	bad
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
there	RB	there
is	VBZ	be
an	DT	an
ongoing	JJ	ongoing
Water	NP	Water
Crisis	NN	crisis
it	PP	it
has	VHZ	have
become	VVN	become
very	RB	very
difficult	JJ	difficult
for	IN	for
people	NNS	people
to	TO	to
get	VV	get
water	NN	water
as	IN	as
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
destroyed	VVN	destroy
all	DT	all
water	NN	water
wells	NNS	well
according	VVG	accord
to	TO	to
what	WP	what
has	VHZ	have
been	VBN	be
announced	VVN	announce
by	IN	by
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
emergency	NN	emergency
committee	NN	committee
trucks	NNS	truck
loaded	VVN	load
with	IN	with
water	NN	water
are	VBP	be
now	RB	now
being	VBG	be
brought	VVN	bring
in	IN	in
from	IN	from
Gaza	NP	Gaza
City	NP	City
in	IN	in
an	DT	an
attempt	NN	attempt
to	TO	to
help	VV	help
people	NNS	people
here	RB	here
as	IN	as
you	PP	you
can	MD	can
see	VV	see
people	NNS	people
are	VBP	be
gathering	VVG	gather
around	RP	around
the	DT	the
truck	NN	truck
to	TO	to
get	VV	get
some	DT	some
water	NN	water
I	PP	I
have	VHP	have
no	DT	no
energy	NN	energy
I	PP	I
can't	VVD	can't
carry	VV	carry
the	DT	the
water	NN	water
we	PP	we
came	VVD	come
here	RB	here
with	IN	with
our	PP$	our
children	NNS	child
and	CC	and
grandchildren	NNS	grandchild
to	TO	to
get	VV	get
a	DT	a
gallon	NN	gallon
of	IN	of
water	NN	water
which	WDT	which
is	VBZ	be
not	RB	not
enough	RB	enough
at	IN	at
all	DT	all
we	PP	we
need	VVP	need
more	JJR	more
water	NN	water
for	IN	for
us	PP	us
only	RB	only
to	TO	to
drink	VV	drink
in	IN	in
the	DT	the
north	NN	north
of	IN	of
Gaza	NP	Gaza
we	PP	we
have	VHP	have
starvation	NN	starvation
and	CC	and
the	DT	the
severe	JJ	severe
shortage	NN	shortage
of	IN	of
drinking	VVG	drink
water	NN	water
the	DT	the
water	NN	water
here	RB	here
is	VBZ	be
mixed	VVN	mix
with	IN	with
sewage	NN	sewage
which	WDT	which
poses	VVZ	pose
a	DT	a
great	JJ	great
danger	NN	danger
to	TO	to
People's	NP	People's
Health	NP	Health
the	DT	the
current	JJ	current
situation	NN	situation
here	RB	here
in	IN	in
jabalia	NN	jabalia
refugee	NN	refugee
camp	NN	camp
is	VBZ	be
very	RB	very
difficult	JJ	difficult
wait	VV	wait
a	DT	a
long	JJ	long
time	NN	time
for	IN	for
the	DT	the
water	NN	water
truck	NN	truck
to	TO	to
arrive	VV	arrive
and	CC	and
to	TO	to
get	VV	get
one	CD	one
gallon	NN	gallon
or	CC	or
one	CD	one
bucket	NN	bucket
of	IN	of
water	NN	water
just	RB	just
to	TO	to
drink	VV	drink
there's	RB	there's
famine	NN	famine
and	CC	and
we	PP	we
Face	NP	Face
starvation	NN	starvation
here	RB	here
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
we	PP	we
suffer	VVP	suffer
from	IN	from
lack	NN	lack
of	IN	of
everything	NN	everything
what	WP	what
can	MD	can
one	CD	one
gallon	NN	gallon
of	IN	of
water	NN	water
do	VVP	do
per	IN	per
day	NN	day
the	DT	the
water	NN	water
shortage	NN	shortage
adds	VVZ	add
a	DT	a
lot	NN	lot
to	TO	to
the	DT	the
suffering	NN	suffering
of	IN	of
the	DT	the
people	NNS	people
here	RB	here
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
as	IN	as
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
have	VHP	have
destroyed	VVN	destroy
all	PDT	all
the	DT	the
wells	NNS	well
in	IN	in
water	NN	water
and	CC	and
sewage	NN	sewage
Networks	NNS	network
sh	JJ	sh
Al	NP	Al
sh	NNS	sh
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
