<video_id>jE2onA6txvE</video_id>	JJ	<video_id>jE2onA6txvE</video_id>
<video_title>Egypt	NNS	<video_title>Egypt
unlikely	JJ	unlikely
to	TO	to
‘budge’	NN	‘budge’
on	IN	on
Philadelphi	NP	Philadelphi
Corridor,	NP	Corridor,
Rafah	NP	Rafah
crossing:	NP	crossing:
Analysis</video_title>	NP	Analysis</video_title>
<thumbnail_path>data/en_AJ\Egypt	NNS	<thumbnail_path>data/en_AJ\Egypt
unlikely	JJ	unlikely
to	TO	to
‘budge’	NN	‘budge’
on	IN	on
Philadelphi	NP	Philadelphi
Corridor,	NP	Corridor,
Rafah	NP	Rafah
crossing	VVG	cross
Analysis.jpg</thumbnail_path>	NP	Analysis.jpg</thumbnail_path>
<publish_date>20240820</publish_date>	NN	<publish_date>20240820</publish_date>
<doc>	NN	<doc>
now	RB	now
the	DT	the
buffer	NN	buffer
zone	NN	zone
between	IN	between
Egypt	NP	Egypt
and	CC	and
Gaza	NP	Gaza
is	VBZ	be
known	VVN	know
as	IN	as
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
the	DT	the
14	CD	@card@
km	NN	km
long	JJ	long
strip	NN	strip
of	IN	of
land	NN	land
represents	VVZ	represent
the	DT	the
entirity	NN	entirity
of	IN	of
the	DT	the
Border	NP	Border
area	NN	area
between	IN	between
Gaza	NP	Gaza
and	CC	and
Egypt	NP	Egypt
Israel	NP	Israel
managed	VVD	manage
the	DT	the
area	NN	area
controlling	VVG	control
the	DT	the
movement	NN	movement
of	IN	of
goods	NNS	good
and	CC	and
people	NNS	people
until	IN	until
it	PP	it
withdrew	VVD	withdraw
its	PP$	its
forces	NNS	force
from	IN	from
Gaza	NP	Gaza
in	IN	in
2005	CD	@card@
since	IN	since
then	RB	then
Egyptian	JJ	Egyptian
forces	NNS	force
have	VHP	have
taken	VVN	take
over	IN	over
patrolling	VVG	patrol
duties	NNS	duty
but	CC	but
Israel	NP	Israel
still	RB	still
inspects	VVZ	inspect
all	DT	all
of	IN	of
the	DT	the
deliveries	NNS	delivery
into	IN	into
the	DT	the
territory	NN	territory
both	CC	both
Egypt	NP	Egypt
and	CC	and
Hamas	NP	Hamas
strongly	RB	strongly
oppose	VVP	oppose
Israel's	NP	Israel's
control	NN	control
over	IN	over
the	DT	the
corridor	NN	corridor
Hussein	NP	Hussein
hardi	NP	Hardi
is	VBZ	be
a	DT	a
former	JJ	former
Egyptian	JJ	Egyptian
assistant	JJ	assistant
foreign	JJ	foreign
minister	NN	minister
and	CC	and
Ambassador	NP	Ambassador
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
the	DT	the
Egyptian	JJ	Egyptian
Capital	NP	Capital
Cairo	NP	Cairo
Mr	NP	Mr
Hari	NP	Hari
good	JJ	good
to	TO	to
have	VH	have
you	PP	you
with	IN	with
us	PP	us
on	IN	on
Al	NP	Al
jazer	NN	jazer
thank	VVP	thank
you	PP	you
for	IN	for
your	PP$	your
time	NN	time
control	NN	control
of	IN	of
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
and	CC	and
control	NN	control
of	IN	of
the	DT	the
Rafa	NP	Rafa
border	NN	border
crossing	NN	crossing
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
a	DT	a
very	RB	very
tough	JJ	tough
discussion	NN	discussion
for	IN	for
the	DT	the
US	NP	US
with	IN	with
Egypt	NP	Egypt
because	IN	because
these	DT	these
agreements	NNS	agreement
were	VBD	be
years	NNS	year
in	IN	in
the	DT	the
making	VVG	make
and	CC	and
enshrined	VVN	enshrine
in	IN	in
various	JJ	various
peace	NN	peace
deals	NNS	deal
well	RB	well
definitely	RB	definitely
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
uh	UH	uh
one	CD	one
of	IN	of
the	DT	the
topics	NNS	topic
uh	UH	uh
that	WDT	that
have	VHP	have
been	VBN	be
hampering	VVG	hamper
reaching	VVG	reach
a	DT	a
ceire	NN	ceire
agreement	NN	agreement
in	IN	in
Gaza	NP	Gaza
is	VBZ	be
of	IN	of
course	NN	course
the	DT	the
future	NN	future
of	IN	of
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
as	RB	as
well	RB	well
as	IN	as
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
of	IN	of
the	DT	the
Rafa	NP	Rafa
uh	UH	uh
Egypt	NP	Egypt
has	VHZ	have
always	RB	always
maintained	VVN	maintain
that	IN/that	that
it	PP	it
rejects	VVZ	reject
it	PP	it
as	IN	as
Egypt	NP	Egypt
as	RB	as
always	RB	always
rejected	VVD	reject
the	DT	the
uh	UH	uh
permanent	JJ	permanent
uh	UH	uh
Israeli	JJ	Israeli
presence	NN	presence
military	JJ	military
presence	NN	presence
in	IN	in
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
as	RB	as
well	RB	well
as	IN	as
an	DT	an
Israeli	JJ	Israeli
control	NN	control
over	IN	over
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
of	IN	of
the	DT	the
RAF	NN	RAF
cring	NN	cring
and	CC	and
this	DT	this
this	DT	this
Remains	NNS	Remain
the	DT	the
Egyptian	JJ	Egyptian
position	NN	position
and	CC	and
this	DT	this
Egyptian	JJ	Egyptian
position	NN	position
is	VBZ	be
part	NN	part
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
uh	UH	uh
Egyptian	JJ	Egyptian
vision	NN	vision
of	IN	of
a	DT	a
complete	JJ	complete
withdrawal	NN	withdrawal
of	IN	of
Israeli	JJ	Israeli
forces	NNS	force
from	IN	from
the	DT	the
Gaza	NP	Gaza
St	NP	St
so	IN	so
I	PP	I
I	PP	I
I	PP	I
I	PP	I
expect	VVP	expect
the	DT	the
talks	NNS	talk
in	IN	in
Cairo	NP	Cairo
or	CC	or
in	IN	in
egyp	NN	egyp
between	IN	between
Mr	NP	Mr
blink	NN	blink
and	CC	and
Senior	JJ	Senior
Egyptian	JJ	Egyptian
officials	NNS	official
will	MD	will
be	VB	be
quite	PDT	quite
Frank	NP	Frank
quite	RB	quite
Frank	NP	Frank
and	CC	and
Egypt	NP	Egypt
want	VVP	want
budge	VV	budge
from	IN	from
its	PP$	its
position	NN	position
of	IN	of
course	NN	course
there	EX	there
is	VBZ	be
always	RB	always
can	MD	can
I	PP	I
just	RB	just
jump	VVP	jump
in	IN	in
there	RB	there
sir	NN	sir
just	RB	just
obviously	RB	obviously
we	PP	we
know	VVP	know
the	DT	the
diplomacy	NN	diplomacy
that	WDT	that
will	MD	will
be	VB	be
required	VVN	require
all	RB	all
of	IN	of
this	DT	this
happening	NN	happening
obviously	RB	obviously
behind	IN	behind
closed	JJ	closed
doors	NNS	door
can	MD	can
I	PP	I
just	RB	just
ask	VV	ask
you	PP	you
as	IN	as
a	DT	a
former	JJ	former
Ambassador	NN	ambassador
what	WP	what
sense	VVP	sense
do	VV	do
you	PP	you
get	VV	get
of	IN	of
The	DT	the
Strain	NP	Strain
between	IN	between
Cairo	NP	Cairo
and	CC	and
Tel	NP	Tel
Aviv	NP	Aviv
right	RB	right
now	RB	now
over	IN	over
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
I	NP	I
I	NP	I
I	NP	I
I	NP	I
don't	NP	don't
think	VVP	think
that	IN/that	that
the	DT	the
relations	NNS	relation
between	IN	between
Egypt	NP	Egypt
and	CC	and
and	NP	and
and	CC	and
Israel	NP	Israel
right	RB	right
now	RB	now
are	VBP	be
in	RB	in
in	IN	in
in	IN	in
a	DT	a
better	JJR	good
in	IN	in
a	DT	a
better	RBR	well
shape	VV	shape
uh	UH	uh
I	PP	I
guess	VVP	guess
tension	NN	tension
is	VBZ	be
very	RB	very
very	RB	very
very	RB	very
very	RB	very
high	JJ	high
it's	NNS	it's
very	RB	very
high	JJ	high
and	CC	and
and	CC	and
and	CC	and
and	CC	and
I	PP	I
I	PP	I
suspect	VVP	suspect
that	IN/that	that
it	PP	it
it	PP	it
it	PP	it
would	MD	would
remain	VV	remain
so	RB	so
for	IN	for
uh	UH	uh
for	IN	for
a	DT	a
per	FW	per
of	IN	of
time	NN	time
until	IN	until
Israel	NP	Israel
until	IN	until
Mr	NP	Mr
natany	NP	natany
and	CC	and
his	PP$	his
ruling	VVG	rule
Coalition	NP	Coalition
they	PP	they
changed	VVD	change
their	PP$	their
mind	NN	mind
about	IN	about
a	DT	a
complete	JJ	complete
Israeli	JJ	Israeli
control	NN	control
over	IN	over
Gaza	NP	Gaza
Strip	NP	Strip
including	VVG	include
the	DT	the
the	DT	the
Philadelphia	NP	Philadelphia
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
uh	UH	uh
so	IN	so
I	PP	I
I	PP	I
let's	NNS	let's
go	VVP	go
back	RB	back
to	TO	to
the	DT	the
uh	UH	uh
American	JJ	American
uh	UH	uh
diplomacy	NN	diplomacy
and	CC	and
and	CC	and
the	DT	the
talks	NNS	talk
that	WDT	that
Mr	NP	Mr
blinkin	JJ	blinkin
uh	UH	uh
is	VBZ	be
having	VHG	have
with	IN	with
Egyptian	JJ	Egyptian
officials	NNS	official
let's	NNS	let's
we	PP	we
if	IN	if
we	PP	we
can	MD	can
talk	VV	talk
about	RB	about
that	IN/that	that
what	WP	what
influence	NN	influence
does	VVZ	do
Egypt	NP	Egypt
have	VHP	have
with	IN	with
the	DT	the
US	NP	US
there's	RB	there's
been	VBN	be
lots	NNS	lot
of	IN	of
analysts	NNS	analyst
on	IN	on
Al	NP	Al
jazer	NN	jazer
talking	VVG	talk
about	IN	about
the	DT	the
influence	NN	influence
that	IN/that	that
Israel	NP	Israel
has	VHZ	have
with	IN	with
the	DT	the
United	NP	United
States	NP	States
but	CC	but
what	WP	what
is	VBZ	be
that	DT	that
working	VVG	work
relationship	NN	relationship
between	IN	between
Cairo	NP	Cairo
and	CC	and
Washington	NP	Washington
when	WRB	when
when	WRB	when
when	WRB	when
blinkin	NN	blinkin
arrives	VVZ	arrive
because	IN	because
it	PP	it
is	VBZ	be
as	IN	as
you	PP	you
say	VVP	say
the	DT	the
tension	NN	tension
is	VBZ	be
very	RB	very
high	JJ	high
in	IN	in
the	DT	the
region	NN	region
Egypt	NP	Egypt
and	CC	and
Israel	NP	Israel
relations	NNS	relation
are	VBP	be
very	RB	very
strained	VVN	strain
right	RB	right
now	RB	now
Egypt	NP	Egypt
will	MD	will
want	VV	want
to	TO	to
express	VV	express
that	IN/that	that
surely	RB	surely
to	TO	to
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
well	RB	well
I	PP	I
guess	VVP	guess
I	PP	I
guess	VVP	guess
the	DT	the
American	JJ	American
as	IN	as
nation	NN	nation
is	VBZ	be
is	VBZ	be
well	RB	well
aware	JJ	aware
of	IN	of
the	DT	the
Egyptian	JJ	Egyptian
position	NN	position
so	IN	so
uh	UH	uh
I	PP	I
don't	VVD	don't
think	VV	think
that	IN/that	that
the	DT	the
talks	NNS	talk
in	IN	in
Mr	NP	Mr
blinkon	NN	blinkon
talks	NNS	talk
with	IN	with
in	IN	in
in	RB	in
in	IN	in
in	IN	in
Egypt	NP	Egypt
would	MD	would
would	MD	would
dwell	VV	dwell
on	IN	on
the	DT	the
the	DT	the
basis	NN	basis
the	DT	the
the	DT	the
just	RB	just
of	IN	of
the	DT	the
Egyptian	JJ	Egyptian
position	NN	position
I	PP	I
I	PP	I
would	MD	would
expect	VV	expect
that	IN/that	that
the	DT	the
talks	NNS	talk
would	MD	would
would	MD	would
would	MD	would
try	VV	try
to	TO	to
find	VV	find
a	DT	a
compromise	NN	compromise
solution	NN	solution
between	IN	between
the	DT	the
Egyptian	JJ	Egyptian
and	CC	and
the	DT	the
Israeli	JJ	Israeli
Israeli	JJ	Israeli
position	NN	position
Vis	NP	Vis
particularly	RB	particularly
the	DT	the
Philadelphia	NP	Philadelphia
Corridor	NP	Corridor
and	CC	and
the	DT	the
ra	NN	ra
Crossing	VVG	cross
we	PP	we
understand	VVP	understand
that	IN/that	that
the	DT	the
American	NP	American
the	DT	the
American	NP	American
Administration	NP	Administration
fully	RB	fully
understand	VVP	understand
the	DT	the
Egyptian	JJ	Egyptian
positions	NNS	position
and	CC	and
and	CC	and
and	CC	and
and	CC	and
and	CC	and
I	PP	I
would	MD	would
go	VV	go
as	RB	as
as	RB	as
far	RB	far
as	IN	as
saying	VVG	say
that	IN/that	that
it	PP	it
it	PP	it
it	PP	it
has	VHZ	have
done	VVN	do
it's	NNS	it's
possible	JJ	possible
to	TO	to
accommodate	VV	accommodate
this	DT	this
Egyptian	JJ	Egyptian
position	NN	position
and	CC	and
that's	NNS	that's
what	WP	what
I	PP	I
expect	VVP	expect
from	IN	from
Mr	NP	Mr
blinkin	NN	blinkin
in	IN	in
his	PP$	his
talks	NNS	talk
with	IN	with
either	DT	either
president	NN	president
Cc	NN	Cc
or	CC	or
with	IN	with
his	PP$	his
cont	NN	cont
part	NN	part
today	NN	today
it'll	NN	it'll
be	VB	be
interesting	JJ	interesting
to	TO	to
see	VV	see
what	WP	what
does	VVZ	do
happen	VV	happen
it'll	RB	it'll
be	VB	be
great	JJ	great
to	TO	to
get	VV	get
some	DT	some
analysis	NN	analysis
from	IN	from
you	PP	you
when	WRB	when
we	PP	we
do	VVP	do
have	VH	have
more	JJR	more
uh	UH	uh
concrete	JJ	concrete
ideas	NNS	idea
of	IN	of
what's	NNS	what's
been	VBN	be
agreed	VVN	agree
Hussein	NP	Hussein
Hardy	NP	Hardy
thanks	NNS	thanks
for	IN	for
joining	VVG	join
us	PP	us
sir	NN	sir
from	IN	from
Cairo	NN	Cairo
it's	NNS	it's
my	PP$	my
pleasure	NN	pleasure
sir	NN	sir
make	VVP	make
sure	JJ	sure
to	TO	to
subscribe	VV	subscribe
to	TO	to
our	PP$	our
channel	NN	channel
to	TO	to
get	VV	get
the	DT	the
latest	JJS	late
news	NN	news
from	IN	from
Al	NP	Al
jazer	NN	jazer
</doc>	NN	</doc>
