<video_id>fHHPepOmOb4</video_id>	JJ	<video_id>fHHPepOmOb4</video_id>
<video_title>UN	NN	<video_title>UN
chief	NN	chief
invokes	VVZ	invoke
Article	NP	Article
99	CD	@card@
on	IN	on
Gaza	NP	Gaza
in	IN	in
rare	JJ	rare
move</video_title>	JJ	move</video_title>
<thumbnail_path>data/en_AJ\UN	NN	<thumbnail_path>data/en_AJ\UN
chief	NN	chief
invokes	VVZ	invoke
Article	NP	Article
99	CD	@card@
on	IN	on
Gaza	NP	Gaza
in	IN	in
rare	JJ	rare
move.jpg</thumbnail_path>	JJ	move.jpg</thumbnail_path>
<publish_date>20231206</publish_date>	NN	<publish_date>20231206</publish_date>
<doc>	NN	<doc>
gues	NNS	gues
has	VHZ	have
invoked	VVN	invoke
his	PP$	his
most	RBS	most
powerful	JJ	powerful
diplomatic	JJ	diplomatic
tool	NN	tool
to	TO	to
direct	VV	direct
the	DT	the
security	NN	security
Council	NN	council
to	TO	to
meet	VV	meet
over	IN	over
Gaza	NP	Gaza
he's	NNS	he's
calling	VVG	call
for	IN	for
an	DT	an
urgent	JJ	urgent
ceasefire	NN	ceasefire
to	TO	to
avert	VV	avert
what	WP	what
he	PP	he
calls	VVZ	call
a	DT	a
humanitarian	JJ	humanitarian
catastrophe	NN	catastrophe
Let's	NP	Let's
cross	NN	cross
live	VVP	live
to	TO	to
the	DT	the
UN	NP	UN
in	IN	in
New	NP	New
York	NP	York
we're	NN	we're
joined	VVD	join
Now	RB	now
by	IN	by
Kristen	NP	Kristen
salumi	NNS	salumi
so	IN	so
Kristen	NP	Kristen
put	VVD	put
this	DT	this
in	IN	in
context	NN	context
what	WP	what
does	VVZ	do
this	DT	this
mean	JJ	mean
yes	UH	yes
well	UH	well
we	PP	we
have	VHP	have
received	VVN	receive
through	IN	through
diplomatic	JJ	diplomatic
sources	NNS	source
copy	VVP	copy
of	IN	of
a	DT	a
letter	NN	letter
that	IN/that	that
the	DT	the
Secretary	NP	Secretary
General	NP	General
has	VHZ	have
submitted	VVN	submit
to	TO	to
the	DT	the
security	NN	security
Council	NN	council
invoking	VVG	invoke
article	NN	article
99	CD	@card@
this	DT	this
is	VBZ	be
the	DT	the
secretary	NN	secretary
General's	NP	General's
equivalent	NN	equivalent
of	IN	of
pushing	VVG	push
the	DT	the
panic	NN	panic
button	NN	button
article	NN	article
99	CD	@card@
in	IN	in
the	DT	the
UN	NP	UN
Charter	NP	Charter
gives	VVZ	give
him	PP	him
the	DT	the
authority	NN	authority
to	TO	to
call	VV	call
for	IN	for
a	DT	a
security	NN	security
council	NN	council
meeting	NN	meeting
for	IN	for
any	DT	any
topic	NN	topic
that	IN/that	that
he	PP	he
views	VVZ	view
as	IN	as
a	DT	a
threat	NN	threat
to	TO	to
International	NP	International
Peace	NP	Peace
and	CC	and
security	NN	security
it	PP	it
doesn't	VVD	doesn't
have	VH	have
to	TO	to
be	VB	be
on	IN	on
the	DT	the
agenda	NN	agenda
it	PP	it
doesn't	VVD	doesn't
have	VH	have
to	TO	to
be	VB	be
called	VVN	call
by	IN	by
a	DT	a
council	NN	council
member	NN	member
and	CC	and
he	PP	he
is	VBZ	be
doing	VVG	do
so	RB	so
over	IN	over
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
in	IN	in
the	DT	the
letter	NN	letter
he	PP	he
urges	VVZ	urge
uh	UH	uh
the	DT	the
council	NN	council
to	TO	to
use	VV	use
its	PP$	its
power	NN	power
to	TO	to
press	VV	press
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
saying	VVG	say
that	DT	that
uh	UH	uh
the	DT	the
humanitarian	JJ	humanitarian
situation	NN	situation
cannot	MD	can
be	VB	be
addressed	VVN	address
in	IN	in
the	DT	the
current	JJ	current
uh	UH	uh
environment	NN	environment
that	IN/that	that
the	DT	the
situation	NN	situation
is	VBZ	be
uh	UH	uh
at	IN	at
uh	UH	uh
that	IN/that	that
the	DT	the
humanitarian	JJ	humanitarian
uh	UH	uh
response	NN	response
is	VBZ	be
at	IN	at
severe	JJ	severe
risk	NN	risk
of	IN	of
collapse	NN	collapse
if	IN	if
there	EX	there
is	VBZ	be
not	RB	not
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
uh	UH	uh
more	JJR	more
Aid	NN	aid
is	VBZ	be
allowed	VVN	allow
to	TO	to
get	VV	get
in	IN	in
he	PP	he
uh	UH	uh
is	VBZ	be
doing	VVG	do
this	DT	this
as	IN	as
a	DT	a
majority	NN	majority
of	IN	of
council	NN	council
members	NNS	member
have	VHP	have
actually	RB	actually
expressed	VVN	express
their	PP$	their
support	NN	support
for	IN	for
a	DT	a
humanitarian	JJ	humanitarian
ceasefire	NN	ceasefire
uh	UH	uh
however	RB	however
the	DT	the
council	NN	council
has	VHZ	have
not	RB	not
uh	UH	uh
invoked	VVD	invoke
a	DT	a
resolution	NN	resolution
calling	VVG	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
the	DT	the
United	NP	United
States	NPS	States
has	VHZ	have
been	VBN	be
very	RB	very
clear	JJ	clear
in	IN	in
its	PP$	its
opposition	NN	opposition
to	TO	to
doing	VVG	do
so	IN	so
the	DT	the
United	NP	United
States	NP	States
being	VBG	be
a	DT	a
veto	NN	veto
wielding	VVG	wield
member	NN	member
of	IN	of
the	DT	the
council	NN	council
as	RB	as
recently	RB	recently
as	IN	as
yesterday	NN	yesterday
said	VVD	say
