well	RB	well
Ramy	NP	Ramy
curri	NP	curri
is	VBZ	be
distinguished	VVN	distinguish
public	JJ	public
policy	NN	policy
fellow	NN	fellow
at	IN	at
the	DT	the
American	NP	American
University	NP	University
of	IN	of
Beirut	NP	Beirut
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Washington	NP	Washington
DC	NP	DC
welcome	NN	welcome
to	TO	to
the	DT	the
program	NN	program
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
discussions	NNS	discussion
then	RB	then
what	WP	what
are	VBP	be
the	DT	the
main	JJ	main
stumbling	JJ	stumbling
blocks	NNS	block
that	WDT	that
would	MD	would
need	VV	need
to	TO	to
be	VB	be
addressed	VVN	address
before	IN	before
any	DT	any
deal	NN	deal
could	MD	could
be	VB	be
made	VVN	make
uh	UH	uh
the	DT	the
main	JJ	main
stumbling	JJ	stumbling
blocks	NNS	block
are	VBP	be
the	DT	the
ones	NNS	one
that	WDT	that
have	VHP	have
always	RB	always
been	VBN	be
there	RB	there
from	IN	from
the	DT	the
beginning	NN	beginning
which	WDT	which
is	VBZ	be
that	IN/that	that
neither	DT	neither
side	NN	side
the	DT	the
Israelis	NPS	Israelis
uh	UH	uh
nor	CC	nor
Hamas	NP	Hamas
wants	VVZ	want
to	TO	to
U	NP	U
concede	VVP	concede
anything	NN	anything
to	TO	to
the	DT	the
other	JJ	other
side	NN	side
um	NNS	um
and	CC	and
neither	RB	neither
of	IN	of
them	PP	them
are	VBP	be
willing	JJ	willing
to	TO	to
unilaterally	RB	unilaterally
concede	VV	concede
um	JJ	um
anything	NN	anything
they	PP	they
'	POS	'
re	NN	re
willing	JJ	willing
to	TO	to
make	VV	make
Mutual	JJ	mutual
concessions	NNS	concession
if	IN	if
they	PP	they
both	CC	both
gain	VV	gain
what	WP	what
is	VBZ	be
critical	JJ	critical
for	IN	for
them	PP	them
that	IN/that	that
hasn	NP	hasn
'	POS	'
t	NN	t
happened	VVD	happen
yet	RB	yet
they	PP	they
did	VVD	do
have	VH	have
that	DT	that
initial	JJ	initial
pause	NN	pause
and	CC	and
they	PP	they
released	VVD	release
some	DT	some
hostages	NNS	hostage
and	CC	and
prisoners	NNS	prisoner
of	IN	of
some	DT	some
U	NP	U
I	NP	I
don	NN	don
'	POS	'
t	NN	t
know	VVP	know
it	PP	it
was	VBD	be
about	RB	about
two	CD	two
months	NNS	month
ago	RB	ago
whatever	WDT	whatever
it	PP	it
was	VBD	be
but	CC	but
the	DT	the
um	NN	um
the	DT	the
big	JJ	big
uh	UH	uh
goal	NN	goal
there	RB	there
at	IN	at
after	IN	after
the	DT	the
Hamas	NN	Hamas
wants	VVZ	want
a	DT	a
permanent	JJ	permanent
ceasefire	NN	ceasefire
all	PDT	all
the	DT	the
Israelis	NPS	Israelis
out	RB	out
of	IN	of
Gaza	NP	Gaza
the	DT	the
Palestinians	NNS	Palestinian
being	VBG	be
able	JJ	able
to	TO	to
move	VV	move
back	RB	back
to	TO	to
the	DT	the
north	NN	north
anywhere	RB	anywhere
they	PP	they
want	VVP	want
and	CC	and
full	JJ	full
uh	UH	uh
resumption	NN	resumption
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
as	IN	as
it	PP	it
was	VBD	be
uh	UH	uh
before	RB	before
October	NP	October
uh	UH	uh
7	CD	@card@
um	NNS	um
so	IN	so
the	DT	the
Israelis	NPS	Israelis
want	VVP	want
the	DT	the
hostages	NNS	hostage
released	VVD	release
they	PP	they
want	VVP	want
to	TO	to
make	VV	make
sure	JJ	sure
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
going	VVG	go
to	TO	to
be	VB	be
attacked	VVN	attack
again	RB	again
from	IN	from
Gaza	NP	Gaza
uh	UH	uh
and	CC	and
they	PP	they
they	PP	they
say	VVP	say
they	PP	they
want	VVP	want
to	TO	to
destroy	VV	destroy
Hamas	VV	Hamas
uh	UH	uh
they	PP	they
'	POS	'
re	NN	re
probably	RB	probably
going	VVG	go
to	TO	to
get	VV	get
the	DT	the
first	JJ	first
two	CD	two
things	NNS	thing
they	PP	they
want	VVP	want
but	CC	but
it	PP	it
'	POS	'
s	NN	S
unlikely	JJ	unlikely
that	IN/that	that
Hamas	NP	Hamas
can	MD	can
be	VB	be
destroyed	VVN	destroy
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
really	RB	really
a	DT	a
sentiment	NN	sentiment
it	PP	it
'	POS	'
s	NNS	s
an	DT	an
idea	NN	idea
that	WDT	that
has	VHZ	have
transformed	VVN	transform
into	IN	into
a	DT	a
movement	NN	movement
but	CC	but
that	IN/that	that
movement	NN	movement
has	VHZ	have
transformed	VVN	transform
itself	PP	itself
over	IN	over
the	DT	the
years	NNS	year
and	CC	and
others	NNS	other
were	VBD	be
there	RB	there
before	IN	before
it	PP	it
and	CC	and
after	IN	after
it	PP	it
so	IN	so
you	PP	you
can	MD	can
'	''	'
t	NN	t
really	RB	really
destroy	VV	destroy
Hamas	NN	Hamas
but	CC	but
you	PP	you
have	VHP	have
to	TO	to
take	VV	take
away	RP	away
the	DT	the
reasons	NNS	reason
why	WRB	why
a	DT	a
Hamas	NN	Hamas
is	VBZ	be
needed	VVN	need
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
and	CC	and
the	DT	the
subjugation	NN	subjugation
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
so	IN	so
they	PP	they
'	POS	'
re	NN	re
getting	VVG	get
close	NN	close
to	TO	to
the	DT	the
point	NN	point
where	WRB	where
both	DT	both
sides	NNS	side
are	VBP	be
going	VVG	go
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
get	VV	get
what	WP	what
they	PP	they
say	VVP	say
are	VBP	be
their	PP$	their
critical	JJ	critical
demands	NNS	demand
and	CC	and
if	IN	if
they	PP	they
can	MD	can
both	CC	both
get	VV	get
them	PP	them
simultaneously	RB	simultaneously
then	RB	then
you	PP	you
could	MD	could
have	VH	have
a	DT	a
really	RB	really
impressive	JJ	impressive
agreement	NN	agreement
probably	RB	probably
in	IN	in
two	CD	two
stages	NNS	stage
as	IN	as
they	PP	they
'	POS	'
re	NN	re
thinking	VVG	think
now	RB	now
and	CC	and
all	RB	all
of	IN	of
this	DT	this
though	RB	though
in	IN	in
a	DT	a
shadow	NN	shadow
of	IN	of
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
consistently	RB	consistently
warning	VVG	warn
of	IN	of
a	DT	a
fullscale	NN	fullscale
assault	NN	assault
on	IN	on
the	DT	the
southern	JJ	southern
Gaza	NP	Gaza
City	NP	City
of	IN	of
Rafa	NP	Rafa
well	RB	well
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
negotiations	NNS	negotiation
you	PP	you
know	VVP	know
you	PP	you
have	VHP	have
to	TO	to
keep	VV	keep
the	DT	the
pressure	NN	pressure
up	RP	up
on	IN	on
the	DT	the
other	JJ	other
side	NN	side
you	PP	you
'	POS	'
ve	NN	ve
got	VVD	get
to	TO	to
keep	VV	keep
the	DT	the
threats	NNS	threat
up	IN	up
you	PP	you
'	POS	'
ve	NN	ve
got	VVD	get
to	TO	to
make	VV	make
it	PP	it
uh	UH	uh
seem	VV	seem
that	IN/that	that
you	PP	you
'	POS	'
re	NN	re
not	RB	not
bothered	VVD	bother
you	PP	you
can	MD	can
stay	VV	stay
like	IN	like
this	DT	this
for	IN	for
another	DT	another
year	NN	year
the	DT	the
reality	NN	reality
though	IN	though
what	WP	what
'	POS	'
s	NNS	s
fascinating	VVG	fascinate
here	RB	here
is	VBZ	be
the	DT	the
involvement	NN	involvement
of	IN	of
the	DT	the
third	JJ	third
party	NN	party
which	WDT	which
is	VBZ	be
the	DT	the
United	NP	United
States	NPS	States
this	DT	this
is	VBZ	be
a	DT	a
war	NN	war
between	IN	between
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
Israel	NP	Israel
on	IN	on
one	CD	one
side	NN	side
and	CC	and
Hamas	NN	Hamas
and	CC	and
some	DT	some
other	JJ	other
groups	NNS	group
on	IN	on
the	DT	the
Palestinian	JJ	Palestinian
side	NN	side
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
really	RB	really
worried	VVN	worry
about	IN	about
many	JJ	many
things	NNS	thing
they	PP	they
were	VBD	be
terrified	VVN	terrify
of	IN	of
the	DT	the
Iranian	JJ	Iranian
Israeli	JJ	Israeli
exchange	NN	exchange
of	IN	of
um	JJ	um
fire	NN	fire
weapon	NN	weapon
you	PP	you
know	VVP	know
attacks	NNS	attack
between	IN	between
them	PP	them
even	RB	even
though	IN	though
they	PP	they
were	VBD	be
both	CC	both
controlled	VVD	control
they	PP	they
were	VBD	be
terrified	VVN	terrify
of	IN	of
a	DT	a
wider	JJR	wide
war	NN	war
in	IN	in
the	DT	the
region	NN	region
what	WP	what
the	DT	the
impact	NN	impact
of	IN	of
this	DT	this
on	IN	on
oil	NN	oil
flows	NNS	flow
on	IN	on
investment	NN	investment
on	IN	on
global	JJ	global
trade	NN	trade
would	MD	would
be	VB	be
a	DT	a
catastrophe	NN	catastrophe
the	DT	the
United	NP	United
States	NPS	States
government	NN	government
uh	UH	uh
led	VVN	lead
by	IN	by
the	DT	the
Democrats	NPS	Democrats
and	CC	and
Biden	NP	Biden
are	VBP	be
terrified	VVN	terrify
of	IN	of
the	DT	the
impact	NN	impact
of	IN	of
this	DT	this
war	NN	war
on	IN	on
their	PP$	their
election	NN	election
prospects	NNS	prospect
in	IN	in
November	NP	November
U	NP	U
at	IN	at
poll	NN	poll
yesterday	NN	yesterday
showed	VVD	show
that	IN/that	that
81	CD	@card@
%	NN	%
of	IN	of
young	JJ	young
people	NNS	people
all	DT	all
people	NNS	people
not	RB	not
just	RB	just
rats	VVZ	rat
81	CD	@card@
%	NN	%
of	IN	of
Americans	NPS	Americans
between	IN	between
the	DT	the
ages	NNS	age
of	IN	of
18	CD	@card@
and	CC	and
34	CD	@card@
think	VVP	think
that	IN/that	that
uh	UH	uh
the	DT	the
war	NN	war
is	VBZ	be
being	VBG	be
badly	RB	badly
managed	VVN	manage
and	CC	and
they	PP	they
disapprove	VVP	disapprove
of	IN	of
the	DT	the
way	NN	way
the	DT	the
war	NN	war
is	VBZ	be
going	VVG	go
and	CC	and
American	JJ	American
support	NN	support
for	IN	for
it	PP	it
this	DT	this
is	VBZ	be
a	DT	a
huge	JJ	huge
huge	JJ	huge
thing	NN	thing
for	IN	for
American	JJ	American
politicians	NNS	politician
and	CC	and
they	PP	they
'	POS	'
re	NN	re
also	RB	also
finding	VVG	find
that	IN/that	that
they	PP	they
'	POS	'
re	NN	re
not	RB	not
being	VBG	be
isolated	VVN	isolate
around	IN	around
the	DT	the
world	NN	world
because	IN	because
you	PP	you
can	MD	can
'	''	'
t	NN	t
isolate	VVP	isolate
them	PP	them
they	PP	they
'	POS	'
re	NN	re
so	IN	so
strong	JJ	strong
but	CC	but
they	PP	they
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
the	DT	the
same	JJ	same
clout	NN	clout
that	IN/that	that
they	PP	they
that	IN/that	that
they	PP	they
used	VVD	use
to	TO	to
people	NNS	people
are	VBP	be
looking	VVG	look
to	TO	to
China	NP	China
to	TO	to
uh	UH	uh
Russia	NP	Russia
to	TO	to
India	NP	India
to	TO	to
the	DT	the
bricks	NNS	brick
to	TO	to
other	JJ	other
people	NNS	people
for	IN	for
strategic	JJ	strategic
relationships	NNS	relationship
as	RB	as
well	RB	well
as	IN	as
Americans	NPS	Americans
so	RB	so
there	RB	there
'	''	'
s	NNS	s
huge	JJ	huge
fear	NN	fear
in	IN	in
the	DT	the
US	NP	US
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
been	VBN	be
worried	VVN	worry
in	IN	in
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
about	IN	about
the	DT	the
international	JJ	international
criminal	JJ	criminal
court	NN	court
issuing	VVG	issue
uh	UH	uh
summons	NN	summons
indictments	NNS	indictment
against	IN	against
Israeli	JJ	Israeli
leaders	NNS	leader
for	IN	for
war	NN	war
crimes	NNS	crime
as	IN	as
well	RB	well
as	RB	as
probably	RB	probably
against	IN	against
Hamas	JJ	Hamas
people	NNS	people
and	CC	and
Hamas	NN	Hamas
is	VBZ	be
worried	VVN	worry
that	IN/that	that
it	PP	it
'	POS	'
s	NN	S
U	NN	U
not	RB	not
really	RB	really
getting	VVG	get
the	DT	the
kind	NN	kind
of	IN	of
support	NN	support
it	PP	it
was	VBD	be
expecting	VVG	expect
from	IN	from
Arab	JJ	Arab
or	CC	or
Iranian	JJ	Iranian
or	CC	or
other	JJ	other
supporters	NNS	supporter
in	IN	in
the	DT	the
region	NN	region
and	CC	and
that	IN/that	that
'	POS	'
s	NN	S
pretty	RB	pretty
much	RB	much
