<video_id>ZRAo_-Hf7KE</video_id>	JJ	<video_id>ZRAo_-Hf7KE</video_id>
<video_title>Hamas	NN	<video_title>Hamas
official	NN	official
says	VVZ	say
some	DT	some
Israeli	JJ	Israeli
captives	NNS	captive
found	VVD	find
dead	NN	dead
were	VBD	be
'approved'	VVN	'approved'
for	IN	for
exchange	NN	exchange
in	IN	in
potential	JJ	potential
deal</video_title>	JJ	deal</video_title>
<thumbnail_path>data/en_AJ\Hamas	NN	<thumbnail_path>data/en_AJ\Hamas
official	NN	official
says	VVZ	say
some	DT	some
Israeli	JJ	Israeli
captives	NNS	captive
found	VVD	find
dead	NN	dead
were	VBD	be
'approved'	VVN	'approved'
for	IN	for
exchange	NN	exchange
in	IN	in
potential	JJ	potential
deal.jpg</thumbnail_path>	JJ	deal.jpg</thumbnail_path>
<publish_date>20240904</publish_date>	NN	<publish_date>20240904</publish_date>
<doc>	NN	<doc>
well	RB	well
we	PP	we
can	MD	can
talk	VV	talk
now	RB	now
to	TO	to
basam	NP	basam
Naim	NP	Naim
who	WP	who
is	VBZ	be
a	DT	a
member	NN	member
of	IN	of
hamas's	NNS	hamas's
political	JJ	political
Bureau	NP	Bureau
sir	NN	sir
I	PP	I
I	PP	I
want	VVP	want
to	TO	to
start	VV	start
by	IN	by
asking	VVG	ask
you	PP	you
about	IN	about
the	DT	the
six	CD	six
Israeli	JJ	Israeli
captives	NNS	captive
whose	WP$	whose
bodies	NNS	body
were	VBD	be
found	VVN	find
in	IN	in
a	DT	a
tunnel	NN	tunnel
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
the	DT	the
Israeli	JJ	Israeli
authorities	NNS	authority
and	CC	and
Hamas	NNS	Hamas
are	VBP	be
blaming	VVG	blame
each	DT	each
other	JJ	other
for	IN	for
killing	VVG	kill
them	PP	them
how	WRB	how
did	VVD	do
they	PP	they
die	VVP	die
thank	VV	thank
you	PP	you
very	RB	very
much	JJ	much
uh	UH	uh
we	PP	we
also	RB	also
in	IN	in
the	DT	the
leadership	NN	leadership
of	IN	of
Hamas	NN	Hamas
here	RB	here
outside	JJ	outside
of	IN	of
the	DT	the
country	NN	country
we	PP	we
are	VBP	be
waiting	VVG	wait
for	IN	for
the	DT	the
final	JJ	final
uh	UH	uh
story	NN	story
or	CC	or
narrative	NN	narrative
from	IN	from
the	DT	the
resistance	NN	resistance
on	IN	on
the	DT	the
ground	NN	ground
because	IN	because
we	PP	we
have	VHP	have
it	PP	it
is	VBZ	be
very	RB	very
complicated	VVN	complicate
their	PP$	their
underground	NN	underground
we	PP	we
can	MD	can
remember	VV	remember
recently	RB	recently
when	WRB	when
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
tried	VVN	try
to	TO	to
rescue	VV	rescue
some	DT	some
of	IN	of
their	PP$	their
captured	VVN	capture
Israelis	NNS	Israeli
inat	NN	inat
two	CD	two
months	NNS	month
ago	RB	ago
they	PP	they
have	VHP	have
rescued	VVN	rescue
three	CD	three
uh	UH	uh
uh	UH	uh
living	VVG	live
captured	VVN	capture
Israelis	NNS	Israeli
but	CC	but
they	PP	they
have	VHP	have
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
killed	VVD	kill
three	CD	three
others	NNS	other
and	CC	and
killed	VVN	kill
uh	UH	uh
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
two	CD	two
50	CD	@card@
Palestinians	NNS	Palestinian
and	CC	and
wed	VVN	wed
hundreds	NNS	hundred
in	IN	in
each	DT	each
time	NN	time
in	IN	in
another	DT	another
case	NN	case
in	IN	in
Shia	NP	Shia
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
killed	VVN	kill
also	RB	also
by	IN	by
I'm	NP	I'm
I'm	NP	I'm
talking	NN	talking
killed	VVD	kill
not	RB	not
only	RB	only
by	IN	by
this	DT	this
by	IN	by
missiles	NNS	missile
attacks	VVZ	attack
where	WRB	where
they	PP	they
have	VHP	have
killed	VVN	kill
at	IN	at
least	JJS	least
70	CD	@card@
to	TO	to
80	CD	@card@
of	IN	of
their	PP$	their
on	IN	on
uh	UH	uh
people	NNS	people
but	CC	but
I'm	NN	I'm
talking	VVG	talk
about	IN	about
cases	NNS	case
where	WRB	where
they	PP	they
have	VHP	have
killed	VVN	kill
by	IN	by
snipers	NNS	sniper
or	CC	or
by	IN	by
direct	JJ	direct
shooting	NN	shooting
therefore	RB	therefore
uh	UH	uh
no	UH	no
until	IN	until
now	RB	now
we	PP	we
cannot	MD	can
confirm	VV	confirm
any	DT	any
of	IN	of
these	DT	these
uh	UH	uh
allegations	NNS	allegation
of	IN	of
the	DT	the
side	NN	side
they	PP	they
haven't	VVD	haven't
specifically	RB	specifically
if	IN	if
if	IN	if
I	PP	I
can	MD	can
jump	VV	jump
in	IN	in
specifically	RB	specifically
Israel	NP	Israel
says	VVZ	say
that	IN/that	that
the	DT	the
autopsy	NN	autopsy
shows	VVZ	show
that	IN/that	that
the	DT	the
bodies	NNS	body
carry	VVP	carry
signs	NNS	sign
of	IN	of
bullet	NN	bullet
wounds	NNS	wound
and	CC	and
the	DT	the
autopsy	NN	autopsy
suggests	VVZ	suggest
that	IN/that	that
they	PP	they
were	VBD	be
shot	VVN	shoot
at	IN	at
close	JJ	close
range	NN	range
a	DT	a
short	JJ	short
while	NN	while
before	IN	before
the	DT	the
Israeli	JJ	Israeli
troops	NNS	troop
got	VVD	get
there	EX	there
are	VBP	be
those	DT	those
things	NNS	thing
that	IN/that	that
first	JJ	first
of	IN	of
all	DT	all
first	JJ	first
of	IN	of
all	RB	all
we	PP	we
have	VH	have
he	PP	he
a	DT	a
lot	NN	lot
of	IN	of
Israeli	JJ	Israeli
stories	NNS	story
like	IN	like
beheading	NN	beheading
of	IN	of
baby	NN	baby
of	IN	of
mass	JJ	mass
ring	NN	ring
or	CC	or
gang	NN	gang
gings	NNS	gings
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
other	JJ	other
lies	NNS	lie
which	WDT	which
has	VHZ	have
unfortunately	RB	unfortunately
adopted	VVN	adopt
by	IN	by
the	DT	the
Western	JJ	Western
media	NNS	medium
in	IN	in
particular	JJ	particular
in	IN	in
the	DT	the
United	NP	United
States	NPS	States
uh	UH	uh
which	WDT	which
has	VHZ	have
been	VBN	be
