Muhammad	NP	Muhammad
Ali	NP	Ali
from	IN	from
Beit	NP	Beit
Lahiya	NP	Lahiya
is	VBZ	be
pregnant	JJ	pregnant
in	IN	in
Tawam	NP	Tawam
,	,	,
that	WDT	that
is	VBZ	be
,	,	,
she	PP	she
had	VHD	have
four	CD	four
clots	NNS	clot
in	IN	in
her	PP$	her
left	JJ	left
leg	NN	leg
,	,	,
and	CC	and
when	WRB	when
he	PP	he
feared	VVD	fear
,	,	,
when	WRB	when
war	NN	war
broke	VVD	break
out	RP	out
,	,	,
there	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
bombing	NN	bombing
around	IN	around
us	PP	us
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
lot	NN	lot
of	IN	of
bombardment	NN	bombardment
around	IN	around
us	PP	us
.	SENT	.
Artillery	NN	artillery
was	VBD	be
striking	JJ	striking
and	CC	and
aircraft	NN	aircraft
were	VBD	be
striking	JJ	striking
.	SENT	.
It	PP	it
was	VBD	be
so	RB	so
light	JJ	light
with	IN	with
fire	NN	fire
packets	NNS	packet
that	IN/that	that
I	PP	I
could	MD	could
not	RB	not
get	VV	get
out	RP	out
of	IN	of
my	PP$	my
house	NN	house
in	IN	in
any	DT	any
way	NN	way
.	SENT	.
My	PP$	my
legs	NNS	leg
were	VBD	be
injured	VVN	injure
and	CC	and
I	PP	I
was	VBD	be
.	SENT	.
I	PP	I
was	VBD	be
pregnant	JJ	pregnant
with	IN	with
Tom	NP	Tom
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
,	,	,
very	RB	very
difficult	JJ	difficult
for	IN	for
me	PP	me
to	TO	to
get	VV	get
out	RP	out
of	IN	of
my	PP$	my
house	NN	house
until	IN	until
the	DT	the
second	JJ	second
shelter	NN	shelter
in	IN	in
Saftawi	NP	Saftawi
.	SENT	.
It	PP	it
was	VBD	be
also	RB	also
difficult	JJ	difficult
for	IN	for
me	PP	me
to	TO	to
get	VV	get
to	TO	to
the	DT	the
school	NN	school
base	NN	base
.	SENT	.
It	PP	it
was	VBD	be
also	RB	also
very	RB	very
difficult	JJ	difficult
for	IN	for
me	PP	me
to	TO	to
go	VV	go
down	RP	down
the	DT	the
stairs	NNS	stair
.	SENT	.
The	DT	the
bathrooms	NNS	bathroom
were	VBD	be
far	RB	far
away	RB	away
from	IN	from
you	PP	you
.	SENT	.
It	PP	it
was	VBD	be
completely	RB	completely
different	JJ	different
from	IN	from
the	NP	the
[	SYM	[
__	NN	__
]	SYM	]
they	PP	they
used	VVD	use
to	TO	to
throw	VV	throw
at	IN	at
us	PP	us
other	JJ	other
than	IN	than
the	DT	the
banging	VVG	bang
that	DT	that
was	VBD	be
present	JJ	present
at	IN	at
us	PP	us
once	RB	once
upon	IN	upon
a	DT	a
time	NN	time
.	SENT	.
At	IN	at
school	NN	school
,	,	,
we	PP	we
had	VHD	have
to	TO	to
get	VV	get
out	RP	out
of	IN	of
the	DT	the
school	NN	school
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
foot	NN	foot
above	IN	above
us	PP	us
.	SENT	.
There	EX	there
was	VBD	be
a	DT	a
cane	NN	cane
above	IN	above
us	PP	us
.	SENT	.
We	PP	we
had	VHD	have
a	DT	a
fig	NN	fig
tooth	NN	tooth
growing	VVG	grow
on	IN	on
it	PP	it
for	IN	for
two	CD	two
nights	NNS	night
.	SENT	.
It	PP	it
was	VBD	be
very	RB	very
scary	JJ	scary
.	SENT	.
We	PP	we
did	VVD	do
not	RB	not
find	VV	find
anyone	NN	anyone
to	TO	to
help	VV	help
us	PP	us
sit	VV	sit
.	SENT	.
The	DT	the
place	NN	place
was	VBD	be
overflowing	VVG	overflow
.	SENT	.
We	PP	we
left	VVD	leave
Yemen	NP	Yemen
Al	NP	Al
-	NP	-
Saeed	NP	Saeed
.	SENT	.
We	PP	we
went	VVD	go
to	TO	to
the	DT	the
camp	NN	camp
.	SENT	.
From	IN	from
the	DT	the
camp	NN	camp
we	PP	we
found	VVD	find
a	DT	a
place	NN	place
.	SENT	.
Even	RB	even
the	DT	the
place	NN	place
was	VBD	be
not	RB	not
suitable	JJ	suitable
.	SENT	.
We	PP	we
were	VBD	be
15	CD	@card@
.	SENT	.
Someone	NN	someone
from	IN	from
one	CD	one
family	NN	family
sits	VVZ	sit
in	IN	in
this	DT	this
place	NN	place
,	,	,
the	DT	the
elevator	NN	elevator
place	NN	place
.	SENT	.
We	PP	we
sat	VVD	sit
on	IN	on
top	NN	top
of	IN	of
some	DT	some
Jews	NPS	Jews
.	SENT	.
They	PP	they
took	VVD	take
us	PP	us
out	RP	out
forcefully	RB	forcefully
.	SENT	.
The	DT	the
sniper	NN	sniper
was	VBD	be
working	VVG	work
on	IN	on
us	PP	us
.	SENT	.
The	DT	the
artillery	NN	artillery
was	VBD	be
working	VVG	work
on	IN	on
us	PP	us
.	SENT	.
We	PP	we
also	RB	also
had	VHD	have
a	DT	a
fire	NN	fire
belt	NN	belt
in	IN	in
the	DT	the
place	NN	place
.	SENT	.
It	PP	it
became	VVD	become
a	DT	a
fire	NN	fire
belt	NN	belt
.	SENT	.
The	DT	the
day	NN	day
we	PP	we
left	VVD	leave
school	NN	school
,	,	,
the	DT	the
Jews	NPS	Jews
ran	VVD	run
for	IN	for
bread	NN	bread
in	IN	in
the	DT	the
same	JJ	same
school	NN	school
where	WRB	where
we	PP	we
were	VBD	be
.	SENT	.
We	PP	we
followed	VVD	follow
animal	JJ	animal
bread	NN	bread
,	,	,
may	MD	may
God	NP	God
bless	VV	bless
you	PP	you
.	SENT	.
It	PP	it
was	VBD	be
rabbit	NN	rabbit
bread	NN	bread
.	SENT	.
Pregnant	JJ	pregnant
women	NNS	woman
would	MD	would
not	RB	not
eat	VV	eat
garlic	NN	garlic
in	IN	in
it	PP	it
.	SENT	.
She	PP	she
would	MD	would
eat	VV	eat
rabbit	NN	rabbit
bread	NN	bread
.	SENT	.
By	IN	by
God	NP	God
,	,	,
by	IN	by
God	NP	God
,	,	,
by	IN	by
God	NP	God
,	,	,
there	EX	there
was	VBD	be
blood	NN	blood
.	SENT	.
Destruction	NN	destruction
to	TO	to
the	DT	the
health	NN	health
of	IN	of
women	NNS	woman
and	CC	and
destruction	NN	destruction
to	TO	to
the	DT	the
babies	NNS	baby
.	SENT	.
By	IN	by
God	NP	God
,	,	,
it	PP	it
was	VBD	be
difficult	JJ	difficult
to	TO	to
follow	VV	follow
the	DT	the
pregnancy	NN	pregnancy
.	SENT	.
We	PP	we
ate	VVD	eat
what	WP	what
we	PP	we
followed	VVD	follow
.	SENT	.
It	PP	it
was	VBD	be
I	PP	I
.	SENT	.
My	PP$	my
meal	NN	meal
was	VBD	be
how	WRB	how
many	JJ	many
pregnant	JJ	pregnant
women	NNS	woman
