begin	VV	begin
with	IN	with
breaking	VVG	break
news	NN	news
the	DT	the
United	NP	United
States	NP	States
says	VVZ	say
it	PP	it
submitted	VVD	submit
a	DT	a
draft	NN	draft
resolution	NN	resolution
to	TO	to
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
calling	VVG	call
for	IN	for
an	DT	an
immediate	JJ	immediate
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
says	VVZ	say
the	DT	the
resolution	NN	resolution
is	VBZ	be
linked	VVN	link
to	TO	to
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
and	CC	and
that	IN/that	that
he	PP	he
hopes	VVZ	hope
countries	NNS	country
will	MD	will
support	VV	support
the	DT	the
move	NN	move
the	DT	the
US	NP	US
has	VHZ	have
previously	RB	previously
vetoed	VVN	veto
attempts	NNS	attempt
to	TO	to
achieve	VV	achieve
a	DT	a
ceasefire	NN	ceasefire
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
let	VVD	let
'	''	'
s	NNS	s
get	VVP	get
more	JJR	more
with	IN	with
our	PP$	our
diplomatic	JJ	diplomatic
editor	NN	editor
James	NP	James
space	NN	space
who	WP	who
joins	VVZ	join
us	PP	us
on	IN	on
the	DT	the
line	NN	line
so	IN	so
James	NP	James
what	WP	what
more	RBR	more
are	VBP	be
you	PP	you
hearing	VVG	hear
about	IN	about
this	DT	this
us	PP	us
resolution	NN	resolution
well	RB	well
these	DT	these
comments	NNS	comment
have	VHP	have
come	VVN	come
from	IN	from
Secretary	NP	Secretary
of	IN	of
State	NP	State
blinkin	NN	blinkin
in	IN	in
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
and	CC	and
clearly	RB	clearly
sound	VV	sound
very	RB	very
important	JJ	important
indeed	RB	indeed
uh	UH	uh
what	WP	what
we	PP	we
need	VVP	need
to	TO	to
know	VV	know
is	VBZ	be
exact	VV	exact
the	DT	the
exact	JJ	exact
language	NN	language
of	IN	of
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
resolution	NN	resolution
to	TO	to
which	WDT	which
he	PP	he
'	POS	'
s	NN	S
referring	VVG	refer
and	CC	and
I	PP	I
can	MD	can
tell	VV	tell
you	PP	you
that	IN/that	that
Al	NP	Al
jazer	NP	jazer
has	VHZ	have
obtained	VVN	obtain
a	DT	a
copy	NN	copy
of	IN	of
the	DT	the
latest	JJS	late
we	PP	we
thought	VVD	think
it	PP	it
was	VBD	be
the	DT	the
latest	JJS	late
us	PP	us
uh	UH	uh
Security	NP	Security
Council	NP	Council
draft	NN	draft
just	RB	just
a	DT	a
few	JJ	few
hours	NNS	hour
ago	RB	ago
and	CC	and
this	DT	this
is	VBZ	be
I	PP	I
think	VVP	think
where	WRB	where
the	DT	the
language	NN	language
is	VBZ	be
important	JJ	important
because	IN	because
he	PP	he
'	POS	'
s	NNS	s
talking	VVG	talk
when	WRB	when
he	PP	he
spoke	VVD	speak
to	TO	to
reporters	NNS	reporter
a	DT	a
short	JJ	short
time	NN	time
ago	RB	ago
about	RB	about
immate	JJ	immate
ceasefire	NN	ceasefire
the	DT	the
resolution	NN	resolution
the	DT	the
copy	VVP	copy
we	PP	we
'	''	'
ve	NNS	ve
seen	VVN	see
does	VVZ	do
use	VV	use
the	DT	the
words	NNS	word
immediate	JJ	immediate
and	CC	and
sustain	VV	sustain
sustain	VV	sustain
Ceasar	NP	Ceasar
but	CC	but
this	DT	this
is	VBZ	be
where	WRB	where
it	PP	it
gets	VVZ	get
complicated	JJ	complicated
and	CC	and
this	DT	this
is	VBZ	be
important	JJ	important
the	DT	the
language	NN	language
have	VHP	have
says	VVZ	say
the	DT	the
security	NN	security
Council	NN	council
determines	VVZ	determine
the	DT	the
imperative	NN	imperative
of	IN	of
an	DT	an
immediate	JJ	immediate
and	CC	and
sustained	JJ	sustained
ceasefire	NN	ceasefire
to	TO	to
protect	VV	protect
civilians	NNS	civilian
all	DT	all
sides	NNS	side
now	RB	now
determines	VVZ	determine
determines	VVZ	determine
the	DT	the
imperative	NN	imperative
means	VVZ	mean
that	IN/that	that
an	DT	an
immediate	JJ	immediate
and	CC	and
sustained	JJ	sustained
ceasefire	NN	ceasefire
the	DT	the
security	NN	security
Council	NP	Council
believes	VVZ	believe
is	VBZ	be
important	JJ	important
what	WP	what
other	JJ	other
members	NNS	member
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
want	VVP	want
is	VBZ	be
the	DT	the
immediate	JJ	immediate
demand	NN	demand
for	IN	for
one	CD	one
to	TO	to
take	VV	take
place	NN	place
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
in	IN	in
this	DT	this
resolution	NN	resolution
that	IN/that	that
that	DT	that
'	''	'
s	NNS	s
actually	RB	actually
what	WP	what
the	DT	the
US	NP	US
is	VBZ	be
demanding	VVG	demand
and	CC	and
I	PP	I
have	VHP	have
to	TO	to
be	VB	be
honest	JJ	honest
with	IN	with
you	PP	you
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
whether	IN	whether
this	DT	this
copy	NN	copy
of	IN	of
the	DT	the
resolution	NN	resolution
that	IN/that	that
Al	NP	Al
jazer	NP	jazer
obtained	VVD	obtain
just	RB	just
a	DT	a
couple	NN	couple
of	IN	of
hours	NNS	hour
ago	RB	ago
is	VBZ	be
the	DT	the
copy	NN	copy
that	IN/that	that
secretary	NN	secretary
of	IN	of
state	NN	state
blinkin	NN	blinkin
is	VBZ	be
talking	NN	talking
about	IN	about
uh	UH	uh
it	PP	it
may	MD	may
well	RB	well
be	VB	be
this	DT	this
is	VBZ	be
a	DT	a
fluid	NN	fluid
document	VV	document
it	PP	it
'	POS	'
s	NNS	s
being	VBG	be
updated	VVN	update
all	PDT	all
the	DT	the
time	NN	time
that	IN/that	that
the	DT	the
language	NN	language
has	VHZ	have
been	VBN	be
changed	VVN	change
it	PP	it
is	VBZ	be
certainly	RB	certainly
the	DT	the
strongest	JJS	strong
draft	NN	draft
that	IN/that	that
I	PP	I
have	VHP	have
seen	VVN	see
with	IN	with
regard	NN	regard
to	TO	to
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
demanding	VVG	demand
immediate	JJ	immediate
aid	VV	aid
uh	UH	uh
go	NN	go
into	IN	into
uh	UH	uh
Gaza	NP	Gaza
uh	UH	uh
talking	VVG	talk
about	IN	about
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
being	VBG	be
compliant	JJ	compliant
with	IN	with
it	PP	it
is	VBZ	be
a	DT	a
lengthy	JJ	lengthy
document	NN	document
this	DT	this
is	VBZ	be
something	NN	something
the	DT	the
US	NP	US
has	VHZ	have
been	VBN	be
working	VVG	work
on	IN	on
a	DT	a
draft	NN	draft
resolution	NN	resolution
for	IN	for
some	DT	some
weeks	NNS	week
now	RB	now
and	CC	and
it	PP	it
'	POS	'
s	RB	s
been	VBN	be
constantly	RB	constantly
evolving	VVG	evolve
certainly	RB	certainly
the	DT	the
strongest	JJS	strong
language	NN	language
yet	RB	yet
but	CC	but
is	VBZ	be
it	PP	it
quite	RB	quite
what	WP	what
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
security	NN	security
Council	NN	council
want	VVP	want
a	DT	a
demand	NN	demand
for	IN	for
an	DT	an
immediate	JJ	immediate
Cesar	NP	Cesar
or	CC	or
is	VBZ	be
it	PP	it
just	RB	just
a	DT	a
resolution	NN	resolution
where	WRB	where
the	DT	the
security	NN	security
Council	NN	council
would	MD	would
say	VV	say
an	DT	an
immediate	JJ	immediate
cesa	NN	cesa
is	VBZ	be
something	NN	something
that	RB	that
'	POS	'
s	NN	S
very	RB	very
important	JJ	important
um	NNS	um
and	CC	and
he	PP	he
may	MD	may
then	RB	then
of	IN	of
course	NN	course
be	VB	be
able	JJ	able
to	TO	to
refer	VV	refer
to	TO	to
the	DT	the
ongoing	JJ	ongoing
talks	NNS	talk
that	WDT	that
are	VBP	be
taking	VVG	take
place	VV	place
uh	UH	uh
in	IN	in
Doha	NP	Doha
to	TO	to
try	VV	try
and	CC	and
get	VV	get
a	DT	a
six	CD	six
week	NN	week
ceasefire	NN	ceasefire
as	IN	as
you	PP	you
say	VVP	say
James	NP	James
strong	JJ	strong
language	NN	language
uh	UH	uh
in	IN	in
this	DT	this
uh	UH	uh
draft	NN	draft
