<video_id>KvoJpH1PMvw</video_id>	JJ	<video_id>KvoJpH1PMvw</video_id>
<video_title>Israeli	NN	<video_title>Israeli
army	NN	army
says	VVZ	say
it	PP	it
dismissed	VVD	dismiss
two	CD	two
officers	NNS	officer
over	IN	over
aid	NN	aid
convoy	NN	convoy
strike</video_title>	NN	strike</video_title>
<thumbnail_path>data/en_AJ\Israeli	NN	<thumbnail_path>data/en_AJ\Israeli
army	NN	army
says	VVZ	say
it	PP	it
dismissed	VVD	dismiss
two	CD	two
officers	NNS	officer
over	IN	over
aid	NN	aid
convoy	NN	convoy
strike.jpg</thumbnail_path>	NN	strike.jpg</thumbnail_path>
<publish_date>20240405</publish_date>	NN	<publish_date>20240405</publish_date>
<doc>	NN	<doc>
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
just	RB	just
released	VVN	release
its	PP$	its
report	NN	report
on	IN	on
the	DT	the
killing	NN	killing
of	IN	of
the	DT	the
seven	CD	seven
employees	NNS	employee
of	IN	of
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
Aid	NP	Aid
group	NN	group
in	IN	in
Gaza	NP	Gaza
on	IN	on
Monday	NP	Monday
for	IN	for
more	JJR	more
on	IN	on
this	DT	this
we'll	NN	we'll
bring	VV	bring
in	IN	in
our	PP$	our
correspondent	NN	correspondent
Rory	NP	Rory
Chalin	NP	Chalin
joining	VVG	join
us	PP	us
from	IN	from
occupied	JJ	occupied
East	NP	East
Jerusalem	NP	Jerusalem
so	IN	so
what	WP	what
have	VHP	have
we	PP	we
learned	VVN	learn
from	IN	from
this	DT	this
Rory	NP	Rory
well	NN	well
we	PP	we
have	VHP	have
learned	VVN	learn
that	IN/that	that
this	DT	this
was	VBD	be
a	DT	a
according	VVG	accord
to	TO	to
the	DT	the
Israelis	NPS	Israelis
a	DT	a
grave	JJ	grave
mistake	NN	mistake
and	CC	and
they	PP	they
have	VHP	have
just	RB	just
put	VVN	put
out	RP	out
their	PP$	their
initial	JJ	initial
assessment	NN	assessment
uh	UH	uh
into	IN	into
the	DT	the
incident	NN	incident
uh	UH	uh
which	WDT	which
has	VHZ	have
already	RB	already
been	VBN	be
shared	VVN	share
with	IN	with
the	DT	the
world	NN	world
Central	NP	Central
Kitchen	NP	Kitchen
it's	NNS	it's
also	RB	also
been	VBN	be
shared	VVN	share
with	IN	with
the	DT	the
embassies	NNS	embassy
of	IN	of
the	DT	the
countries	NNS	country
uh	UH	uh
whose	WP$	whose
uh	UH	uh
citizens	NNS	citizen
were	VBD	be
killed	VVN	kill
uh	UH	uh
in	IN	in
that	DT	that
air	NN	air
strike	VV	strike
uh	UH	uh
and	CC	and
now	RB	now
it	PP	it
has	VHZ	have
just	RB	just
been	VBN	be
released	VVN	release
to	TO	to
the	DT	the
public	JJ	public
it's	NNS	it's
basically	RB	basically
been	VBN	be
de	NP	de
embargoed	VVN	embargo
and	CC	and
what	WP	what
this	DT	this
report	NN	report
says	VVZ	say
it's	NNS	it's
been	VBN	be
carried	VVN	carry
out	RP	out
by	IN	by
uh	UH	uh
the	DT	the
uh	UH	uh
joint	JJ	joint
fact	NN	fact
finding	VVG	find
mechanism	NN	mechanism
of	IN	of
The	DT	the
Joint	NP	Joint
Chiefs	NPS	Chiefs
of	IN	of
sta	NNS	sta
led	VVN	lead
by	IN	by
Major	NP	Major
General	NP	General
yov	NP	yov
har	NN	har
who's	NNS	who's
the	DT	the
major	JJ	major
general	NN	general
in	IN	in
the	DT	the
reserves	NNS	reserve
what	WDT	what
they've	NN	they've
