<video_id>rX8o6yI4gTg</video_id>	JJ	<video_id>rX8o6yI4gTg</video_id>
<video_title>Gaza	NN	<video_title>Gaza
government	NN	government
spokesman:	NN	spokesman:
We	PP	we
are	VBP	be
running	VVG	run
out	RP	out
of	IN	of
fuel	NN	fuel
for	IN	for
rescue	NN	rescue
equipment</video_title>	NN	equipment</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
government	NN	government
spokesman	NN	spokesman
We	PP	we
are	VBP	be
running	VVG	run
out	RP	out
of	IN	of
fuel	NN	fuel
for	IN	for
rescue	NN	rescue
equipment.jpg</thumbnail_path>	NN	equipment.jpg</thumbnail_path>
<publish_date>20231202</publish_date>	NN	<publish_date>20231202</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
go	VVP	go
live	VV	live
to	TO	to
Gaza	NP	Gaza
now	RB	now
where	WRB	where
a	DT	a
government	NN	government
spokesperson	NN	spokesperson
is	VBZ	be
giving	VVG	give
an	DT	an
update	NN	update
on	IN	on
the	DT	the
situation	NN	situation
let's	NNS	let's
listen	VVP	listen
in	IN	in
many	JJ	many
children	NNS	child
and	CC	and
women	NNS	woman
were	VBD	be
living	VVG	live
this	DT	this
is	VBZ	be
a	DT	a
horrific	JJ	horrific
crime	NN	crime
70%	CD	@card@
of	IN	of
the	DT	the
Marty	NP	Marty
were	VBD	be
from	IN	from
women	NNS	woman
and	CC	and
children	NNS	child
including	VVG	include
280	CD	@card@
medical	JJ	medical
staff	NN	staff
and	CC	and
and	CC	and
26	CD	@card@
from	IN	from
the	DT	the
paramedics	NN	paramedics
and	CC	and
many	JJ	many
journalists	NNS	journalist
the	DT	the
missing	VVG	miss
people	NNS	people
is	VBZ	be
now	RB	now
amounting	VVG	amount
to	TO	to
7,500	CD	@card@
e	NN	e
either	CC	either
under	IN	under
the	DT	the
rub	NN	rub
the	DT	the
rubble	NN	rubble
or	CC	or
we	PP	we
don't	VVD	don't
know	VV	know
what	WP	what
happened	VVD	happen
to	TO	to
them	PP	them
the	DT	the
number	NN	number
of	IN	of
wounded	JJ	wounded
people	NNS	people
amounted	VVN	amount
to	TO	to
is	VBZ	be
now	RB	now
over	IN	over
40,000	CD	@card@
people	NNS	people
during	IN	during
the	DT	the
ongoing	JJ	ongoing
genocide	NN	genocide
that	WDT	that
is	VBZ	be
being	VBG	be
committed	VVN	commit
in	IN	in
Gaza	NP	Gaza
the	DT	the
situation	NN	situation
is	VBZ	be
very	RB	very
dangerous	JJ	dangerous
especially	RB	especially
that	IN/that	that
the	DT	the
human	JJ	human
humanitarian	JJ	humanitarian
AIDS	NP	AIDS
and	CC	and
the	DT	the
medicines	NNS	medicine
are	VBP	be
not	RB	not
being	VBG	be
allowed	VVN	allow
to	TO	to
access	VV	access
Gaza	NP	Gaza
including	VVG	include
fuel	VV	fuel
this	DT	this
is	VBZ	be
a	DT	a
policy	NN	policy
that	WDT	that
will	MD	will
destroy	VV	destroy
Gaza	NP	Gaza
and	CC	and
no	DT	no
life	NN	life
will	MD	will
remain	VV	remain
in	IN	in
Gaza	NP	Gaza
all	RB	all
the	DT	the
different	JJ	different
infrastructure	NN	infrastructure
are	VBP	be
now	RB	now
paralyzed	VVN	paralyze
this	DT	this
is	VBZ	be
condemning	VVG	condemn
the	DT	the
life	NN	life
of	IN	of
more	JJR	more
than	IN	than
2	CD	@card@
million	CD	million
gazan	JJ	gazan
people	NNS	people
and	CC	and
killing	VVG	kill
them	PP	them
with	IN	with
premeditation	NN	premeditation
in	IN	in
addition	NN	addition
to	TO	to
that	DT	that
and	CC	and
moreover	RB	moreover
there	EX	there
is	VBZ	be
also	RB	also
a	DT	a
catastrophic	JJ	catastrophic
situation	NN	situation
imposed	VVN	impose
by	IN	by
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
on	IN	on
the	DT	the
civilians	NNS	civilian
by	IN	by
destroying	VVG	destroy
over	IN	over
60%	CD	@card@
of	IN	of
the	DT	the
housing	NN	housing
and	CC	and
resid	JJ	resid
residential	JJ	residential
buildings	NNS	building
given	VVN	give
that	IN/that	that
the	DT	the
taking	NN	taking
into	IN	into
consideration	NN	consideration
that	IN/that	that
the	DT	the
winter	NN	winter
season	NN	season
will	MD	will
start	VV	start
soon	RB	soon
this	DT	this
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
genocide	NN	genocide
being	VBG	be
committed	VVN	commit
by	IN	by
Israel	NP	Israel
as	IN	as
the	DT	the
health	NN	health
infrastructure	NN	infrastructure
is	VBZ	be
collapsing	VVG	collapse
especially	RB	especially
in	IN	in
Northern	NP	Northern
Gaza	NP	Gaza
and	CC	and
the	DT	the
target	NN	target
and	CC	and
attacking	VVG	attack
several	JJ	several
medical	JJ	medical
staff	NN	staff
and	CC	and
ambulance	NN	ambulance
Vehicles	NNS	vehicle
the	DT	the
situation	NN	situation
is	VBZ	be
unprecedented	JJ	unprecedented
hundred	CD	hundred
dozens	NNS	dozen
of	IN	of
houses	NNS	house
are	VBP	be
being	VBG	be
attacked	VVN	attack
on	IN	on
a	DT	a
daily	JJ	daily
basis	NN	basis
killing	VVG	kill
people	NNS	people
and	CC	and
causing	VVG	cause
many	JJ	many
injured	VVN	injure
whereas	IN	whereas
the	DT	the
relief	NN	relief
and	CC	and
the	DT	the
paramedics	NN	paramedics
cannot	MD	can
reach	VV	reach
those	DT	those
places	NNS	place
where	WRB	where
the	DT	the
massacres	NNS	massacre
are	VBP	be
being	VBG	be
committed	VVN	commit
which	WDT	which
means	NN	means
which	WDT	which
is	VBZ	be
resulting	VVG	result
in	IN	in
the	DT	the
death	NN	death
of	IN	of
many	JJ	many
people	NNS	people
and	CC	and
some	DT	some
others	NNS	other
staying	VVG	stay
for	IN	for
days	NNS	day
under	IN	under
the	DT	the
rubble	NN	rubble
without	IN	without
being	VBG	be
pulled	VVN	pull
from	IN	from
the	DT	the
rebble	NN	rebble
this	DT	this
is	VBZ	be
due	JJ	due
to	TO	to
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
are	VBP	be
attacking	VVG	attack
80%	CD	@card@
of	IN	of
all	PDT	all
the	DT	the
relief	NN	relief
equipment	NN	equipment
that	IN/that	that
we	PP	we
have	VHP	have
and	CC	and
we	PP	we
are	VBP	be
running	VVG	run
out	RP	out
of	IN	of
fuel	NN	fuel
to	TO	to
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
work	VV	work
with	IN	with
the	DT	the
remaining	VVG	remain
uh	UH	uh
functioning	VVG	function
equipment	NN	equipment
the	DT	the
