Israeli	JJ	Israeli
officials	NNS	official
say	VVP	say
CIA	NP	CIA
director	NN	director
Bill	NP	Bill
Burns	NP	Burns
has	VHZ	have
arrived	VVN	arrive
in	IN	in
the	DT	the
country	NN	country
for	IN	for
talks	NNS	talk
on	IN	on
the	DT	the
war	NN	war
on	IN	on
Gaza	NP	Gaza
and	CC	and
the	DT	the
efforts	NNS	effort
to	TO	to
secure	VV	secure
the	DT	the
release	NN	release
of	IN	of
captives	NNS	captive
he	PP	he
'	POS	'
s	NN	S
expected	VVD	expect
to	TO	to
meet	VV	meet
with	IN	with
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
as	RB	as
well	RB	well
as	IN	as
senior	JJ	senior
defense	NN	defense
and	CC	and
intelligence	NN	intelligence
officials	NNS	official
John	NP	John
hendren	NNS	hendren
is	VBZ	be
with	IN	with
us	PP	us
live	VVP	live
from	IN	from
Washington	NP	Washington
DC	NP	DC
and	CC	and
John	NP	John
of	IN	of
course	NN	course
CIA	NP	CIA
director	NN	director
Bill	NP	Bill
Burns	NP	Burns
is	VBZ	be
one	CD	one
of	IN	of
a	DT	a
long	JJ	long
list	NN	list
of	IN	of
US	NP	US
top	JJ	top
officials	NNS	official
to	TO	to
visit	VV	visit
Israel	NP	Israel
what	WP	what
does	VVZ	do
he	PP	he
hope	VVP	hope
to	TO	to
achieve	VV	achieve
that	RB	that
'	''	'
s	NNS	s
right	JJ	right
Burns	NP	Burns
is	VBZ	be
just	RB	just
the	DT	the
latest	JJS	late
Us	NP	U
official	NN	official
to	TO	to
arrive	VV	arrive
in	IN	in
Israel	NP	Israel
we	PP	we
'	POS	'
re	NN	re
not	RB	not
seeing	VVG	see
a	DT	a
lot	NN	lot
of	IN	of
pictures	NNS	picture
because	IN	because
as	IN	as
the	DT	the
intelligence	NN	intelligence
Chief	JJ	chief
uh	UH	uh
they	PP	they
don	VVP	don
'	''	'
t	NN	t
take	VV	take
a	DT	a
lot	NN	lot
of	IN	of
pictures	NNS	picture
of	IN	of
him	PP	him
but	CC	but
uh	UH	uh
officially	RB	officially
while	IN	while
the	DT	the
CIA	NP	CIA
says	VVZ	say
it	PP	it
doesn	NN	doesn
'	POS	'
t	NN	t
comment	NN	comment
on	IN	on
the	DT	the
director	NN	director
'	POS	'
s	JJ	s
whereabouts	NN	whereabouts
a	DT	a
Us	NP	U
official	NN	official
speaking	VVG	speak
on	IN	on
condition	NN	condition
of	IN	of
unanimity	NN	unanimity
says	VVZ	say
he	PP	he
is	VBZ	be
there	RB	there
to	TO	to
visit	VV	visit
a	DT	a
number	NN	number
of	IN	of
countries	NNS	country
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
to	TO	to
talk	VV	talk
to	TO	to
world	NN	world
leaders	NNS	leader
and	CC	and
to	TO	to
talk	VV	talk
to	TO	to
intelligence	NN	intelligence
officials	NNS	official
and	CC	and
he	PP	he
'	POS	'
s	NNS	s
expected	VVN	expect
to	TO	to
be	VB	be
discussing	VVG	discuss
not	RB	not
just	RB	just
the	DT	the
situation	NN	situation
in	IN	in
Gaza	NP	Gaza
but	CC	but
also	RB	also
captive	JJ	captive
negotiations	NNS	negotiation
uh	UH	uh
and	CC	and
make	VV	make
an	DT	an
effort	NN	effort
to	TO	to
cooperate	VV	cooperate
with	IN	with
members	NNS	member
of	IN	of
those	DT	those
countries	NNS	country
including	VVG	include
Israel	NP	Israel
to	TO	to
to	TO	to
deter	VV	deter
State	NP	State
and	CC	and
non	JJ	non
-	NN	-
state	NN	state
actors	NNS	actor
from	IN	from
widening	VVG	widen
that	DT	that
conflict	NN	conflict
and	CC	and
he	PP	he
'	POS	'
s	NNS	s
expected	VVN	expect
to	TO	to
be	VB	be
there	RB	there
to	TO	to
reinforce	VV	reinforce
intelligence	NN	intelligence
sharing	VVG	share
you	PP	you
may	MD	may
recall	VV	recall
that	IN/that	that
the	DT	the
US	NP	US
is	VBZ	be
using	VVG	use
Reaper	NP	Reaper
drones	NNS	drone
over	IN	over
Gaza	NP	Gaza
to	TO	to
gather	VV	gather
intelligence	NN	intelligence
information	NN	information
so	IN	so
the	DT	the
CIA	NP	CIA
would	MD	would
likely	RB	likely
be	VB	be
involved	VVN	involve
in	IN	in
analyzing	VVG	analyze
and	CC	and
distributing	VVG	distribute
that	IN/that	that
data	NN	data
um	NNS	um
for	IN	for
goals	NNS	goal
he	PP	he
'	POS	'
s	NN	S
also	RB	also
probably	RB	probably
going	VVG	go
to	TO	to
be	VB	be
pressing	VVG	press
the	DT	the
same	JJ	same
goals	NNS	goal
that	IN/that	that
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
President	NP	President
Biden	NP	Biden
and	CC	and
Anthony	NP	Anthony
blinkin	NN	blinkin
the	DT	the
Secretary	NP	Secretary
of	IN	of
State	NP	State
uh	UH	uh
press	VV	press
while	IN	while
he	PP	he
they	PP	they
were	VBD	be
in	IN	in
Israel	NP	Israel
and	CC	and
that	DT	that
is	VBZ	be
a	DT	a
pause	NN	pause
for	IN	for
Aid	NP	Aid
to	TO	to
go	VV	go
through	RP	through
to	TO	to
Gaza	NP	Gaza
a	DT	a
more	RBR	more
targeted	JJ	targeted
approach	NN	approach
that	WDT	that
would	MD	would
minimize	VV	minimize
civilian	JJ	civilian
casualties	NNS	casualty
and	CC	and
an	DT	an
effort	NN	effort
to	TO	to
expand	VV	expand
intelligent	JJ	intelligent
sharing	NN	sharing
between	IN	between
the	DT	the
two	CD	two
countries	NNS	country
there	RB	there
he	PP	he
'	POS	'
s	NN	S
likely	RB	likely
also	RB	also
to	TO	to
go	VV	go
to	TO	to
Qatar	NP	Qatar
where	WRB	where
they	PP	they
'	POS	'
ll	NNS	ll
be	VB	be
uh	UH	uh
talking	VVG	talk
about	IN	about
um	NNS	um
trying	VVG	try
to	TO	to
get	VV	get
those	DT	those
captives	NNS	captive
out	RB	out
and	CC	and
