It	PP	it
is	VBZ	be
very	RB	very
,	,	,
very	RB	very
difficult	JJ	difficult
to	TO	to
wake	VV	wake
up	RP	up
to	TO	to
the	DT	the
sound	NN	sound
of	IN	of
rockets	NNS	rocket
.	SENT	.
Body	NN	body
parts	NNS	part
are	VBP	be
falling	VVG	fall
outside	IN	outside
and	CC	and
inside	IN	inside
the	DT	the
square	NN	square
.	SENT	.
Gas	NN	gas
is	VBZ	be
being	VBG	be
fired	VVN	fire
.	SENT	.
The	DT	the
children	NNS	child
have	VHP	have
died	VVN	die
from	IN	from
the	DT	the
air	NN	air
.	SENT	.
The	DT	the
street	NN	street
has	VHZ	have
blood	NN	blood
like	IN	like
this	DT	this
.	SENT	.
My	PP$	my
nephew	NN	nephew
was	VBD	be
martyred	VVN	martyr
.	SENT	.
His	PP$	his
hand	NN	hand
and	CC	and
leg	NN	leg
were	VBD	be
gone	VVN	go
.	SENT	.
A	DT	a
10	CD	@card@
-	NN	-
year	NN	year
-	NN	-
old	JJ	old
child	NN	child
.	SENT	.
His	PP$	his
mother	NN	mother
in	IN	in
Egypt	NP	Egypt
is	VBZ	be
suffering	VVG	suffer
.	SENT	.
Her	PP$	her
sister	NN	sister
is	VBZ	be
injured	VVN	injure
.	SENT	.
Her	PP$	her
sister	NN	sister
is	VBZ	be
injured	VVN	injure
.	SENT	.
What	WP	what
is	VBZ	be
her	PP	her
fault	VVP	fault
?	SENT	?
This	DT	this
mother	NN	mother
comes	VVZ	come
and	CC	and
cannot	MD	can
find	VV	find
anything	NN	anything
.	SENT	.
She	PP	she
finds	VVZ	find
her	PP$	her
son	NN	son
a	DT	a
martyr	NN	martyr
.	SENT	.
She	PP	she
neither	RB	neither
said	VVD	say
goodbye	NN	goodbye
to	TO	to
him	PP	him
nor	CC	nor
saw	VVD	see
him	PP	him
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
his	PP$	his
suffering	NN	suffering
.	SENT	.
I	PP	I
see	VVP	see
children	NNS	child
like	IN	like
this	DT	this
.	SENT	.
This	DT	this
woman	NN	woman
had	VHD	have
an	DT	an
injury	NN	injury
to	TO	to
her	PP$	her
leg	NN	leg
.	SENT	.
Her	PP$	her
son	NN	son
had	VHD	have
a	DT	a
blood	NN	blood
rash	NN	rash
on	IN	on
his	PP$	his
leg	NN	leg
.	SENT	.
Her	PP$	her
mother	NN	mother
-	NN	-
in	IN	in
-	NN	-
law	NN	law
had	VHD	have
a	DT	a
bruise	NN	bruise
.	SENT	.
There	EX	there
were	VBD	be
injuries	NNS	injury
to	TO	to
her	PP$	her
head	NN	head
,	,	,
mouth	NN	mouth
,	,	,
and	CC	and
hand	NN	hand
.	SENT	.
I	PP	I
mean	VVP	mean
,	,	,
what	WDT	what
is	VBZ	be
his	PP$	his
fault	NN	fault
?	SENT	?
This	DT	this
is	VBZ	be
the	DT	the
big	JJ	big
argument	NN	argument
.	SENT	.
How	WRB	how
old	NN	old
is	VBZ	be
the	DT	the
child	NN	child
?	SENT	?
This	DT	this
is	VBZ	be
a	DT	a
mustache	NN	mustache
,	,	,
playing	VVG	play
like	IN	like
any	DT	any
other	JJ	other
child	NN	child
.	SENT	.
The	DT	the
world	NN	world
is	VBZ	be
happy	JJ	happy
to	TO	to
learn	VV	learn
to	TO	to
live	VV	live
in	IN	in
safety	NN	safety
.	SENT	.
We	PP	we
do	VVP	do
not	RB	not
sleep	VV	sleep
on	IN	on
missiles	NNS	missile
.	SENT	.
We	PP	we
live	VVP	live
on	IN	on
missiles	NNS	missile
.	SENT	.
We	PP	we
live	VVP	live
in	IN	in
safety	NN	safety
.	SENT	.
In	IN	in
the	DT	the
corner	NN	corner
of	IN	of
the	DT	the
Arab	JJ	Arab
countries	NNS	country
,	,	,
we	PP	we
wake	VVP	wake
up	RP	up
on	IN	on
missiles	NNS	missile
and	CC	and
sleep	NN	sleep
on	IN	on
missiles	NNS	missile
.	SENT	.
The	DT	the
child	NN	child
was	VBD	be
neither	RB	neither
a	DT	a
burden	NN	burden
nor	CC	nor
a	DT	a
burden	NN	burden
.	SENT	.
There	EX	there
is	VBZ	be
security	NN	security
in	IN	in
a	DT	a
school	NN	school
that	WDT	that
has	VHZ	have
the	DT	the
safety	NN	safety
of	IN	of
the	DT	the
home	NN	home
,	,	,
safety	NN	safety
,	,	,
etc	FW	etc
.	SENT	.
Safety	NN	safety
.	SENT	.
Where	WRB	where
do	VVP	do
we	PP	we
want	VVP	want
to	TO	to
go	VV	go
?	SENT	?
Where	WRB	where
will	MD	will
we	PP	we
be	VB	be
abandoned	VVN	abandon
?	SENT	?
We	PP	we
will	MD	will
not	RB	not
emerge	VV	emerge
steadfast	JJ	steadfast
in	IN	in
our	PP$	our
homes	NNS	home
no	RB	no
matter	VVP	matter
what	WP	what
.	SENT	.
The	DT	the
rubble	NN	rubble
,	,	,
we	PP	we
want	VVP	want
to	TO	to
stand	VV	stand
,	,	,
and	CC	and
we	PP	we
want	VVP	want
to	TO	to
remain	VV	remain
on	IN	on
the	DT	the
rubble	NN	rubble
,	,	,
no	DT	no
matter	NN	matter
what	WP	what
happens	VVZ	happen
and	CC	and
no	DT	no
matter	NN	matter
what	WP	what
the	DT	the
Jews	NPS	Jews
do	VVP	do
to	TO	to
us	PP	us
