<video_id>vAVQQPAFz1w</video_id>	JJ	<video_id>vAVQQPAFz1w</video_id>
<video_title>Gaza	NN	<video_title>Gaza
devastation:	NN	devastation:
Unprecedented	JJ	unprecedented
scale	NN	scale
of	IN	of
destruction	NN	destruction
by	IN	by
Israeli	JJ	Israeli
forces</video_title>	JJ	forces</video_title>
<thumbnail_path>data/en_AJ\Gaza	NN	<thumbnail_path>data/en_AJ\Gaza
devastation	NN	devastation
Unprecedented	JJ	unprecedented
scale	NN	scale
of	IN	of
destruction	NN	destruction
by	IN	by
Israeli	JJ	Israeli
forces.jpg</thumbnail_path>	JJ	forces.jpg</thumbnail_path>
<publish_date>20231109</publish_date>	NN	<publish_date>20231109</publish_date>
<doc>	NN	<doc>
the	DT	the
scale	NN	scale
of	IN	of
Destruction	NN	destruction
inflicted	VVN	inflict
on	IN	on
Gaza	NP	Gaza
by	IN	by
Israeli	JJ	Israeli
forces	NNS	force
over	IN	over
the	DT	the
past	JJ	past
month	NN	month
is	VBZ	be
unprecedented	JJ	unprecedented
a	DT	a
new	JJ	new
analysis	NN	analysis
by	IN	by
two	CD	two
us-based	JJ	us-based
researchers	NNS	researcher
James	NP	James
vanderhook	NP	vanderhook
and	CC	and
Corey	NP	Corey
Sher	NP	Sher
and	CC	and
AJ	NP	AJ
Labs	NP	Labs
shows	VVZ	show
the	DT	the
extent	NN	extent
of	IN	of
the	DT	the
devastation	NN	devastation
Stephanie	NP	Stephanie
Decker	NP	Decker
has	VHZ	have
been	VBN	be
looking	VVG	look
at	IN	at
some	DT	some
of	IN	of
the	DT	the
data	NN	data
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
have	VHP	have
seen	VVN	see
their	PP$	their
lives	NNS	life
destroyed	VVN	destroy
and	CC	and
their	PP$	their
homes	NNS	home
obliterated	VVN	obliterate
but	CC	but
it's	NNS	it's
really	RB	really
when	WRB	when
you	PP	you
take	VVP	take
to	TO	to
the	DT	the
sky	NN	sky
and	CC	and
look	NN	look
from	IN	from
above	JJ	above
which	WDT	which
gives	VVZ	give
you	PP	you
a	DT	a
sense	NN	sense
of	IN	of
the	DT	the
damage	NN	damage
now	RB	now
we've	NN	we've
got	VVD	get
some	DT	some
interesting	JJ	interesting
research	NN	research
to	TO	to
share	VV	share
with	IN	with
you	PP	you
those	DT	those
red	JJ	red
dots	NNS	dot
that	WDT	that
shows	VVZ	show
you	PP	you
what	WP	what
is	VBZ	be
building	VVG	build
destruction	NN	destruction
now	RB	now
this	DT	this
is	VBZ	be
research	NN	research
by	IN	by
us	PP	us
researchers	NNS	researcher
and	CC	and
also	RB	also
Al	NP	Al
jazer	NP	jazer
Labs	NP	Labs
what	WP	what
you're	VVP	you're
