<video_id>HzFMAa6IOTo</video_id>	JJ	<video_id>HzFMAa6IOTo</video_id>
<video_title>Children	NNS	<video_title>Children
among	IN	among
those	DT	those
killed	VVN	kill
after	IN	after
Israel	NP	Israel
bombs	NNS	bomb
two	CD	two
schools	NNS	school
in	IN	in
Gaza</video_title>	NP	Gaza</video_title>
<thumbnail_path>data/en_AJ\Children	NNS	<thumbnail_path>data/en_AJ\Children
among	IN	among
those	DT	those
killed	VVN	kill
after	IN	after
Israel	NP	Israel
bombs	NNS	bomb
two	CD	two
schools	NNS	school
in	IN	in
Gaza.jpg</thumbnail_path>	NP	Gaza.jpg</thumbnail_path>
<publish_date>20240805</publish_date>	JJ	<publish_date>20240805</publish_date>
<doc>	NN	<doc>
at	IN	at
least	JJS	least
30	CD	@card@
Palestinians	NNS	Palestinian
have	VHP	have
been	VBN	be
killed	VVN	kill
in	IN	in
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
and	CC	and
schools	NNS	school
in	IN	in
Gaza	NP	Gaza
City	NP	City
shortly	RB	shortly
after	IN	after
the	DT	the
attacks	NNS	attack
Rescuers	NNS	rescuer
rushed	VVD	rush
in	IN	in
to	TO	to
save	VV	save
the	DT	the
injured	VVN	injure
the	DT	the
two	CD	two
schools	NNS	school
were	VBD	be
Sheltering	VVG	shelter
hundreds	NNS	hundred
of	IN	of
people	NNS	people
have	VHP	have
been	VBN	be
forced	VVN	force
out	RP	out
of	IN	of
their	PP$	their
homes	NNS	home
aaza	NN	aaza
Civil	NP	Civil
Defense	NP	Defense
Force	NP	Force
says	VVZ	say
80%	CD	@card@
of	IN	of
the	DT	the
dead	JJ	dead
and	CC	and
wounded	JJ	wounded
are	VBP	be
children	NNS	child
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VHZ	have
said	VVN	say
it	PP	it
was	VBD	be
targeting	VVG	target
Hamas	JJ	Hamas
Fighters	NNS	fighter
we	PP	we
were	VBD	be
just	RB	just
sitting	VVG	sit
down	RP	down
when	WRB	when
a	DT	a
bomb	NN	bomb
fell	VVD	fall
and	CC	and
another	DT	another
hit	VVD	hit
the	DT	the
school	NN	school
next	JJ	next
door	NN	door
the	DT	the
two	CD	two
schools	NNS	school
were	VBD	be
housing	VVG	house
displaced	VVN	displace
civilians	NNS	civilian
and	CC	and
children	NNS	child
we	PP	we
have	VHP	have
been	VBN	be
retrieving	VVG	retrieve
the	DT	the
remains	VVZ	remain
of	IN	of
children	NNS	child
for	IN	for
the	DT	the
past	JJ	past
hour	NN	hour
this	DT	this
is	VBZ	be
so	RB	so
unfair	JJ	unfair
how	WRB	how
long	RB	long
will	MD	will
we	PP	we
remain	VV	remain
like	IN	like
this	DT	this
we	PP	we
are	VBP	be
tired	JJ	tired
enough	JJ	enough
residents	NNS	resident
of	IN	of
Gaza	NP	Gaza
City	NP	City
said	VVD	say
the	DT	the
strikes	NNS	strike
came	VVD	come
almost	RB	almost
simultaneous	JJ	simultaneous
ly	NN	ly
Al	NP	Al
has	VHZ	have
this	DT	this
report	NN	report
Israeli	JJ	Israeli
War	NP	War
plans	NNS	plan
targeted	VVD	target
Hassan	NP	Hassan
Salama	NP	Salama
School	NP	School
in	IN	in
Al	NP	Al
aun	NP	aun
Street	NP	Street
in	IN	in
Western	NP	Western
Gaza	NP	Gaza
City	NP	City
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
others	NNS	other
were	VBD	be
injured	VVN	injure
inside	IN	inside
the	DT	the
school	NN	school
after	IN	after
an	DT	an
air	NN	air
strike	NN	strike
hit	VVD	hit
several	JJ	several
classrooms	NNS	classroom
hosting	VVG	host
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
displaced	VVN	displace
people	NNS	people
we	PP	we
can	MD	can
see	VV	see
blood	NN	blood
on	IN	on
the	DT	the
floor	NN	floor
inside	IN	inside
the	DT	the
school	NN	school
the	DT	the
fire	NN	fire
is	VBZ	be
still	RB	still
raging	VVG	rage
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
bodies	NNS	body
under	IN	under
the	DT	the
rubble	NN	rubble
this	DT	this
is	VBZ	be
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
we	PP	we
are	VBP	be
steadfast	JJ	steadfast
we	PP	we
are	VBP	be
all	DT	all
martys	NNS	martys
we	PP	we
are	VBP	be
all	DT	all
martys	NNS	martys
they	PP	they
killed	VVD	kill
children	NNS	child
and	CC	and
old	JJ	old
people	NNS	people
they	PP	they
killed	VVD	kill
women	NNS	woman
only	RB	only
God	NP	God
will	MD	will
save	VV	save
us	PP	us
what	WP	what
did	VVD	do
the	DT	the
children	NNS	child
do	VVP	do
this	DT	this
was	VBD	be
on	IN	on
the	DT	the
Israelis	NPS	Israelis
lists	NNS	list
of	IN	of
targets	NNS	target
this	DT	this
is	VBZ	be
a	DT	a
shelter	NN	shelter
for	IN	for
idps	NNS	idps
it	PP	it
has	VHZ	have
children	NNS	child
and	CC	and
Tor	NP	Tor
bodies	NNS	body
are	VBP	be
everywhere	RB	everywhere
after	IN	after
the	DT	the
Hassan	NP	Hassan
Salama	NP	Salama
school	NN	school
was	VBD	be
targeted	VVN	target
the	DT	the
nearby	JJ	nearby
anaser	NN	anaser
school	NN	school
was	VBD	be
targeted	VVN	target
it	PP	it
shelters	VVZ	shelter
thousands	NNS	thousand
of	IN	of
internally	RB	internally
displaced	VVN	displace
persons	NNS	person
idps	NNS	idps
it	PP	it
was	VBD	be
targeted	VVN	target
without	IN	without
warning	VVG	warn
there	EX	there
are	VBP	be
a	DT	a
number	NN	number
of	IN	of
people	NNS	people
killed	VVN	kill
and	CC	and
injured	VVN	injure
because	IN	because
of	IN	of
the	DT	the
air	NN	air
strike	NN	strike
over	IN	over
the	DT	the
last	JJ	last
few	JJ	few
days	NNS	day
Israeli	JJ	Israeli
War	NP	War
plans	NNS	plan
hit	VVD	hit
schools	NNS	school
in	IN	in
Gaza	NP	Gaza
a	DT	a
city	NN	city
leaving	VVG	leave
people	NNS	people
killed	VVD	kill
or	CC	or
injured	VVD	injure
most	JJS	most
of	IN	of
them	PP	them
are	VBP	be
women	NNS	woman
and	CC	and
children	NNS	child
people	NNS	people
are	VBP	be
still	RB	still
searching	VVG	search
for	IN	for
the	DT	the
missing	JJ	missing
we	PP	we
are	VBP	be
talking	VVG	talk
about	RB	about
two	CD	two
simultaneous	JJ	simultaneous
air	NN	air
strikes	VVZ	strike
the	DT	the
two	CD	two
schools	NNS	school
came	VVD	come
under	IN	under
heavy	JJ	heavy
air	NN	air
strikes	VVZ	strike
you	PP	you
can	MD	can
see	VV	see
rescue	NN	rescue
efforts	NNS	effort
to	TO	to
pull	VV	pull
a	DT	a
girl	NN	girl
from	IN	from
the	DT	the
rubble	NN	rubble
she	PP	she
is	VBZ	be
still	RB	still
alive	JJ	alive
she	PP	she
is	VBZ	be
being	VBG	be
pulled	VVN	pull
out	RP	out
now	RB	now
she	PP	she
was	VBD	be
saved	VVN	save
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
have	VHP	have
been	VBN	be
concentrated	VVN	concentrate
recently	RB	recently
on	IN	on
IDP	NP	IDP
Center	NP	Center
which	WDT	which
shelter	VVP	shelter
thousands	NNS	thousand
of	IN	of
idps	NNS	idps
the	DT	the
last	JJ	last
centers	NNS	center
to	TO	to
be	VB	be
hit	VVN	hit
were	VBD	be
anaser	NN	anaser
school	NN	school
and	CC	and
Hassan	NP	Hassan
Salama	NP	Salama
School	NP	School
a	DT	a
large	JJ	large
number	NN	number
of	IN	of
people	NNS	people
were	VBD	be
killed	VVN	kill
and	CC	and
dozens	NNS	dozen
were	VBD	be
injured	JJ	injured
make	VVP	make
