<video_id>KVa9yQtq-Xw</video_id>	NP	<video_id>KVa9yQtq-Xw</video_id>
<video_title>New	NP	<video_title>New
York	NP	York
City	NP	City
police	NNS	police
enter	VVP	enter
Columbia	NP	Columbia
campus	NN	campus
as	IN	as
Gaza	NP	Gaza
protest	NN	protest
escalates</video_title>	NN	escalates</video_title>
<thumbnail_path>data/en_AJ\New	NN	<thumbnail_path>data/en_AJ\New
York	NP	York
City	NP	City
police	NNS	police
enter	VVP	enter
Columbia	NP	Columbia
campus	NN	campus
as	IN	as
Gaza	NP	Gaza
protest	NN	protest
escalates.jpg</thumbnail_path>	NN	escalates.jpg</thumbnail_path>
<publish_date>20240501</publish_date>	NN	<publish_date>20240501</publish_date>
<doc>	NN	<doc>
[Music]	NN	[Music]
hello	NN	hello
I'm	NP	I'm
Elizabeth	NP	Elizabeth
panum	NN	panum
in	IN	in
Doha	NP	Doha
with	IN	with
the	DT	the
top	JJ	top
stories	NNS	story
on	IN	on
Al	NP	Al
jaaz	NP	jaaz
and	CC	and
we	PP	we
begin	VVP	begin
with	IN	with
some	DT	some
breaking	VVG	break
news	NN	news
out	RP	out
of	IN	of
New	NP	New
York	NP	York
where	WRB	where
police	NNS	police
have	VHP	have
entered	VVN	enter
Colombia	NP	Colombia
University	NP	University
and	CC	and
begun	VVN	begin
to	TO	to
arrest	VV	arrest
students	NNS	student
occupying	VVG	occupy
a	DT	a
historic	JJ	historic
Hall	NP	Hall
after	IN	after
they	PP	they
barricaded	VVD	barricade
themselves	PP	themselves
inside	RB	inside
earlier	RBR	earlier
the	DT	the
university	NN	university
said	VVD	say
it's	NNS	it's
begun	VVN	begin
suspending	VVG	suspend
students	NNS	student
refusing	VVG	refuse
to	TO	to
meet	VV	meet
a	DT	a
deadline	NN	deadline
to	TO	to
abandon	VV	abandon
their	PP$	their
encampment	NN	encampment
let's	NNS	let's
bring	VVP	bring
in	IN	in
our	PP$	our
correspondent	NN	correspondent
to	TO	to
a	DT	a
is	VBZ	be
live	JJ	live
for	IN	for
us	PP	us
outside	IN	outside
Columbia	NP	Columbia
University	NP	University
in	IN	in
New	NP	New
York	NP	York
and	CC	and
today	NN	today
said	VVD	say
there	EX	there
was	VBD	be
an	DT	an
expectation	NN	expectation
earlier	RBR	earlier
that	DT	that
police	NN	police
would	MD	would
come	VV	come
to	TO	to
Colombia	NP	Colombia
what's	NNS	what's
happening	VVG	happen
there	RB	there
now	RB	now
well	RB	well
I'm	NP	I'm
right	NN	right
in	IN	in
front	NN	front
of	IN	of
Columbia	NP	Columbia
University	NP	University
right	NN	right
in	IN	in
front	NN	front
of	IN	of
Hamilton	NP	Hamilton
Hall	NP	Hall
there's	NP	there's
dozens	NNS	dozen
and	CC	and
dozens	NNS	dozen
of	IN	of
police	NN	police
officers	NNS	officer
that	WDT	that
have	VHP	have
come	VVN	come
here	RB	here
to	TO	to
remove	VV	remove
the	DT	the
students	NNS	student
that	WDT	that
are	VBP	be
currently	RB	currently
inside	IN	inside
Hamilton	NP	Hamilton
Hall	NP	Hall
let's	NNS	let's
not	RB	not
forget	VVP	forget
what	WP	what
happened	VVD	happen
here	RB	here
on	IN	on
Monday	NP	Monday
evening	NN	evening
a	DT	a
group	NN	group
of	IN	of
students	NNS	student
that	IN/that	that
inside	IN	inside
Columbia	NP	Columbia
University	NP	University
occupied	VVD	occupy
Hamilton	NP	Hamilton
Hall	NP	Hall
they	PP	they
renamed	VVD	rename
it	PP	it
as	IN	as
hindra	NN	hindra
who's	NNS	who's
a	DT	a
six-year-old	JJ	six-year-old
girl	NN	girl
who	WP	who
was	VBD	be
killed	VVN	kill
in	IN	in
Gaza	NP	Gaza
they're	NN	they're
there	RB	there
right	RB	right
now	RB	now
if	IN	if
you	PP	you
can	MD	can
see	VV	see
where	WRB	where
I	PP	I
am	VBP	be
you	PP	you
can	MD	can
see	VV	see
the	DT	the
police	NN	police
they	PP	they
came	VVD	come
in	IN	in
with	IN	with
a	DT	a
truck	NN	truck
now	RB	now
there's	RB	there's
a	DT	a
stair	NN	stair
they	PP	they
have	VHP	have
broken	VVN	break
a	DT	a
window	NN	window
they're	NN	they're
going	VVG	go
inside	IN	inside
the	DT	the
building	NN	building
probably	RB	probably
to	TO	to
detain	VV	detain
the	DT	the
students	NNS	student
that	WDT	that
are	VBP	be
inside	IN	inside
this	DT	this
building	NN	building
there's	RB	there's
been	VBN	be
lots	NNS	lot
of	IN	of
tension	NN	tension
in	IN	in
the	DT	the
last	JJ	last
hour	NN	hour
we've	NN	we've
been	VBN	be
seeing	VVG	see
police	NNS	police
coming	VVG	come
from	IN	from
different	JJ	different
sides	NNS	side
of	IN	of
the	DT	the
are	VBP	be
right	RB	right
now	RB	now
there's	RB	there's
dozens	NNS	dozen
of	IN	of
students	NNS	student
who	WP	who
are	VBP	be
also	RB	also
here	RB	here
they've	NNS	they've
been	VBN	be
protesting	VVG	protest
all	DT	all
day	NN	day
they've	NN	they've
been	VBN	be
coming	VVG	come
here	RB	here
to	TO	to
support	VV	support
their	PP$	their
other	JJ	other
students	NNS	student
who	WP	who
are	VBP	be
inside	JJ	inside
of	IN	of
Colombia	NP	Colombia
University	NP	University
the	DT	the
those	DT	those
inside	JJ	inside
Columbia	NP	Columbia
University	NP	University
they've	NN	they've
been	VBN	be
saying	VVG	say
all	DT	all
day	NN	day
that	IN/that	that
they	PP	they
are	VBP	be
under	IN	under
siege	NN	siege
because	IN	because
since	IN	since
very	RB	very
early	JJ	early
in	IN	in
the	DT	the
morning	NN	morning
this	DT	this
university	NN	university
has	VHZ	have
been	VBN	be
completely	RB	completely
isolated	VVD	isolate
uh	UH	uh
students	NNS	student
inside	RB	inside
have	VHP	have
been	VBN	be
asking	VVG	ask
for	IN	for
food	NN	food
and	CC	and
water	NN	water
among	IN	among
other	JJ	other
things	NNS	thing
and	CC	and
the	DT	the
students	NNS	student
that	WDT	that
are	VBP	be
side	NN	side
have	VHP	have
been	VBN	be
bringing	VVG	bring
it	PP	it
in	IN	in
but	CC	but
as	IN	as
you	PP	you
can	MD	can
see	VV	see
right	RB	right
now	RB	now
the	DT	the
police	NN	police
officers	NNS	officer
are	VBP	be
moving	VVG	move
into	IN	into
the	DT	the
building	VVG	build
one	CD	one
by	IN	by
one	CD	one
it's	NNS	it's
not	RB	not
clear	JJ	clear
yet	RB	yet
how	WRB	how
they're	NN	they're
going	VVG	go
to	TO	to
carry	VV	carry
out	RP	out
this	DT	this
