<video_id>XFe4kFA1_rM</video_id>	JJ	<video_id>XFe4kFA1_rM</video_id>
<video_title>Benjamin	NN	<video_title>Benjamin
Netanyahu:	NN	Netanyahu:
We	PP	we
are	VBP	be
reinforced	VVN	reinforce
and	CC	and
backed	VVN	back
by	IN	by
the	DT	the
military	JJ	military
assistance	NN	assistance
of	IN	of
the	DT	the
United	NP	United
States</video_title>	NP	States</video_title>
<thumbnail_path>data/en_AJ\Benjamin	NP	<thumbnail_path>data/en_AJ\Benjamin
Netanyahu	NP	Netanyahu
We	PP	we
are	VBP	be
reinforced	VVN	reinforce
and	CC	and
backed	VVN	back
by	IN	by
the	DT	the
military	JJ	military
assistance	NN	assistance
of	IN	of
the	DT	the
United	NP	United
States.jpg</thumbnail_path>	NP	States.jpg</thumbnail_path>
<publish_date>20231012</publish_date>	JJ	<publish_date>20231012</publish_date>
<doc>	NN	<doc>
Spirit	NN	spirit
we	PP	we
have	VHP	have
been	VBN	be
through	IN	through
a	DT	a
lot	NN	lot
including	VVG	include
the	DT	the
Y	NP	Y
Kor	NP	Kor
boiling	VVG	boil
from	IN	from
the	DT	the
highest	JJS	high
ranking	JJ	ranking
officers	NNS	officer
to	TO	to
the	DT	the
soldiers	NNS	soldier
I	PP	I
can	MD	can
not	RB	not
forget	VV	forget
this	DT	this
is	VBZ	be
the	DT	the
spirit	NN	spirit
it	PP	it
is	VBZ	be
the	DT	the
spirit	NN	spirit
that	WDT	that
bring	VVP	bring
us	PP	us
together	RB	together
it	PP	it
is	VBZ	be
the	DT	the
spirit	NN	spirit
that	WDT	that
makes	VVZ	make
us	PP	us
factor	VV	factor
we	PP	we
must	MD	must
United	VVN	unite
hand	NN	hand
hand	NN	hand
in	IN	in
hand	NN	hand
person	NN	person
to	TO	to
person	NN	person
in	IN	in
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
we	PP	we
are	VBP	be
together	RB	together
hand	NN	hand
in	IN	in
hand	NN	hand
shoulder	NN	shoulder
by	IN	by
shoulder	NN	shoulder
we	PP	we
are	VBP	be
doing	VVG	do
our	PP$	our
best	JJS	good
to	TO	to
provide	VV	provide
Comfort	NN	comfort
to	TO	to
the	DT	the
families	NNS	family
who	WP	who
have	VHP	have
lost	VVN	lose
loved	VVN	love
ones	NNS	one
and	CC	and
the	DT	the
families	NNS	family
of	IN	of
those	DT	those
kidnapped	VVN	kidnap
as	IN	as
well	RB	well
the	DT	the
pain	NN	pain
is	VBZ	be
deep	RB	deep
Indescribable	JJ	indescribable
our	PP$	our
hearts	NNS	heart
are	VBP	be
heavy	JJ	heavy
it	PP	it
is	VBZ	be
a	DT	a
heavy	JJ	heavy
burden	NN	burden
we	PP	we
feel	VVP	feel
it	PP	it
in	IN	in
every	DT	every
home	NN	home
in	IN	in
every	DT	every
household	NN	household
we	PP	we
send	VVP	send
out	RP	out
our	PP$	our
condolences	NNS	condolence
and	CC	and
our	PP$	our
love	NN	love
to	TO	to
all	DT	all
the	DT	the
families	NNS	family
I	PP	I
appointed	VVD	appoint
an	DT	an
officer	NN	officer
to	TO	to
be	VB	be
responsible	JJ	responsible
for	IN	for
those	DT	those
the	DT	the
missing	JJ	missing
and	CC	and
the	DT	the
kidnapped	VVD	kidnap
we	PP	we
would	MD	would
like	VV	like
to	TO	to
recruit	VV	recruit
other	JJ	other
officers	NNS	officer
in	IN	in
order	NN	order
to	TO	to
identify	VV	identify
the	DT	the
dead	JJ	dead
bodies	NNS	body
in	IN	in
order	NN	order
to	TO	to
identify	VV	identify
them	PP	them
and	CC	and
bring	VV	bring
them	PP	them
back	RB	back
to	TO	to
their	PP$	their
families	NNS	family
we	PP	we
are	VBP	be
doing	VVG	do
our	PP$	our
best	JJS	good
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
to	TO	to
