Muhammad	NP	Muhammad
Saliha	NP	Saliha
,	,	,
Acting	NP	Acting
Director	NP	Director
of	IN	of
Al	NP	Al
-	NP	-
Awda	NP	Awda
Hospital	NP	Hospital
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
.	SENT	.
In	IN	in
the	DT	the
name	NN	name
of	IN	of
God	NP	God
,	,	,
we	PP	we
trust	VVP	trust
in	IN	in
Al	NP	Al
-	NP	-
Awda	NP	Awda
Hospital	NP	Hospital
in	IN	in
the	DT	the
northern	JJ	northern
Gaza	NP	Gaza
Strip	NP	Strip
has	VHZ	have
stopped	VVN	stop
providing	VVG	provide
its	PP$	its
services	NNS	service
due	JJ	due
to	TO	to
the	DT	the
severe	JJ	severe
shortage	NN	shortage
of	IN	of
medical	JJ	medical
supplies	NNS	supply
,	,	,
medicines	NNS	medicine
and	CC	and
medical	JJ	medical
consumables	NNS	consumable
,	,	,
in	IN	in
addition	NN	addition
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
diesel	NN	diesel
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
liter	NN	liter
of	IN	of
diesel	NN	diesel
to	TO	to
operate	VV	operate
the	DT	the
electric	JJ	electric
generators	NNS	generator
for	IN	for
the	DT	the
hospital	NN	hospital
.	SENT	.
The	DT	the
small	JJ	small
ones	NNS	one
are	VBP	be
stopped	VVN	stop
now	RB	now
.	SENT	.
We	PP	we
were	VBD	be
working	VVG	work
on	IN	on
the	DT	the
large	JJ	large
generators	NNS	generator
,	,	,
and	CC	and
since	IN	since
the	DT	the
middle	NN	middle
of	IN	of
the	DT	the
aggression	NN	aggression
,	,	,
the	DT	the
large	JJ	large
generators	NNS	generator
have	VHP	have
not	RB	not
stopped	VVN	stop
,	,	,
and	CC	and
now	RB	now
even	RB	even
the	DT	the
small	JJ	small
generators	NNS	generator
have	VHP	have
stopped	VVN	stop
working	VVG	work
.	SENT	.
There	EX	there
is	VBZ	be
no	DT	no
liter	NN	liter
of	IN	of
fuel	NN	fuel
inside	IN	inside
the	DT	the
tanks	NNS	tank
of	IN	of
the	DT	the
fuel	NN	fuel
tanks	NNS	tank
.	SENT	.
We	PP	we
will	MD	will
now	RB	now
move	VV	move
to	TO	to
