<video_id>xugzQ8i_Xso</video_id>	NP	<video_id>xugzQ8i_Xso</video_id>
<video_title>UN	NP	<video_title>UN
Security	NP	Security
Council	NP	Council
vote	NN	vote
on	IN	on
proposal	NN	proposal
to	TO	to
boost	VV	boost
aid	NN	aid
has	VHZ	have
been	VBN	be
postponed	VVN	postpone
again	RB	again
until	IN	until
Friday</video_title>	NP	Friday</video_title>
<thumbnail_path>data/en_AJ\UN	NP	<thumbnail_path>data/en_AJ\UN
Security	NP	Security
Council	NP	Council
vote	NN	vote
on	IN	on
proposal	NN	proposal
to	TO	to
boost	VV	boost
aid	NN	aid
has	VHZ	have
been	VBN	be
postponed	VVN	postpone
again	RB	again
until	IN	until
Friday.jpg</thumbnail_path>	NP	Friday.jpg</thumbnail_path>
<publish_date>20231222</publish_date>	NP	<publish_date>20231222</publish_date>
<doc>	NP	<doc>
Moen	NP	Moen
Rabani	NP	Rabani
is	VBZ	be
the	DT	the
co-editor	NN	co-editor
of	IN	of
the	DT	the
online	JJ	online
magazine	NN	magazine
jeda	NN	jeda
and	CC	and
an	DT	an
Arab	JJ	Arab
Israeli	JJ	Israeli
conflict	NN	conflict
analyst	NN	analyst
he	PP	he
joins	VVZ	join
us	PP	us
live	VVP	live
now	RB	now
from	IN	from
Montreal	NP	Montreal
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
so	RB	so
let	VVP	let
me	PP	me
ask	VVP	ask
you	PP	you
first	JJ	first
of	IN	of
all	DT	all
about	IN	about
uh	UH	uh
what's	NNS	what's
happening	VVG	happen
at	IN	at
the	DT	the
UN	NP	UN
right	NN	right
now	RB	now
and	CC	and
this	DT	this
kind	NN	kind
of	IN	of
passing	VVG	pass
of	IN	of
the	DT	the
language	NN	language
and	CC	and
and	CC	and
and	CC	and
wrangling	VVG	wrangle
over	RP	over
just	RB	just
what's	NNS	what's
going	VVG	go
to	TO	to
be	VB	be
included	VVN	include
in	IN	in
the	DT	the
in	IN	in
the	DT	the
text	NN	text
of	IN	of
this	DT	this
deal	NN	deal
is	VBZ	be
it	PP	it
really	RB	really
going	VVG	go
to	TO	to
make	VV	make
any	DT	any
difference	NN	difference
in	IN	in
the	DT	the
end	NN	end
well	RB	well
I	PP	I
I	PP	I
think	VVP	think
the	DT	the
dilemma	NN	dilemma
here	RB	here
is	VBZ	be
that	IN/that	that
any	DT	any
resolution	NN	resolution
that	WDT	that
could	MD	could
make	VV	make
a	DT	a
meaningful	JJ	meaningful
difference	NN	difference
um	NNS	um
in	IN	in
terms	NNS	term
of	IN	of
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
certain	JJ	certain
to	TO	to
be	VB	be
vetoed	VVN	veto
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
any	DT	any
resolution	NN	resolution
that	IN/that	that
the	DT	the
United	NP	United
States	NP	States
feels	VVZ	feel
it	PP	it
is	VBZ	be
able	JJ	able
to	TO	to
support	VV	support
is	VBZ	be
going	VVG	go
to	TO	to
be	VB	be
essentially	RB	essentially
meaningless	JJ	meaningless
um	NNS	um
for	IN	for
the	DT	the
besieged	JJ	besieged
population	NN	population
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
I	PP	I
mean	VVP	mean
let's	NN	let's
be	VB	be
clear	JJ	clear
it	PP	it
was	VBD	be
only	RB	only
um	JJ	um
the	DT	the
SW	NP	SW
week	NN	week
that	IN/that	that
the	DT	the
United	NP	United
States	NPS	States
voted	VVD	vote
against	IN	against
a	DT	a
general	JJ	general
assembly	NN	assembly
resolution	NN	resolution
affirming	VVG	affirm
the	DT	the
right	NN	right
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
self-determination	NN	self-determination
um	NNS	um
in	IN	in
addition	NN	addition
to	TO	to
what	WP	what
your	PP$	your
correspondent	NN	correspondent
was	VBD	be
reporting	VVG	report
there	EX	there
are	VBP	be
additional	JJ	additional
reports	NNS	report
that	IN/that	that
the	DT	the
US	NP	US
insisted	VVD	insist
on	IN	on
seeing	VVG	see
references	NNS	reference
um	JJ	um
to	TO	to
a	DT	a
demand	NN	demand
for	IN	for
all	DT	all
parties	NNS	party
not	RB	not
not	RB	not
just	RB	just
Israel	NP	Israel
all	DT	all
parties	NNS	party
to	TO	to
respect	VV	respect
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
to	TO	to
have	VH	have
that	DT	that
removed	VVN	remove
from	IN	from
the	DT	the
draft	NN	draft
resolution	NN	resolution
as	IN	as
well	RB	well
so	RB	so
in	IN	in
effect	NN	effect
the	DT	the
the	DT	the
US	NP	US
is	VBZ	be
voting	VVG	vote
for	IN	for
the	DT	the
continuation	NN	continuation
of	IN	of
The	DT	the
Siege	NN	siege
um	NN	um
for	IN	for
the	DT	the
continuation	NN	continuation
of	IN	of
the	DT	the
mass	JJ	mass
killings	NNS	killing
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
and	CC	and
most	JJS	most
importantly	RB	importantly
the	DT	the
idea	NN	idea
of	IN	of
humanitarian	JJ	humanitarian
assistance	NN	assistance
without	IN	without
a	DT	a
ceasefire	NN	ceasefire
is	VBZ	be
absolutely	RB	absolutely
meaningless	JJ	meaningless
and	CC	and
illusory	JJ	illusory
I	PP	I
mean	VVP	mean
who	WP	who
in	IN	in
their	PP$	their
right	JJ	right
mind	NN	mind
believes	VVZ	believe
that	IN/that	that
humanitarian	JJ	humanitarian
assistance	NN	assistance
can	MD	can
be	VB	be
delivered	VVN	deliver
throughout	IN	throughout
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
all	PDT	all
those	DT	those
in	IN	in
need	NN	need
um	NNS	um
while	IN	while
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
is	VBZ	be
experiencing	VVG	experience
the	DT	the
most	RBS	most
intensive	JJ	intensive
bombing	NN	bombing
campaign	NN	campaign
in	IN	in
the	DT	the
entire	JJ	entire
history	NN	history
of	IN	of
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
when	WRB	when
you	PP	you
see	VVP	see
um	RB	um
all	RB	all
of	IN	of
the	DT	the
pictures	NNS	picture
that	WDT	that
are	VBP	be
coming	VVG	come
out	RP	out
of	IN	of
Gaza	NP	Gaza
and	CC	and
what	WDT	what
we've	NN	we've
been	VBN	be
reporting	VVG	report
there	RB	there
of	IN	of
uh	UH	uh
the	DT	the
the	DT	the
the	DT	the
constant	JJ	constant
bombardment	NN	bombardment
and	CC	and
the	DT	the
desperate	JJ	desperate
humanitarian	JJ	humanitarian
situation	NN	situation
and	CC	and
that	DT	that
is	VBZ	be
jux	NN	jux
opposed	VVN	oppose
with	IN	with
what's	NNS	what's
happening	VVG	happen
in	IN	in
New	NP	New
York	NP	York
and	CC	and
you	PP	you
know	VVP	know
we	PP	we
see	VVP	see
well	RB	well
we	PP	we
don't	VVD	don't
see	VV	see
it	PP	it
because	IN	because
it's	NNS	it's
behind	IN	behind
closed	JJ	closed
doors	NNS	door
but	CC	but
people	NNS	people
sitting	VVG	sit
around	IN	around
the	DT	the
tables	VVZ	table
uh	UH	uh
arguing	VVG	argue
over	IN	over
this	DT	this
word	NN	word
and	CC	and
that	IN/that	that
word	NN	word
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
all	DT	all
of	IN	of
that	DT	that
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
that	DT	that
contrast	NN	contrast
well	RB	well
again	RB	again
um	VVD	um
uh	UH	uh
you	PP	you
have	VHP	have
a	DT	a
situation	NN	situation
in	IN	in
New	NP	New
York	NP	York
where	WRB	where
um	JJ	um
a	DT	a
superpower	NN	superpower
with	IN	with
veto	VV	veto
uh	UH	uh
powers	NNS	power
in	IN	in
the	DT	the
Security	NP	Security
Council	NP	Council
is	VBZ	be
doing	VVG	do
its	PP$	its
absolute	JJ	absolute
best	JJS	good
to	TO	to
ensure	VV	ensure
that	IN/that	that
the	DT	the
situation	NN	situation
on	IN	on
the	DT	the
ground	NN	ground
in	IN	in
Gaza	NP	Gaza
remains	VVZ	remain
unchanged	JJ	unchanged
and	CC	and
if	IN	if
it	PP	it
changes	VVZ	change
it	PP	it
will	MD	will
only	RB	only
change	VV	change
for	IN	for
the	DT	the
worst	JJS	bad
and	CC	and
I	PP	I
think	VVP	think
it's	NNS	it's
important	JJ	important
to	TO	to
point	VV	point
out	RP	out
here	RB	here
that	IN/that	that
one	CD	one
