<video_id>U-GC3Z2OKv4</video_id>	NP	<video_id>U-GC3Z2OKv4</video_id>
<video_title>‘We	NP	<video_title>‘We
don’t	NP	don’t
want	VVP	want
to	TO	to
see	VV	see
a	DT	a
firefight	NN	firefight
in	IN	in
a	DT	a
hospital’:	JJ	hospital’:
White	NP	White
House</video_title>	NP	House</video_title>
<thumbnail_path>data/en_AJ\‘We	NP	<thumbnail_path>data/en_AJ\‘We
don’t	NP	don’t
want	VVP	want
to	TO	to
see	VV	see
a	DT	a
firefight	NN	firefight
in	IN	in
a	DT	a
hospital’	JJ	hospital’
White	NP	White
House.jpg</thumbnail_path>	NP	House.jpg</thumbnail_path>
<publish_date>20231115</publish_date>	JJ	<publish_date>20231115</publish_date>
<doc>	NN	<doc>
let's	NNS	let's
bring	VVP	bring
in	IN	in
Mike	NP	Mike
Hannah	NP	Hannah
now	RB	now
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Washington	NP	Washington
DC	NP	DC
Mike	NP	Mike
what's	NNS	what's
the	DT	the
reaction	NN	reaction
been	VBN	be
there	RB	there
to	TO	to
the	DT	the
Israeli	JJ	Israeli
raid	NN	raid
on	IN	on
Gaza	NP	Gaza
alifa	NP	alifa
Hospital	NP	Hospital
well	RB	well
we've	NN	we've
just	RB	just
had	VHD	have
a	DT	a
statement	NN	statement
released	VVD	release
quoted	VVN	quote
by	IN	by
several	JJ	several
news	NN	news
agencies	NNS	agency
here	RB	here
in	IN	in
which	WDT	which
the	DT	the
White	NP	White
House	NP	House
is	VBZ	be
quoted	VVN	quote
as	IN	as
saying	VVG	say
that	IN/that	that
it	PP	it
does	VVZ	do
not	RB	not
support	VV	support
striking	VVG	strike
a	DT	a
hospital	NN	hospital
from	IN	from
the	DT	the
air	NN	air
and	CC	and
does	VVZ	do
not	RB	not
want	VV	want
to	TO	to
see	VV	see
a	DT	a
firefight	NN	firefight
in	IN	in
a	DT	a
hospital	NN	hospital
after	IN	after
the	DT	the
Israeli	JJ	Israeli
military	NN	military
said	VVD	say
it	PP	it
was	VBD	be
carrying	VVG	carry
out	RP	out
this	DT	this
particular	JJ	particular
particular	JJ	particular
Aid	NN	aid
at	IN	at
alifa	NN	alifa
hospital	NN	hospital
now	RB	now
the	DT	the
official	NN	official
who	WP	who
made	VVD	make
the	DT	the
statement	NN	statement
is	VBZ	be
not	RB	not
identified	VVN	identify
however	RB	however
it's	NNS	it's
identified	VVN	identify
as	IN	as
a	DT	a
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
White	NP	White
House	NP	House
National	NP	National
Security	NP	Security
Council	NP	Council
the	DT	the
official	NN	official
says	VVZ	say
that	IN/that	that
we	PP	we
do	VVP	do
not	RB	not
want	VV	want
to	TO	to
see	VV	see
a	DT	a
firefight	NN	firefight
in	IN	in
a	DT	a
hospital	NN	hospital
where	WRB	where
innocent	JJ	innocent
people	NNS	people
helpless	JJ	helpless
people	NNS	people
sick	JJ	sick
people	NNS	people
trying	VVG	try
to	TO	to
get	VV	get
medical	JJ	medical
care	NN	care
they	PP	they
deserve	VVP	deserve
are	VBP	be
caught	VVN	catch
in	IN	in
the	DT	the
crossfire	NN	crossfire
hospitals	NNS	hospital
and	CC	and
patients	NNS	patient
must	MD	must
be	VB	be
protected	VVN	protect
the	DT	the
spokesperson	NN	spokesperson
is	VBZ	be
quoted	VVN	quote
as	RB	as
say	VVP	say
saying	VVG	say
now	RB	now
this	DT	this
is	VBZ	be
an	DT	an
echo	NN	echo
of	IN	of
something	NN	something
that	IN/that	that
President	NP	President
Biden	NP	Biden
said	VVD	say
in	IN	in
the	DT	the
last	JJ	last
24	CD	@card@
hours	NNS	hour
where	WRB	where
he	PP	he
stated	VVD	state
very	RB	very
clearly	RB	clearly
he	PP	he
believes	VVZ	believe
that	IN/that	that
hospitals	NNS	hospital
should	MD	should
be	VB	be
protected	VVN	protect
the	DT	the
United	NP	United
States	NPS	States
is	VBZ	be
opposed	VVN	oppose
to	TO	to
action	NN	action
being	VBG	be
taken	VVN	take
against	IN	against
hospitals	NNS	hospital
so	RB	so
this	DT	this
all	PDT	all
some	DT	some
24	CD	@card@
hours	NNS	hour
ago	RB	ago
now	RB	now
we	PP	we
have	VHP	have
this	DT	this
latest	JJS	late
statement	NN	statement
from	IN	from
the	DT	the
White	NP	White
House	NP	House
trying	VVG	try
to	TO	to
get	VV	get
clarity	NN	clarity
on	IN	on
exactly	RB	exactly
who	WP	who
the	DT	the
spokesperson	NN	spokesperson
is	VBZ	be
being	VBG	be
quoted	VVN	quote
by	IN	by
various	JJ	various
news	NN	news
agencies	NNS	agency
all	RB	all
right	RB	right
well	RB	well
stay	VV	stay
with	IN	with
us	PP	us
mik	NN	mik
because	IN	because
Hamas	NP	Hamas
is	VBZ	be
really	RB	really
a	DT	a
statement	NN	statement
it	PP	it
