ABD	NP	ABD
Arian	NP	Arian
from	IN	from
Georgetown	NP	Georgetown
University	NP	University
is	VBZ	be
still	RB	still
with	IN	with
us	PP	us
here	RB	here
on	IN	on
S	NP	S
let	NN	let
'	POS	'
s	JJ	s
talk	NN	talk
about	IN	about
land	NN	land
day	NN	day
obviously	RB	obviously
you	PP	you
know	VVP	know
the	DT	the
anniversaries	NNS	anniversary
come	VVP	come
and	CC	and
go	VVP	go
each	DT	each
year	NN	year
the	DT	the
ideology	NN	ideology
is	VBZ	be
set	VVN	set
in	IN	in
stone	NN	stone
as	RB	as
far	RB	far
as	IN	as
the	DT	the
Israelis	NPS	Israelis
are	VBP	be
concerned	VVN	concern
and	CC	and
all	RB	all
that	IN/that	that
the	DT	the
Palestinians	NPS	Palestinians
can	MD	can
do	VV	do
is	VBZ	be
remember	VV	remember
yeah	RB	yeah
I	PP	I
mean	VVP	mean
you	PP	you
know	VVP	know
all	DT	all
of	IN	of
us	PP	us
I	PP	I
think	VVP	think
are	VBP	be
quite	RB	quite
familiar	JJ	familiar
with	IN	with
that	DT	that
map	NN	map
that	IN/that	that
famous	JJ	famous
map	NN	map
of	IN	of
the	DT	the
shrinking	NN	shrinking
of	IN	of
Palestine	NP	Palestine
going	VVG	go
back	RB	back
from	IN	from
1948	CD	@card@
until	IN	until
the	DT	the
present	JJ	present
um	NN	um
you	PP	you
know	VVP	know
so	RB	so
there	RB	there
'	''	'
s	NN	S
there	RB	there
'	POS	'
s	JJ	s
something	NN	something
to	TO	to
be	VB	be
said	VVN	say
about	IN	about
the	DT	the
fact	NN	fact
that	IN/that	that
the	DT	the
theft	NN	theft
of	IN	of
land	NN	land
has	VHZ	have
been	VBN	be
part	NN	part
and	CC	and
parcel	NN	parcel
of	IN	of
the	DT	the
Israeli	JJ	Israeli
state	NN	state
going	VVG	go
back	RB	back
to	TO	to
its	PP$	its
establishment	NN	establishment
in	IN	in
1948	CD	@card@
very	RB	very
soon	RB	soon
after	IN	after
the	DT	the
Israeli	JJ	Israeli
State	NP	State
uh	UH	uh
established	VVN	establish
certain	JJ	certain
laws	NNS	law
that	WDT	that
basically	RB	basically
permitted	VVD	permit
them	PP	them
on	IN	on
under	IN	under
this	DT	this
this	DT	this
massively	RB	massively
wide	JJ	wide
umbrella	NN	umbrella
of	IN	of
of	IN	of
security	NN	security
concerns	NNS	concern
to	TO	to
be	VB	be
able	JJ	able
to	TO	to
seize	VV	seize
any	DT	any
land	NN	land
at	IN	at
any	DT	any
point	VV	point
uh	UH	uh
specifically	RB	specifically
from	IN	from
Palestinian	JJ	Palestinian
residents	NNS	resident
and	CC	and
citizens	NNS	citizen
of	IN	of
the	DT	the
state	NN	state
and	CC	and
so	IN	so
we	PP	we
'	POS	'
ve	NN	ve
seen	VVN	see
this	DT	this
of	IN	of
course	NN	course
over	IN	over
the	DT	the
years	NNS	year
1976	CD	@card@
was	VBD	be
the	DT	the
very	RB	very
first	JJ	first
commemoration	NN	commemoration
of	IN	of
lande	NN	lande
with	IN	with
a	DT	a
with	IN	with
regard	NN	regard
to	TO	to
a	DT	a
specific	JJ	specific
incident	NN	incident
in	IN	in
which	WDT	which
um	NNS	um
you	PP	you
know	VVP	know
a	DT	a
parcel	NN	parcel
of	IN	of
land	NN	land
was	VBD	be
taken	VVN	take
from	IN	from
Palestinian	NP	Palestinian
those	DT	those
who	WP	who
were	VBD	be
happened	VVN	happen
to	TO	to
be	VB	be
citizens	NNS	citizen
of	IN	of
the	DT	the
state	NN	state
of	IN	of
Israel	NP	Israel
and	CC	and
yet	RB	yet
obviously	RB	obviously
had	VHD	have
no	DT	no
rights	NNS	right
whatsoever	RB	whatsoever
to	TO	to
challenge	VV	challenge
the	DT	the
theft	NN	theft
of	IN	of
their	PP$	their
land	NN	land
and	CC	and
since	IN	since
then	RB	then
we	PP	we
'	POS	'
ve	RB	ve
been	VBN	be
seeing	VVG	see
this	DT	this
marked	VVN	mark
on	IN	on
an	DT	an
annual	JJ	annual
basis	NN	basis
and	CC	and
we	PP	we
'	POS	'
re	NN	re
continuing	VVG	continue
to	TO	to
see	VV	see
it	PP	it
today	NN	today
you	PP	you
just	RB	just
mentioned	VVD	mention
I	PP	I
think	VVP	think
before	IN	before
the	DT	the
break	VV	break
uh	UH	uh
about	RB	about
this	DT	this
new	JJ	new
announcement	NN	announcement
of	IN	of
yet	RB	yet
more	JJR	more
land	NN	land
that	RB	that
'	POS	'
s	NNS	s
being	VBG	be
confiscated	VVN	confiscate
unilaterally	RB	unilaterally
by	IN	by
the	DT	the
state	NN	state
as	RB	as
announced	VVD	announce
by	IN	by
one	CD	one
of	IN	of
the	DT	the
Israeli	JJ	Israeli
ministers	NNS	minister
something	NN	something
we	PP	we
haven	VVP	haven
'	''	'
t	NN	t
seen	VVN	see
at	IN	at
least	JJS	least
not	RB	not
on	IN	on
that	DT	that
scale	VV	scale
uh	UH	uh
in	IN	in
decades	NNS	decade
really	RB	really
so	IN	so
we	PP	we
'	''	'
re	IN	re
we	PP	we
'	POS	'
re	NN	re
continuing	VVG	continue
to	TO	to
witness	VV	witness
this	DT	this
happening	NN	happening
not	RB	not
just	RB	just
you	PP	you
know	VVP	know
40	CD	@card@
50	CD	@card@
years	NNS	year
ago	RB	ago
but	CC	but
even	RB	even
today	NN	today
and	CC	and
of	IN	of
course	NN	course
it	PP	it
runs	VVZ	run
in	IN	in
Tander	NP	Tander
with	IN	with
exactly	RB	exactly
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
in	IN	in
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
so	IN	so
the	DT	the
Palestinians	NPS	Palestinians
have	VHP	have
this	DT	this
this	DT	this
front	NN	front
that	IN/that	that
they	PP	they
have	VHP	have
to	TO	to
deal	VV	deal
with	IN	with
you	PP	you
know	VVP	know
conflict	NN	conflict
and	CC	and
land	NN	land
grabs	NNS	grab
and	CC	and
it	PP	it
it	PP	it
'	POS	'
s	NN	S
not	RB	not
lost	VVD	lose
on	IN	on
on	IN	on
Arab	NP	Arab
the	DT	the
Arab	JJ	Arab
community	NN	community
in	IN	in
the	DT	the
region	NN	region
I	PP	I
mean	VVP	mean
we	PP	we
we	PP	we
'	POS	'
ve	JJ	ve
seen	VVN	see
demonstrations	NNS	demonstration
were	VBD	be
in	IN	in
Jordan	NP	Jordan
only	RB	only
only	RB	only
last	JJ	last
night	RB	night
uh	UH	uh
on	IN	on
on	IN	on
Friday	NP	Friday
evening	NN	evening
yet	CC	yet
the	DT	the
question	NN	question
that	RB	that
'	POS	'
s	NN	S
continually	RB	continually
asked	VVD	ask
even	RB	even
to	TO	to
me	PP	me
when	WRB	when
I	PP	I
'	POS	'
m	NN	m
away	RB	away
from	IN	from
camera	NN	camera
by	IN	by
people	NNS	people
across	IN	across
Europe	NP	Europe
and	CC	and
when	WRB	when
I	PP	I
visit	VVP	visit
is	VBZ	be
why	WRB	why
do	VVP	do
the	DT	the
Arab	JJ	Arab
countries	NNS	country
that	WDT	that
have	VHP	have
agreements	NNS	agreement
and	CC	and
recognize	VV	recognize
Israel	NP	Israel
not	RB	not
cut	VVD	cut
their	PP$	their
diplomatic	JJ	diplomatic
ties	NNS	tie
seems	VVZ	seem
It	PP	it
'	''	'
s	NNS	s
always	RB	always
left	VVD	leave
to	TO	to
Central	NP	Central
American	NP	American
countries	NNS	country
to	TO	to
actually	RB	actually
take	VV	take
the	DT	the
lead	NN	lead
well	RB	well
I	PP	I
mean	VVP	mean
I	PP	I
think	VVP	think
to	TO	to
to	TO	to
understand	VV	understand
that	DT	that
question	NN	question
we	PP	we
have	VHP	have
to	TO	to
really	RB	really
look	VV	look
at	IN	at
the	DT	the
state	NN	state
of	IN	of
what	WP	what
uh	UH	uh
Arab	JJ	Arab
politics	NNS	politics
looks	VVZ	look
like	IN	like
in	IN	in
this	DT	this
day	NN	day
and	CC	and
age	NN	age
I	PP	I
mean	VVP	mean
if	IN	if
we	PP	we
think	VVP	think
back	RB	back
just	RB	just
a	DT	a
decade	NN	decade
ago	RB	ago
we	PP	we
had	VHD	have
mass	JJ	mass
uprisings	NNS	uprising
in	IN	in
which	WDT	which
the	DT	the
will	NN	will
of	IN	of
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
people	NNS	people
was	VBD	be
being	VBG	be
represented	VVN	represent
in	IN	in
the	DT	the
streets	NNS	street
and	CC	and
in	IN	in
in	IN	in
these	DT	these
attempted	JJ	attempted
revolutions	NNS	revolution
but	CC	but
what	WP	what
happened	VVD	happen
after	IN	after
that	IN/that	that
of	IN	of
course	NN	course
is	VBZ	be
that	IN/that	that
there	EX	there
was	VBD	be
a	DT	a
kind	NN	kind
of	IN	of
an	DT	an
authoritarian	JJ	authoritarian
retrenchment	NN	retrenchment
we	PP	we
had	VHD	have
these	DT	these
um	NNS	um
you	PP	you
know	VVP	know
unrepresentative	JJ	unrepresentative
monarchical	NN	monarchical
and	CC	and
dictatorship	NN	dictatorship
regimes	NNS	regime
that	WDT	that
are	VBP	be
essentially	RB	essentially
installing	VVG	install
their	PP$	their
will	NN	will
and	CC	and
imposing	VVG	impose
their	PP$	their
will	NN	will
at	IN	at
the	DT	the
expense	NN	expense
of	IN	of
their	PP$	their
population	NN	population
'	POS	'
s	NN	S
demands	NNS	demand
and	CC	and
they	PP	they
'	POS	'
re	NN	re
doing	VVG	do
this	DT	this
in	IN	in
part	NN	part
obviously	RB	obviously
as	IN	as
a	DT	a
means	NNS	mean
of	IN	of
of	IN	of
securing	VVG	secure
their	PP$	their
own	JJ	own
power	NN	power
all	RB	all
of	IN	of
them	PP	them
are	VBP	be
quite	RB	quite
deeply	RB	deeply
unpopular	JJ	unpopular
um	NNS	um
but	CC	but
in	IN	in
addition	NN	addition
to	TO	to
that	WDT	that
because	IN	because
of	IN	of
just	RB	just
their	PP$	their
absolute	JJ	absolute
dependence	NN	dependence
economically	RB	economically
militarily	RB	militarily
diplomatically	RB	diplomatically
on	IN	on
Western	JJ	Western
countries	NNS	country
and	CC	and
so	IN	so
they	PP	they
'	POS	'
re	NN	re
completely	RB	completely
beholden	JJ	beholden
to	TO	to
the	DT	the
whims	NNS	whim
of	IN	of
not	RB	not
just	JJ	just
uh	UH	uh
Israel	NP	Israel
but	CC	but
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
the	DT	the
EU	NP	EU
and	CC	and
many	JJ	many
other	JJ	other
countries	NNS	country
and	CC	and
so	RB	so
in	IN	in
that	DT	that
sense	VVP	sense
it	PP	it
'	''	'
s	VVG	s
it	PP	it
'	POS	'
s	NN	S
quite	RB	quite
understandable	JJ	understandable
that	IN/that	that
they	PP	they
would	MD	would
be	VB	be
simply	RB	simply
echoing	VVG	echo
the	DT	the
same	JJ	same
policies	NNS	policy
we	PP	we
see	VVP	see
coming	VVG	come
out	RP	out
of	IN	of
Washington	NP	Washington
and	CC	and
London	NP	London
and	CC	and
Paris	NP	Paris
for	IN	for
the	DT	the
moment	NN	moment
we	PP	we
'	POS	'
ll	NNS	ll
leave	VVP	leave
it	PP	it
there	RB	there
of	IN	of
course	NN	course
we	PP	we
'	POS	'
ll	NNS	ll
keep	VV	keep
uh	UH	uh
your	PP$	your
analysis	NN	analysis
going	VVG	go
throughout	IN	throughout
the	DT	the
day	NN	day
Abdullah	NP	Abdullah
Al	NP	Al
Aran	NP	Aran
thank	VVP	thank
you	PP	you
for	IN	for
joining	VVG	join
us	PP	us
