Washington	NP	Washington
says	VVZ	say
it	PP	it
'	''	'
s	NNS	s
too	RB	too
early	JJ	early
to	TO	to
tell	VV	tell
if	IN	if
Israel	NP	Israel
will	MD	will
heed	VV	heed
us	PP	us
advice	NN	advice
on	IN	on
protecting	VVG	protect
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
here	RB	here
'	''	'
s	NNS	s
what	WP	what
the	DT	the
state	NN	state
department	NN	department
spokesman	NN	spokesman
said	VVD	say
just	RB	just
a	DT	a
short	JJ	short
while	NN	while
ago	RB	ago
unfortunately	RB	unfortunately
we	PP	we
do	VVP	do
expect	VV	expect
to	TO	to
see	VV	see
civilian	JJ	civilian
casualties	NNS	casualty
as	IN	as
a	DT	a
result	NN	result
of	IN	of
this	DT	this
campaign	NN	campaign
um	NN	um
that	WDT	that
is	VBZ	be
sadly	RB	sadly
true	JJ	true
in	IN	in
all	DT	all
wars	NNS	war
it	PP	it
is	VBZ	be
especially	RB	especially
going	VVG	go
to	TO	to
be	VB	be
true	JJ	true
in	IN	in
a	DT	a
war	NN	war
in	IN	in
a	DT	a
crowded	JJ	crowded
Urban	NP	Urban
environment	NN	environment
where	WRB	where
the	DT	the
opponent	NN	opponent
Hamas	NN	Hamas
is	VBZ	be
using	VVG	use
civilians	NNS	civilian
as	IN	as
human	JJ	human
Shields	NP	Shields
and	CC	and
hiding	VVG	hide
themselves	PP	themselves
hiding	VVG	hide
their	PP$	their
Fighters	NNS	fighter
hiding	VVG	hide
their	PP$	their
infrastructure	NN	infrastructure
behind	IN	behind
civilians	NNS	civilian
so	IN	so
what	WP	what
we	PP	we
have	VHP	have
made	VVN	make
clear	JJ	clear
to	TO	to
Israel	NP	Israel
is	VBZ	be
that	IN/that	that
we	PP	we
expect	VVP	expect
them	PP	them
to	TO	to
comply	VV	comply
with	IN	with
International	NP	International
humanitarian	JJ	humanitarian
law	NN	law
and	CC	and
do	VVP	do
them	PP	them
do	VVP	do
everything	NN	everything
they	PP	they
can	MD	can
to	TO	to
minimize	VV	minimize
civilian	JJ	civilian
harm	NN	harm
so	IN	so
we	PP	we
don	VVP	don
