<video_id>j8VdfINY__w</video_id>	NP	<video_id>j8VdfINY__w</video_id>
<video_title>Israel	NP	<video_title>Israel
has	VHZ	have
bitterly	RB	bitterly
accepted	VVN	accept
deal,	NP	deal,
but	CC	but
it	PP	it
could	MD	could
be	VB	be
the	DT	the
start	NN	start
of	IN	of
of	IN	of
a	DT	a
longer	RBR	longer
pause:	JJ	pause:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
has	VHZ	have
bitterly	RB	bitterly
accepted	VVN	accept
deal,	NP	deal,
but	CC	but
it	PP	it
could	MD	could
be	VB	be
the	DT	the
start	NN	start
of	IN	of
of	IN	of
a	DT	a
longer	JJR	long
pause	NN	pause
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20231123</publish_date>	NN	<publish_date>20231123</publish_date>
<doc>	NN	<doc>
for	IN	for
that	IN/that	that
for	IN	for
now	RB	now
that	WDT	that
is	VBZ	be
saharat	NN	saharat
live	JJ	live
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
and	CC	and
we	PP	we
can	MD	can
now	RB	now
speak	VV	speak
to	TO	to
Madan	NP	Madan
bishara	NN	bishara
he	PP	he
is	VBZ	be
alaz	RB	alaz
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
Madan	NP	Madan
what	WP	what
do	VVP	do
you	PP	you
make	VV	make
of	IN	of
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
the	DT	the
other	JJ	other
men	NNS	man
that	IN/that	that
we	PP	we
were	VBD	be
hearing	VVG	hear
from	IN	from
the	DT	the
defense	NN	defense
minister	NN	minister
Minister	NP	Minister
Benny	NP	Benny
Gans	NP	Gans
all	RB	all
saying	VVG	say
that	IN/that	that
the	DT	the
ceasefire	NN	ceasefire
could	MD	could
continue	VV	continue
they	PP	they
would	MD	would
like	VV	like
the	DT	the
ceasefire	NN	ceasefire
to	TO	to
continue	VV	continue
but	CC	but
so	RB	so
must	MD	must
the	DT	the
war	NN	war
yeah	RB	yeah
absolutely	RB	absolutely
because	IN	because
you	PP	you
know	VVP	know
as	IN	as
we	PP	we
been	VBN	be
saying	VVG	say
earlier	RBR	earlier
you	PP	you
you	PP	you
put	VVD	put
a	DT	a
pose	NN	pose
to	TO	to
a	DT	a
video	JJ	video
game	NN	game
you	PP	you
don't	VVD	don't
put	VV	put
a	DT	a
pose	NN	pose
to	TO	to
a	DT	a
genocide	NN	genocide
and	CC	and
clearly	RB	clearly
they	PP	they
are	VBP	be
genocidal	JJ	genocidal
in	IN	in
their	PP$	their
War	NN	war
so	IN	so
they	PP	they
have	VHP	have
kept	VVN	keep
on	IN	on
saying	VVG	say
again	RB	again
and	CC	and
again	RB	again
and	CC	and
again	RB	again
especially	RB	especially
Minister	NP	Minister
of	IN	of
Defense	NP	Defense
Galant	NP	Galant
that	WDT	that
uh	UH	uh
don't	VVD	don't
ever	RB	ever
get	VV	get
the	DT	the
impression	NN	impression
that	IN/that	that
we're	NN	we're
going	VVG	go
to	TO	to
stop	VV	stop
we're	NN	we're
just	RB	just
going	VVG	go
to	TO	to
continue	VV	continue
with	IN	with
the	DT	the
war	NN	war
as	RB	as
soon	RB	soon
as	IN	as
this	DT	this
is	VBZ	be
over	IN	over
we	PP	we
will	MD	will
continue	VV	continue
we	PP	we
know	VV	know
our	PP$	our
objectives	NNS	objective
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
so	RB	so
this	DT	this
was	VBD	be
a	DT	a
continuous	JJ	continuous
justification	NN	justification
of	IN	of
why	WRB	why
this	DT	this
should	MD	should
not	RB	not
be	VB	be
misunderstood	VVN	misunderstand
as	IN	as
weakness	NN	weakness
MH	NP	MH
that	IN/that	that
in	IN	in
fact	NN	fact
uh	UH	uh
they	PP	they
are	VBP	be
strong	JJ	strong
and	CC	and
they	PP	they
are	VBP	be
doing	VVG	do
great	JJ	great
in	IN	in
the	DT	the
war	NN	war
they	PP	they
are	VBP	be
achieving	VVG	achieve
their	PP$	their
objective	NN	objective
and	CC	and
they	PP	they
will	MD	will
continue	VV	continue
to	TO	to
do	VV	do
so	RB	so
after	IN	after
uh	UH	uh
the	DT	the
pause	NN	pause
is	VBZ	be
ended	VVN	end
now	RB	now
you	PP	you
know	VVP	know
to	TO	to
my	PP$	my
mind	NN	mind
because	IN	because
uh	UH	uh
I'm	NN	I'm
not	RB	not
sure	JJ	sure
how	WRB	how
many	JJ	many
times	NNS	time
we	PP	we
broadcasted	VVD	broadcast
any	DT	any
such	JJ	such
press	NN	press
conferences	NNS	conference
but	CC	but
I've	NN	I've
been	VBN	be
watching	VVG	watch
this	DT	this
over	IN	over
many	JJ	many
weeks	NNS	week
now	RB	now
in	IN	in
on	IN	on
Israeli	JJ	Israeli
television	NN	television
and	CC	and
uh	UH	uh
I	PP	I
can't	VVD	can't
tell	VV	tell
you	PP	you
how	WRB	how
much	JJ	much
this	DT	this
is	VBZ	be
a	DT	a
repetition	NN	repetition
of	IN	of
more	JJR	more
of	IN	of
the	DT	the
same	JJ	same
it	PP	it
was	VBD	be
incredibly	RB	incredibly
repetitive	JJ	repetitive
wasn't	NN	wasn't
it	PP	it
and	CC	and
I	PP	I
was	VBD	be
was	VBD	be
wondering	VVG	wonder
why	WRB	why
did	VVD	do
they	PP	they
bring	VV	bring
up	RP	up
all	DT	all
three	CD	three
men	NNS	man
to	TO	to
say	VV	say
the	DT	the
same	JJ	same
thing	NN	thing
over	IN	over
and	CC	and
over	IN	over
again	RB	again
not	RB	not
only	RB	only
did	VVD	do
they	PP	they
repeat	VV	repeat
what	WP	what
they	PP	they
themselves	PP	themselves
said	VVD	say
but	CC	but
then	RB	then
another	DT	another
one	CD	one
would	MD	would
come	VV	come
on	RP	on
and	CC	and
repeat	VV	repeat
what	WP	what
the	DT	the
man	NN	man
before	IN	before
him	PP	him
had	VHD	have
said	VVN	say
and	CC	and
imagine	VVP	imagine
that	IN/that	that
this	DT	this
has	VHZ	have
been	VBN	be
happening	VVG	happen
day	NN	day
after	IN	after
day	NN	day
or	CC	or
every	DT	every
other	JJ	other
day	NN	day
the	DT	the
past	JJ	past
month	NN	month
and	CC	and
a	DT	a
half	NN	half
except	IN	except
the	DT	the
only	JJ	only
difference	NN	difference
today	NN	today
is	VBZ	be
that	IN/that	that
gun	NN	gun
decided	VVD	decide
to	TO	to
show	VV	show
up	RP	up
in	IN	in
blue	NN	blue
in	IN	in
Black	NP	Black
otherwise	RB	otherwise
this	DT	this
has	VHZ	have
been	VBN	be
the	DT	the
same	JJ	same
picture	NN	picture
of	IN	of
all	DT	all
three	CD	three
men	NNS	man
pretending	VVG	pretend
to	TO	to
be	VB	be
all	RB	all
in	IN	in
agreement	NN	agreement
pretending	VVG	pretend
to	TO	to
have	VH	have
Harmony	NP	Harmony
among	IN	among
amongst	IN	amongst
each	DT	each
other	JJ	other
although	IN	although
they	PP	they
hate	VVP	hate
each	DT	each
other	JJ	other
guts	NNS	gut
and	CC	and
they	PP	they
are	VBP	be
in	IN	in
disagreements	NNS	disagreement
on	IN	on
a	DT	a
number	NN	number
of	IN	of
things	NNS	thing
and	CC	and
the	DT	the
two	CD	two
generals	NNS	general
cannot	MD	can
wait	VV	wait
to	TO	to
get	VV	get
rid	JJ	rid
of	IN	of
Netanyahu	NP	Netanyahu
who	WP	who
of	IN	of
course	NN	course
as	IN	as
we	PP	we
all	RB	all
know	VVP	know
is	VBZ	be
unpopular	JJ	unpopular
and	CC	and
so	RB	so
on	IN	on
so	RB	so
forth	RB	forth
but	CC	but
back	RB	back
to	TO	to
the	DT	the
what	WP	what
they	PP	they
were	VBD	be
saying	VVG	say
and	CC	and
I	PP	I
thought	VVD	think
the	DT	the
spin	NN	spin
was	VBD	be
considerable	JJ	considerable
this	DT	this
time	NN	time
I	PP	I
mean	VVP	mean
there	EX	there
was	VBD	be
so	RB	so
much	RB	much
spin	VV	spin
I	PP	I
could	MD	could
go	VV	go
and	CC	and
dissect	VV	dissect
every	DT	every
sentence	NN	sentence
said	VVD	say
the	DT	the
past	JJ	past
45	CD	@card@
minutes	NNS	minute
to	TO	to
tell	VV	tell
you	PP	you
where	WRB	where
the	DT	the
spin	NN	spin
is	VBZ	be
and	CC	and
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
was	VBD	be
not	RB	not
just	RB	just
you	PP	you
know	VVP	know
sort	NN	sort
of	IN	of
playing	VVG	play
with	IN	with
the	DT	the
truth	NN	truth
a	DT	a
lot	NN	lot
of	IN	of
it	PP	it
was	VBD	be
just	RB	just
not	RB	not
factual	JJ	factual
and	CC	and
I	PP	I
think	VVP	think
the	DT	the
most	RBS	most
