luchano	NP	luchano
zakara	NP	zakara
is	VBZ	be
an	DT	an
associate	NN	associate
professor	NN	professor
of	IN	of
golf	NN	golf
politics	NNS	politics
at	IN	at
the	DT	the
golf	NN	golf
studies	NNS	study
Center	NP	Center
of	IN	of
qar	NP	qar
University	NP	University
he	PP	he
joins	VVZ	join
us	PP	us
now	RB	now
in	IN	in
the	DT	the
studio	NN	studio
thanks	NNS	thanks
very	RB	very
much	RB	much
for	IN	for
being	VBG	be
with	IN	with
us	PP	us
so	RB	so
um	JJ	um
what	WP	what
'	POS	'
s	NN	S
happened	VVD	happen
here	RB	here
does	VVZ	do
remind	VV	remind
us	PP	us
once	RB	once
once	RB	once
again	RB	again
of	IN	of
of	IN	of
of	IN	of
just	RB	just
how	WRB	how
dangerous	JJ	dangerous
this	DT	this
job	NN	job
is	VBZ	be
not	RB	not
not	RB	not
only	RB	only
in	IN	in
general	JJ	general
but	CC	but
in	IN	in
this	DT	this
uh	UH	uh
particular	JJ	particular
uh	UH	uh
war	NN	war
and	CC	and
that	IN/that	that
the	DT	the
the	DT	the
the	DT	the
journalists	NNS	journalist
that	WDT	that
are	VBP	be
reporting	VVG	report
from	IN	from
Gaza	NP	Gaza
are	VBP	be
doing	VVG	do
a	DT	a
lot	NN	lot
more	JJR	more
reporting	NN	reporting
they	PP	they
are	VBP	be
they	PP	they
are	VBP	be
living	VVG	live
through	IN	through
what	WP	what
'	POS	'
s	NNS	s
going	VVG	go
on	IN	on
there	EX	there
just	RB	just
as	RB	as
much	JJ	much
as	IN	as
everyone	NN	everyone
else	RB	else
is	VBZ	be
yeah	RB	yeah
exactly	RB	exactly
I	PP	I
mean	VV	mean
uh	UH	uh
being	VBG	be
uh	UH	uh
War	NP	War
reporter	NN	reporter
is	VBZ	be
a	DT	a
very	RB	very
dangerous	JJ	dangerous
uh	UH	uh
uh	UH	uh
profession	NN	profession
but	CC	but
here	RB	here
in	IN	in
gasa	NN	gasa
is	VBZ	be
becoming	VVG	become
particularly	RB	particularly
dangerous	JJ	dangerous
as	IN	as
the	DT	the
report	NN	report
has	VHZ	have
been	VBN	be
saiding	VVG	saiding
not	RB	not
only	RB	only
the	DT	the
reporters	NNS	reporter
that	IN/that	that
the	DT	the
most	JJS	most
of	IN	of
them	PP	them
I	PP	I
