<video_id>qJ-bvHAHqD4</video_id>	JJ	<video_id>qJ-bvHAHqD4</video_id>
<video_title>Israeli	NN	<video_title>Israeli
forces	NNS	force
target	VVP	target
al-Amal	NP	al-Amal
Hospital	NP	Hospital
with	IN	with
smoke	NN	smoke
bombs,	NP	bombs,
bulldozers:	NP	bulldozers:
PRCS</video_title>	NP	PRCS</video_title>
<thumbnail_path>data/en_AJ\Israeli	NP	<thumbnail_path>data/en_AJ\Israeli
forces	NNS	force
target	VVP	target
al-Amal	NP	al-Amal
Hospital	NP	Hospital
with	IN	with
smoke	NN	smoke
bombs,	NN	bombs,
bulldozers	NNS	bulldozer
PRCS.jpg</thumbnail_path>	JJ	PRCS.jpg</thumbnail_path>
<publish_date>20240324</publish_date>	NN	<publish_date>20240324</publish_date>
<doc>	NN	<doc>
in	IN	in
canun	NN	canun
the	DT	the
Israeli	JJ	Israeli
armies	NNS	army
killed	VVD	kill
an	DT	an
emergency	NN	emergency
worker	NN	worker
inside	IN	inside
the	DT	the
alal	JJ	alal
hospital	NN	hospital
there	EX	there
are	VBP	be
reports	NNS	report
of	IN	of
intense	JJ	intense
shelling	VVG	shell
and	CC	and
battles	NNS	battle
near	IN	near
the	DT	the
hospital	NN	hospital
the	DT	the
Palestine	NP	Palestine
red	JJ	red
Cresent	NP	Cresent
society	NN	society
says	VVZ	say
soldiers	NNS	soldier
have	VHP	have
surrounded	VVN	surround
the	DT	the
facility	NN	facility
and	CC	and
workers	NNS	worker
are	VBP	be
in	IN	in
severe	JJ	severe
danger	NN	danger
nbal	NN	nbal
farak	NN	farak
is	VBZ	be
the	DT	the
spokesperson	NN	spokesperson
for	IN	for
the	DT	the
Palestine	NP	Palestine
red	NN	red
Cresent	NP	Cresent
Society	NP	Society
she's	NNS	she's
joining	VVG	join
us	PP	us
now	RB	now
from	IN	from
romala	NNS	romala
what	WP	what
are	VBP	be
you	PP	you
hearing	VVG	hear
about	IN	about
what's	NNS	what's
been	VBN	be
happening	VVG	happen
at	IN	at
the	DT	the
hospital	NN	hospital
the	DT	the
situation	NN	situation
is	VBZ	be
just	RB	just
escalating	VVG	escalate
at	IN	at
the	DT	the
hospital	NN	hospital
we	PP	we
just	RB	just
learned	VVD	learn
the	DT	the
one	CD	one
of	IN	of
the	DT	the
individuals	NNS	individual
who	WP	who
are	VBP	be
taking	VVG	take
shelter	NN	shelter
inside	IN	inside
the	DT	the
hospital	NN	hospital
being	VBG	be
shot	VVN	shoot
and	CC	and
injured	VVN	injure
with	IN	with
the	DT	the
injury	NN	injury
in	IN	in
the	DT	the
head	NN	head
Israeli	NP	Israeli
drowns	VVZ	drown
are	VBP	be
now	RB	now
calling	VVG	call
for	IN	for
everyone	NN	everyone
inside	IN	inside
the	DT	the
hospital	NN	hospital
to	TO	to
leave	VV	leave
the	DT	the
hospital	NN	hospital
stripped	VVD	strip
off	RP	off
their	PP$	their
clothes	NNS	clothes
the	DT	the
situation	NN	situation
is	VBZ	be
very	RB	very
dangerous	JJ	dangerous
intense	JJ	intense
shelling	VVG	shell
is	VBZ	be
just	RB	just
taking	VVG	take
place	NN	place
with	IN	with
heavy	JJ	heavy
gun	NN	gun
fire	NN	fire
Israeli	JJ	Israeli
uh	UH	uh
vehicles	NNS	vehicle
are	VBP	be
now	RB	now
bulldozing	VVG	bulldoze
the	DT	the
area	NN	area
in	IN	in
front	NN	front
of	IN	of
the	DT	the
hospital	NN	hospital
and	CC	and
the	DT	the
surrounding	VVG	surround
area	NN	area
of	IN	of
the	DT	the
hospital	NN	hospital
closing	VVG	close
the	DT	the
main	JJ	main
gate	NN	gate
of	IN	of
the	DT	the
hospital	NN	hospital
with	IN	with
barriers	NNS	barrier
everyone	NN	everyone
inside	IN	inside
the	DT	the
hospital	NN	hospital
is	VBZ	be
now	RB	now
being	VBG	be
trapped	VVN	trap
uh	UH	uh
since	IN	since
there	EX	there
is	VBZ	be
very	RB	very
intense	JJ	intense
and	CC	and
heavy	JJ	heavy
gun	NN	gun
fire	VV	fire
uh	UH	uh
the	DT	the
life	NN	life
of	IN	of
all	DT	all
of	IN	of
the	DT	the
Wounded	JJ	wounded
patients	NNS	patient
and	CC	and
the	DT	the
medical	JJ	medical
staff	NN	staff
and	CC	and
those	DT	those
who	WP	who
are	VBP	be
taking	VVG	take
shelter	NN	shelter
are	VBP	be
in	IN	in
very	RB	very
dangerous	JJ	dangerous
because	IN	because
of	IN	of
The	DT	the
Continuous	JJ	continuous
um	JJ	um
gun	NN	gun
fire	NN	fire
as	IN	as
well	RB	well
as	RB	as
as	IN	as
I	PP	I
said	VVD	say
the	DT	the
continuous	JJ	continuous
shelling	VVG	shell
as	IN	as
well	RB	well
this	DT	this
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
trade	NN	trade
for	IN	for
Al	NP	Al
AML	NP	AML
Hospital	NP	Hospital
the	DT	the
hospital	NN	hospital
was	VBD	be
under	IN	under
continuous	JJ	continuous
preg	NN	preg
for	IN	for
more	JJR	more
than	IN	than
40	CD	@card@
days	NNS	day
and	CC	and
now	RB	now
again	RB	again
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
besed	VVD	besed
the	DT	the
hospital	NN	hospital
and	CC	and
demanding	VVG	demand
everyone	NN	everyone
to	TO	to
leave	VV	leave
from	IN	from
H	NN	H
inside	IN	inside
the	DT	the
hospital	NN	hospital
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
they	PP	they
are	VBP	be
uh	UH	uh
firing	VVG	fire
um	JJ	um
um	JJ	um
bombs	NNS	bomb
at	IN	at
the	DT	the
hospital	NN	hospital
one	CD	one
of	IN	of
the	DT	the
hospital	NN	hospital
rooms	NNS	room
could	MD	could
fire	VV	fire
because	IN	because
of	IN	of
the	DT	the
smoke	NN	smoke
bombs	NNS	bomb
being	VBG	be
launched	VVN	launch
at	IN	at
the	DT	the
hospital	NN	hospital
can	MD	can
you	PP	you
tell	VV	tell
us	PP	us
how	WRB	how
many	JJ	many
people	NNS	people
are	VBP	be
inside	IN	inside
the	DT	the
hospital	NN	hospital
and	CC	and
who	WP	who
they	PP	they
are	VBP	be
inside	IN	inside
the	DT	the
hospital	NN	hospital
is	VBZ	be
our	PP$	our
medical	JJ	medical
staff	NN	staff
along	IN	along
with	IN	with
uh	UH	uh
along	RB	along
with	IN	with
um	VVG	um
the	DT	the
patients	NNS	patient
and	CC	and
wounded	VVN	wound
I	PP	I
don't	VVD	don't
have	VH	have
um	JJ	um
accurate	JJ	accurate
estimation	NN	estimation
now	RB	now
for	IN	for
the	DT	the
number	NN	number
since	IN	since
also	RB	also
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
communication	NN	communication
blackout	NN	blackout
is	VBZ	be
still	RB	still
continued	VVN	continue
at	IN	at
Al	NP	Al
Hospital	NP	Hospital
in	RB	in
hanun	VVZ	hanun
uh	UH	uh
and	CC	and
the	DT	the
only	JJ	only
way	NN	way
to	TO	to
get	VV	get
information	NN	information
regarding	VVG	regard
the	DT	the
situation	NN	situation
there	EX	there
is	VBZ	be
through	RB	through
the	DT	the
VHF	NN	VHF
radio	NN	radio
where	WRB	where
our	PP$	our
teams	NNS	team
try	VVP	try
to	TO	to
update	VV	update
us	PP	us
from	IN	from
a	DT	a
time	NN	time
to	TO	to
time	NN	time
regarding	VVG	regard
the	DT	the
situation	NN	situation
there	RB	there
and	CC	and
it's	NNS	it's
worth	NN	worth
mentioning	VVG	mention
that	IN/that	that
also	RB	also
today	NN	today
not	RB	not
only	JJ	only
alel	NN	alel
hospital	NN	hospital
was	VBD	be
ped	JJ	ped
but	CC	but
also	RB	also
again	RB	again
n	NN	n
Hospital	NN	hospital
in	IN	in
hanun	NN	hanun
we	PP	we
should	MD	should
also	RB	also
remember	VV	remember
that	DT	that
aifa	NN	aifa
hospital	NN	hospital
for	IN	for
the	DT	the
seventh	JJ	seventh
day	NN	day
aifa	NN	aifa
Hospital	NP	Hospital
in	IN	in
Gaza	NP	Gaza
City	NP	City
it	PP	it
is	VBZ	be
the	DT	the
largest	JJS	large
medical	JJ	medical
complex	NN	complex
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
being	VBG	be
ped	VVN	ped
for	IN	for
the	DT	the
seventh	JJ	seventh
day	NN	day
yesterday	NN	yesterday
five	CD	five
patients	NNS	patient
at	IN	at
asifa	NN	asifa
hospital	NN	hospital
died	VVD	die
because	IN	because
of	IN	of
the	DT	the
lack	NN	lack
of	IN	of
food	NN	food
as	RB	as
well	RB	well
as	IN	as
the	DT	the
water	NN	water
and	CC	and
the	DT	the
medical	JJ	medical
care	NN	care
since	IN	since
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
continue	VVP	continue
to	TO	to
preg	JJ	preg
uh	UH	uh
the	DT	the
hospital	NN	hospital
with	IN	with
everyone	NN	everyone
uh	UH	uh
all	PDT	all
the	DT	the
patients	NNS	patient
and	CC	and
the	DT	the
wounded	VVN	wound
their	PP$	their
lives	NNS	life
also	RB	also
at	IN	at
risk	NN	risk
at	IN	at
ashria	NN	ashria
hospital	NN	hospital
as	IN	as
the	DT	the
Palestine	NP	Palestine
rent	NN	rent
we	PP	we
continue	VVP	continue
to	TO	to
call	VV	call
on	IN	on
the	DT	the
International	NP	International
Community	NP	Community
to	TO	to
intervene	VV	intervene
immediately	RB	immediately
to	TO	to
protect	VV	protect
the	DT	the
Health	NP	Health
Care	NP	Care
system	NN	system
in	IN	in
Gaza	NP	Gaza
to	TO	to
protect	VV	protect
the	DT	the
hospitals	NNS	hospital
and	CC	and
healthare	NN	healthare
workers	NNS	worker
inside	IN	inside
the	DT	the
hospitals	NNS	hospital
n	NN	n
f	NN	f
from	IN	from
Palestine	NP	Palestine
red	JJ	red
Cresent	NP	Cresent
Society	NP	Society
thank	VVP	thank
you	PP	you
very	RB	very
much	RB	much
indeed	RB	indeed
</doc>	JJ	</doc>
