<video_id>aGZGzvcL5Ww</video_id>	JJ	<video_id>aGZGzvcL5Ww</video_id>
<video_title>Palestinian	JJ	<video_title>Palestinian
families	NNS	family
forced	VVN	force
to	TO	to
flee	VV	flee
Khan	NP	Khan
Younis	NP	Younis
again</video_title>	JJ	again</video_title>
<thumbnail_path>data/en_AJ\Palestinian	NN	<thumbnail_path>data/en_AJ\Palestinian
families	NNS	family
forced	VVN	force
to	TO	to
flee	VV	flee
Khan	NP	Khan
Younis	NP	Younis
again.jpg</thumbnail_path>	NN	again.jpg</thumbnail_path>
<publish_date>20240124</publish_date>	NN	<publish_date>20240124</publish_date>
<doc>	NN	<doc>
I'm	NN	I'm
currently	RB	currently
standing	VVG	stand
on	IN	on
a	DT	a
Rashid	NP	Rashid
Street	NP	Street
here	RB	here
this	DT	this
street	NN	street
is	VBZ	be
where	WRB	where
starts	NNS	start
and	CC	and
as	IN	as
you	PP	you
see	VVP	see
surrounding	VVG	surround
me	PP	me
all	DT	all
of	IN	of
these	DT	these
people	NNS	people
fled	VVD	flee
from	IN	from
the	DT	the
intense	JJ	intense
bombing	NN	bombing
and	CC	and
air	NN	air
strikes	NNS	strike
and	CC	and
also	RB	also
the	DT	the
ground	NN	ground
Invasion	NN	invasion
where	WRB	where
the	DT	the
Israeli	JJ	Israeli
forces	NNS	force
tanks	NNS	tank
are	VBP	be
stationed	VVN	station
in	IN	in
this	DT	this
area	NN	area
people	NNS	people
surrounding	VVG	surround
me	PP	me
took	VVD	take
all	RB	all
of	IN	of
they	PP	they
what	WP	what
they	PP	they
have	VHP	have
Under	IN	under
Fire	NP	Fire
they're	NN	they're
telling	VVG	tell
us	PP	us
that	IN/that	that
there's	RB	there's
standing	VVG	stand
here	RB	here
and	CC	and
they're	RB	they're
sitting	VVG	sit
here	RB	here
they	PP	they
have	VHP	have
zero	CD	zero
places	NNS	place
to	TO	to
go	VV	go
and	CC	and
not	RB	not
only	RB	only
that	IN/that	that
they	PP	they
also	RB	also
don't	JJ	don't
have	VHP	have
any	DT	any
type	NN	type
of	IN	of
transportation	NN	transportation
we	PP	we
are	VBP	be
seeing	VVG	see
people	NNS	people
walking	VVG	walk
on	IN	on
their	PP$	their
grounds	NNS	ground
holding	VVG	hold
their	PP$	their
belongings	NNS	belonging
we	PP	we
are	VBP	be
also	RB	also
seeing	VVG	see
people	NNS	people
with	IN	with
trucks	NNS	truck
where	WRB	where
families	NNS	family
are	VBP	be
sharing	VVG	share
