less	JJR	less
than	IN	than
a	DT	a
day	NN	day
after	IN	after
Hamas	NP	Hamas
submitted	VVD	submit
its	PP$	its
response	NN	response
to	TO	to
a	DT	a
potential	JJ	potential
Gaza	NP	Gaza
ceasefire	NN	ceasefire
plan	NN	plan
US	NP	US
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blinkin	NN	blinkin
arrived	VVD	arrive
in	IN	in
Israel	NP	Israel
hoping	VVG	hope
to	TO	to
build	VV	build
on	IN	on
that	DT	that
momentum	NN	momentum
but	CC	but
hours	NNS	hour
after	IN	after
meeting	NN	meeting
with	IN	with
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
Israel	NP	Israel
all	RB	all
but	CC	but
rejected	VVD	reject
the	DT	the
current	JJ	current
framework	NN	framework
for	IN	for
a	DT	a
cessation	NN	cessation
of	IN	of
hostilities	NNS	hostility
now	RB	now
is	VBZ	be
the	DT	the
time	NN	time
for	IN	for
the	DT	the
Israeli	JJ	Israeli
Defense	NN	defense
Forces	NNS	force
to	TO	to
allow	VV	allow
safe	JJ	safe
corridors	NNS	corridor
for	IN	for
the	DT	the
residents	NNS	resident
of	IN	of
Rafa	NP	Rafa
we	PP	we
shall	MD	shall
continue	VV	continue
destroying	VVG	destroy
the	DT	the
capabilities	NNS	capability
of	IN	of
Hamas	NNS	Hamas
until	IN	until
we	PP	we
achieve	VVP	achieve
that	IN/that	that
and	CC	and
I	PP	I
emphasize	VVP	emphasize
we	PP	we
have	VHP	have
no	DT	no
other	JJ	other
option	NN	option
but	CC	but
decisive	JJ	decisive
Victory	NP	Victory
Hamas	NP	Hamas
for	IN	for
its	PP$	its
part	NN	part
said	VVD	say
that	IN/that	that
unlike	IN	unlike
Israel	NP	Israel
they	PP	they
had	VHD	have
taken	VVN	take
a	DT	a
positive	JJ	positive
approach	NN	approach
to	TO	to
the	DT	the
ceasefire	NN	ceasefire
proposal	NN	proposal
Netanyahu	NP	Netanyahu
and	CC	and
his	PP$	his
government	NN	government
are	VBP	be
seeking	VVG	seek
to	TO	to
continue	VV	continue
to	TO	to
mislead	VV	mislead
the	DT	the
public	JJ	public
opinion	NN	opinion
in	IN	in
Israel	NP	Israel
and	CC	and
to	TO	to
prolong	VV	prolong
its	PP$	its
aggression	NN	aggression
despite	IN	despite
the	DT	the
losses	NNS	loss
they	PP	they
'	POS	'
re	NN	re
sustaining	VVG	sustain
in	IN	in
personnel	NNS	personnel
and	CC	and
equipment	NN	equipment
with	IN	with
the	DT	the
attempts	NNS	attempt
