<video_id>ijLG_EYFNnI</video_id>	NP	<video_id>ijLG_EYFNnI</video_id>
<video_title>Israel	NP	<video_title>Israel
strike	NN	strike
that	WDT	that
killed	VVD	kill
106	CD	@card@
people	NNS	people
in	IN	in
Gaza	NP	Gaza
‘apparent	JJ	‘apparent
war	NN	war
crime’:	NN	crime’:
Probe</video_title>	NP	Probe</video_title>
<thumbnail_path>data/en_AJ\Israel	NP	<thumbnail_path>data/en_AJ\Israel
strike	NN	strike
that	WDT	that
killed	VVD	kill
106	CD	@card@
people	NNS	people
in	IN	in
Gaza	NP	Gaza
‘apparent	JJ	‘apparent
war	NN	war
crime’	JJ	crime’
Probe.jpg</thumbnail_path>	NP	Probe.jpg</thumbnail_path>
<publish_date>20240404</publish_date>	NN	<publish_date>20240404</publish_date>
<doc>	NN	<doc>
now	RB	now
Human	JJ	human
Rights	NPS	Rights
Watch	VVP	watch
investigation	NN	investigation
has	VHZ	have
analyzed	VVN	analyze
one	CD	one
of	IN	of
the	DT	the
single	JJ	single
deadliest	JJS	deadly
Israeli	JJ	Israeli
air	NN	air
strikes	NNS	strike
since	IN	since
the	DT	the
War	NP	War
Began	NP	Began
it	PP	it
says	VVZ	say
106	CD	@card@
civilians	NNS	civilian
were	VBD	be
killed	VVN	kill
in	IN	in
October	NP	October
in	IN	in
what	WP	what
appears	VVZ	appear
to	TO	to
be	VB	be
a	DT	a
war	NN	war
crime	NN	crime
among	IN	among
the	DT	the
victims	NNS	victim
were	VBD	be
at	IN	at
least	JJS	least
54	CD	@card@
children	NNS	child
Israel	NP	Israel
hit	VVD	hit
a	DT	a
residential	JJ	residential
building	NN	building
south	NN	south
of	IN	of
the	DT	the
noat	NN	noat
refugee	NN	refugee
camp	NN	camp
on	IN	on
October	NP	October
31st	JJ	31st
but	CC	but
the	DT	the
report	NN	report
founds	VVZ	found
no	DT	no
evidence	NN	evidence
of	IN	of
a	DT	a
military	JJ	military
Target	NP	Target
in	IN	in
the	DT	the
vicinity	NN	vicinity
it	PP	it
also	RB	also
concluded	VVD	conclude
that	IN/that	that
governments	NNS	government
should	MD	should
suspend	VV	suspend
arm	NN	arm
sales	NNS	sale
and	CC	and
deliveries	NNS	delivery
to	TO	to
Israel	NP	Israel
Let's	NPS	Let's
uh	UH	uh
speak	VV	speak
to	TO	to
Tar	VV	tar
Abu	NP	Abu
aam	NN	aam
about	IN	about
this	DT	this
he's	NNS	he's
our	PP$	our
correspondent	NN	correspondent
in	IN	in
Rafa	NP	Rafa
Southern	NP	Southern
Gaza	NP	Gaza
remind	VVP	remind
us	PP	us
a	DT	a
tar	NN	tar
of	IN	of
this	DT	this
uh	UH	uh
attack	NN	attack
in	IN	in
nerit	NN	nerit
in	IN	in
October	NP	October
and	CC	and
uh	UH	uh
the	DT	the
circumstances	NNS	circumstance
around	IN	around
it	PP	it
which	WDT	which
led	VVD	lead
to	TO	to
this	DT	this
conclusion	NN	conclusion
by	IN	by
Human	NP	Human
Rights	NPS	Rights
Watch	VV	watch
yes	UH	yes
FY	NN	FY
according	VVG	accord
to	TO	to
the	DT	the
uh	UH	uh
investigation	NN	investigation
that	WDT	that
has	VHZ	have
been	VBN	be
carried	VVN	carry
out	RP	out
by	IN	by
the	DT	the
Human	NP	Human
Rights	NPS	Rights
Watch	VVP	watch
it	PP	it
has	VHZ	have
concluded	VVN	conclude
that	IN/that	that
a	DT	a
six	CD	six
story	NN	story
apartment	NN	apartment
building	NN	building
has	VHZ	have
been	VBN	be
completely	RB	completely
destroyed	VVN	destroy
and	CC	and
that	IN/that	that
deadly	JJ	deadly
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
had	VHD	have
killed	VVN	kill
at	IN	at
least	JJS	least
106	CD	@card@
Palestinians	NNS	Palestinian
including	VVG	include
54	CD	@card@
children	NNS	child
as	IN	as
this	DT	this
building	NN	building
has	VHZ	have
been	VBN	be
husting	VVG	husting
evacuees	NNS	evacuee
and	CC	and
also	RB	also
the	DT	the
uh	UH	uh
owners	NNS	owner
of	IN	of
