Abu	NP	Abu
he	PP	he
'	POS	'
s	NN	S
joining	VVG	join
us	PP	us
live	VVP	live
from	IN	from
there	RB	there
albala	NN	albala
in	IN	in
central	JJ	central
Gaza	NP	Gaza
antartic	JJ	antartic
deadly	JJ	deadly
Israeli	JJ	Israeli
attacks	NNS	attack
across	IN	across
the	DT	the
strip	NN	strip
killing	VVG	kill
both	CC	both
indiscriminately	RB	indiscriminately
and	CC	and
also	RB	also
some	DT	some
targeted	VVN	target
killings	NNS	killing
in	IN	in
the	DT	the
shatti	NP	shatti
refugee	NN	refugee
camp	NN	camp
yeah	RB	yeah
that	RB	that
'	''	'
s	NNS	s
right	JJ	right
Elizabeth	NP	Elizabeth
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
forces	NNS	force
are	VBP	be
stepping	VVG	step
up	RP	up
the	DT	the
military	JJ	military
land	NN	land
and	CC	and
aerial	JJ	aerial
bombardment	NN	bombardment
in	IN	in
the	DT	the
north	NN	north
of	IN	of
the	DT	the
strip	NN	strip
in	IN	in
the	DT	the
central	JJ	central
area	NN	area
and	CC	and
even	RB	even
F	NN	F
further	RBR	further
south	RB	south
in	IN	in
the	DT	the
uh	UH	uh
in	IN	in
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
but	CC	but
starting	VVG	start
from	IN	from
the	DT	the
north	NN	north
of	IN	of
the	DT	the
strip	NN	strip
which	WDT	which
has	VHZ	have
been	VBN	be
the	DT	the
theater	NN	theater
for	IN	for
the	DT	the
latest	JJS	late
Israeli	JJ	Israeli
strikes	NNS	strike
we	PP	we
are	VBP	be
talking	VVG	talk
about	IN	about
an	DT	an
evacuation	NN	evacuation
Center	NP	Center
has	VHZ	have
been	VBN	be
targeted	VVN	target
it	PP	it
'	POS	'
s	NN	S
called	VVD	call
H	NP	H
ibraim	NP	ibraim
H	NP	H
Mustafa	NP	Mustafa
H	NP	H
'	POS	'
s	NN	S
school	NN	school
that	WDT	that
has	VHZ	have
been	VBN	be
a	DT	a
place	NN	place
where	WRB	where
Palestinian	NP	Palestinian
displaced	VVN	displace
families	NNS	family
have	VHP	have
been	VBN	be
heading	VVG	head
to	TO	to
in	IN	in
order	NN	order
to	TO	to
seek	VV	seek
some	DT	some
sort	NN	sort
of	IN	of
Refuge	NP	Refuge
in	IN	in
the	DT	the
western	JJ	western
side	NN	side
of	IN	of
Gaza	NP	Gaza
City	NP	City
we	PP	we
clearly	RB	clearly
remember	VVP	remember
that	IN/that	that
the	DT	the
Army	NP	Army
has	VHZ	have
been	VBN	be
attacking	VVG	attack
evacuation	NN	evacuation
centers	NNS	center
and	CC	and
schools	NNS	school
in	IN	in
the	DT	the
northern	JJ	northern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
killing	VVG	kill
dozens	NNS	dozen
of	IN	of
Palestinians	NPS	Palestinians
but	CC	but
the	DT	the
latest	JJS	late
attack	NN	attack
has	VHZ	have
killed	VVN	kill
three	CD	three
Palestinians	NNS	Palestinian
with	IN	with
patches	NNS	patch
of	IN	of
casualties	NNS	casualty
being	VBG	be
reported	VVN	report
and	CC	and
transferred	VVN	transfer
to	TO	to
the	DT	the
Baptist	JJ	Baptist
Hospital	NN	hospital
to	TO	to
get	VV	get
medical	JJ	medical
treatment	NN	treatment
but	CC	but
that	DT	that
is	VBZ	be
the	DT	the
Grim	NP	Grim
reality	NN	reality
that	IN/that	that
this	DT	this
