<video_id>U7GCjapPsHA</video_id>	JJ	<video_id>U7GCjapPsHA</video_id>
<video_title>Protesters	NNS	<video_title>Protesters
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
are	VBP	be
demanding	VVG	demand
Israeli	JJ	Israeli
government	NN	government
priorities	NNS	priority
captives'	VVP	captives'
return</video_title>	JJ	return</video_title>
<thumbnail_path>data/en_AJ\Protesters	NNS	<thumbnail_path>data/en_AJ\Protesters
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
are	VBP	be
demanding	VVG	demand
Israeli	JJ	Israeli
government	NN	government
priorities	NNS	priority
captives'	VVP	captives'
return.jpg</thumbnail_path>	JJ	return.jpg</thumbnail_path>
<publish_date>20240525</publish_date>	NN	<publish_date>20240525</publish_date>
<doc>	NN	<doc>
Israel	NP	Israel
has	VHZ	have
banned	VVN	ban
Al	NP	Al
jazer	NN	jazer
from	IN	from
reporting	VVG	report
from	IN	from
there	RB	there
so	IN	so
let's	NNS	let's
go	VVP	go
to	TO	to
S	NP	S
hiat	NN	hiat
who	WP	who
joins	VVZ	join
us	PP	us
now	RB	now
from	IN	from
the	DT	the
Jordanian	JJ	Jordanian
Capital	NP	Capital
Aman	NP	Aman
and	CC	and
S	NP	S
I	PP	I
know	VVP	know
we've	NN	we've
been	VBN	be
keeping	VVG	keep
a	DT	a
close	JJ	close
eye	NN	eye
on	IN	on
these	DT	these
protests	VVZ	protest
uh	UH	uh
throughout	IN	throughout
the	DT	the
evening	NN	evening
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
but	CC	but
in	IN	in
the	DT	the
last	JJ	last
half	NN	half
hour	NN	hour
or	CC	or
so	RB	so
they've	NN	they've
turned	VVN	turn
from	IN	from
what	WP	what
was	VBD	be
relatively	RB	relatively
peaceful	JJ	peaceful
to	TO	to
quite	PDT	quite
uh	UH	uh
violent	JJ	violent
uh	UH	uh
clashes	NNS	clash
between	IN	between
protesters	NNS	protester
and	CC	and
police	NNS	police
yeah	RB	yeah
that's	JJ	that's
right	NN	right
Tom	NP	Tom
I'm	NP	I'm
just	RB	just
looking	VVG	look
at	IN	at
the	DT	the
pictures	NNS	picture
here	RB	here
um	RB	um
obviously	RB	obviously
you	PP	you
were	VBD	be
saying	VVG	say
we	PP	we
can't	JJ	can't
report	NN	report
from	IN	from
there	RB	there
cuz	NN	cuz
we've	NN	we've
been	VBN	be
banned	VVN	ban
but	CC	but
we	PP	we
have	VHP	have
been	VBN	be
covering	VVG	cover
these	DT	these
protests	NNS	protest
right	NN	right
from	IN	from
when	WRB	when
they	PP	they
first	RB	first
started	VVD	start
certainly	RB	certainly
when	WRB	when
the	DT	the
families	NNS	family
uh	UH	uh
of	IN	of
those	DT	those
held	JJ	held
captive	NN	captive
were	VBD	be
gathering	VVG	gather
in	IN	in
what's	NNS	what's
known	VVN	know
as	IN	as
hostage	NN	hostage
Square	NP	Square
in	IN	in
uh	UH	uh
Tel	NP	Tel
Aviv	NP	Aviv
we	PP	we
were	VBD	be
there	RB	there
uh	UH	uh
all	RB	all
of	IN	of
the	DT	the
time	NN	time
that	IN/that	that
we	PP	we
were	VBD	be
covering	VVG	cover
those	DT	those
protests	NNS	protest
on	IN	on
Saturday	NP	Saturday
uh	UH	uh
they	PP	they
started	VVD	start
off	RP	off
relatively	RB	relatively
peaceful	JJ	peaceful
and	CC	and
certainly	RB	certainly
this	DT	this
is	VBZ	be
um	RB	um
this	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
time	NN	time
if	IN	if
you're	NN	you're
looking	VVG	look
on	IN	on
your	PP$	your
screens	NNS	screen
now	RB	now
you'll	RB	you'll
see	VV	see
uh	UH	uh
the	DT	the
horses	NNS	horse
turning	VVG	turn
up	RP	up
they've	NN	they've
already	RB	already
uh	UH	uh
taken	VVN	take
out	IN	out
brought	VVN	bring
out	IN	out
the	DT	the
uh	UH	uh
uh	UH	uh
water	NN	water
dirty	JJ	dirty
water	NN	water
known	VVN	know
as	IN	as
skunk	NN	skunk
water	NN	water
as	IN	as
well	NN	well
tanks	NNS	tank
um	JJ	um
and	CC	and
also	RB	also
we've	NNS	we've
been	VBN	be
seeing	VVG	see
some	DT	some
uh	UH	uh
protesters	NNS	protester
uh	UH	uh
being	VBG	be
arrested	VVN	arrest
and	CC	and
that's	NNS	that's
because	IN	because
they're	NP	they're
BL	NP	BL
blocking	VVG	block
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
intersections	NNS	intersection
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
in	IN	in
central	JJ	central
Tel	NP	Tel
Aviv	NP	Aviv
in	IN	in
fact	NN	fact
and	CC	and
that's	NN	that's
something	NN	something
a	DT	a
lot	NN	lot
of	IN	of
the	DT	the
anti-government	JJ	anti-government
protesters	NNS	protester
and	CC	and
those	DT	those
that	WDT	that
are	VBP	be
protesting	VVG	protest
against	IN	against
the	DT	the
prime	JJ	prime
minister	NN	minister
in	IN	in
fact	NN	fact
calling	VVG	call
on	IN	on
him	PP	him
to	TO	to
immediately	RB	immediately
resign	VV	resign
they	PP	they
said	VVD	say
because	IN	because
of	IN	of
the	DT	the
handling	NN	handling
of	IN	of
the	DT	the
war	NN	war
because	IN	because
half	NN	half
of	IN	of
those	DT	those
that	WDT	that
were	VBD	be
taken	VVN	take
captive	JJ	captive
almost	RB	almost
125	CD	@card@
of	IN	of
them	PP	them
are	VBP	be
still	RB	still
stuck	VVN	stick
in	IN	in
Gaza	NP	Gaza
and	CC	and
their	PP$	their
families	NNS	family
don't	NN	don't
know	VVP	know
whether	IN	whether
they're	NN	they're
still	RB	still
alive	JJ	alive
or	CC	or
dead	JJ	dead
many	JJ	many
of	IN	of
them	PP	them
have	VHP	have
been	VBN	be
speaking	VVG	speak
today	NN	today
one	CD	one
of	IN	of
those	DT	those
is	VBZ	be
a	DT	a
mother	NN	mother
of	IN	of
one	CD	one
of	IN	of
those	DT	those
that	WDT	that
was	VBD	be
killed	VVN	kill
and	CC	and
their	PP$	their
bodies	NNS	body
brought	VVD	bring
back	RB	back
yesterday	NN	yesterday
saying	VVG	say
that	IN/that	that
enough	RB	enough
is	VBZ	be
enough	RB	enough
we	PP	we
need	VVP	need
answers	NNS	answer
and	CC	and
we	PP	we
need	VVP	need
to	TO	to
see	VV	see
the	DT	the
rest	NN	rest
of	IN	of
those	DT	those
that	WDT	that
are	VBP	be
still	RB	still
stuck	VVN	stick
there	RB	there
to	TO	to
be	VB	be
brought	VVN	bring
back	RB	back
this	DT	this
as	IN	as
we're	NN	we're
seeing	VVG	see
and	CC	and
it	PP	it
seems	VVZ	seem
that	IN/that	that
there	EX	there
will	MD	will
be	VB	be
talk	NN	talk
taking	VVG	take
place	NN	place
next	JJ	next
week	NN	week
uh	UH	uh
Israeli	JJ	Israeli
media	NNS	medium
has	VHZ	have
been	VBN	be
reporting	VVG	report
that	IN/that	that
it	PP	it
will	MD	will
possibly	RB	possibly
take	VV	take
place	NN	place
in	IN	in
Qatar	NP	Qatar
Hamas	NP	Hamas
has	VHZ	have
also	RB	also
come	VVN	come
out	RP	out
with	IN	with
a	DT	a
statement	NN	statement
saying	VVG	say
that	DT	that
uh	UH	uh
it	PP	it
won't	NP	won't
be	VB	be
held	VVN	hold
on	IN	on
Tuesday	NP	Tuesday
contrary	NN	contrary
to	TO	to
what	WP	what
Israeli	JJ	Israeli
media	NNS	medium
is	VBZ	be
reporting	VVG	report
so	IN	so
the	DT	the
details	NNS	detail
are	VBP	be
still	RB	still
very	RB	very
much	RB	much
unclear	JJ	unclear
but	CC	but
the	DT	the
