<video_id>QZweZtcW-p4</video_id>	JJ	<video_id>QZweZtcW-p4</video_id>
<video_title>EU	NN	<video_title>EU
foreign	JJ	foreign
policy	NN	policy
chief	NN	chief
has	VHZ	have
called	VVN	call
for	IN	for
immediate	JJ	immediate
pauses	NNS	pause
in	IN	in
hostilities	NNS	hostility
&	CC	&
humanitarian	JJ	humanitarian
corridors</video_title>	JJ	corridors</video_title>
<thumbnail_path>data/en_AJ\EU	NN	<thumbnail_path>data/en_AJ\EU
foreign	JJ	foreign
policy	NN	policy
chief	NN	chief
has	VHZ	have
called	VVN	call
for	IN	for
immediate	JJ	immediate
pauses	NNS	pause
in	IN	in
hostilities	NNS	hostility
&	CC	&
humanitarian	JJ	humanitarian
corridors.jpg</thumbnail_path>	JJ	corridors.jpg</thumbnail_path>
<publish_date>20231113</publish_date>	NN	<publish_date>20231113</publish_date>
<doc>	NN	<doc>
EU	NP	EU
foreign	JJ	foreign
ministers	NNS	minister
are	VBP	be
meeting	VVG	meet
in	IN	in
Brussels	NP	Brussels
to	TO	to
discuss	VV	discuss
a	DT	a
number	NN	number
of	IN	of
issues	NNS	issue
including	VVG	include
the	DT	the
Gaza	NP	Gaza
War	NP	War
foreign	JJ	foreign
policy	NN	policy
Chief	NP	Chief
Joseph	NP	Joseph
borl	NN	borl
has	VHZ	have
just	RB	just
been	VBN	be
speaking	VVG	speak
Let's	NP	Let's
cross	NN	cross
to	TO	to
Paul	NP	Paul
Brennan	NP	Brennan
who	WP	who
is	VBZ	be
in	IN	in
Brussels	NP	Brussels
covering	VVG	cover
the	DT	the
meeting	NN	meeting
for	IN	for
us	PP	us
and	CC	and
Paul	NP	Paul
when	WRB	when
it	PP	it
comes	VVZ	come
to	TO	to
Gaza	NP	Gaza
what's	NN	what's
been	VBN	be
said	VVN	say
so	RB	so
far	RB	far
there	RB	there
this	DT	this
morning	NN	morning
well	RB	well
the	DT	the
International	NP	International
Community	NP	Community
and	CC	and
the	DT	the
European	NP	European
Union	NP	Union
here	RB	here
in	IN	in
Brussels	NP	Brussels
has	VHZ	have
been	VBN	be
watching	VVG	watch
the	DT	the
Carnage	NN	carnage
unfolding	VVG	unfold
in	IN	in
Gaza	NP	Gaza
with	IN	with
mounting	VVG	mount
horror	NN	horror
and	CC	and
the	DT	the
foreign	JJ	foreign
uh	UH	uh
affairs	NNS	affair
Chief	JJ	chief
the	DT	the
foreign	JJ	foreign
policy	NN	policy
Chief	NP	Chief
Joseph	NP	Joseph
Burell	NP	Burell
is	VBZ	be
really	RB	really
trying	VVG	try
to	TO	to
Corral	NP	Corral
opinion	NN	opinion
of	IN	of
all	DT	all
27	CD	@card@
members	NNS	member
of	IN	of
the	DT	the
European	JJ	European
Union	NP	Union
uh	UH	uh
under	IN	under
one	CD	one
consensus	NN	consensus
it's	NNS	it's
proving	VVG	prove
difficult	JJ	difficult
because	IN	because
there	EX	there
are	VBP	be
differences	NNS	difference
of	IN	of
opinion	NN	opinion
as	IN	as
to	TO	to
how	WRB	how
best	JJS	good
to	TO	to
go	VV	go
about	IN	about
it	PP	it
uh	UH	uh
but	CC	but
the	DT	the
what	WP	what
is	VBZ	be
agreed	VVN	agree
is	VBZ	be
that	IN/that	that
there	EX	there
is	VBZ	be
grave	JJ	grave
concern	NN	concern
from	IN	from
all	DT	all
27	CD	@card@
members	NNS	member
about	RB	about
particularly	RB	particularly
the	DT	the
attacks	NNS	attack
that	WDT	that
we've	VVP	we've
seen	VVN	see
on	IN	on
Hospitals	NNS	hospital
now	RB	now
the	DT	the
statement	NN	statement
that	WDT	that
has	VHZ	have
been	VBN	be
put	VVN	put
out	RP	out
in	IN	in
writing	VVG	write
in	IN	in
advance	NN	advance
of	IN	of
this	DT	this
says	VVZ	say
for	IN	for
example	NN	example
there	RB	there
need	VVP	need
to	TO	to
be	VB	be
Rapid	NP	Rapid
Safe	NP	Safe
unhindered	JJ	unhindered
humanitarian	JJ	humanitarian
access	NN	access
and	CC	and
that	IN/that	that
the	DT	the
uh	UH	uh
the	DT	the
hostilities	NNS	hostility
uh	UH	uh
which	WDT	which
are	VBP	be
are	VBP	be
taking	VVG	take
a	DT	a
horrific	JJ	horrific
toll	NN	toll
on	IN	on
civilians	NNS	civilian
and	CC	and
medical	JJ	medical
staff	NN	staff
and	CC	and
the	DT	the
international	JJ	international
humanitarian	JJ	humanitarian
law	NN	law
stipulates	VVZ	stipulate
that	IN/that	that
hospitals	NNS	hospital
medical	JJ	medical
supplies	NNS	supply
and	CC	and
civilians	NNS	civilian
inside	IN	inside
those	DT	those
hospitals	NNS	hospital
must	MD	must
be	VB	be
protected	VVN	protect
and	CC	and
what	WP	what
Joseph	NP	Joseph
Perell	NP	Perell
said	VVD	say
verbally	RB	verbally
as	IN	as
he	PP	he
went	VVD	go
into	IN	into
this	DT	this
meeting	NN	meeting
was	VBD	be
that	IN/that	that
action	NN	action
is	VBZ	be
needed	VVN	need
without	IN	without
delay	NN	delay
we	PP	we
ask	VVP	ask
for	IN	for
an	DT	an
immediate	JJ	immediate
POS	NNS	po
poses	VVZ	pose
I'm	NP	I'm
saying	VVG	say
that	IN/that	that
in	IN	in
plural	NN	plural
not	RB	not
a	DT	a
single	JJ	single
one	CD	one
but	CC	but
several	JJ	several
ones	NNS	one
poses	VVZ	pose
but	CC	but
it	PP	it
is	VBZ	be
an	DT	an
objective	NN	objective
is	VBZ	be
immediate	JJ	immediate
poses	NNS	pose
and	CC	and
humanitarian	JJ	humanitarian
corridors	NNS	corridor
to	TO	to
be	VB	be
established	VVN	establish
in	IN	in
order	NN	order
to	TO	to
face	VV	face
the	DT	the
dire	JJ	dire
situation	NN	situation
of	IN	of
the	DT	the
people	NNS	people
in	IN	in
Gaza	NP	Gaza
I	PP	I
mentioned	VVD	mention
the	DT	the
differences	NNS	difference
of	IN	of
opinion	NN	opinion
there	RB	there
they	PP	they
are	VBP	be
preventing	VVG	prevent
the	DT	the
European	JJ	European
Union	NN	union
from	IN	from
calling	VVG	call
for	IN	for
a	DT	a
full	JJ	full
formal	JJ	formal
