<video_id>2aiQoAi2isY</video_id>	NP	<video_id>2aiQoAi2isY</video_id>
<video_title>‘No	NP	<video_title>‘No
delays,	NP	delays,
no	DT	no
excuses’:	JJ	excuses’:
Blinken	NP	Blinken
in	IN	in
Tel	NP	Tel
Aviv</video_title>	NP	Aviv</video_title>
<thumbnail_path>data/en_AJ\‘No	NP	<thumbnail_path>data/en_AJ\‘No
delays,	NP	delays,
no	DT	no
excuses’	JJ	excuses’
Blinken	NP	Blinken
in	IN	in
Tel	NP	Tel
Aviv.jpg</thumbnail_path>	NP	Aviv.jpg</thumbnail_path>
<publish_date>20240501</publish_date>	NN	<publish_date>20240501</publish_date>
<doc>	NN	<doc>
diplomatic	JJ	diplomatic
efforts	NNS	effort
are	VBP	be
underway	JJ	underway
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Gaza	NP	Gaza
with	IN	with
the	DT	the
US	NP	US
pressuring	VVG	pressure
Hamas	NNS	Hamas
to	TO	to
agree	VV	agree
to	TO	to
Israel's	NP	Israel's
terms	NNS	term
Secretary	NP	Secretary
of	IN	of
State	NP	State
Anthony	NP	Anthony
blink's	NN	blink's
been	VBN	be
meeting	VVG	meet
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
Netanyahu	NP	Netanyahu
in	IN	in
Israel	NP	Israel
to	TO	to
push	VV	push
for	IN	for
a	DT	a
deal	NN	deal
he	PP	he
says	VVZ	say
is	VBZ	be
achievable	JJ	achievable
blink's	NNS	blink's
also	RB	also
told	VVD	tell
Netanyahu	NP	Netanyahu
the	DT	the
US	NP	US
still	RB	still
opposes	VVZ	oppose
a	DT	a
ground	NN	ground
offense	NN	offense
of	IN	of
in	IN	in
Rafa	NP	Rafa
and	CC	and
that	IN/that	that
there	EX	there
needs	VVZ	need
to	TO	to
be	VB	be
an	DT	an
improvement	NN	improvement
in	IN	in
the	DT	the
distribution	NN	distribution
of	IN	of
humanitarian	JJ	humanitarian
Aid	NN	aid
into	IN	into
Gaza	NP	Gaza
we're	NP	we're
