diplomatic	JJ	diplomatic
efforts	NNS	effort
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
between	IN	between
Israel	NP	Israel
and	CC	and
Hamas	NP	Hamas
are	VBP	be
increasing	VVG	increase
Hamas	JJ	Hamas
delegation	NN	delegation
is	VBZ	be
in	IN	in
Cairo	NP	Cairo
to	TO	to
meet	VV	meet
mediators	NNS	mediator
from	IN	from
Egypt	NP	Egypt
and	CC	and
katar	NP	katar
CIA	NP	CIA
director	NN	director
William	NP	William
Burns	NP	Burns
is	VBZ	be
also	RB	also
there	RB	there
the	DT	the
Israelis	NPS	Israelis
have	VHP	have
yet	RB	yet
to	TO	to
send	VV	send
their	PP$	their
delegation	NN	delegation
and	CC	and
it	PP	it
'	POS	'
s	NN	S
not	RB	not
clear	JJ	clear
when	WRB	when
that	DT	that
will	MD	will
happen	VV	happen
sticking	JJ	sticking
points	NNS	point
remain	VVP	remain
as	IN	as
Hamas	JJ	Hamas
demands	NNS	demand
Israel	NP	Israel
ends	VVZ	end
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
permanently	RB	permanently
that	RB	that
'	''	'
s	NN	S
something	NN	something
prime	JJ	prime
minister	NN	minister
Benjamin	NP	Benjamin
netanyahu	NP	netanyahu
'	POS	'
s	NN	S
government	NN	government
is	VBZ	be
refusing	VVG	refuse
to	TO	to
do	VV	do
and	CC	and
in	IN	in
Israel	NP	Israel
the	DT	the
government	NN	government
is	VBZ	be
under	IN	under
mounting	VVG	mount
pressure	NN	pressure
thousands	NNS	thousand
gathered	VVN	gather
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
to	TO	to
attend	VV	attend
a	DT	a
weekly	JJ	weekly
anti	JJ	anti
-	NN	-
government	NN	government
protest	NN	protest
against	IN	against
Israel	NP	Israel
'	POS	'
s	JJ	s
handling	NN	handling
of	IN	of
the	DT	the
war	NN	war
they	PP	they
'	POS	'
re	NN	re
calling	VVG	call
for	IN	for
the	DT	the
prime	JJ	prime
minister	NN	minister
to	TO	to
sign	VV	sign
a	DT	a
deal	NN	deal
with	IN	with
Hamas	NP	Hamas
to	TO	to
return	VV	return
captives	NNS	captive
held	VVN	hold
in	IN	in
Gaza	NP	Gaza
I	NP	I
'	POS	'
m	NN	m
here	RB	here
today	NN	today
to	TO	to
support	VV	support
uh	UH	uh
a	DT	a
deal	NN	deal
now	RB	now
yesterday	RB	yesterday
we	PP	we
need	VVP	need
to	TO	to
bring	VV	bring
him	PP	him
back	RB	back
we	PP	we
need	VVP	need
to	TO	to
bring	VV	bring
all	PDT	all
the	DT	the
hostages	NNS	hostage
back	VVP	back
the	DT	the
alive	JJ	alive
ones	NNS	one
the	DT	the
the	DT	the
dead	JJ	dead
ones	NNS	one
we	PP	we
we	PP	we
got	VVD	get
to	TO	to
bring	VV	bring
them	PP	them
back	VV	back
we	PP	we
got	VVD	get
to	TO	to
switch	VV	switch
this	DT	this
government	NN	government
this	DT	this
has	VHZ	have
got	VVN	get
to	TO	to
end	VV	end
Netanyahu	NP	Netanyahu
we	PP	we
call	VVP	call
you	PP	you
to	TO	to
reach	VV	reach
a	DT	a
ceasefire	NN	ceasefire
deal	NN	deal
which	WDT	which
secures	VVZ	secure
the	DT	the
release	NN	release
of	IN	of
all	DT	all
captives	NNS	captive
you	PP	you
'	''	'
re	IN	re
taking	VVG	take
more	JJR	more
time	NN	time
so	IN	so
you	PP	you
and	CC	and
Ben	NP	Ben
gavier	NN	gavier
can	MD	can
stay	VV	stay
in	IN	in
power	NN	power
you	PP	you
don	VVP	don
'	''	'
t	NN	t
care	NN	care
about	IN	about
the	DT	the
133	CD	@card@
or	CC	or
132	CD	@card@
captives	NNS	captive
an	DT	an
operation	NN	operation
in	IN	in
Rafa	NP	Rafa
will	MD	will
cause	VV	cause
the	DT	the
death	NN	death
of	IN	of
the	DT	the
captives	NNS	captive
you	PP	you
don	VVP	don
'	''	'
t	NN	t
have	VHP	have
mandate	NN	mandate
to	TO	to
kill	VV	kill
132	CD	@card@
citizens	NNS	citizen
of	IN	of
Israel	NP	Israel
let	NN	let
'	POS	'
s	NNS	s
get	VVP	get
more	RBR	more
now	RB	now
with	IN	with
our	PP$	our
correspondent	JJ	correspondent
Stephanie	NP	Stephanie
deer	NN	deer
in	IN	in
occup	NN	occup
P	NN	P
East	NP	East
Jerusalem	NP	Jerusalem
