<video_id>2CXyTSEqfRI</video_id>	NP	<video_id>2CXyTSEqfRI</video_id>
<video_title>Netanyahu	NP	<video_title>Netanyahu
promotes	VVZ	promote
his	PP$	his
genocide	NN	genocide
to	TO	to
a	DT	a
cheering	VVG	cheer
US	NP	US
Congress:	NP	Congress:
Marwan	NP	Marwan
Bishara</video_title>	NP	Bishara</video_title>
<thumbnail_path>data/en_AJ\Netanyahu	NP	<thumbnail_path>data/en_AJ\Netanyahu
promotes	VVZ	promote
his	PP$	his
genocide	NN	genocide
to	TO	to
a	DT	a
cheering	VVG	cheer
US	NP	US
Congress	NP	Congress
Marwan	NP	Marwan
Bishara.jpg</thumbnail_path>	NP	Bishara.jpg</thumbnail_path>
<publish_date>20240724</publish_date>	NN	<publish_date>20240724</publish_date>
<doc>	NN	<doc>
Maran	NP	Maran
bashara	NP	Bashara
Al	NP	Al
jazer	NN	jazer
senior	JJ	senior
political	JJ	political
analyst	NN	analyst
he	PP	he
joins	VVZ	join
us	PP	us
from	IN	from
Paris	NP	Paris
via	IN	via
Skype	NP	Skype
uh	UH	uh
just	RB	just
that	DT	that
that	WDT	that
tweet	VVP	tweet
there	RB	there
just	RB	just
illustrating	VVG	illustrate
that	IN/that	that
even	RB	even
though	IN	though
we	PP	we
we	PP	we
heard	VVD	hear
uh	UH	uh
that	DT	that
support	NN	support
that	IN/that	that
clapping	VVG	clap
to	TO	to
Netanyahu	NP	Netanyahu
as	IN	as
he	PP	he
began	VVD	begin
his	PP$	his
speech	NN	speech
there	EX	there
are	VBP	be
still	RB	still
about	RB	about
50	CD	@card@
Democrats	NPS	Democrats
who	WP	who
are	VBP	be
not	RB	not
attending	VVG	attend
uh	UH	uh
this	DT	this
speech	NN	speech
what	WP	what
does	VVZ	do
that	RB	that
tell	VV	tell
us	PP	us
about	IN	about
how	WRB	how
much	JJ	much
division	NN	division
there	EX	there
is	VBZ	be
within	IN	within
the	DT	the
Democrats	NPS	Democrats
uh	UH	uh
towards	IN	towards
uh	UH	uh
prime	JJ	prime
minister	NN	minister
Yahoo	NN	yahoo
well	RB	well
there	RB	there
certainly	RB	certainly
is	VBZ	be
a	DT	a
division	NN	division
among	IN	among
the	DT	the
Democrats	NPS	Democrats
and	CC	and
certainly	RB	certainly
it	PP	it
is	VBZ	be
but	RB	but
um	VVG	um
still	RB	still
a	DT	a
majority	NN	majority
Democrats	NPS	Democrats
certainly	RB	certainly
majority	NN	majority
of	IN	of
continue	VV	continue
to	TO	to
Pander	NP	Pander
to	TO	to
continue	VV	continue
to	TO	to
Pander	NP	Pander
in	IN	in
fact	NN	fact
to	TO	to
a	DT	a
fanatic	JJ	fanatic
fact	NN	fact
Israeli	JJ	Israeli
government	NN	government
uh	UH	uh
those	DT	those
who	WP	who
had	VHD	have
some	DT	some
